School,Name,Position,Year/Class,Status,Date Entered Portal,From Team,To Team,Rating,High School,Profile URL
Air Force,Michael Mack,CB,SO,Entered,5/21/2023,Air Force,Wisconsin,,,https://www.on3.com/rivals/michael-mack-236386/
Air Force,Haaziq Daniels,QB,RS-JR,Entered,12/27/2022,Avatar,Air Force,84.00,St. John Vianney,https://www.on3.com/rivals/haaziq-daniels-175742/
Alabama,Jamil Burroughs,DL,RS-SO,Committed,,Alabama,Miami Hurricanes,89.95,McEachern,https://www.on3.com/rivals/jamil-burroughs-56204/
Alabama,Jamil Burroughs,DL,RS-SO,Entered,6/30/2023,Alabama,,89.95,McEachern,https://www.on3.com/rivals/jamil-burroughs-56204/
Alabama,Elijah Brown,TE,FR,Committed,,Alabama,Florida Atlantic Owls,87.00,Wayne,https://www.on3.com/rivals/elijah-brown-41096/
Alabama,Tyler Harrell,WR,RS-JR,Committed,,Alabama,Miami Hurricanes,87.00,Columbus,https://www.on3.com/rivals/tyler-harrell-117659/
Alabama,Jaylen Key,S,RS-JR,Committed,,UAB,Alabama Crimson Tide,90.47,Amos P. Godby,https://www.on3.com/rivals/jaylen-key-58901/
Alabama,Trey Amos,CB,JR,Committed,,Louisiana,Alabama Crimson Tide,89.63,Catholic,https://www.on3.com/rivals/trey-amos-115899/
Alabama,Tre'quon Fegans,CB,FR,Committed,,Alabama,USC Trojans,90.61,Thompson,https://www.on3.com/rivals/trequon-fegans-115442/
Alabama,Jahquez Robinson,CB,JR,Committed,,Alabama,Colorado Buffaloes,86.00,Sandalwood,https://www.on3.com/rivals/jahquez-robinson-53049/
Alabama,Tyler Buchner,QB,RS-FR,Committed,,Notre Dame,Alabama Crimson Tide,87.00,Helix,https://www.on3.com/rivals/tyler-buchner-117404/
Alabama,Tyler Buchner,QB,RS-FR,Entered,4/25/2023,Notre Dame,,87.00,Helix,https://www.on3.com/rivals/tyler-buchner-117404/
Alabama,Jaylen Key,S,RS-JR,Entered,4/24/2023,UAB,,90.47,Amos P. Godby,https://www.on3.com/rivals/jaylen-key-58901/
Alabama,Chase Allen,K,JR,Entered,4/24/2023,Alabama,,,Colleyville Heritage,https://www.on3.com/rivals/chase-allen-20564/
Alabama,Tre'quon Fegans,CB,FR,Entered,4/19/2023,Alabama,,90.61,Thompson,https://www.on3.com/rivals/trequon-fegans-115442/
