School,Name,Position,Year/Class,Status,Date Entered Portal,From Team,To Team,Rating,High School,Profile URL
Akron,Dylan Meeks,EDGE,JR,Entered,9/02/2020,Avatar,Akron,80.77,Dr. Phillips,https://www.on3.com/rivals/dylan-meeks-39976/
Akron,Dylan Meeks,EDGE,JR,Committed,,Avatar,Akron,80.77,Dr. Phillips,https://www.on3.com/rivals/dylan-meeks-39976/
Akron,Jaylen Kelly-Powell,S,RS-SO,Committed,,Avatar,Michigan,91.28,Cass Technical,https://www.on3.com/rivals/jaylen-kelly-powell-58898/
Akron,Brandon Council,OT,RS-JR,Entered,4/10/2020,Akron,,81.99,Jireh Prep,https://www.on3.com/rivals/brandon-council-12358/
Akron,Jaylen Kelly-Powell,S,RS-SO,Entered,1/09/2020,Avatar,Michigan,91.28,Cass Technical,https://www.on3.com/rivals/jaylen-kelly-powell-58898/
Akron,Keyshawn Swanson,CB,FR,Committed,,Akron,Troy Trojans,78.50,West Florida,https://www.on3.com/rivals/keyshawn-swanson-74733/
Akron,Cole Gest,RB,RS-JR,Committed,,Avatar,Indiana,81.93,St. Edward,https://www.on3.com/rivals/cole-gest-24698/
Akron,Cole Gest,RB,RS-JR,Entered,10/10/2019,Avatar,Indiana,81.93,St. Edward,https://www.on3.com/rivals/cole-gest-24698/
Akron,Keyshawn Swanson,CB,FR,Entered,9/24/2019,Akron,,78.50,West Florida,https://www.on3.com/rivals/keyshawn-swanson-74733/
Air Force,Emmanuel Michel,RB,FR,Entered,1/09/2024,Avatar,Air Force,,Archer,https://www.on3.com/rivals/emmanuel-michel-41774/
Air Force,Marquis Brown,RB,FR,Committed,,Avatar,Air Force,,Round Rock,https://www.on3.com/rivals/marquis-brown-84118/
Air Force,Marquis Brown,RB,FR,Entered,5/01/2020,Avatar,Air Force,,Round Rock,https://www.on3.com/rivals/marquis-brown-84118/
Alabama,Chadarius Townsend,RB,RS-SO,Committed,,Alabama,Texas Tech Red Raiders,91.88,Tanner,https://www.on3.com/rivals/chadarius-townsend-19705/
Alabama,Chadarius Townsend,RB,RS-SO,Entered,6/09/2020,Alabama,,91.88,Tanner,https://www.on3.com/rivals/chadarius-townsend-19705/
Alabama,Markail Benton,LB,JR,Entered,6/03/2020,Alabama,,94.03,Central,https://www.on3.com/rivals/markail-benton-83652/
Alabama,Tyrell Shavers,WR,JR,Entered,6/02/2020,Alabama,,94.18,Lewisville,https://www.on3.com/rivals/tyrell-shavers-118590/
Alabama,Taulia Tagovailoa,QB,FR,Entered,5/15/2020,Alabama,Maryland,91.89,Thompson,https://www.on3.com/rivals/taulia-tagovailoa-110451/
Alabama,Taulia Tagovailoa,QB,FR,Committed,,Alabama,Maryland Terrapins,91.89,Thompson,https://www.on3.com/rivals/taulia-tagovailoa-110451/
Alabama,Scooby Carter,CB,FR,Entered,2/27/2020,Alabama,,,Mansfield Legacy,https://www.on3.com/rivals/scooby-carter-105027/
Alabama,Scott Lashley,OT,RS-JR,Entered,1/24/2020,Alabama,Mississippi State,92.13,West Point,https://www.on3.com/rivals/scott-lashley-105128/
Alabama,Jerome Ford,RB,SO,Committed,,Alabama,Cincinnati Bearcats,89.38,Armwood,https://www.on3.com/rivals/jerome-ford-60899/
Alabama,Jerome Ford,RB,SO,Entered,1/09/2020,Alabama,Cincinnati,89.38,Armwood,https://www.on3.com/rivals/jerome-ford-60899/
Alabama,Antonio Alfano,DL,FR,Committed,,Alabama,Colorado Buffaloes,91.63,Colonia,https://www.on3.com/rivals/antonio-alfano-6859/
Alabama,Antonio Alfano,DL,FR,Entered,11/04/2019,Alabama,,91.63,Colonia,https://www.on3.com/rivals/antonio-alfano-6859/
Arizona,Davis DiVall,IOL,FR,Committed,,Baylor,Arizona Wildcats,81.92,Bridgton Academy,https://www.on3.com/rivals/davis-divall-32362/
Arizona,Davis DiVall,IOL,FR,Entered,9/03/2020,Baylor,,81.92,Bridgton Academy,https://www.on3.com/rivals/davis-divall-32362/
Arizona,Colin Schooler,LB,JR,Committed,,Arizona,Texas Tech Red Raiders,86.97,Mission Viejo,https://www.on3.com/rivals/colin-schooler-25084/
Arizona,Colin Schooler,LB,JR,Entered,8/19/2020,Arizona,,86.97,Mission Viejo,https://www.on3.com/rivals/colin-schooler-25084/
Arizona,Aaron Blackwell,DL,RS-SR,Committed,,New Mexico,Arizona Wildcats,75.55,,https://www.on3.com/rivals/aaron-blackwell-338/
Arizona,Aaron Blackwell,DL,RS-SR,Entered,1/18/2020,New Mexico,,75.55,,https://www.on3.com/rivals/aaron-blackwell-338/
Arizona,Samari Springs,CB,JR,Entered,7/26/2019,Avatar,Arizona,,Briar Woods,https://www.on3.com/rivals/samari-springs-104638/
Arizona State,Cody Shear,IOL,JR,Committed,,Avatar,Oregon,84.33,Sheldon,https://www.on3.com/rivals/cody-shear-24417/
Arizona State,Isaiah Floyd,RB,SR,Committed,,Arizona State,Hawaii Rainbow Warriors,83.27,Foothill,https://www.on3.com/rivals/isaiah-floyd-49480/
Arizona State,Brandon Ruiz,K,JR,Entered,6/08/2020,Arizona State,,81.80,Williams Field,https://www.on3.com/rivals/brandon-ruiz-13037/
Arizona State,Brandon Ruiz,K,JR,Committed,,Arizona State,Mississippi State Bulldogs,81.80,Williams Field,https://www.on3.com/rivals/brandon-ruiz-13037/
Arizona State,Zach Robertson,OT,RS-SR,Committed,,Avatar,Arizona State,91.08,Mayfair,https://www.on3.com/rivals/zach-robertson-123006/
Arizona State,DeAndre Pierce,S,RS-JR,Committed,,Boise State,Arizona State Sun Devils,81.90,Long Beach Poly,https://www.on3.com/rivals/deandre-pierce-33031/
Arizona State,Zach Robertson,OT,RS-SR,Entered,5/01/2020,Avatar,Arizona State,91.08,Mayfair,https://www.on3.com/rivals/zach-robertson-123006/
Arizona State,DeAndre Pierce,S,RS-JR,Entered,2/28/2020,Boise State,,81.90,Long Beach Poly,https://www.on3.com/rivals/deandre-pierce-33031/
Arizona State,Isaiah Floyd,RB,SR,Entered,10/22/2019,Arizona State,,83.27,Foothill,https://www.on3.com/rivals/isaiah-floyd-49480/
Arizona State,Vincenzo Granatelli,S,RS-SO,Entered,5/01/2019,Arizona State,,,Oak Park,https://www.on3.com/rivals/vincenzo-granatelli-119808/
Arizona State,Roe Wilkins,DL,SR,Entered,3/06/2019,Avatar,Arizona State,74.05,Hardin-Jefferson,https://www.on3.com/rivals/roe-wilkins-101820/
Arizona State,Cody Shear,IOL,JR,Entered,,Avatar,Oregon,84.33,Sheldon,https://www.on3.com/rivals/cody-shear-24417/
Appalachian State,Zac Crosby,TE,RS-JR,Committed,,Avatar,South Alabama,76.77,The Bolles School,https://www.on3.com/rivals/zac-crosby-122461/
Appalachian State,Josh Headlee,OT,RS-FR,Entered,7/17/2020,Avatar,Appalachian State,76.32,Watauga,https://www.on3.com/rivals/josh-headlee-67194/
Appalachian State,Jacoby Pinckney,WR,FR,Committed,,Virginia Tech,Appalachian State Mountaineers,89.44,Dorman,https://www.on3.com/rivals/jacoby-pinckney-52381/
Appalachian State,Jacoby Pinckney,WR,FR,Entered,3/23/2020,Virginia Tech,,89.44,Dorman,https://www.on3.com/rivals/jacoby-pinckney-52381/
Appalachian State,Zac Crosby,TE,RS-JR,Entered,3/23/2020,Avatar,South Alabama,76.77,The Bolles School,https://www.on3.com/rivals/zac-crosby-122461/
Appalachian State,Mike Price,CB,RS-FR,Entered,1/06/2020,Avatar,Appalachian State,,Stockbridge,https://www.on3.com/rivals/mike-price-89288/
Appalachian State,Mike Price,CB,RS-FR,Committed,,Avatar,Appalachian State,,Stockbridge,https://www.on3.com/rivals/mike-price-89288/
Appalachian State,Brock Mattison,LB,RS-FR,Entered,11/19/2019,Avatar,Appalachian State,77.77,Buford,https://www.on3.com/rivals/brock-mattison-15074/
Arkansas,Jaquayln Crawford,WR,RS-FR,Committed,,Oklahoma,Arkansas Razorbacks,91.89,Rockdale,https://www.on3.com/rivals/jaquayln-crawford-56461/
Arkansas,Jordan  Jones,WR,RS-JR,Committed,,Arkansas,Cincinnati Bearcats,87.83,Smackover,https://www.on3.com/rivals/jordan-jones-138314/
Arkansas,TQ Jackson,WR,FR,Committed,,Arkansas,SMU Mustangs,89.03,Jefferson,https://www.on3.com/rivals/tq-jackson-142892/
Arkansas,Chase Hayden,RB,JR,Entered,5/12/2020,Arkansas,,90.94,St. George's Independent School,https://www.on3.com/rivals/chase-hayden-20712/
Arkansas,Jaquayln Crawford,WR,RS-FR,Entered,5/01/2020,Oklahoma,,91.89,Rockdale,https://www.on3.com/rivals/jaquayln-crawford-56461/
Arkansas,Feleipe Franks,QB,SR,Committed,,Avatar,Florida,95.69,Wakulla,https://www.on3.com/rivals/feleipe-franks-43734/
Arkansas,TQ Jackson,WR,FR,Entered,1/15/2020,Arkansas,SMU,89.03,Jefferson,https://www.on3.com/rivals/tq-jackson-142892/
Arkansas,Jerry Jacobs,CB,JR,Committed,,Avatar,Arkansas State,81.91,South Cobb,https://www.on3.com/rivals/jerry-jacobs-143498/
Arkansas,Nick Starkel,QB,SR,Committed,,Arkansas,San Jose State Spartans,88.67,Liberty Christian,https://www.on3.com/rivals/nick-starkel-93002/
Arkansas,Jared Sackett,K,JR,Entered,1/01/2020,Arkansas,,,Timber Creek,https://www.on3.com/rivals/jared-sackett-56772/
Arkansas,Jerry Jacobs,CB,JR,Entered,1/01/2020,Avatar,Arkansas State,81.91,South Cobb,https://www.on3.com/rivals/jerry-jacobs-143498/
Arkansas,Jordan  Jones,WR,RS-JR,Entered,12/18/2019,Arkansas,Cincinnati,87.83,Smackover,https://www.on3.com/rivals/jordan-jones-138314/
Arkansas,Feleipe Franks,QB,SR,Entered,12/13/2019,Avatar,Florida,95.69,Wakulla,https://www.on3.com/rivals/feleipe-franks-43734/
Arkansas,Nick Starkel,QB,SR,Entered,12/13/2019,Arkansas,,88.67,Liberty Christian,https://www.on3.com/rivals/nick-starkel-93002/
Arkansas,Silas Robinson,IOL,SO,Committed,,Arkansas,Texas State Bobcats,80.20,Yoakum,https://www.on3.com/rivals/silas-robinson-107445/
Arkansas,Silas Robinson,IOL,SO,Entered,12/02/2019,Arkansas,,80.20,Yoakum,https://www.on3.com/rivals/silas-robinson-107445/
