School,Name,Position,Year/Class,Status,Date Entered Portal,From Team,To Team,Rating,High School,Profile URL
Arkansas State,Justin Rice,LB,RS-JR,Committed,,Fresno State,Arkansas State Red Wolves,80.60,Central Catholic,https://www.on3.com/rivals/justin-rice-69714/
Arkansas State,Justin Rice,LB,RS-JR,Entered,8/14/2020,Fresno State,,80.60,Central Catholic,https://www.on3.com/rivals/justin-rice-69714/
Arkansas State,Javan Hawes,WR,JR,Committed,,Cincinnati,Arkansas State Red Wolves,82.77,Sandy Creek,https://www.on3.com/rivals/javan-hawes-57957/
Arkansas State,Nathan Page,S,SO,Committed,,Avatar,Arkansas State,87.00,Joe T. Robinson,https://www.on3.com/rivals/nathan-page-91625/
Arkansas State,Eugene Minter,WR,RS-SO,Entered,5/21/2020,Arkansas State,,82.70,Parker,https://www.on3.com/rivals/eugene-minter-43141/
Arkansas State,Nathan Page,S,SO,Entered,5/21/2020,Avatar,Arkansas State,87.00,Joe T. Robinson,https://www.on3.com/rivals/nathan-page-91625/
Arkansas State,Thomas Toki,DL,SR,Entered,4/23/2020,Avatar,Arkansas State,77.50,St. Francis,https://www.on3.com/rivals/thomas-toki-112483/
Arkansas State,Roshauud Paul,WR,JR,Committed,,Avatar,Texas A&M,89.72,Bremond,https://www.on3.com/rivals/roshauud-paul-102461/
Arkansas State,Roshauud Paul,WR,JR,Entered,3/23/2020,Avatar,Texas A&M,89.72,Bremond,https://www.on3.com/rivals/roshauud-paul-102461/
Arkansas State,Tahj Herring-Wilson,CB,SR,Committed,,Avatar,Connecticut,,Suffield Academy,https://www.on3.com/rivals/tahj-herring-wilson-109761/
Arkansas State,Javan Hawes,WR,JR,Entered,2/01/2020,Cincinnati,,82.77,Sandy Creek,https://www.on3.com/rivals/javan-hawes-57957/
Arkansas State,Jerry Jacobs,CB,JR,Committed,,Avatar,Arkansas State,81.91,South Cobb,https://www.on3.com/rivals/jerry-jacobs-143498/
Arkansas State,Jax Gasaway,OT,SO,Entered,1/01/2020,Avatar,Arkansas State,82.50,Star City,https://www.on3.com/rivals/jax-gasaway-58306/
Arkansas State,Jerry Jacobs,CB,JR,Entered,1/01/2020,Avatar,Arkansas State,81.91,South Cobb,https://www.on3.com/rivals/jerry-jacobs-143498/
Arkansas State,Tahj Herring-Wilson,CB,SR,Entered,12/06/2019,Avatar,Connecticut,,Suffield Academy,https://www.on3.com/rivals/tahj-herring-wilson-109761/
Auburn,Nick Curtis,LB,FR,Committed,,Kent State,Auburn Tigers,,Hoover,https://www.on3.com/rivals/nick-curtis-92423/
Auburn,Justin Osborne,OT,FR,Committed,,Auburn,SMU Mustangs,88.40,IMG Academy,https://www.on3.com/rivals/justin-osborne-69656/
Auburn,Justin Osborne,OT,FR,Entered,8/04/2020,Auburn,,88.40,IMG Academy,https://www.on3.com/rivals/justin-osborne-69656/
Auburn,Nick Curtis,LB,FR,Entered,6/15/2020,Kent State,,,Hoover,https://www.on3.com/rivals/nick-curtis-92423/
Auburn,Cam'Ron Kelly,CB,FR,Committed,,Auburn,North Carolina Tar Heels,91.52,Oscar Smith,https://www.on3.com/rivals/camron-kelly-17472/
Auburn,Cam'Ron Kelly,CB,FR,Entered,3/27/2019,Auburn,,91.52,Oscar Smith,https://www.on3.com/rivals/camron-kelly-17472/
Ball State,Chris Agyemang,EDGE,SR,Committed,,Avatar,Sacred Heart,,Proctor Academy,https://www.on3.com/rivals/chris-agyemang-21245/
Ball State,J.T. Wahee,CB,SR,Committed,,Avatar,Western Illinois,,Lake Taylor,https://www.on3.com/rivals/jt-wahee-50565/
Ball State,J.T. Wahee,CB,SR,Entered,2/03/2020,Avatar,Western Illinois,,Lake Taylor,https://www.on3.com/rivals/jt-wahee-50565/
Ball State,Nolan Givan,TE,RS-JR,Committed,,Avatar,Ball State,79.05,Berkley,https://www.on3.com/rivals/nolan-givan-93868/
Ball State,Chris Agyemang,EDGE,SR,Entered,12/12/2019,Avatar,Sacred Heart,,Proctor Academy,https://www.on3.com/rivals/chris-agyemang-21245/
Ball State,Nolan Givan,TE,RS-JR,Entered,12/01/2019,Avatar,Ball State,79.05,Berkley,https://www.on3.com/rivals/nolan-givan-93868/
Baylor,Bralen Taylor,EDGE,SO,Entered,2/24/2021,Baylor,,,Cuero,https://www.on3.com/rivals/bralen-taylor-12007/
Baylor,Drew Estrada,WR,SR,Entered,12/20/2020,Dartmouth,,,Argyle,https://www.on3.com/rivals/drew-estrada-39016/
Baylor,Drew Estrada,WR,SR,Committed,,Dartmouth,Baylor Bears,,Argyle,https://www.on3.com/rivals/drew-estrada-39016/
Baylor,Davis DiVall,IOL,FR,Committed,,Baylor,Arizona Wildcats,81.92,Bridgton Academy,https://www.on3.com/rivals/davis-divall-32362/
Baylor,Davis DiVall,IOL,FR,Entered,9/03/2020,Baylor,,81.92,Bridgton Academy,https://www.on3.com/rivals/davis-divall-32362/
Baylor,Princeton Pines,IOL,RS-FR,Committed,,Baylor,Sam Houston State Bearkats,83.92,Tara,https://www.on3.com/rivals/princeton-pines-96970/
Baylor,Dillon Doyle,LB,RS-FR,Entered,6/18/2020,Iowa,,85.40,Iowa City West,https://www.on3.com/rivals/dillon-doyle-36997/
Baylor,Dillon Doyle,LB,RS-FR,Committed,,Iowa,Baylor Bears,85.40,Iowa City West,https://www.on3.com/rivals/dillon-doyle-36997/
Baylor,Paul Matavao-Poialii,IOL,FR,Committed,,Baylor,Fresno State Bulldogs,82.93,Jefferson,https://www.on3.com/rivals/paul-matavao-poialii-95758/
Baylor,Paul Matavao-Poialii,IOL,FR,Entered,5/21/2020,Baylor,,82.93,Jefferson,https://www.on3.com/rivals/paul-matavao-poialii-95758/
Baylor,Gunnar Royer,LS,JR,Committed,,IUP,Baylor Bears,,Manheim Central,https://www.on3.com/rivals/gunnar-royer-47220/
Baylor,Deonte Williams,EDGE,RS-JR,Committed,,Baylor,Florida State Seminoles,88.03,Prestonwood Christian,https://www.on3.com/rivals/deonte-williams-34552/
Baylor,Gunnar Royer,LS,JR,Entered,4/06/2020,IUP,,,Manheim Central,https://www.on3.com/rivals/gunnar-royer-47220/
Baylor,Princeton Pines,IOL,RS-FR,Entered,1/23/2020,Baylor,Sam Houston State,83.92,Tara,https://www.on3.com/rivals/princeton-pines-96970/
Baylor,Deonte Williams,EDGE,RS-JR,Entered,1/02/2020,Baylor,,88.03,Prestonwood Christian,https://www.on3.com/rivals/deonte-williams-34552/
Baylor,Peyton Powell,QB,FR,Entered,12/18/2019,Baylor,,90.62,Permian,https://www.on3.com/rivals/peyton-powell-96321/
Boise State,Jordan Happle,S,RS-JR,Committed,,Boise State,Oregon Ducks,80.27,Jesuit,https://www.on3.com/rivals/jordan-happle-65566/
Boise State,Jordan Happle,S,RS-JR,Entered,7/31/2020,Boise State,,80.27,Jesuit,https://www.on3.com/rivals/jordan-happle-65566/
Boise State,Kaiden Bennett,QB,FR,Committed,,Avatar,Boise State,83.13,Folsom,https://www.on3.com/rivals/kaiden-bennett-70564/
Boise State,DeAndre Pierce,S,RS-JR,Committed,,Boise State,Arizona State Sun Devils,81.90,Long Beach Poly,https://www.on3.com/rivals/deandre-pierce-33031/
Boise State,Uzoma Osuji,OT,SR,Committed,,Rice,Boise State Broncos,78.05,Coppell,https://www.on3.com/rivals/uzoma-osuji-119234/
Boise State,Jack Sears,QB,JR,Entered,5/18/2020,USC,,93.62,San Clemente,https://www.on3.com/rivals/jack-sears-51324/
Boise State,Jack Sears,QB,JR,Committed,,USC,Boise State Broncos,93.62,San Clemente,https://www.on3.com/rivals/jack-sears-51324/
Boise State,DeAndre Pierce,S,RS-JR,Entered,2/28/2020,Boise State,,81.90,Long Beach Poly,https://www.on3.com/rivals/deandre-pierce-33031/
Boise State,Brock Miller,LB,SR,Committed,,NC State,Boise State Broncos,81.90,John Carroll,https://www.on3.com/rivals/brock-miller-15078/
Boise State,Brock Miller,LB,SR,Entered,1/07/2020,NC State,,81.90,John Carroll,https://www.on3.com/rivals/brock-miller-15078/
Boise State,Uzoma Osuji,OT,SR,Entered,12/10/2019,Rice,,78.05,Coppell,https://www.on3.com/rivals/uzoma-osuji-119234/
Boise State,Keegan Duncan,LB,FR,Committed,,Avatar,Boise State,84.05,Declo Senior,https://www.on3.com/rivals/keegan-duncan-71773/
Boise State,Keegan Duncan,LB,FR,Entered,8/23/2019,Avatar,Boise State,84.05,Declo Senior,https://www.on3.com/rivals/keegan-duncan-71773/
Boise State,Kaiden Bennett,QB,FR,Entered,8/15/2019,Avatar,Boise State,83.13,Folsom,https://www.on3.com/rivals/kaiden-bennett-70564/
Bowling Green,Bryce Veasley,QB,RS-SO,Entered,7/24/2019,Avatar,Bowling Green,80.27,West Bloomfield,https://www.on3.com/rivals/bryce-veasley-15950/
Boston College,Adam Korutz,DL,SR,Committed,,Avatar,Boston College,79.45,Johnson City Senior,https://www.on3.com/rivals/adam-korutz-1215/
Boston College,Elijah Johnson,OT,SR,Committed,,Avatar,Boston College,80.00,DeMatha Catholic,https://www.on3.com/rivals/elijah-johnson-137144/
Boston College,Elijah Johnson,OT,SR,Entered,5/20/2020,Avatar,Boston College,80.00,DeMatha Catholic,https://www.on3.com/rivals/elijah-johnson-137144/
Boston College,Anthony Brown,QB,RS-JR,Committed,,Boston College,Oregon Ducks,84.20,St. John Vianney,https://www.on3.com/rivals/anthony-brown-5926/
Boston College,Adam Korutz,DL,SR,Entered,3/27/2020,Avatar,Boston College,79.45,Johnson City Senior,https://www.on3.com/rivals/adam-korutz-1215/
Boston College,Phil Jurkovec,QB,RS-FR,Committed,,Notre Dame,Boston College Eagles,94.40,Pine-Richland,https://www.on3.com/rivals/phil-jurkovec-141840/
Boston College,Phil Jurkovec,QB,RS-FR,Entered,1/11/2020,Notre Dame,,94.40,Pine-Richland,https://www.on3.com/rivals/phil-jurkovec-141840/
Boston College,Anthony Brown,QB,RS-JR,Entered,12/09/2019,Boston College,Oregon,84.20,St. John Vianney,https://www.on3.com/rivals/anthony-brown-5926/
Buffalo,Trey Franklin,CB,FR,Entered,1/01/2020,Buffalo,,77.05,Warner Robins,https://www.on3.com/rivals/trey-franklin-116018/
BYU,Mufi Hunt,EDGE,SR,Committed,,Avatar,Utah,85.90,Taylorsville,https://www.on3.com/rivals/mufi-hunt-138864/
BYU,Mufi Hunt,EDGE,SR,Entered,12/22/2020,Avatar,Utah,85.90,Taylorsville,https://www.on3.com/rivals/mufi-hunt-138864/
BYU,Isaiah Herron,CB,RS-FR,Withdrawn,,BYU,BYU,78.27,Arbor View,https://www.on3.com/rivals/isaiah-herron-49547/
BYU,Isaiah Herron,CB,RS-FR,Entered,6/18/2020,BYU,,78.27,Arbor View,https://www.on3.com/rivals/isaiah-herron-49547/
BYU,Devin Kaufusi,EDGE,SO,Committed,,BYU,Utah Utes,82.98,Timpview,https://www.on3.com/rivals/devin-kaufusi-36065/
BYU,Devin Kaufusi,EDGE,SO,Entered,4/08/2020,BYU,,82.98,Timpview,https://www.on3.com/rivals/devin-kaufusi-36065/
California,Curley Young,LB,FR,Entered,3/09/2022,California,,85.63,Hendrickson,https://www.on3.com/rivals/curley-young-27059/
California,Luc Bequette,DL,RS-JR,Entered,9/08/2020,California,,80.75,Little Rock Catholic,https://www.on3.com/rivals/luc-bequette-80289/
California,McCallan Castles,TE,RS-FR,Committed,,California,UC Davis Aggies,89.67,South Tahoe,https://www.on3.com/rivals/mccallan-castles-86861/
California,McCallan Castles,TE,RS-FR,Entered,9/11/2019,California,UC Davis,89.67,South Tahoe,https://www.on3.com/rivals/mccallan-castles-86861/
California,Isaiah Humphries,S,RS-FR,Entered,1/13/2019,California,,88.40,Sachse,https://www.on3.com/rivals/isaiah-humphries-141773/
California,Kekoa Crawford,WR,,Entered,12/18/2018,California,,93.60,Santa Margarita Catholic,https://www.on3.com/rivals/kekoa-crawford-72290/
Central Michigan,Richard Bowens III,S,JR,Committed,,Iowa State,Central Michigan Chippewas,84.93,St. Mary's,https://www.on3.com/rivals/richard-bowens-iii-99898/
Central Michigan,Ty Brock,QB,JR,Committed,,Avatar,Sam Houston State,,College Station,https://www.on3.com/rivals/ty-brock-116946/
Central Michigan,Richard Bowens III,S,JR,Entered,5/08/2020,Iowa State,,84.93,St. Mary's,https://www.on3.com/rivals/richard-bowens-iii-99898/
Central Michigan,Ty Brock,QB,JR,Entered,4/09/2020,Avatar,Sam Houston State,,College Station,https://www.on3.com/rivals/ty-brock-116946/
Charlotte,Cameron Bent,WR,JR,Entered,7/28/2020,Avatar,Charlotte,81.27,Bluffton,https://www.on3.com/rivals/cameron-bent-17636/
Charlotte,Antoine Shaw,EDGE,RS-SO,Entered,4/14/2020,Avatar,Charlotte,74.82,Richmond Senior,https://www.on3.com/rivals/antoine-shaw-6818/
Charlotte,Anthony Butler,LB,SR,Committed,,Avatar,Charlotte,79.27,Chambers,https://www.on3.com/rivals/anthony-butler-5941/
Charlotte,Anthony Butler,LB,SR,Entered,9/09/2019,Avatar,Charlotte,79.27,Chambers,https://www.on3.com/rivals/anthony-butler-5941/
Charlotte,Dominique Shoffner,QB,RS-SO,Entered,,Avatar,Charlotte,81.70,Middle Creek,https://www.on3.com/rivals/dominique-shoffner-37763/
Cincinnati,Javan Hawes,WR,JR,Committed,,Cincinnati,Arkansas State Red Wolves,82.77,Sandy Creek,https://www.on3.com/rivals/javan-hawes-57957/
Cincinnati,Jordan  Jones,WR,RS-JR,Committed,,Arkansas,Cincinnati Bearcats,87.83,Smackover,https://www.on3.com/rivals/jordan-jones-138314/
Cincinnati,Javan Hawes,WR,JR,Entered,2/01/2020,Cincinnati,,82.77,Sandy Creek,https://www.on3.com/rivals/javan-hawes-57957/
Cincinnati,Jerome Ford,RB,SO,Committed,,Alabama,Cincinnati Bearcats,89.38,Armwood,https://www.on3.com/rivals/jerome-ford-60899/
Cincinnati,Jerome Ford,RB,SO,Entered,1/09/2020,Alabama,Cincinnati,89.38,Armwood,https://www.on3.com/rivals/jerome-ford-60899/
Cincinnati,Jordan  Jones,WR,RS-JR,Entered,12/18/2019,Arkansas,Cincinnati,87.83,Smackover,https://www.on3.com/rivals/jordan-jones-138314/
Coastal Carolina,Cincir Evans,LB,RS-FR,Committed,,Coastal Carolina,Memphis Tigers,,White Station,https://www.on3.com/rivals/cincir-evans-23542/
Coastal Carolina,Christian Malloy,RB,RS-FR,Committed,,Georgia Tech,Coastal Carolina Chanticleers,79.00,Parkview,https://www.on3.com/rivals/christian-malloy-23020/
Coastal Carolina,Jeffrey Gunter,EDGE,JR,Committed,,NC State,Coastal Carolina Chanticleers,,Riverside,https://www.on3.com/rivals/jeffrey-gunter-59787/
Coastal Carolina,Kendricks Gladney,S,RS-SR,Committed,,Middle Tennessee State,Coastal Carolina Chanticleers,77.27,Charles Herbert Flowers,https://www.on3.com/rivals/kendricks-gladney-72976/
Coastal Carolina,Jeffrey Gunter,EDGE,JR,Entered,5/13/2020,NC State,,,Riverside,https://www.on3.com/rivals/jeffrey-gunter-59787/
Coastal Carolina,Christian Malloy,RB,RS-FR,Entered,5/04/2020,Georgia Tech,Coastal Carolina,79.00,Parkview,https://www.on3.com/rivals/christian-malloy-23020/
Coastal Carolina,Kendricks Gladney,S,RS-SR,Entered,3/01/2020,Middle Tennessee State,,77.27,Charles Herbert Flowers,https://www.on3.com/rivals/kendricks-gladney-72976/
Coastal Carolina,Cincir Evans,LB,RS-FR,Entered,1/15/2020,Coastal Carolina,,,White Station,https://www.on3.com/rivals/cincir-evans-23542/
Clemson,T.J. Chase,WR,RS-JR,Committed,,Avatar,Clemson,92.51,Plant City,https://www.on3.com/rivals/tj-chase-109440/
Clemson,T.J. Chase,WR,RS-JR,Entered,1/20/2020,Avatar,Clemson,92.51,Plant City,https://www.on3.com/rivals/tj-chase-109440/
Colorado,Nigel Bethel,CB,SO,Entered,1/06/2020,Colorado,,82.80,Northwestern,https://www.on3.com/rivals/nigel-bethel-93254/
Colorado,Antonio Alfano,DL,FR,Committed,,Alabama,Colorado Buffaloes,91.63,Colonia,https://www.on3.com/rivals/antonio-alfano-6859/
Colorado,Antonio Alfano,DL,FR,Entered,11/04/2019,Alabama,,91.63,Colonia,https://www.on3.com/rivals/antonio-alfano-6859/
Colorado,Mikial Onu,S,SR,Entered,8/01/2019,Avatar,Colorado,78.77,George Ranch,https://www.on3.com/rivals/mikial-onu-89597/
Colorado,Ben Schrider,LB,SR,Entered,3/29/2019,Avatar,Colorado,,St. Mary's,https://www.on3.com/rivals/ben-schrider-9986/
Colorado,Arlington Hambright,OT,SR,Entered,2/18/2019,Colorado,,87.40,Belleville High School,https://www.on3.com/rivals/arlington-hambright-7480/
Colorado,Legend Brumbaugh,TE,,Entered,2/12/2019,Avatar,Colorado,78.27,Trinity Christian Academy,https://www.on3.com/rivals/legend-brumbaugh-78862/
Colorado,Jauntavius Johnson,DL,SR,Entered,1/13/2019,Avatar,Colorado,88.43,Lincoln,https://www.on3.com/rivals/jauntavius-johnson-137901/
Colorado,Janaz Jordan,DL,RS-SO,Entered,12/19/2018,Colorado,,83.19,Bethel,https://www.on3.com/rivals/janaz-jordan-142507/
Connecticut,Winston Jules,CB,FR,Entered,5/01/2022,Avatar,Connecticut,,Salisbury School,https://www.on3.com/rivals/winston-jules-144396/
Connecticut,Micah Leon,QB,JR,Entered,2/10/2022,Connecticut,,,American Heritage B/D,https://www.on3.com/rivals/micah-leon-87176/
Connecticut,Tahj Herring-Wilson,CB,SR,Committed,,Avatar,Connecticut,,Suffield Academy,https://www.on3.com/rivals/tahj-herring-wilson-109761/
