RK,NAME,TEAM,ATT,YDS,AVG,LNG,TD
1,Chuba Hubbard,OKST,328,2094,6.4,92,21
2,Malcolm Perry,NAVY,295,2017,6.8,70,21
3,J.K. Dobbins,OSU,301,2003,6.7,68,21
3,Jonathan Taylor,WIS,320,2003,6.3,72,21
5,Jaret Patterson,BUFF,312,1799,5.8,82,19
6,AJ Dillon,BC,318,1685,5.3,61,14
7,Travis Etienne Jr.,CLEM,207,1614,7.8,90,19
8,Javian Hawkins,LOU,264,1525,5.8,66,9
9,Darrynton Evans,APP,255,1480,5.8,87,18
10,LeVante Bellamy,WMU,266,1472,5.5,75,23
11,Lynn Bowden Jr.,UK,185,1468,7.9,61,13
12,Kenneth Gainwell,MEM,231,1459,6.3,75,13
13,Tra Barnett,GAST,248,1453,5.9,56,12
14,Zack Moss,UTAH,235,1416,6.0,91,15
15,Clyde Edwards-Helaire,LSU,215,1414,6.6,89,16
16,Brenden Knox,MRSH,270,1387,5.1,43,11
17,Kylin Hill,MSST,242,1350,5.6,62,10
18,Jalen Hurts,OKLA,233,1298,5.6,52,20
18,Josh Johnson,ULM,201,1298,6.5,53,11
20,Xavier Jones,SMU,244,1276,5.2,64,23
21,Caleb Huntley,BALL,248,1275,5.1,54,12
22,Michael Warren II,CIN,261,1265,4.8,73,14
22,Xazavian Valladay,WYO,247,1265,5.1,62,6
24,Charles Williams,UNLV,212,1257,5.9,80,11
25,Najee Harris,ALA,209,1224,5.9,31,13
26,CJ Verdell,ORE,197,1220,6.2,89,8
27,D'Andre Swift,UGA,196,1218,6.2,47,7
28,Gaej Walker,WKU,241,1208,5.0,68,8
29,Bryant Koback,TOL,195,1187,6.1,75,12
30,Rodney Smith,MINN,228,1163,5.1,64,8
31,Elijah Mitchell,UL,198,1147,5.8,44,16
32,Cam Akers,FSU,231,1144,5.0,50,14
33,Rakeem Boyd,ARK,184,1133,6.2,86,8
34,Jonathan Ward,CMU,183,1108,6.1,86,15
35,Jason Huntley,NMSU,154,1090,7.1,57,9
36,CJ Marable,CCU,204,1085,5.3,75,11
37,Eno Benjamin,ASU,253,1083,4.3,33,10
38,Kobe Lewis,CMU,182,1074,5.9,75,12
39,Benny LeMay,CLT,193,1072,5.6,65,9
40,Justin Henderson,LAT,188,1062,5.6,75,15
41,Joshua Kelley,UCLA,229,1060,4.6,54,12
42,Tra Minter,USA,193,1057,5.5,49,5
43,Kadin Remsberg,AFA,181,1050,5.8,29,8
44,Shamari Brooks,TLSA,227,1046,4.6,64,6
45,Asher O'Hara,MTSU,199,1044,5.2,53,9
46,Pooka Williams Jr.,KU,203,1042,5.1,65,3
47,Frankie Hickson,LIB,187,1041,5.6,66,12
48,Kevin Marks Jr.,BUFF,227,1035,4.6,70,8
49,Ke'Shawn Vaughn,VAN,198,1028,5.2,75,9
50,John Rhys Plumlee,MISS,154,1023,6.6,75,12
51,Tre Harbison,NIU,230,1021,4.4,40,8
52,Salvon Ahmed,WASH,188,1020,5.4,89,11
53,George Holani,BSU,192,1014,5.3,50,7
54,Kevin Mensah,CONN,226,1013,4.5,58,9
55,Kennedy Brooks,OKLA,155,1011,6.5,48,6
56,Michael Carter,UNC,177,1003,5.7,60,3
57,Elijah Collins,MSU,222,988,4.4,58,5
58,Sincere McCormick,UTSA,177,983,5.6,54,8
59,Isaiah Spiller,TA&M,174,946,5.4,85,10
60,Ray Davis,TEM,193,936,4.8,55,8
61,Javonte Williams,UNC,166,933,5.6,40,5
62,Gerold Bright,USU,182,921,5.1,67,9
63,Christopher Brooks,CAL,208,914,4.4,54,8
64,Miles Reed,HAW,174,908,5.2,31,8
65,DK Billingsley,TROY,155,901,5.8,70,10
66,Ronnie Rivers,FRES,177,899,5.1,55,13
66,Jordan Mason,GT,172,899,5.2,48,7
68,Breece Hall,ISU,186,897,4.8,75,9
69,Journey Brown,PSU,129,890,6.9,85,12
70,Raymond Calais,UL,117,886,7.6,83,6
71,Alex Fontenot,COLO,185,874,4.7,32,5
72,Artavis Pierce,ORST,146,873,6.0,53,6
73,O'Shaan Allison,OHIO,138,869,6.3,54,6
74,Anthony Jones,FIU,187,867,4.6,65,9
74,Nathan Rourke,OHIO,154,867,5.6,72,13
76,Tony Jones Jr.,ND,144,857,6.0,84,6
77,Bilal Ally,MASS,166,853,5.1,63,7
77,Tre Siggers,UNT,152,853,5.6,53,6
77,Keaontay Ingram,TEX,144,853,5.9,68,7
80,Moe Neal,SYR,170,846,5.0,45,7
81,Stevie Scott,IND,178,845,4.7,57,10
82,David Bailey,BC,148,844,5.7,74,7
83,Deshawn McClease,VT,177,843,4.8,45,7
84,Cameron Scarlett,STAN,201,840,4.2,45,7
85,Taven Birdow,AFA,180,839,4.7,41,7
86,Ahmari Davis,UNM,140,832,5.9,67,7
87,Larry Rountree III,MIZ,186,829,4.5,41,9
88,Asim Rose Jr.,UK,149,826,5.5,63,6
89,Wesley Kennedy III,GASO,119,824,6.9,71,11
90,Darius Anderson,TCU,151,823,5.4,77,6
91,Trey Ragas,UL,116,820,7.1,75,11
91,Marcel Murray,ARST,170,820,4.8,57,6
93,Max Borghi,WSU,127,817,6.4,56,11
94,Toa Taua,NEV,196,807,4.1,27,6
95,J.D. King,GASO,185,804,4.3,31,8
96,Caleb Evans,ULM,140,794,5.7,67,12
97,Master Teague,OSU,135,789,5.8,73,4
98,Joshua Mack,LIB,133,774,5.8,63,7
99,Aston Walter,RICE,145,771,5.3,64,8
100,Bryce Perkins,UVA,227,769,3.4,67,11
101,Chris Reynolds,CLT,153,767,5.0,36,6
102,SaRodorick Thompson Jr.,TTU,160,765,4.8,58,12
103,JaTarvious Whitlow,AUB,156,763,4.9,39,10
104,Justin McMillan,TULN,169,745,4.4,41,12
104,Dedrick Mills,NEB,143,745,5.2,61,10
104,Bam Knight,NCST,136,745,5.5,53,5
104,Timothy Jackson,AFA,122,745,6.1,64,6
108,Shakif Seymour,TOL,154,741,4.8,35,5
108,Jaylon Bester,M-OH,171,741,4.3,59,14
110,James Gilbert,KSU,141,737,5.2,51,6
111,Javon Leake,MD,102,736,7.2,64,8
112,Jamale Carothers,NAVY,111,734,6.6,75,14
113,Shai Werts,GASO,171,733,4.3,64,5
114,Isiah Pacheco,RUTG,169,729,4.3,57,7
115,Otis Anderson,UCF,113,726,6.4,54,5
115,Zach Charbonnet,MICH,149,726,4.9,41,11
115,Walter Fletcher,BALL,132,726,5.5,73,5
118,Jerrion Ealy,MISS,104,722,6.9,78,6
119,J.J. Taylor,ARIZ,148,721,4.9,40,5
120,Shaq Vann,EMU,149,715,4.8,35,8
