RK,NAME,TEAM,PUNTS,YDS,LNG,AVG,NET
1,Bryce Baringer,MSU,50,2450,72,49.0,45.7
2,Jeremy Crawshaw,FLA,35,1678,67,47.9,44.8
3,Kyle Ulbrich,MTSU,67,3157,72,47.1,42.5
4,Michael Turk,OU,63,2948,67,46.8,43.1
5,Ben Kiernan,UNC,48,2245,70,46.8,43.1
6,Mason Fletcher,CIN,63,2913,84,46.2,44.3
7,Luke Loecher,ORST,36,1663,64,46.2,42.2
8,Ryan Rehkow,BYU,40,1847,71,46.2,41.9
9,Kai Kroeger,SC,58,2675,79,46.1,42.8
10,Jack Browning,SDSU,68,3135,63,46.1,42.3
11,Eddie Czaplicki,ASU,50,2299,75,46.0,38.7
12,Joe Doyle,MEM,49,2249,64,45.9,39.1
13,Daniel Sparks,MINN/UVA,47,2152,63,45.8,37.0
14,Kyle Ostendorp,ARIZ,34,1546,64,45.5,39.6
15,Tory Taylor,IOWA,82,3725,70,45.4,41.6
16,Riley Thompson,FAU,61,2770,71,45.4,41.7
17,Jesse Mirco,OSU,49,2223,77,45.4,41.2
18,Matthew Hayball,VAN/FAU,59,2676,65,45.4,38.1
19,Lou Hedley,MIA,47,2131,61,45.3,42.6
20,Kyle Greenwell,UAB,44,1992,60,45.3,38.2
21,Jamieson Sheahan,CAL,65,2934,65,45.1,40.1
22,Colton Spangler,MD,56,2527,63,45.1,42.5
23,Lucas Dean,UTSA,41,1847,76,45.0,42.3
24,Logan Ward,OKST,37,1665,63,45.0,41.7
25,Mark Vassett,LOU,52,2321,68,44.6,40.7
26,Jay Bramblett,LSU,49,2181,66,44.5,39.1
27,Ty Zentner,KSU,59,2625,72,44.5,41.9
28,Joshua Sloan,UTEP,45,1998,64,44.4,39.7
29,James Evans,IU,75,3325,69,44.3,41.1
30,Austin McNamara,TTU,50,2215,65,44.3,40.0
31,Barney Amor,PSU,54,2391,60,44.3,41.0
32,Aaron Rodriguez,UNM,81,3578,63,44.2,40.5
33,Clayton Stewart,WYO,76,3350,67,44.1,37.7
34,Brian Buschini,NEB,68,2995,74,44.0,39.9
35,Adam Korsak,RUTG,75,3297,77,44.0,43.6
36,Andy Vujnovich,WISC,63,2768,64,43.9,39.2
37,Devyn McCormick,ULM,60,2636,62,43.9,35.5
38,Jon Sot,ND,49,2151,75,43.9,41.0
39,Mitchell Tomasek,EMU,50,2194,63,43.9,39.0
40,Tom Hutton,OKST,44,1929,53,43.8,38.7
41,Riley Riethman,NAVY,45,1970,66,43.8,40.6
42,Lachlan Wilson,TLSA,58,2539,74,43.8,38.9
43,Oscar Chapman,AUB,57,2494,61,43.8,42.3
44,Laine Wilkins,HOU,40,1749,67,43.7,40.5
45,Ryan Hanson,ARST,48,2098,68,43.7,40.6
46,Ryan Bujcevski,SMU,40,1747,64,43.7,41.0
47,David Shanahan,GT,73,3172,65,43.5,32.9
48,Mitch McCarthy,UCF,40,1737,60,43.4,40.4
49,Rhys Byrns,UL,52,2258,60,43.4,39.6
50,Stephen Kotsanlee,USU,67,2906,60,43.4,39.7
51,Sam Clark,JMU,50,2161,65,43.2,39.2
52,Porter Wilson,DUKE,46,1984,64,43.1,40.2
53,Ethan Duane,ODU,68,2930,59,43.1,41.4
54,Jack Brooks,USA,57,2455,58,43.1,38.4
55,Luke Elzinga,CMU,55,2367,65,43.0,40.1
56,Anthony Beck II,GASO,51,2194,59,43.0,37.5
57,Anthony Venneri,BUFF,43,1849,64,43.0,35.0
58,Bailey Rice,CLT,46,1965,57,42.7,41.0
59,Jack Ansell,PUR,55,2348,67,42.7,38.7
60,Mason Hunt,USM,70,2983,63,42.6,39.4
61,Oliver Straw,WVU,49,2084,63,42.5,41.3
62,Marshall Nichols,UNLV,59,2504,56,42.4,38.9
63,Nick Haberer,WSU,59,2502,62,42.4,41.1
64,Dom Dzioban,M-OH,74,3136,67,42.4,40.4
65,Jack Stonehouse,MIZ,47,1988,68,42.3,38.8
66,James Burnip,ALA,44,1861,58,42.3,39.9
67,Brad Robbins,MICH,43,1818,64,42.3,41.2
68,Matt Freem,NEV,50,2113,70,42.3,39.2
69,Aidan Swanson,CLEM,62,2620,67,42.3,38.0
70,Tyler Perkins,ISU,50,2112,61,42.2,41.2
71,Tom Ellard,WKU,44,1858,64,42.2,40.0
72,Daton Montiel,FIU,69,2907,64,42.1,39.8
73,Fraser Masin,MISS,41,1727,65,42.1,39.4
74,Mike Rivers,TROY,62,2610,56,42.1,38.9
75,Michael Hayes II,GAST,57,2394,57,42.0,39.7
75,Daniel Trejo,TEX,45,1890,61,42.0,39.9
77,Nick Mihalic,WMU,70,2934,59,41.9,38.2
78,Alex Mastromanno,FSU,34,1422,53,41.8,37.9
79,James Ferguson-Reynolds,BOIS,63,2631,61,41.8,38.1
80,Nik Constantinou,TA&M,62,2588,57,41.7,40.5
81,Ryan Sanborn,STAN,57,2376,59,41.7,39.0
82,Casey Glover,TULN,46,1917,65,41.7,38.7
83,Peter Moore,VT,73,3042,67,41.7,40.1
84,Carson King,FRES,52,2161,64,41.6,38.6
85,Aidan Alves,LIB,61,2533,64,41.5,38.2
86,Issac Power,BAY,41,1702,59,41.5,38.0
87,Lucas Borrow,BALL,66,2735,65,41.4,37.9
88,Shane McDonough,NCST,40,1656,59,41.4,36.9
89,Danny Longman,BC,60,2462,76,41.0,39.8
90,Luke Akers,NU,45,1846,56,41.0,37.8
91,Conor Hunt,RICE,49,2007,64,41.0,37.0
92,Trent Carrizosa,COLO,46,1877,52,40.8,36.5
93,Seamus O'Kelly,TXST,73,2978,68,40.8,38.2
94,Tom Foley,NIU,47,1917,61,40.8,38.7
95,Ivan Mora,WAKE,40,1630,55,40.8,38.8
96,Matthew Shipley,HAW,63,2567,63,40.7,36.7
97,Noah Gettman,AKR/SHU,61,2478,62,40.6,36.7
98,Mark Crawford,MINN,46,1868,55,40.6,38.2
99,Austin McCready,LT,34,1380,58,40.6,37.2
100,Josh Carlson,NMSU,56,2267,54,40.5,39.9
101,Luke Larsen,ECU,44,1779,55,40.4,37.8
102,Bernardo Rodriguez,UNT,53,2142,56,40.4,39.8
103,Josh Smith,KENT,43,1737,53,40.4,38.4
104,George Georgopoulos,MSST,36,1453,56,40.4,37.7
105,Mackenzie Morgan,TEM,58,2320,55,40.0,38.7
105,Hugh Robertson,ILL,61,2440,64,40.0,37.4
107,Reis Vernon,KU,35,1397,60,39.9,36.1
108,Jordy Sandy,TCU,63,2512,59,39.9,38.2
109,Max Von Marburg,SYR,52,2071,55,39.8,35.9
110,George Caratan,CONN,67,2660,55,39.7,36.8
111,Jack Bouwmeester,UTAH,39,1528,52,39.2,38.5
112,Paddy Turner,CSU,66,2581,56,39.1,37.6
113,Paxton Brooks,TENN,38,1486,54,39.1,38.6
114,Jonathon Batzke,TOL,66,2577,91,39.0,37.2
115,Clayton Howell,APP,43,1669,51,38.8,35.8
116,Evan Crenshaw,CCU,51,1975,54,38.7,36.3
117,John McConnell,MRSH,71,2736,64,38.5,35.5
