RK,NAME,TEAM,REC,YDS,AVG,LNG,TD
1,DeVonta Smith,ALA,117,1856,15.9,66,23
2,Elijah Moore,MISS,86,1193,13.9,91,8
3,Jaelon Darden,UNT,74,1190,16.1,75,19
4,Dax Milne,BYU,70,1188,17.0,78,8
5,Jonathan Adams,ARST,79,1111,14.1,52,12
6,Dyami Brown,UNC,55,1099,20.0,87,8
7,Jalen Tolbert,USA,64,1085,17.0,73,8
8,Calvin Austin III,MEM,63,1053,16.7,65,11
9,Marlon Williams,UCF,71,1039,14.6,85,10
10,Amari Rodgers,CLEM,77,1020,13.2,83,7
11,Romeo Doubs,NEV,58,1002,17.3,65,9
12,Jaivon Heiligh,CCU,65,998,15.4,54,10
13,Kadarius Toney,FLA,70,984,14.1,57,10
14,Jaylon Robinson,UCF,55,979,17.8,70,6
15,Jaquarii Roberson,WAKE,62,926,14.9,80,8
16,Tylan Wallace,OKST,59,922,15.6,55,6
17,John Metchie III,ALA,55,916,16.7,78,6
18,Zay Flowers,BC,56,892,15.9,77,9
19,Jahan Dotson,PSU,52,884,17.0,75,8
20,Cornell Powell,CLEM,53,882,16.6,70,7
21,Dez Fitzpatrick,LOU,43,833,19.4,82,3
22,Treylon Burks,ARK,51,820,16.1,68,7
23,Sam Pinckney,GAST,47,815,17.3,65,7
24,Mike Harley Jr.,MIAMI,57,799,14.0,89,7
25,Dee Eskridge,WMU,34,784,23.1,85,8
26,Xavier Hutchinson,ISU,64,771,12.0,65,4
27,Kyle Pitts Sr.,FLA,43,770,17.9,71,12
28,Gunner Romney,BYU,39,767,19.7,52,2
29,Seth Williams,AUB,47,760,16.2,58,4
30,Kaylon Geiger,TROY,64,752,11.8,51,3
31,Erik Ezukanma,TTU,46,748,16.3,57,6
32,Tahj Washington,MEM,43,743,17.3,92,6
33,Emeka Emezie,NCST,47,738,15.7,55,5
34,Kayshon Boutte,LSU,45,735,16.3,47,5
35,Taj Harris,SYR,58,733,12.6,79,5
36,Terrace Marshall Jr.,LSU,48,731,15.2,75,10
37,Chris Olave,OSU,50,729,14.6,56,7
38,Bailey Gaither,SJSU,41,725,17.7,69,4
39,Garrett Wilson,OSU,43,723,16.8,65,6
40,Ty Fryfogle,IU,37,721,19.5,65,7
41,Khalil Shakir,BSU,52,719,13.8,52,6
42,Jaden Walley,MSST,52,718,13.8,51,2
43,Javon McKinley,ND,42,717,17.1,53,3
44,Zakhari Franklin,UTSA,49,694,14.2,52,7
45,Jacob Cowing,UTEP,41,691,16.9,82,3
46,Hunter Long,BC,57,685,12.0,36,5
47,Dazz Newsome,UNC,54,684,12.7,75,6
48,Rashee Rice,SMU,48,683,14.2,55,5
49,Jordan Addison,PITT,60,666,11.1,75,4
50,Justin Hall,BALL,49,665,13.6,66,4
51,Kawaan Baker,USA,51,659,12.9,80,8
52,Keylon Stokes,TLSA,46,644,14.0,49,3
52,Billy Kemp IV,UVA,67,644,9.6,29,1
54,Bo Melton,RUTG,47,638,13.6,66,6
55,Anthony Schwartz,AUB,54,636,11.8,91,3
56,DJ Turner,MD/PITT,44,634,14.4,64,3
57,Shi Smith,SC,57,633,11.1,36,4
58,Tre Walker,SJSU,45,627,13.9,55,4
59,Tutu Atwell,LOU,46,625,13.6,66,7
59,David Bell,PUR,53,625,11.8,89,8
61,Michael Woods II,ARK,32,619,19.3,82,5
62,Thomas Hennigan,APP,47,616,13.1,51,3
63,Marvin Mims Jr.,OU,37,610,16.5,61,9
63,Jason Brownlee,USM,34,610,17.9,88,5
65,Yo'Heinz Tyler,BALL,42,607,14.5,64,8
66,Cole Turner,NEV,49,605,12.3,50,9
67,Neil Pau'u,BYU,45,603,13.4,35,4
68,Isaiah Likely,CCU,30,601,20.0,75,5
69,Tyrice Richie,NIU,53,597,11.3,43,4
70,Tayvion Robinson,VT,38,592,15.6,60,3
71,Charlie Kolar,ISU,44,591,13.4,44,7
71,Jaylen Waddle,ALA,28,591,21.1,90,4
73,Trevon Grimes,FLA,38,589,15.5,50,9
74,Travis Etienne Jr.,CLEM,48,588,12.3,46,2
75,Antonio Nunn,BUFF,37,584,15.8,82,2
75,Jarrin Pierce,MTSU,59,584,9.9,44,3
75,Marcell Barbee,TXST,40,584,14.6,43,10
78,Donavon Greene,WAKE,29,582,20.1,41,2
79,Sean Dykes,MEM,47,581,12.4,48,7
80,Blake Proehl,ECU,47,577,12.3,75,4
81,Brevin Jordan,MIAMI,38,576,15.2,76,7
82,Simi Fehoko,STAN,37,574,15.5,47,3
83,Dillon Stoner,OKST,42,573,13.6,75,4
84,Ainias Smith,TA&M,43,564,13.1,54,6
85,Winston Wright,WVU,47,553,11.8,70,2
86,Joshua Cephus,UTSA,58,547,9.4,35,5
88,Cam Johnson,VAN,56,545,9.7,40,3
89,JuanCarlos Santana,TLSA,34,544,16.0,57,4
90,Dahu Green,ARST,32,542,16.9,49,5
91,Jacob Harris,UCF,30,539,18.0,55,8
92,Kylen Granson,SMU,35,536,15.3,42,5
92,Malik Williams,APP,41,536,13.1,62,3
94,Reggie Todd,TROY,43,530,12.3,48,6
94,Theo Wease Jr.,OU,37,530,14.3,48,4
96,Thayer Thomas,NCST,42,529,12.6,37,6
96,Tre Turner,VT,34,529,15.6,55,3
98,Kenny Yeboah,MISS,27,524,19.4,68,6
98,Tyler Snead,ECU,53,524,9.9,46,5
100,DJ Stubbs,LIB,38,523,13.8,53,3
101,Jalen Cropper,FRES,37,520,14.1,59,5
102,Greg Dulcich,UCLA,26,517,19.9,69,5
102,Deonte Simpson,UNT,25,517,20.7,55,4
104,Jalen Nailor,MSU,26,515,19.8,75,4
104,Lavel Davis Jr.,UVA,20,515,25.8,90,5
106,Kearis Jackson,UGA,36,514,14.3,49,3
107,George Pickens,UGA,36,513,14.3,51,6
108,Duece Watts,TULN,31,512,16.5,52,6
109,Justin Garrett,UTEP,38,510,13.4,38,3
110,Ramaud Chiaokhiao-Bowman,NW,41,508,12.4,36,5
110,Hassan Beydoun,EMU,40,508,12.7,66,0
112,Brandon Bowling,ARST,39,507,13.0,47,7
113,Jalen Wydermyer,TA&M,46,506,11.0,32,6
114,Osirus Mitchell,MSST,47,505,10.7,43,4
115,Drake London,USC,33,502,15.2,65,3
116,Josh Johnson,TLSA,38,499,13.1,66,6
117,R.J. Sneed II,BAY,39,497,12.7,39,3
118,Whop Philyor,IU,54,495,9.2,63,3
119,Parker Washington,PSU,36,489,13.6,49,6
120,Quentin Johnston,TCU,22,487,22.1,76,2
121,Tim Jones,USM,30,480,16.0,74,4
122,Amon-Ra St. Brown,USC,41,478,11.7,48,7
123,Devin Carter,NCST,29,477,16.4,39,2
124,Joshua Palmer,TENN,33,475,14.4,36,4
125,Reggie Roberson Jr.,SMU,22,474,21.5,85,5
126,Josh Ali,UK,54,473,8.8,33,1
127,Rashod Bateman,MINN,36,472,13.1,39,2
127,Joshua Moore,TEX,30,472,15.7,78,9
129,Brennan Eagles,TEX,28,469,16.8,59,5
130,Austin Watkins Jr.,UAB,34,468,13.8,56,3
131,Wan'Dale Robinson,NEB,51,461,9.0,38,1
132,CJ Lewis,BC,28,460,16.4,37,5
133,Kwamie Lassiter II,KU,43,458,10.7,48,2
133,Keke Chism,MIZ,35,458,13.1,29,1
135,Yusuf Ali,MTSU,37,457,12.4,32,2
136,Antwan Davis,BALL,39,456,11.7,33,1
137,Isaiah McKoy,KENT,25,455,18.2,75,5
138,Corey Rucker,ARST,16,453,28.3,69,5
139,Kevin Shaa,LIB,25,450,18.0,83,4
139,Michael Mayer,ND,42,450,10.7,29,2
141,Danny Gray,SMU,33,448,13.6,62,4
142,Cornelius McCoy,GAST,31,447,14.4,57,4
143,Adrian Hardy,LT,33,440,13.3,32,4
144,Ben Skowronek,ND,29,439,15.1,73,5
144,Jalen Camp,GT,29,439,15.1,59,4
144,Jeff Foreman,ARST,13,439,33.8,84,3
147,Myron Mitchell,UAB,29,436,15.0,63,3
148,Jacob Copeland,FLA,23,435,18.9,42,3
148,Jaelen Gill,BC,29,435,15.0,48,1
148,James Mitchell,VT,26,435,16.7,57,4
151,Deuce Vaughn,KSU,25,434,17.4,77,2
152,Chris Autman-Bell,MINN,22,430,19.5,45,1
153,Isaiah Winstead,TOL,25,429,17.2,55,3
153,Isaac Rex,BYU,37,429,11.6,36,12
155,Tank Dell,HOU,29,428,14.8,54,3
156,Kyle Williams,UNLV,35,426,12.2,35,2
157,Najee Harris,ALA,43,425,9.9,26,4
157,Nick Muse,SC,30,425,14.2,35,1
157,Jha'Quan Jackson,TULN,31,425,13.7,42,8
160,Terrell Jana,UVA,36,423,11.8,49,1
161,Tyler Page,SMU,39,422,10.8,44,2
161,Austin Stogner,OU,26,422,16.2,41,3
163,Jalen Wayne,USA,33,418,12.7,49,1
164,Dontario Drummond,MISS,25,417,16.7,48,7
165,Bryce Ford-Wheaton,WVU,27,416,15.4,58,3
166,Tanner Knue,EMU,27,413,15.3,71,4
167,Cary Angeline,NCST,27,412,15.3,34,6
168,Tony Poljan,UVA/CMU,38,411,10.8,28,6
169,Corey Gammage,MRSH,35,409,11.7,46,4
169,Chase Lane,TA&M,29,409,14.1,51,2
171,Jeremiah Haydel,TXST,40,408,10.2,75,4
172,Jayden Reed,MSU,33,407,12.3,55,3
173,Tyler Vaughns,USC,33,406,12.3,42,3
173,Amir Abdur-Rahman,VAN,27,406,15.0,46,1
175,Taylor Morin,WAKE,32,405,12.7,46,3
175,C.J. Johnson,ECU,19,405,21.3,75,6
177,Xavier Gaines,MRSH,28,404,14.4,70,4
177,Jermaine Burton,UGA,27,404,15.0,49,3
179,Mark Pope,MIAMI,33,403,12.2,39,2
180,T.J. Simmons,WVU,23,401,17.4,41,4
180,Ronnie Bell,MICH,26,401,15.4,52,1
182,Victor Tucker,CLT,30,400,13.3,48,2
183,Damon Hazelton,MIZ,30,397,13.2,33,1
183,Jaray Jenkins,LSU,23,397,17.3,47,2
185,Tray Eafford,TROY,34,394,11.6,55,3
186,Ryan O'Keefe,UCF,20,391,19.5,93,3
187,Skyy Moore,WMU,25,388,15.5,56,3
188,Khalil McClain,TROY,32,383,12.0,40,6
189,Ontaria Wilson,FSU,30,382,12.7,69,2
190,Jonathan Mingo,MISS,27,379,14.0,37,3
191,Shameen Jones,RUTG,34,378,11.1,38,3
191,Anthony Queeley,SYR,37,378,10.2,32,2
193,Malik Davis,FLA,31,377,12.2,39,0
193,Mitchell Tinsley,WKU,43,377,8.8,38,4
195,Xavier Lane,WKU,34,376,11.1,51,1
195,Braylon Sanders,MISS,15,376,25.1,81,4
197,Sam Crawford,TLSA,28,374,13.4,54,1
198,Austin Williams,MSST,43,372,8.7,24,3
199,Chris Pierce Jr.,VAN,25,371,14.8,58,5
199,Jadan Blue,TEM,41,371,9.0,35,5
201,Randle Jones,TEM,31,370,11.9,75,2
201,Kyle Philips,UCLA,38,370,9.7,21,2
201,Joshua Simon,WKU,33,370,11.2,40,3
201,Braden Smith,LOU,27,370,13.7,63,0
205,Braden Galloway,CLEM,27,369,13.7,49,2
206,Arik Gilbert,LSU,35,368,10.5,25,2
207,Josh Pederson,ULM,32,367,11.5,26,0
208,Kyric McGowan,NW,34,366,10.8,33,0
209,Dontay Demus Jr.,MD,24,365,15.2,43,4
210,Kyren Lacy,UL,28,364,13.0,36,4
211,DeMario Douglas,LIB,32,363,11.3,46,3
211,Keric Wheatfall,FRES,23,363,15.8,46,1
213,Jalen Williams,UL,20,360,18.0,51,4
214,Eli Stove,AUB,44,359,8.2,38,3
215,Jake Bobo,DUKE,32,358,11.2,26,1
215,Dee Wiggins,MIAMI,31,358,11.5,40,3
217,Javon Ivory,MEM,23,356,15.5,51,3
218,Jack Sorenson,M-OH,18,354,19.7,61,4
219,Josh Whyle,CIN,28,353,12.6,30,6
220,Keith Corbin III,HOU,27,352,13.0,33,1
221,Austin Ogunmakin,UNT,23,349,15.2,38,1
221,Jalon Calhoun,DUKE,39,349,8.9,34,2
223,CT Thomas,BSU,20,347,17.4,75,2
224,Ihmir Smith-Marsette,IOWA,25,345,13.8,53,4
225,Travell Harris,WSU,29,340,11.7,29,2
226,Briley Moore,KSU/UNI,22,338,15.4,66,3
227,Renard Bell,WSU,33,337,10.2,44,2
227,Jayshon Jackson,CIN,27,337,12.5,45,1
227,Khafre Brown,UNC,15,337,22.5,76,2
