RK,NAME,TEAM,REC,YDS,AVG,LNG,TD
1,Harold Fannin Jr.,BGSU,117,1555,13.3,65,10
2,Nick Nash,SJSU,104,1382,13.3,45,16
3,Tetairoa McMillan,ARIZ,84,1319,15.7,78,8
4,Jeremiah Smith,OSU,76,1315,17.3,70,15
5,Travis Hunter,COLO,96,1258,13.1,58,15
6,Coleman Owen,OHIO,78,1245,16.0,75,8
7,Tyler Warren,PSU,104,1233,11.9,38,8
8,Kyle Williams,WSU,70,1198,17.1,66,14
9,Jaylin Noel,ISU,80,1194,14.9,75,8
10,Jayden Higgins,ISU,87,1183,13.6,39,9
11,Eric Rivers,FIU,62,1172,18.9,62,12
12,Andrew Armstrong,ARK,78,1140,14.6,43,1
13,Xavier Restrepo,MIA,69,1127,16.3,77,11
13,Jamaal Pritchett,USA,91,1127,12.4,75,9
15,Tai Felton,MD,96,1124,11.7,75,9
16,Jordyn Tyson,ASU,75,1101,14.7,59,10
17,Mac Dalena,FRES,64,1065,16.6,75,8
18,Corey Rucker,ARST,69,1053,15.3,79,7
19,Devonte Ross,TROY,76,1043,13.7,98,11
20,Ricky White III,UNLV,79,1041,13.2,55,11
21,Jack Bech,TCU,62,1034,16.7,52,9
22,Jerjuan Newton,TOL,72,1033,14.3,64,11
23,Mario Williams,TULN,60,1031,17.2,68,6
24,Tre' Harris,MISS,60,1030,17.2,70,7
25,Josh Kelly,TTU,89,1023,11.5,41,5
26,Jackson Meeks,SYR,78,1021,13.1,41,7
27,Ja'Corey Brooks,LOU,61,1013,16.6,86,9
28,Emeka Egbuka,OSU,81,1011,12.5,68,10
29,Tru Edwards,LT,85,989,11.6,86,6
30,Matthew Golden,TEX,58,987,17.0,54,9
31,Pat Bryant,ILL,54,984,18.2,64,10
32,Justin Lockhart,SJSU,53,983,18.5,57,5
33,KeAndre Lambert-Smith,AUB,50,981,19.6,67,8
34,Ted Hurst,GAST,56,961,17.2,76,9
35,Junior Vandeross III,TOL,85,957,11.3,73,5
35,Elijah Sarratt,IU,53,957,18.1,84,8
37,Roc Taylor,MEM,66,950,14.4,48,2
38,Trebor Pena,SYR,84,941,11.2,50,9
39,Oronde Gadsden,SYR,73,934,12.8,39,7
40,Kevin Coleman Jr.,MSST,74,932,12.6,80,6
41,LaJohntay Wester,COLO,74,931,12.6,69,10
42,Kisean Johnson,WKU,75,925,12.3,51,7
43,Jordan Watkins,MISS,49,906,18.5,75,9
44,Antonio Williams,CLEM,75,904,12.1,57,11
45,Cam Camper,BOIS,58,903,15.6,53,4
46,Trent Walker,ORST,81,901,11.1,43,2
47,Tez Johnson,ORE,83,898,10.8,52,10
48,Giles Jackson,WASH,85,893,10.5,49,7
49,Theo Wease Jr.,MIZ,60,884,14.7,70,4
49,Aaron Anderson,LSU,61,884,14.5,76,5
51,De'Zhaun Stribling,OKST,52,882,17.0,77,6
52,Caleb Douglas,TTU,60,877,14.6,57,6
53,Cayden Lee,MISS,57,874,15.3,58,2
54,Holden Willis,MTSU,53,871,16.4,61,6
55,Omari Kelly,MTSU,53,869,16.4,71,4
56,Kyren Lacy,LSU,58,866,14.9,35,9
57,Ryan Williams,ALA,48,865,18.0,84,8
58,Daniel Jackson,MINN,75,863,11.5,39,4
59,Jordan Moore,DUKE,55,861,15.7,58,8
60,Skyler Bell,CONN,50,860,17.2,70,5
61,Chase Roberts,BYU,52,854,16.4,62,4
62,Jaden Smith,NEV,62,849,13.7,62,7
63,Luke Wysong,UNM,69,840,12.2,53,1
63,Kaedin Robinson,APP,53,840,15.8,50,2
65,Tanner Koziol,BALL,94,839,8.9,33,8
65,Jakobie Keeney-James,MASS,50,839,16.8,75,6
67,Denzel Boston,WASH,63,834,13.2,51,9
67,Jalen Royals,USU,55,834,15.2,75,6
69,Elic Ayomanor,STAN,63,831,13.2,60,6
69,Adrian Norton,AKR,43,831,19.3,60,7
71,Lance LeGendre,UL,49,826,16.9,48,6
72,Jayce Brown,KSU,47,823,17.5,65,5
73,Kamdyn Benjamin,TLSA,70,822,11.7,74,6
73,DT Sheffield,UNT,66,822,12.5,75,11
75,Isiah Paige,ODU,61,819,13.4,72,3
76,Javon Tracy,M-OH,57,818,14.4,72,7
77,Arian Smith,UGA,48,817,17.0,67,4
78,Reggie Virgil,M-OH,41,816,19.9,75,9
79,Konata Mumpfield,PITT,52,813,15.6,46,5
80,Malachi Fields,UVA,55,808,14.7,45,5
81,Jaden Williams,TXST,57,807,14.2,70,7
82,Elijhah Badger,FLA,39,806,20.7,77,4
83,Cam Vaughn,JVST,48,803,16.7,75,5
84,Anthony Smith,ECU,41,799,19.5,64,6
85,Eli Pancol,DUKE,60,798,13.3,86,9
86,O'Mega Blake,CLT,32,795,24.8,75,9
87,Germie Bernard,ALA,50,794,15.9,47,2
88,Easton Messer,WKU,55,793,14.4,64,4
89,Dante Wright,TEM,61,792,13.0,91,6
90,Gunnar Helm,TEX,60,786,13.1,49,7
91,Chimere Dike,FLA,42,783,18.6,44,2
92,Matt Sykes,RICE,65,782,12.0,37,5
93,Sean Atkins,USF,79,781,9.9,52,2
94,Kobe Hudson,UCF,47,770,16.4,53,4
95,Brennan Presley,OKST,90,767,8.5,36,7
96,Makai Lemon,USC,52,764,14.7,70,3
97,Eric McAlister,TCU,39,762,19.5,84,5
98,Dymere Miller,RUTG,59,757,12.8,45,4
99,Taylor Morin,WAKE,64,756,11.8,51,2
100,Damon Ward Jr.,UNT,41,755,18.4,57,4
101,Josh Cameron,BAY,52,754,14.5,47,10
101,Eric Singleton Jr.,GT,56,754,13.5,57,3
103,Jacolby George,MIA,53,752,14.2,49,8
104,Ryan Davis,UNM,54,747,13.8,55,3
105,Makai Jackson,APP,46,745,16.2,64,5
106,Kenny Odom,UTEP,46,741,16.1,76,8
106,Hudson Clement,WVU,51,741,14.5,44,5
108,Xzavier Henderson,CIN,59,738,12.5,42,4
109,Chris Bell,LOU,43,737,17.1,68,4
110,JP Richardson,TCU,57,733,12.9,38,2
110,Carnell Tate,OSU,52,733,14.1,40,4
112,Cortez Braham Jr.,NEV,56,724,12.9,57,4
113,Nick Cenacle,HAW,63,721,11.4,62,6
114,Harrison Wallace III,PSU,46,720,15.7,50,4
115,Traeshon Holden,ORE,45,718,16.0,59,5
116,Dane Key,UK,47,715,15.2,42,2
117,Bryant Wesco Jr.,CLEM,41,708,17.3,76,5
118,Chrishon McCray,KENT,40,705,17.6,68,9
119,Darius Lassiter,BYU,45,703,15.6,57,4
120,Malik Rutherford,GT,62,702,11.3,52,3
120,Dorian Singer,UTAH,53,702,13.2,40,1
122,Luke Floriea,KENT,44,699,15.9,80,7
123,Luke Grimm,KU,51,690,13.5,70,6
124,Lewis Bond,BC,67,689,10.3,49,3
124,Terrance Carter Jr.,UL,48,689,14.4,74,4
126,Max Klare,PUR,51,685,13.4,62,4
126,Dean Patterson,FIU,50,685,13.7,52,7
128,Elijah Spencer,MINN,52,684,13.2,29,6
129,Kris Hutson,WSU,54,683,12.6,59,2
130,Joey Hobert,TXST,70,680,9.7,40,8
131,Chase Sowell,ECU,34,678,19.9,56,3
132,Demeer Blankumsee,MEM,45,677,15.0,89,6
133,Luther Burden III,MIZ,61,676,11.1,44,6
133,Ian Strong,RUTG,43,676,15.7,65,5
135,Vinny Anthony II,WIS,39,672,17.2,63,4
136,Eli Heidenreich,NAVY,39,671,17.2,74,6
137,Amare Thomas,UAB,62,670,10.8,73,8
138,Roderick Daniels Jr.,SMU,42,663,15.8,81,4
139,Dont'e Thornton Jr.,TENN,26,661,25.4,86,6
139,Justin Joly,NCSU,43,661,15.4,40,4
141,Terry Lockett Jr.,EMU,46,660,14.3,79,5
142,Derwin Burgess Jr.,GASO,59,659,11.2,48,3
143,Kam Shanks,UAB,62,656,10.6,67,6
