RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'YDS')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Unnamed: 11_level_0', 'FF')"
118,Trey Rucker,OKST,S,53,31,84,0.0,0,1,2,0,0,0,0
118,Zach Zimos,LT,LB,29,55,84,0.5,6,1,0,0,0,0,0
118,Mac Uihlein,NU,LB,49,35,84,2.0,13,1,0,0,0,0,1
118,Jaden Voisin,USA,S,42,42,84,0.0,0,5,5,40,24,0,0
118,Dylan Hazen,WAKE,LB,36,48,84,1.0,6,0,1,0,0,0,0
118,Beau Freyler,ISU,DB,46,38,84,0.0,0,4,2,25,24,0,0
118,Nate Dyman,UTEP,LB,34,50,84,1.5,5,4,0,0,0,0,0
118,Ben Roberts,TTU,LB,38,46,84,0.0,0,0,0,0,0,0,3
118,Zakye Barker,ECU,LB,27,57,84,2.0,9,1,0,0,0,0,1
118,Jahron Manning,ODU,S,33,51,84,0.5,1,3,3,87,45,0,0
131,Xavier Watts,ND,S,53,30,83,0.0,0,9,6,136,100,1,1
131,Kydran Jenkins,PUR,EDGE,47,36,83,7.0,35,1,0,0,0,0,0
131,Malachi Langley,FRES,LB,49,34,83,3.0,36,0,0,0,0,0,2
131,Cameron Bergeron,DUKE,LB,46,37,83,4.5,35,2,1,-1,-1,0,2
131,Jaden Keller,VT,LB,35,48,83,0.0,0,1,0,0,0,0,0
131,Reginald Hughes,JVST,LB,32,51,83,4.5,31,0,0,0,0,0,0
137,Demetrius Knight Jr.,SC,LB,57,25,82,2.0,23,1,1,0,0,0,3
137,Brock Horne,BGSU,LB,36,46,82,2.5,9,1,0,0,0,0,2
137,Barrett Carter,CLEM,LB,42,40,82,3.5,22,7,0,0,0,0,0
137,Nikhai Hill-Green,COLO,LB,53,29,82,2.0,11,4,2,23,12,0,0
137,Mac Harris,USF,LB,54,28,82,4.0,34,2,0,0,0,0,2
137,TJ Quinn,LOU,LB,35,47,82,1.5,9,0,0,0,0,0,0
137,Wade Woodaz,CLEM,LB,41,41,82,3.0,25,5,1,0,0,0,3
137,Robert Rahimi,SJSU,S,47,35,82,1.0,6,5,5,0,0,0,0
137,Jailin Walker,IU,LB,39,43,82,2.0,14,8,2,0,0,0,3
137,Taurean York,TA&M,LB,35,47,82,2.5,13,4,1,0,0,0,0
137,Ty Benefield,BOIS,DB,59,23,82,0.0,0,3,2,13,13,0,1
148,Alphonzo Tuputala,WASH,LB,43,38,81,3.5,28,1,0,0,0,0,0
148,Jamal Potts,FIU,DB,41,40,81,1.0,11,6,1,0,0,0,1
148,Mike Green,MRSH,EDGE,38,43,81,17.0,144,2,0,0,0,0,3
148,Corey Flagg Jr.,MIZ,LB,37,44,81,1.0,2,0,1,80,80,0,0
148,Caleb Downs,OSU,S,48,33,81,0.5,2,6,2,7,7,0,0
148,Skyler Thomas,ORST,DB,48,33,81,0.0,0,9,1,15,15,0,1
148,Rasheem Biles,PITT,LB,47,34,81,6.0,47,9,1,35,35,1,1
148,Namdi Obiazor,TCU,LB,41,40,81,2.5,16,1,1,14,14,0,1
148,Da'Marcus Crosby II,NMSU,DB,46,35,81,0.0,0,3,1,0,0,0,1
148,Dorian Mausi Jr.,AUB,LB,50,31,81,2.5,13,2,0,0,0,0,1
158,Antavious Lane,UNC,DB,60,20,80,1.0,2,2,0,0,0,0,2
158,Martavius French,UTSA,LB,52,28,80,1.0,10,3,0,0,0,0,0
158,Randolph Kpai,UNM,DT,40,40,80,1.0,9,3,0,0,0,0,0
158,Brandon George,PITT,LB,29,51,80,2.0,22,0,1,0,0,0,3
