RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Field Goals', 'FGM')","('Field Goals', 'FGA')","('Field Goals', 'FG%')","('Field Goals', 'LNG')","('Field Goals', '1-19')","('Field Goals', '20-29')","('Field Goals', '30-39')","('Field Goals', '40-49')","('Field Goals', '50+')","('Extra points', 'XPM')","('Extra points', 'XPA')","('Extra points', 'PCT')"
1,Bert Auburn,TEX,PK,29,35,82.9,54,0-0,8-9,10-10,9-12,2-4,56,56,100.0
2,Alex Hale,OKST,PK,27,34,79.4,53,1-1,10-11,7-8,6-10,3-4,36,38,94.7
2,Graham Nicholson,M-OH,PK,27,28,96.4,52,1-1,6-6,10-10,9-10,1-1,35,37,94.6
4,Jose Pizano,UNLV,PK,26,29,89.7,52,0-0,5-5,11-11,8-10,2-3,55,55,100.0
4,Randy Bond,TA&M,PK,26,35,74.3,52,0-0,9-9,8-10,4-10,5-6,48,48,100.0
6,Harrison Mevis,MIZ,PK,24,30,80.0,61,0-0,11-11,8-9,2-5,3-5,45,46,97.8
6,Jonah Dalmas,BOIS,PK,24,27,88.9,56,1-1,6-7,7-8,6-6,4-5,48,49,98.0
6,Dylan Lynch,FRES,PK,24,30,80.0,52,0-0,6-7,9-10,7-10,2-3,40,40,100.0
9,Michael Lantz,GASO,PK,23,28,82.1,48,0-0,7-7,10-11,6-9,0-1,45,45,100.0
9,Joshua Karty,STAN,PK,23,27,85.2,56,0-0,5-5,7-8,7-7,4-7,21,21,100.0
9,Dragan Kesich,MINN,PK,23,27,85.2,54,1-1,6-6,8-10,5-6,3-4,27,27,100.0
12,Will Reichard,ALA,PK,22,25,88.0,52,0-0,3-3,7-7,7-10,5-5,55,55,100.0
12,Andy Borregales,MIA,PK,22,26,84.6,51,0-0,5-5,9-10,4-5,4-6,44,45,97.8
12,John Love,VT,PK,22,24,91.7,47,0-0,7-7,9-10,6-7,0-0,44,44,100.0
15,Chase Contreraz,ISU,PK,21,26,80.8,56,0-0,5-5,7-9,7-9,2-3,36,37,97.3
15,Valentino Ambrosio,TULN,PK,21,26,80.8,49,0-0,10-11,4-6,7-9,0-0,42,42,100.0
15,Peyton Woodring,UGA,PK,21,25,84.0,48,0-0,3-5,14-14,4-5,0-1,71,71,100.0
18,Cam Little,ARK,PK,20,24,83.3,56,0-0,7-7,4-5,5-7,4-5,33,33,100.0
18,Collin Rogers,SMU,PK,20,27,74.1,51,0-0,6-6,7-9,5-10,2-2,66,67,98.5
20,Alex Felkins,PSU,PK,19,24,79.2,50,0-0,7-7,4-4,7-9,1-4,47,47,100.0
20,Ryan Fitzgerald,FSU,PK,19,21,90.5,48,1-1,5-6,8-8,5-6,0-0,58,58,100.0
20,Ethan Albertson,NMSU,PK,19,24,79.2,52,0-0,6-7,7-9,5-7,1-1,49,50,98.0
20,Noah Burnette,UNC,PK,19,20,95.0,48,0-0,9-9,4-5,6-6,0-0,43,43,100.0
20,Michael Hughes,APP,PK,19,22,86.4,54,0-0,10-10,4-4,3-6,2-2,54,54,100.0
20,Tyler Loop,ARIZ,PK,19,24,79.2,52,0-0,6-6,10-11,1-3,2-4,53,53,100.0
20,Scott Taylor Renfroe,TROY,PK,19,24,79.2,44,0-0,9-9,7-7,3-8,0-0,50,50,100.0
27,Brayden Narveson,NCSU,PK,18,23,78.3,57,1-1,4-4,4-6,8-8,1-4,38,38,100.0
27,Charles Campbell,TENN,PK,18,23,78.3,49,0-0,9-9,6-6,3-5,0-3,49,49,100.0
27,Caden Davis,MISS,PK,18,23,78.3,56,0-0,7-7,4-5,5-7,2-4,45,45,100.0
27,James Turner,MICH,PK,18,21,85.7,50,0-0,2-2,10-10,3-5,3-4,65,66,98.5
27,Will Bettridge,UVA,PK,18,21,85.7,46,0-0,5-6,8-8,5-7,0-0,31,31,100.0
