RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'XP')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'PTS/G')"
1,Bryson Daily,ARMY,QB,32,0,0,33,0,0,0,198,15.2
2,Ashton Jeanty,BOIS,RB,29,1,0,30,0,0,0,180,15.0
3,Tre Stewart,JVST,RB,25,1,0,26,0,0,0,156,13.0
4,RJ Harvey,UCF,RB,22,3,0,25,0,0,1,152,13.8
5,Cam Skattebo,ASU,RB,21,3,0,24,0,0,1,146,13.2
6,Kaleb Johnson,IOWA,RB,21,2,0,23,0,0,0,138,11.5
7,Jalen Milroe,ALA,QB,20,0,0,22,0,0,0,134,11.1
8,Caden Chittenden,UNLV,PK,0,0,0,0,26,55,0,133,9.5
9,Dylan Sampson,TENN,RB,22,0,0,22,0,0,0,132,12.0
10,Kenneth Almendares,UL,PK,0,0,0,0,28,46,0,130,9.2
11,Caden Davis,MISS,PK,0,0,0,0,24,57,0,129,9.9
12,Mario Anderson Jr.,MEM,RB,18,3,0,21,0,0,0,126,10.5
13,Collin Rogers,SMU,PK,0,0,0,0,24,52,0,124,8.8
14,LeQuint Allen Jr.,SYR,RB,16,4,0,20,0,0,1,122,12.2
15,Andy Borregales,MIA,PK,0,0,0,0,18,62,0,116,8.9
15,Jeremiyah Love,ND,RB,17,2,0,19,0,0,1,116,7.7
17,Riley Leonard,ND,QB,17,0,0,19,0,0,0,114,7.6
17,Blake Horvath,NAVY,QB,17,0,0,19,0,0,0,114,10.3
17,Devon Dampier,UNM,QB,19,0,0,19,0,0,0,114,10.3
17,Max Gilbert,TENN,PK,0,0,0,0,20,54,0,114,8.7
21,Will Ferrin,BYU,PK,0,0,0,0,24,41,0,113,8.6
21,Nolan Hauser,CLEM,PK,0,0,0,0,18,59,0,113,8.0
23,Brock Travelstead,LOU,PK,0,0,0,0,18,58,0,112,8.6
23,Brashard Smith,SMU,RB,14,4,0,18,0,0,2,112,11.2
23,Bert Auburn,TEX,PK,0,0,0,0,16,64,0,112,7.4
23,Jayden Fielding,OSU,PK,0,0,0,0,13,73,0,112,7.0
27,Dom Dzioban,M-OH,PK,0,0,0,0,26,33,0,111,7.9
27,Peyton Woodring,UGA,PK,0,0,0,0,21,48,0,111,7.9
29,Parker Navarro,OHIO,QB,18,0,0,18,0,0,0,110,8.4
29,Damian Ramos,LSU,PK,0,0,0,0,23,41,0,110,8.4
31,Chris Freeman,CONN,PK,0,0,0,0,20,49,0,109,8.3
31,Kyle Konrardy,ISU,PK,0,0,0,0,21,46,0,109,7.7
33,Tahj Brooks,TTU,RB,17,1,0,18,0,0,0,108,10.8
33,Blake Craig,MIZ,PK,0,0,0,0,24,36,0,108,9.0
35,Ben Sauls,PITT,PK,0,0,0,0,21,44,0,107,8.2
36,Randy Bond,TA&M,PK,0,0,0,0,20,46,0,106,8.1
37,Jonah Dalmas,BOIS,PK,0,0,0,0,13,65,0,104,7.4
38,Garrison Rippa,JVST,PK,0,0,0,0,14,61,0,103,7.3
39,Devin Neal,KU,RB,16,1,0,17,0,0,0,102,10.2
39,Omarion Hampton,UNC,RB,15,2,0,17,0,0,0,102,14.5
39,Nicholas Singleton,PSU,RB,12,5,0,17,0,0,0,102,7.8
39,Makhi Hughes,TULN,RB,15,2,0,17,0,0,0,102,9.2
