RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Field Goals', 'FGM')","('Field Goals', 'FGA')","('Field Goals', 'FG%')","('Field Goals', 'LNG')","('Field Goals', '1-19')","('Field Goals', '20-29')","('Field Goals', '30-39')","('Field Goals', '40-49')","('Field Goals', '50+')","('Extra points', 'XPM')","('Extra points', 'XPA')","('Extra points', 'PCT')"
1,Kenneth Almendares,UL,PK,28,31,90.3,53,1-1,8-8,9-9,8-8,2-5,46,47,97.9
2,Dom Dzioban,M-OH,PK,26,30,86.7,51,0-0,13-13,6-6,6-9,1-2,33,34,97.1
2,Caden Chittenden,UNLV,PK,26,33,78.8,52,0-0,10-12,8-9,7-8,1-4,55,56,98.2
4,Caden Davis,MISS,PK,24,29,82.8,57,0-0,6-6,8-10,8-9,2-4,57,59,96.6
4,Will Ferrin,BYU,PK,24,27,88.9,54,0-0,3-3,11-12,6-7,4-5,41,41,100.0
4,Collin Rogers,SMU,PK,24,33,72.7,55,0-0,4-6,5-5,8-11,7-11,52,52,100.0
4,Blake Craig,MIZ,PK,24,34,70.6,56,0-0,7-8,10-10,1-7,6-9,36,37,97.3
8,Damian Ramos,LSU,PK,23,29,79.3,50,0-0,6-6,8-10,8-11,1-2,41,42,97.6
9,Ben Sauls,PITT,PK,21,24,87.5,58,1-1,1-1,6-6,7-9,6-7,44,44,100.0
9,Peyton Woodring,UGA,PK,21,23,91.3,55,0-0,5-5,7-7,6-6,3-5,48,48,100.0
9,Dominic Zvada,MICH,PK,21,22,95.5,56,0-0,4-5,7-7,3-3,7-7,26,27,96.3
9,Clune Van Andel,ARST,PK,21,25,84.0,52,1-1,10-10,3-5,6-7,1-2,33,33,100.0
9,Kyle Konrardy,ISU,PK,21,28,75.0,54,0-0,6-6,9-10,4-9,2-3,46,48,95.8
9,Jonah Delange,UAB,PK,21,24,87.5,52,0-0,6-7,8-9,5-6,2-2,31,31,100.0
15,Chris Freeman,CONN,PK,20,26,76.9,53,0-0,7-7,8-9,3-5,2-5,49,49,100.0
15,Dragan Kesich,MINN,PK,20,28,71.4,53,0-0,4-5,5-6,8-11,3-6,38,39,97.4
15,Randy Bond,TA&M,PK,20,24,83.3,55,0-0,5-5,6-7,7-9,2-3,46,46,100.0
15,Jesus Gomez,EMU,PK,20,25,80.0,57,0-0,6-6,5-6,7-9,2-4,27,29,93.1
15,Drew Stevens,IOWA,PK,20,23,87.0,54,0-0,9-9,2-2,5-5,4-7,40,40,100.0
15,Max Gilbert,TENN,PK,20,26,76.9,52,0-0,4-4,9-10,4-6,3-6,54,54,100.0
15,Mateen Bhaghani,UCLA,PK,20,24,83.3,57,0-0,10-10,4-4,3-5,3-5,20,20,100.0
22,Jonathan Kim,MSU,PK,19,21,90.5,55,0-0,4-5,4-4,8-8,3-4,22,24,91.7
22,Gino Garcia,TTU,PK,19,20,95.0,53,0-0,5-5,10-10,3-3,1-2,40,40,100.0
22,Tate Sandell,UTSA,PK,19,23,82.6,54,0-0,4-4,6-6,7-8,2-5,35,36,97.2
25,Brock Travelstead,LOU,PK,18,25,72.0,56,0-0,6-7,4-4,7-9,1-5,58,58,100.0
25,Andy Borregales,MIA,PK,18,19,94.7,56,0-0,7-7,4-4,5-6,2-2,62,62,100.0
25,Tyler Loop,ARIZ,PK,18,23,78.3,62,0-0,1-2,4-4,7-8,6-9,23,25,92.0
25,Cole Becker,UTAH,PK,18,24,75.0,48,1-1,3-3,7-8,7-10,0-2,23,23,100.0
25,Trey Smack,FLA,PK,18,21,85.7,55,0-0,5-5,5-6,5-6,3-4,44,44,100.0
25,Will Bettridge,UVA,PK,18,21,85.7,47,2-2,7-7,7-8,2-4,0-0,24,24,100.0
25,Abraham Montano,NMSU,PK,18,23,78.3,59,0-0,5-5,3-3,5-7,5-8,22,22,100.0
25,Grady Gross,WASH,PK,18,26,69.2,45,0-0,8-9,4-6,6-9,0-2,30,30,100.0
25,Kanoah Vinesett,NCSU,PK,18,24,75.0,52,0-0,6-6,8-10,3-6,1-2,34,34,100.0
25,Brock Taylor,VAN,PK,18,21,85.7,57,0-0,4-4,5-6,4-5,5-6,39,40,97.5
25,Upton Bellenfant,BUFF,PK,18,21,85.7,52,0-0,4-4,6-7,7-8,1-2,31,31,100.0
25,Lucas Carneiro,WKU,PK,18,19,94.7,54,0-0,4-4,5-6,3-3,6-6,41,41,100.0
25,Nolan Hauser,CLEM,PK,18,24,75.0,56,0-0,8-10,7-8,1-4,2-2,59,60,98.3
38,Chris Tennant,KSU,PK,17,21,81.0,51,0-0,7-8,3-4,6-7,1-2,44,45,97.8
38,Kanon Woodill,NIU,PK,17,26,65.4,50,0-0,6-7,6-8,4-9,1-2,28,32,87.5
38,David Olano,ILL,PK,17,20,85.0,50,0-0,6-6,6-6,4-6,1-2,38,39,97.4
41,Tristan Mattson,CMU,PK,16,18,88.9,56,0-0,4-4,7-7,3-5,2-2,24,26,92.3
41,Matthew Dennis,WAKE,PK,16,20,80.0,42,0-0,3-3,11-11,2-5,0-1,36,36,100.0
41,Noe Ruelas,JMU,PK,16,20,80.0,52,0-0,4-4,5-5,5-6,2-5,35,37,94.6
41,Laith Marjan,USA,PK,16,17,94.1,49,0-0,4-4,6-6,6-6,0-1,42,44,95.5
41,Kade Hensley,CCU,PK,16,19,84.2,49,0-0,6-6,5-6,5-6,0-1,45,45,100.0
41,Maddux Trujillo,TEM,PK,16,22,72.7,64,0-0,1-2,5-7,5-5,5-8,21,21,100.0
41,Bert Auburn,TEX,PK,16,25,64.0,49,0-0,6-6,4-5,6-12,0-2,64,64,100.0
41,John Love,VT,PK,16,18,88.9,60,0-0,4-4,4-5,5-5,3-4,42,42,100.0
49,Alex Herrera,SC,PK,15,21,71.4,46,0-0,4-4,4-5,7-11,0-1,45,45,100.0
49,Alex Raynor,UK,PK,15,16,93.8,55,0-0,2-2,7-8,4-4,2-2,26,27,96.3
49,Noah Burnette,UNC,PK,15,21,71.4,52,0-0,5-5,3-4,5-8,2-4,38,39,97.4
49,Gavin Stewart,GASO,PK,15,18,83.3,53,0-0,3-4,5-5,6-7,1-2,37,39,94.9
49,John Hoyland,WYO,PK,15,19,78.9,54,0-0,5-5,3-3,6-7,1-4,25,25,100.0
49,Aidan Birr,GT,PK,15,22,68.2,51,0-0,6-7,3-4,5-8,1-3,45,45,100.0
49,Mason Shipley,TXST,PK,15,19,78.9,60,0-0,5-5,4-6,4-5,2-3,53,55,96.4
49,Jai Patel,RUTG,PK,15,19,78.9,49,0-0,6-6,5-7,4-4,0-2,41,42,97.6
49,Ryan Barker,PSU,PK,15,18,83.3,49,0-0,4-4,5-5,6-8,0-1,48,49,98.0
49,Todd Pelino,DUKE,PK,15,20,75.0,53,0-0,4-4,2-4,7-10,2-2,35,37,94.6
49,Kyle Lemmermann,TCU,PK,15,22,68.2,48,0-0,7-8,3-5,5-8,0-1,54,55,98.2
