RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'XP')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'PTS/G')"
1,Travis Etienne Jr.,CLEM,RB,24,2,0,26,0,0,0,156,12.0
2,Andre Szmyt,SYR,PK,0,0,0,0,30,61,0,151,11.0
3,Darrell Henderson Jr.,MEM,RB,22,3,0,25,0,0,0,150,13.0
4,Dominik Eberle,USU,PK,0,0,0,0,22,75,0,141,10.0
5,Austin Seibert,OKLA,PK,0,0,0,0,17,87,0,138,9.0
6,Devin Singletary,FAU,RB,21,0,1,22,0,0,0,132,13.0
7,Cole Tracy,LSU,PK,0,0,0,0,29,42,0,129,10.0
8,Tucker McCann,MIZ,PK,0,0,0,0,24,51,0,123,9.0
8,Matt Gay,UTAH,PK,0,0,0,0,26,45,0,123,8.0
10,Rodrigo Blankenship,UGA,PK,0,0,0,0,19,65,0,122,8.0
11,Riley Patterson,MEM,PK,0,0,0,0,15,76,0,121,8.0
12,Michael Warren II,CIN,RB,19,1,0,20,0,0,0,120,12.0
12,Christopher Dunn,NCST,PK,0,0,0,0,23,51,0,120,9.0
14,Joseph Bulovas,ALA,PK,0,0,0,0,14,75,0,117,8.0
15,Reggie Gallaspy II,NCST,RB,18,1,0,19,0,0,0,114,11.0
15,Trayveon Williams,TA&M,RB,18,1,0,19,0,0,0,114,11.0
17,Luke Logan,MISS,PK,0,0,0,0,22,45,0,111,9.0
18,Matthew Wright,UCF,PK,0,0,0,0,12,74,0,110,8.0
19,Matt Ammendola,OKST,PK,0,0,0,0,16,61,0,109,8.0
19,Greg Huegel,CLEM,PK,0,0,0,0,11,76,0,109,7.0
19,Jameson Vest,TOL,PK,0,0,0,0,15,64,0,109,8.0
22,Cole Hedlund,UNT,PK,0,0,0,0,19,51,0,108,8.0
22,Patrick Taylor Jr.,MEM,RB,16,2,0,18,0,0,0,108,10.0
22,Eno Benjamin,ASU,RB,16,2,0,18,0,0,0,108,12.0
22,DeAndre Torrey,UNT,RB,15,2,1,18,0,0,0,108,12.0
26,Louie Zervos,OHIO,PK,0,0,0,0,13,68,0,107,8.0
26,Evan Staley,WVU,PK,0,0,0,0,16,59,0,107,8.0
26,Nick Sciba,WAKE,PK,0,0,0,0,19,50,0,107,8.0
29,Clayton Hatfield,TTU,PK,0,0,0,0,17,55,0,106,8.0
30,Cameron Dicker,TEX,PK,0,0,0,0,18,51,0,105,7.0
31,John Ursua,HAW,WR,1,16,0,17,0,0,1,104,10.0
32,Tyler Bass,GASO,PK,0,0,0,0,19,45,0,102,7.0
32,Kelvin Hopkins Jr.,ARMY,QB,17,0,0,17,0,0,0,102,8.0
32,Alexander Mattison,BSU,RB,17,0,0,17,0,0,0,102,9.0
32,Spencer Brown,UAB,RB,16,1,0,17,0,0,0,102,8.0
36,Evan McPherson,FLA,PK,0,0,0,0,17,50,0,101,7.0
36,Jake Pinegar,PSU,PK,0,0,0,0,16,53,0,101,7.0
38,Seth Small,TA&M,PK,0,0,0,0,20,40,0,100,9.0
39,Kyle Pfau,ULL,PK,0,0,0,0,15,54,0,99,7.0
39,Tyler Sumpter,TROY,PK,0,0,0,0,18,45,0,99,7.0
39,Brandon Ruiz,ASU,PK,0,0,0,0,18,45,0,99,7.0
39,Asa Fuller,FRES,PK,0,0,0,0,14,57,0,99,7.0
43,Miguel Recinos,IOWA,PK,0,0,0,0,17,47,0,98,7.0
44,Chandler Staton,APP,PK,0,0,0,0,12,61,0,97,7.0
45,Nick Vogel,UAB,PK,0,0,0,0,15,51,0,96,6.0
45,Jamauri Bogan,WMU,RB,16,0,0,16,0,0,0,96,9.0
45,Spencer Evans,PUR,PK,0,0,0,0,18,42,0,96,7.0
45,Chase McLaughlin,ILL,PK,0,0,0,0,20,36,0,96,8.0
45,James Williams,WSU,RB,12,4,0,16,0,0,0,96,9.0
45,Benny Snell Jr.,UK,RB,16,0,0,16,0,0,0,96,10.0
45,Jose Borregales,FIU,PK,0,0,0,0,14,54,0,96,7.0
45,Elijah Mitchell,ULL,RB,13,3,0,16,0,0,0,96,10.0
45,Sam Ehlinger,TEX,QB,16,0,0,16,0,0,0,96,7.0
45,Jonathan Taylor,WIS,RB,16,0,0,16,0,0,0,96,13.0
45,Darwin Thompson,USU,RB,14,2,0,16,0,0,0,96,10.0
56,Emmit Carpenter,MINN,PK,0,0,0,0,17,43,0,94,7.0
56,Crews Holt,MTSU,PK,0,0,0,0,18,40,0,94,6.0
58,Haden Hoggarth,BSU,PK,0,0,0,0,12,57,0,93,7.0
58,Dalton Witherspoon,HOU,PK,0,0,0,0,7,72,0,93,7.0
60,Justin Yoon,ND,PK,0,0,0,0,17,41,0,92,7.0
61,Peyton Henry,WASH,PK,0,0,0,0,16,43,0,91,6.0
61,Ryan Meskell,HAW,PK,0,0,0,0,15,46,0,91,6.0
63,David Sills V,WVU,WR,0,15,0,15,0,0,0,90,10.0
63,Zach Abey,NAVY,WR,14,1,0,15,0,0,0,90,10.0
63,Eric Dungey,SYR,QB,15,0,0,15,0,0,0,90,8.0
63,Shai Werts,GASO,WR,15,0,0,15,0,0,0,90,7.0
63,Josh Jacobs,ALA,RB,11,3,1,15,0,0,0,90,9.0
63,Blake Mazza,SMU,PK,0,0,0,0,10,60,0,90,6.0
63,Nathan Rourke,OHIO,QB,15,0,0,15,0,0,0,90,7.0
70,Justin Rohrwasser,MRSH,PK,0,0,0,0,15,44,0,89,6.0
70,Anders Carlson,AUB,PK,0,0,0,0,15,44,0,89,6.0
72,Will Mobley,TEM,PK,0,0,0,0,11,54,0,87,7.0
73,J.J. Arcega-Whiteside,STAN,WR,0,14,0,14,0,0,1,86,12.0
