RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'YDS')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Unnamed: 11_level_0', 'FF')"
1,Owen Long,CSU,LB,58,93,151,2.0,11,5,0,0,0,0,1
2,Caden Fordham,NCSU,LB,61,82,143,3.5,26,3,2,55,55,0,1
3,Red Murdock,BUFF,LB,53,89,142,5.0,33,1,0,0,0,0,6
4,Quinton Urwiler,NIU,LB,71,70,141,1.5,10,1,1,0,0,0,1
5,Baron Hopson,KENN,LB,66,72,138,0.5,2,6,1,7,7,0,1
6,Bryce Boettcher,ORE,LB,56,80,136,1.0,8,5,1,31,31,0,2
7,Chris Jones,USM,LB,51,82,133,3.5,26,2,1,2,2,0,1
8,Micah Davey,UTEP,LB,64,67,131,1.0,4,0,0,0,0,0,0
9,Kaleb Elarms-Orr,TCU,LB,60,70,130,4.0,31,2,0,0,0,0,0
10,Jacob Rodriguez,TTU,LB,63,65,128,1.0,9,6,4,41,26,0,7
10,Ray Coney,TLSA,LB,41,87,128,2.0,18,2,0,0,0,0,1
10,Jaxton Eck,UNM,LB,65,63,128,1.5,15,2,0,0,0,0,1
13,Bryun Parham,CONN,LB,63,63,126,10.5,79,1,1,0,0,0,3
14,Jaden Dugger,UL,LB,64,61,125,4.0,25,3,1,0,0,0,1
15,Jordan Stringer,TROY,LB,45,78,123,2.5,17,4,0,0,0,0,0
16,Gideon Lampron,BGSU,LB,65,54,119,2.5,22,1,0,0,0,0,2
17,Eli Blakey,M-OH,DB,62,56,118,1.0,7,8,2,7,7,0,2
17,John Miller,USU,LB,39,79,118,8.0,57,3,0,0,0,0,1
19,Oumar Diomande,CONN,LB,65,51,116,5.0,28,1,0,0,0,0,0
20,Robert Fitzgerald,NU,DB,69,45,114,0.0,0,4,1,2,2,0,0
20,Brevin Hamblin,USU,S,57,57,114,1.5,7,8,1,38,38,1,2
22,Devin Lafayette,TROY,S,52,61,113,1.0,9,5,2,31,31,0,2
22,Jordan Kwiatkowski,CMU,LB,51,62,113,3.0,31,4,3,92,48,1,3
22,Ethan Wesloski,UNT,LB,59,54,113,1.5,8,0,1,14,14,0,2
22,Andon Thomas,ARMY,LB,66,47,113,0.5,4,5,0,0,0,0,1
22,Sam Brumfield,MEM,LB,47,66,113,4.5,35,0,1,0,0,0,0
27,Marsel McDuffie,UNLV,LB,55,57,112,2.0,12,3,2,10,10,0,0
27,Gavin Moul,DEL,LB,51,61,112,1.5,6,3,0,0,0,0,0
29,Tahj Ra-El,PUR,DB,59,51,110,0.0,0,5,0,0,0,0,0
29,Mani Powell,PUR,LB,53,57,110,5.0,30,2,0,0,0,0,1
31,Jackson Kuwatch,M-OH,LB,47,62,109,5.0,28,1,0,0,0,0,0
31,Owen Chambliss,SDSU,LB,68,41,109,4.0,44,5,1,2,2,0,0
33,Jordan Pollard,SJSU,LB,58,50,108,2.5,14,4,1,58,58,1,2
33,Blake Fletcher,AFA,LB,39,69,108,0.0,0,2,0,0,0,0,0
35,Nick Andersen,WAKE,DB,47,60,107,1.5,6,7,0,0,0,0,0
35,JonJon Vaughns,UCLA,LB,46,61,107,1.0,4,1,0,0,0,0,0
35,Treylin Payne,TXST,LB,49,58,107,2.0,9,2,0,0,0,0,0
35,Johnny Chaney Jr.,FIU,LB,68,39,107,3.0,14,1,0,0,0,0,2
39,Jaylen Wester,WKU,LB,51,55,106,1.5,14,2,0,0,0,0,2
39,Matt Rose,STAN,LB,49,57,106,3.0,27,3,0,0,0,0,1
39,Trent Hendrick,JMU,LB,39,67,106,3.0,19,3,0,0,0,0,2
39,Sammy Brown,CLEM,LB,51,55,106,5.0,19,5,1,19,19,0,1
43,Andrew Awe,RICE,LB,50,55,105,3.5,27,2,0,0,0,0,1
43,Jadon Pearson,FRES,LB,51,54,105,0.5,3,3,0,0,0,0,1
43,Jhalyn Shuler,USF,LB,49,56,105,2.5,16,8,1,31,31,0,2
43,Ty Benefield,BOIS,DB,69,36,105,0.0,0,3,2,37,23,0,1
43,Michael Montgomery,USM,LB,30,75,105,3.0,8,2,2,21,21,0,1
48,Tyler Martin,MASS,LB,36,68,104,0.0,0,2,1,23,23,1,0
48,Ahmaad Moses,SMU,S,54,50,104,1.0,8,3,5,110,95,1,0
48,Jake Golday,CIN,LB,38,66,104,3.5,22,3,0,0,0,0,1
51,Mac Harris,USF,LB,54,49,103,6.0,27,2,2,93,93,1,3
51,Maverick Baranowski,MINN,LB,52,51,103,3.0,26,1,0,0,0,0,1
51,Amare Campbell,PSU,LB,64,39,103,3.0,24,1,0,0,0,0,0
