RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'XP')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'PTS/G')"
1,Caleb Hawkins,UNT,RB,25,4,0,29,0,0,0,174,19.3
2,Lucas Carneiro,MISS,PK,0,0,0,0,31,56,0,149,9.9
3,Kewan Lacy,MISS,RB,24,0,0,24,0,0,0,144,10.2
4,Nico Radicic,IU,PK,0,0,0,0,18,87,0,141,8.8
5,Jeremiyah Love,ND,RB,18,3,0,21,0,0,0,126,11.4
6,Chris Freeman,CONN,PK,0,0,0,0,23,52,0,121,9.3
6,Will Bettridge,UVA,PK,0,0,0,0,24,49,0,121,8.6
6,Kansei Matsuzawa,HAW,PK,0,0,0,0,27,40,0,121,9.3
9,Aidan Birr,GT,PK,0,0,0,0,25,45,0,120,9.2
10,Will Ferrin,BYU,PK,0,0,0,0,23,49,0,118,8.4
11,Tyler Robles,TXST,PK,0,0,0,0,21,53,0,116,8.9
11,Patrick Durkin,TULN,PK,0,0,0,0,25,41,0,116,8.2
13,Nico Gramatica,USF,PK,0,0,0,0,18,59,0,113,8.6
14,Ryon Sayeri,USC,P,0,0,0,0,21,48,0,111,8.5
15,Mason Shipley,TEX,PK,0,0,0,0,20,48,0,108,8.3
15,Atticus Sappington,ORE,PK,0,0,0,0,19,51,0,108,7.2
15,Cale Hellums,ARMY,QB,18,0,0,18,0,0,0,108,9.8
18,Morgan Suarez,JMU,PK,0,0,0,0,14,65,0,107,7.6
18,Tate Sandell,OU,PK,0,0,0,0,24,35,0,107,8.2
18,Drew Stevens,IOWA,PK,0,0,0,0,22,41,0,107,8.2
18,Michael Petro,UTSA,PK,0,0,0,0,17,56,0,107,8.2
22,Ethan Sanchez,HOU,PK,0,0,0,0,21,43,0,106,8.1
22,Stone Harrington,TTU,PK,0,0,0,0,22,40,0,106,8.1
22,Max Gilbert,TENN,PK,0,0,0,0,14,64,0,106,8.1
22,Kali Nguma,UNT,PK,0,0,0,0,12,70,0,106,8.1
26,Peyton Woodring,UGA,PK,0,0,0,0,17,54,0,105,7.5
27,David Olano,ILL,PK,0,0,0,0,20,44,0,104,8.0
27,Jayden Fielding,OSU,PK,0,0,0,0,16,56,0,104,7.4
27,Michael Salgado-Medina,ARIZ,PK,0,0,0,0,19,47,0,104,8.0
30,Carter Davis,MIA,PK,0,0,0,0,17,52,0,103,6.4
30,Garrison Rippa,JVST,PK,0,0,0,0,21,40,0,103,7.3
30,Ramon Villela,UNLV,PK,0,0,0,0,15,58,0,103,7.3
30,Trey Butkowski,PITT,PK,0,0,0,0,20,43,0,103,9.3
34,Mark Gronowski,IOWA,QB,16,1,0,17,0,0,0,102,7.8
34,Jonah Coleman,WASH,RB,15,2,0,17,0,0,0,102,11.3
34,Evan Dickens,LIB,RB,16,1,0,17,0,0,0,102,11.3
34,Blake Horvath,NAVY,QB,16,0,0,17,0,0,0,102,8.5
34,Brad Jackson,TXST,QB,17,0,0,17,0,0,0,102,7.8
34,Cooper Ranvier,LOU,PK,0,0,0,0,21,39,0,102,7.8
40,Damian Ramos,LSU,PK,0,0,0,0,24,29,0,101,7.7
40,Dillon Curtis,UTAH,PK,0,0,0,0,11,68,0,101,7.7
40,Lorcan Quinn,MRSH,PK,0,0,0,0,21,38,0,101,8.4
43,Jesus Gomez,ASU,PK,0,0,0,0,22,33,0,99,7.6
43,Brock Taylor,VAN,PK,0,0,0,0,13,60,0,99,7.6
43,Clune Van Andel,ARST,PK,0,0,0,0,21,36,0,99,7.6
46,Ryan Barker,PSU,PK,0,0,0,0,18,44,0,98,7.5
46,Tony Sterner,UL,PK,0,0,0,0,20,38,0,98,7.5
46,Cameron Dickey,TTU,RB,14,2,0,16,0,0,1,98,8.1
49,Dylan Lynch,FRES,PK,0,0,0,0,21,34,0,97,8.0
49,Todd Pelino,DUKE,PK,0,0,0,0,14,55,0,97,6.9
51,Sieh Bangura,OHIO,RB,15,0,1,16,0,0,0,96,10.6
51,Cam Cook,JVST,RB,16,0,0,16,0,0,0,96,8.7
51,DeSean Bishop,TENN,RB,16,0,0,16,0,0,0,96,9.6
51,Conor Talty,ALA,PK,0,0,0,0,16,48,0,96,6.4
51,Cam Edwards,CONN,RB,15,1,0,16,0,0,0,96,8.7
51,Jake Retzlaff,TULN,QB,16,0,0,16,0,0,0,96,7.3
51,Ahmad Hardy,MIZ,RB,16,0,0,16,0,0,0,96,10.6
51,Dominic De Freitas,APP,PK,0,0,0,0,21,33,0,96,7.3
59,Alex McPherson,AUB,PK,0,0,0,0,20,35,0,95,7.9
59,Kyle Ferrie,MSST,PK,0,0,0,0,17,44,0,95,7.3
61,Dom Dzioban,M-OH,PK,0,0,0,0,20,34,0,94,7.2
61,Dominic Zvada,MICH,PK,0,0,0,0,17,43,0,94,7.2
61,Gianni Spetic,MEM,PK,0,0,0,0,15,49,0,94,7.2
64,Kyle Cunanan,NEB,PK,0,0,0,0,16,45,0,93,7.1
64,Nate Reed,DEL,PK,0,0,0,0,18,39,0,93,7.1
