RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'YDS')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Unnamed: 11_level_0', 'FF')"
1,Ben Burr-Kirven,WASH,LB,94,82,176,2.0,12,6,2,22,20,0,4
2,Evan Weaver,CAL,LB,88,67,155,4.5,28,6,2,47,37,1,0
2,Kenneth Murray Jr.,OKLA,LB,71,84,155,4.5,26,2,0,0,0,0,0
4,Malik Fountain,CMU,LB,87,64,151,2.5,18,2,2,28,24,0,0
5,Khalil Hodge,BUFF,LB,58,86,144,2.5,8,3,1,33,33,0,1
6,Jordan Kunaszyk,CAL,LB,92,51,143,4.0,24,3,1,7,7,0,5
7,Joe Dineen Jr.,KU,LB,109,33,142,3.0,27,2,1,1,1,0,0
8,Bryton Barr,UMASS,LB,56,85,141,4.0,26,3,1,53,53,0,0
9,Curtis Bolton III,OKLA,LB,58,81,139,4.5,30,2,0,0,0,0,0
10,David Woodward,USU,LB,52,82,134,5.0,39,3,2,17,17,0,2
11,Sage Lewis,FIU,LB,54,78,132,1.0,3,9,0,0,0,0,0
12,Brandon Harris,BGSU,DE,76,55,131,1.0,8,2,0,0,0,0,1
12,Javahn Fergurson,NMSU,LB,41,90,131,5.5,32,1,1,37,37,1,1
12,Jeff Allison,FRES,LB,71,60,131,0.5,2,1,2,27,27,0,0
15,Antonio Jones-Davis,NIU,LB,76,54,130,4.0,21,6,0,0,0,0,0
16,Josh Watson,CSU,LB,54,75,129,1.0,1,4,0,0,0,0,0
17,Austin Robinson,HOU,LB,75,53,128,6.0,29,5,0,0,0,0,2
18,Kyle Rachwal,EMU,LB,49,78,127,2.0,13,4,2,12,12,0,1
18,Blake Gallagher,NW,LB,72,55,127,0.0,0,0,1,0,0,0,0
20,Kyahva Tezino,SDSU,LB,69,57,126,8.5,51,2,0,0,0,0,0
20,John Lako,AKRON,LB,73,53,126,0.5,4,3,0,0,0,0,0
20,A.J. Hotchkins,UTEP,LB,53,73,126,7.0,49,2,0,0,0,0,1
23,Adarius Pickett,UCLA,DB,77,46,123,0.0,0,4,2,34,22,0,0
23,Te'von Coney,ND,LB,63,60,123,4.0,14,4,1,7,7,0,0
23,Devin White,LSU,LB,62,61,123,3.0,18,6,0,0,0,0,3
26,Ron LaForce,NMSU,DB,56,66,122,0.0,0,0,0,0,0,0,0
27,E.J. Ejiya,UNT,LB,61,60,121,9.0,71,0,0,0,0,0,1
28,Leon McQuaker,NMSU,LB,48,72,120,0.5,4,2,0,0,0,0,0
29,Jordan Griffin,VAN,LB,62,57,119,1.0,4,5,1,17,17,0,1
29,Colin Schooler,ARIZ,LB,72,47,119,3.5,22,4,2,83,50,0,1
31,Sione Takitaki,BYU,LB,74,44,118,3.0,16,3,0,0,0,0,1
31,De'Jon Harris,ARK,LB,62,56,118,2.0,11,5,0,0,0,0,1
33,Cody Barton,UTAH,LB,69,48,117,4.0,24,6,1,7,7,0,1
34,Ben Holt,WKU,LB,58,58,116,2.5,14,5,0,0,0,0,1
34,Paddy Fisher,NW,LB,63,53,116,1.0,3,2,1,12,12,0,4
36,Markus Bailey,PUR,LB,82,33,115,5.5,20,2,1,41,41,1,1
36,Troy Dye,ORE,LB,67,48,115,2.0,14,7,1,0,0,0,1
38,Chase Hansen,UTAH,LB,70,44,114,5.0,43,4,2,40,40,1,0
38,Tre Watson,MD,LB,70,44,114,1.0,7,3,5,51,36,1,1
40,Roman Brown,HOU,LB,51,62,113,0.0,0,1,1,9,9,0,0
40,Cooper Edmiston,TLSA,LB,47,66,113,0.5,1,1,4,34,26,0,3
42,T.J. Edwards,WIS,LB,73,39,112,3.0,19,2,3,31,28,0,0
42,Mohamed Barry,NEB,LB,55,57,112,2.0,15,1,0,0,0,0,0
42,Momo Sanogo,MISS,LB,53,59,112,1.0,7,1,0,0,0,0,2
45,Josiah Tauaefa,UTSA,LB,62,49,111,4.5,36,0,0,0,0,0,2
45,Khalid McGee,USF,LB,64,47,111,1.5,2,1,0,0,0,0,1
47,Dalton Baker,UNLV,DB,60,49,109,0.0,0,3,2,30,28,0,0
47,Bryan London II,TXST,LB,53,56,109,0.0,0,6,0,0,0,0,2
49,Nikolas Daniels,TXST,LB,48,60,108,1.0,10,4,0,0,0,0,0
49,Richie Grant,UCF,DB,68,40,108,0.0,0,3,6,40,25,0,2
49,Tyler Coyle,UCONN,LB,64,44,108,0.0,0,0,0,0,0,0,0
52,Taylor Heflin,NAVY,LB,56,51,107,3.0,20,1,0,0,0,0,1
52,Ryan Guthrie,SYR,LB,66,41,107,3.0,20,1,0,0,0,0,0
52,Reed Blankenship,MTSU,S,69,38,107,1.0,3,7,4,122,100,1,0
55,Ethan Aguayo,SJSU,LB,48,58,106,0.0,0,4,1,27,27,0,0
55,Kyle Pugh,NIU,LB,63,43,106,1.5,13,2,0,0,0,0,0
55,Trevor Morris,RUTG,LB,51,55,106,1.5,8,7,1,31,31,0,2
55,Cale Garrett,MIZ,LB,68,38,106,1.0,4,1,0,0,0,0,0
55,Jerry McBride III,BGSU,DB,67,39,106,0.0,0,1,0,0,0,0,1
55,TJ Brunson,SC,LB,59,47,106,4.0,27,1,0,0,0,0,1
61,Chase Hancock,MRSH,LB,44,61,105,3.5,22,5,0,0,0,0,2
61,Justin Strnad,WAKE,LB,65,40,105,1.5,6,5,0,0,0,0,1
61,Rayshard Ashby,VT,LB,57,48,105,1.0,5,2,0,0,0,0,1
64,Cole Holcomb,UNC,LB,59,45,104,1.0,13,4,0,0,0,0,4
64,Germaine Pratt,NCST,LB,54,50,104,6.0,43,3,0,0,0,0,2
64,Blake Cashman,MINN,LB,62,42,104,2.5,25,5,0,0,0,0,1
64,Nate Landman,COLO,LB,65,39,104,4.0,33,2,2,24,22,0,1
64,Jeremy Fejedelem,AFA,DB,54,50,104,1.0,5,1,3,0,0,0,0
