RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Kickoffs', 'ATT')","('Kickoffs', 'YDS')","('Kickoffs', 'AVG')","('Kickoffs', 'LNG')","('Kickoffs', 'TD')","('Punts', 'ATT')","('Punts', 'YDS')","('Punts', 'AVG')","('Punts', 'LNG')","('Punts', 'TD')"
1,Johnnie Lang,ARST,RB,37,886,23.9,98,1,15,87,5.8,24,0
2,Keegan Wilburn,OHIO,WR,31,734,23.7,98,1,0,0,0.0,0,0
3,Kaylon Horton,UNT,WR,27,699,25.9,99,1,0,0,0.0,0,0
4,Brian Battie,USF,RB,33,659,20.0,48,0,0,0,0.0,0,0
5,Shadrick Byrd,CLT,RB,32,652,20.4,38,0,0,0,0.0,0,0
6,Key'Shawn Smith,MIA,WR,21,640,30.5,91,1,0,0,0.0,0,0
7,Lawrence Keys III,TULN,WR,23,624,27.1,63,0,1,14,14.0,14,0
7,Sean Tyler,WMU,RB,27,624,23.1,90,1,0,0,0.0,0,0
9,Milan Tucker,APP,WR,22,620,28.2,96,1,0,0,0.0,0,0
10,Tulu Griffin,MSST,WR,19,613,32.3,92,1,3,7,2.3,9,0
11,Silas Bolden,ORST,WR,23,599,26.0,80,0,0,0,0.0,0,0
11,Greg Desrosiers Jr.,MASS,RB,29,599,20.7,42,0,0,0,0.0,0,0
13,Malik Knowles,KSU,WR,23,592,25.7,69,0,0,0,0.0,0,0
14,Jaylin Lucas,IU,RB,22,591,26.9,93,2,0,0,0.0,0,0
15,Derius Davis,TCU,WR,29,575,19.8,57,0,18,268,14.9,82,2
16,Jordan Byrd,SDSU,RB,23,571,24.8,95,1,19,118,6.2,66,1
16,Jaylon Jackson,EMU,RB,24,571,23.8,89,1,0,0,0.0,0,0
18,Lexington Joseph,FIU,RB,27,566,21.0,50,0,0,0,0.0,0,0
19,Smoke Harris,LT,WR,19,517,27.2,65,0,20,236,11.8,47,0
19,Raleek Brown,USC,RB,24,517,21.5,40,0,0,0,0.0,0,0
21,Jaelen Gill,BC,WR,24,509,21.2,37,0,6,24,4.0,7,0
22,Quentin Redding,MINN,WR,20,508,25.4,92,0,13,78,6.0,20,0
23,Terrell Vaughn,USU,WR,20,503,25.1,100,1,0,0,0.0,0,0
24,Ta'Ron Keith,BGSU,RB,19,491,25.8,83,1,0,0,0.0,0,0
25,Nikko Remigio,FRES,WR,21,480,22.9,47,0,13,259,19.9,87,2
26,Jermaine Brown Jr.,UAB,RB,19,475,25.0,66,0,0,0,0.0,0,0
27,Blake Hester,AKR,RB,20,464,23.2,50,0,1,0,0.0,0,0
28,Michael Mathison,WKU,WR,22,463,21.0,55,0,0,0,0.0,0,0
29,Shedro Louis,LIB,RB,19,461,24.3,97,1,0,0,0.0,0,0
30,Isaac Guerendo,WISC,RB,20,454,22.7,50,0,0,0,0.0,0,0
31,Daniyel Ngata,ASU,RB,18,451,25.1,58,0,0,0,0.0,0,0
31,Matthew McDoom,CCU,CB,20,451,22.5,95,1,0,0,0.0,0,0
33,Ryan O'Keefe,UCF,WR,22,448,20.4,51,0,0,0,0.0,0,0
34,Lincoln Victor,WSU,WR,22,445,20.2,36,0,0,0,0.0,0,0
35,Kazmeir Allen,UCLA,RB,18,442,24.6,43,0,0,0,0.0,0,0
36,Xavier Legette,SC,WR,15,441,29.4,100,1,0,0,0.0,0,0
37,Barion Brown,UK,WR,16,440,27.5,100,1,7,28,4.0,13,0
38,Jayce Rogers,HOU,DB,17,437,25.7,100,1,0,0,0.0,0,0
39,Jalen Perdue,HAW,DB,23,432,18.8,58,0,0,0,0.0,0,0
40,Nikko Reed,COLO,DB,19,430,22.6,45,0,2,15,7.5,18,0
41,Christian Washington,UNM,RB,16,427,26.7,100,1,0,0,0.0,0,0
42,LaMareon James,ODU,CB,20,425,21.3,38,0,0,0,0.0,0,0
43,Trevor Etienne,FLA,RB,17,421,24.8,48,0,0,0,0.0,0,0
44,Ja'Shaun Poke,KENT,WR,14,411,29.4,46,0,1,19,19.0,19,0
45,Ron Cook Jr.,BUFF,RB,19,410,21.6,32,0,1,-4,-4.0,0,0
46,Keilan Robinson,TEX,RB,16,403,25.2,52,0,2,19,9.5,12,1
47,Dash Luke,ULM,WR,23,396,17.2,34,0,1,0,0.0,0,0
48,Kearis Jackson,UGA,WR,18,391,21.7,36,0,3,51,17.0,28,0
49,Hobbs Nyberg,BYU,WR,17,388,22.8,42,0,10,115,11.5,42,0
50,Jsi Hatfield,ECU,WR,14,387,27.6,97,1,0,0,0.0,0,0
51,Octavian Smith Jr.,MD,WR,17,386,22.7,54,0,0,0,0.0,0,0
52,Jaden Nixon,OKST,RB,14,385,27.5,98,1,0,0,0.0,0,0
53,Jayden McGowan,VAN,WR,16,384,24.0,42,0,0,0,0.0,0,0
54,Jaylen Stinson,DUKE,S,15,380,25.3,67,0,0,0,0.0,0,0
54,Julian Gray,NCST,RB,16,380,23.8,44,0,0,0,0.0,0,0
56,Amechi Uzodinma,BALL,CB,16,374,23.4,64,0,0,0,0.0,0,0
57,Aron Cruickshank,RUTG,WR,19,370,19.5,66,0,11,43,3.9,22,0
58,Braylon McReynolds,USA,RB,16,369,23.1,38,0,1,11,11.0,11,0
59,Jawhar Jordan,LOU,RB,15,353,23.5,98,1,0,0,0.0,0,0
60,Nicholas Singleton,PSU,RB,14,349,24.9,100,1,0,0,0.0,0,0
61,Donnovan Moorer,TXST,WR,17,343,20.2,29,0,0,0,0.0,0,0
62,Anthony Simpson,ARIZ,WR,18,342,19.0,39,0,0,0,0.0,0,0
63,Bentlee Sanders,NEV,DB,19,337,17.7,37,0,14,93,6.6,34,0
64,Jason Thompson,STAN,WR,17,335,19.7,27,0,4,14,3.5,10,0
65,Trebor Pena,SYR,WR,12,326,27.2,57,0,21,182,8.7,43,0
66,Kaleb Johnson,IOWA,RB,13,325,25.0,42,0,0,0,0.0,0,0
67,Will Shipley,CLEM,RB,13,324,24.9,69,0,0,0,0.0,0,0
68,Xavier White,TTU,WR,14,316,22.6,36,0,2,15,7.5,13,0
68,Chris Carpenter,UTSA,WR,12,316,26.3,97,1,5,36,7.2,17,0
70,Giles Jackson,WASH,WR,15,312,20.8,33,0,5,45,9.0,16,0
70,De'Von Achane,TA&M,RB,11,312,28.4,95,1,0,0,0.0,0,0
72,Chris Smith,UL,RB,14,311,22.2,39,0,0,0,0.0,0,0
72,Gabriel Rogers,MEM,WR,14,311,22.2,33,0,0,0,0.0,0,0
74,Dayton Wade,MISS,WR,14,307,21.9,38,0,0,0,0.0,0,0
75,Demick Starling,UVA,WR,14,306,21.9,38,0,0,0,0.0,0,0
75,Maquel Haywood,NAVY,RB,17,306,18.0,30,0,0,0,0.0,0,0
77,Shocky Jacques-Louis,AKR,WR,13,305,23.5,88,0,2,3,1.5,3,0
78,Jarquez Hunter,AUB,RB,14,302,21.6,31,0,0,0,0.0,0,0
79,Jayden Harrison,MRSH,WR,15,298,19.9,34,0,0,0,0.0,0,0
80,Peyton Sawyer,HOU,WR,13,291,22.4,35,0,2,27,13.5,25,0
80,DeMario Douglas,LIB,WR,14,291,20.8,37,0,18,74,4.1,32,0
80,Shamar Garrett,SJSU,WR,16,291,18.2,32,0,1,0,0.0,0,0
83,Victor Rosa,CONN,RB,15,283,18.9,28,0,9,53,5.9,25,0
84,Jimmy Holiday,TENN,WR,14,281,20.1,34,0,0,0,0.0,0,0
85,Deion Burks,PUR,WR,14,278,19.9,37,0,0,0,0.0,0,0
86,Jalil Farooq,OU,WR,12,275,22.9,47,0,0,0,0.0,0,0
87,Xavier Johnson,OSU,WR,12,269,22.4,46,0,1,5,5.0,5,0
88,Brennan Presley,OKST,WR,11,267,24.3,50,0,14,111,7.9,23,0
89,Jhaylin Embry,BGSU,WR,11,260,23.6,33,0,4,59,14.8,42,0
90,Jacquez Stuart,TOL,RB,14,259,18.5,48,0,0,0,0.0,0,0
91,Jahmyr Gibbs,ALA,RB,13,258,19.8,57,0,0,0,0.0,0,0
92,Ty Mims,USM,WR,11,256,23.3,35,0,5,54,10.8,27,0
93,Chris Tyree,ND,WR,15,254,16.9,33,0,0,0,0.0,0,0
93,Jaylin Lane,MTSU,WR,11,254,23.1,35,0,19,152,8.0,23,0
95,Jamaal Bell,NEV,WR,11,252,22.9,32,0,0,0,0.0,0,0
96,Brashard Smith,MIA,RB,11,250,22.7,39,0,3,19,6.3,18,0
96,OJ Arnold,GASO,RB,13,250,19.2,29,0,0,0,0.0,0,0
98,AJ Henning,MICH,WR,11,241,21.9,31,0,28,201,7.2,61,1
98,Ashton Hayes,CAL,RB,12,241,20.1,31,0,0,0,0.0,0,0
100,Walter Dawn Jr.,UTEP,WR,14,239,17.1,32,0,0,0,0.0,0,0
101,Kris Hutson,ORE,WR,12,238,19.8,33,0,10,42,4.2,21,0
102,Kenny Logan Jr.,KU,S,12,237,19.8,38,0,0,0,0.0,0,0
102,Jaylin Noel,ISU,WR,14,237,16.9,31,0,11,56,5.1,16,0
104,Ke'Shawn Williams,WAKE,WR,12,235,19.6,38,0,0,0,0.0,0,0
105,Israel Abanikanda,PITT,RB,12,228,19.0,24,0,0,0,0.0,0,0
106,Corey Palmer,TEM,WR,14,226,16.1,25,0,0,0,0.0,0,0
107,DJ Taylor Jr.,ASU,DB,10,225,22.5,28,0,11,36,3.3,16,0
107,Jacoby Jones,OHIO,WR,12,225,18.8,30,0,0,0,0.0,0,0
109,Tommi Hill,NEB,CB,12,221,18.4,32,0,0,0,0.0,0,0
109,George Pettaway,UNC,RB,7,221,31.6,56,0,1,16,16.0,16,0
109,Cole Wright,BOIS,WR,11,221,20.1,36,0,0,0,0.0,0,0
112,Irone Jackson,CMU,WR,13,220,16.9,29,0,0,0,0.0,0,0
113,Brendon Barrow,STAN,RB,9,218,24.2,40,0,0,0,0.0,0,0
113,Jeremiah Aaron,WVU,WR,12,218,18.2,29,0,0,0,0.0,0,0
115,Juma Otoviano,RICE,RB,12,215,17.9,33,0,0,0,0.0,0,0
116,Hassan Hall,GT,RB,9,214,23.8,41,0,1,0,0.0,0,0
116,Sam James,WVU,WR,11,214,19.5,42,0,0,0,0.0,0,0
116,De'Javion Stepney,CMU,DB,8,214,26.8,60,0,1,-2,-2.0,0,0
119,Jimmy Horn Jr.,USF,WR,7,209,29.9,89,1,0,0,0.0,0,0
120,Camron Harrell,USM,DB,11,207,18.8,35,0,0,0,0.0,0,0
121,Bryan Massey,SMU,DB,11,205,18.6,53,0,0,0,0.0,0,0
122,Bryce Farrell,STAN,WR,10,200,20.0,24,0,3,-1,-0.3,1,0
122,Jonathan Brady,NMSU,WR,11,200,18.2,36,0,0,0,0.0,0,0
124,Kaden Dudley,BOIS,RB,7,199,28.4,37,0,0,0,0.0,0,0
125,Sam Hicks,CMU,RB,7,197,28.1,50,0,0,0,0.0,0,0
126,Marquez Cooper,KENT,RB,9,196,21.8,39,0,0,0,0.0,0,0
127,Craig Williams,BAY,RB,10,192,19.2,36,0,0,0,0.0,0,0
127,Tre Tucker,CIN,WR,9,192,21.3,29,0,3,46,15.3,30,0
127,Trey Benson,FSU,RB,5,192,38.4,93,1,0,0,0.0,0,0
130,Sam Martin,TEM,DB,8,189,23.6,33,0,0,0,0.0,0,0
131,Peyton Vining,ILL,DB,9,188,20.9,43,0,1,0,0.0,0,0
132,Chance Black,VT,RB,13,187,14.4,29,0,0,0,0.0,0,0
133,Mason King,NIU,RB,11,186,16.9,26,0,0,0,0.0,0,0
134,Emari Demercado,TCU,RB,7,185,26.4,62,0,0,0,0.0,0,0
135,Tyrell Henry,MSU,WR,10,183,18.3,30,0,0,0,0.0,0,0
136,Phillip Brooks,KSU,WR,10,182,18.2,41,0,14,168,12.0,76,1
137,Evan Hull,NU,RB,9,181,20.1,25,0,0,0,0.0,0,0
138,Cole Beck,VT,WR,8,179,22.4,40,0,0,0,0.0,0,0
139,Malik Sherrod,FRES,RB,8,175,21.9,50,0,0,0,0.0,0,0
140,Nohl Williams,UNLV,CB,7,172,24.6,36,0,7,46,6.6,14,0
141,Jordan Brown,TTU,WR,7,171,24.4,67,0,0,0,0.0,0,0
141,Reagan Ealy,ARST,WR,10,171,17.1,33,0,1,15,15.0,15,0
143,Jalen Walker,M-OH,WR,9,169,18.8,28,0,16,127,7.9,35,0
144,Davion Ross,MEM,DB,6,168,28.0,36,0,0,0,0.0,0,0
145,Dante Capolungo,COLO,WR,6,165,27.5,35,0,0,0,0.0,0,0
146,Keegan Holles,CSU,RB,11,163,14.8,28,0,0,0,0.0,0,0
147,Caullin Lacy,USA,WR,5,157,31.4,49,0,21,187,8.9,57,1
147,Chuuky Hines,HAW,WR,10,157,15.7,23,0,0,0,0.0,0,0
149,Noah Cain,LSU,RB,7,155,22.1,33,0,0,0,0.0,0,0
149,Kamdyn Benjamin,TLSA,WR,8,155,19.4,25,0,0,0,0.0,0,0
149,Jordan Nabors,BAY,WR,7,155,22.1,37,0,4,58,14.5,25,0
152,Cam Stone,WYO,DB,7,154,22.0,37,0,1,1,1.0,1,0
153,Devontae Houston,CONN,RB,8,151,18.9,30,0,0,0,0.0,0,0
153,Omarion Hampton,UNC,RB,7,151,21.6,36,0,0,0,0.0,0,0
155,Tai Felton,MD,WR,6,150,25.0,39,0,0,0,0.0,0,0
156,Keegan Jones,UCLA,RB,9,149,16.6,31,0,0,0,0.0,0,0
157,Cam Davis,WASH,RB,7,148,21.1,30,0,0,0,0.0,0,0
158,Jalen Preston,TA&M,WR,9,147,16.3,30,0,0,0,0.0,0,0
158,Monaray Baldwin,BAY,WR,9,147,16.3,24,0,1,-2,-2.0,0,0
