RK,NAME,TEAM,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
1,Mac Jones,ALA,311,402,77.4,4500,11.2,90,41,4,13,203.1
2,Kyle Trask,FLA,301,437,68.9,4283,9.8,71,43,8,20,180.0
3,Zach Wilson,BYU,247,336,73.5,3692,11.0,78,33,3,11,196.4
4,Sam Howell,UNC,237,348,68.1,3586,10.3,87,30,7,33,179.1
5,Dillon Gabriel,UCF,248,413,60.0,3570,8.6,93,32,4,22,156.3
6,Brady White,MEM,254,420,60.5,3380,8.0,92,31,10,20,147.7
7,Matt Corral,MISS,231,326,70.9,3337,10.2,91,29,14,18,177.6
8,Trevor Lawrence,CLEM,231,334,69.2,3153,9.4,83,24,5,15,169.2
9,Shane Buechele,SMU,242,370,65.4,3095,8.4,85,23,6,20,152.9
10,Spencer Rattler,OU,214,317,67.5,3031,9.6,61,28,7,22,172.6
11,Carson Strong,NEV,249,355,70.1,2858,8.1,85,27,4,20,160.6
12,Ian Book,ND,228,353,64.6,2830,8.0,75,15,3,25,144.3
13,Brock Purdy,ISU,243,365,66.6,2750,7.5,65,19,9,13,142.1
14,D'Eriq King,MIAMI,211,329,64.1,2686,8.2,89,23,5,26,152.7
15,Malik Cunningham,LOU,195,304,64.1,2617,8.6,82,20,12,28,150.3
16,Jarret Doege,WVU,239,374,63.9,2587,6.9,70,14,4,20,132.2
17,Sam Ehlinger,TEX,194,322,60.2,2566,8.0,78,26,5,22,150.7
18,Phil Jurkovec,BC,205,336,61.0,2558,7.6,77,17,5,24,138.7
19,Grayson McCall,CCU,172,250,68.8,2488,10.0,75,26,3,11,184.3
20,Bo Nix,ORE,214,357,59.9,2415,6.8,91,12,7,21,123.9
21,Kenny Pickett,PITT,203,332,61.1,2408,7.3,75,13,9,18,129.6
22,Connor Bazelak,MIZ,218,324,67.3,2366,7.3,69,7,6,12,132.0
23,Desmond Ridder,CIN,186,281,66.2,2296,8.2,60,19,6,18,152.9
24,Kellen Mond,TA&M,188,297,63.3,2282,7.7,54,19,3,7,146.9
25,Cornelious Brown IV,GAST,178,304,58.6,2278,7.5,65,17,10,12,133.4
26,Levi Lewis,UL,177,297,59.6,2274,7.7,78,19,7,7,140.3
27,Malik Willis,LIB,170,265,64.2,2260,8.5,83,20,6,19,156.2
28,Sam Hartman,WAKE,159,273,58.2,2224,8.1,80,13,5,24,138.7
29,Zac Thomas,APP,186,291,63.9,2189,7.5,62,20,11,21,142.2
30,Nick Starkel,SJSU,163,254,64.2,2174,8.6,69,17,7,6,152.6
31,Chase Brice,DUKE,193,352,54.8,2170,6.2,55,10,15,34,107.5
