RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'XP')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'PTS/G')"
1,Blake Corum,MICH,RB,27,1,0,28,0,0,0,168,11.2
2,Bert Auburn,TEX,PK,0,0,0,0,29,56,0,143,10.2
3,Peyton Woodring,UGA,PK,0,0,0,0,21,71,0,134,9.5
4,Jose Pizano,UNLV,PK,0,0,0,0,26,55,0,133,9.5
5,Ollie Gordon II,OKST,RB,21,1,0,22,0,0,0,132,13.2
6,Ray Davis,UK,RB,14,7,0,21,0,0,0,126,10.5
6,Randy Bond,TA&M,PK,0,0,0,0,26,48,0,126,9.6
6,Collin Rogers,SMU,PK,0,0,0,0,20,66,0,126,9.0
9,Will Reichard,ALA,PK,0,0,0,0,22,55,0,121,8.6
10,Kairee Robinson,SJSU,RB,18,2,0,20,0,0,0,120,10.9
10,Jonah Dalmas,BOIS,PK,0,0,0,0,24,48,0,120,8.5
12,James Turner,MICH,PK,0,0,0,0,18,65,0,119,7.9
13,Alex Hale,OKST,PK,0,0,0,0,27,36,0,117,9.0
13,Harrison Mevis,MIZ,PK,0,0,0,0,24,45,0,117,9.0
13,Grady Gross,WASH,PK,0,0,0,0,18,63,0,117,7.8
16,Graham Nicholson,M-OH,PK,0,0,0,0,27,35,0,116,8.2
17,Ryan Fitzgerald,FSU,PK,0,0,0,0,19,58,0,115,8.2
18,Michael Lantz,GASO,PK,0,0,0,0,23,45,0,114,8.7
18,Ashton Jeanty,BOIS,RB,14,5,0,19,0,0,0,114,12.6
20,Damian Ramos,LSU,PK,0,0,0,0,12,77,0,113,8.6
21,Zach Schmit,OU,PK,0,0,0,0,15,67,0,112,8.6
21,Dylan Lynch,FRES,PK,0,0,0,0,24,40,0,112,8.6
23,Michael Hughes,APP,PK,0,0,0,0,19,54,0,111,7.9
24,Andy Borregales,MIA,PK,0,0,0,0,22,44,0,110,8.4
24,Tyler Loop,ARIZ,PK,0,0,0,0,19,53,0,110,8.4
24,John Love,VT,PK,0,0,0,0,22,44,0,110,8.4
27,RJ Harvey,UCF,RB,16,2,0,18,0,0,0,108,12.0
27,Audric Estime,ND,RB,18,0,0,18,0,0,0,108,10.8
27,Jacory Croskey-Merritt,UNM,RB,17,1,0,18,0,0,0,108,9.8
30,Scott Taylor Renfroe,TROY,PK,0,0,0,0,19,50,0,107,7.6
31,Camden Lewis,ORE,PK,0,0,0,0,12,70,0,106,7.5
31,Spencer Shrader,ND,PK,0,0,0,0,15,61,0,106,8.1
31,Ethan Albertson,NMSU,PK,0,0,0,0,19,49,0,106,7.0
34,Valentino Ambrosio,TULN,PK,0,0,0,0,21,42,0,105,7.5
35,Alex Felkins,PSU,PK,0,0,0,0,19,47,0,104,8.0
35,La'Damian Webb,USA,RB,16,1,0,17,0,0,1,104,10.4
35,Quinshon Judkins,MISS,RB,15,2,0,17,0,0,1,104,9.4
38,Charles Campbell,TENN,PK,0,0,0,0,18,49,0,103,7.9
38,Mason Shipley,TXST,PK,0,0,0,0,15,58,0,103,7.9
40,Blake Watson,MEM,RB,14,3,0,17,0,0,0,102,10.2
40,Brian Thomas Jr.,LSU,WR,0,17,0,17,0,0,0,102,10.2
40,Devin Neal,KU,RB,16,1,0,17,0,0,0,102,10.2
43,Camden Wise,JMU,PK,0,0,0,0,16,53,0,101,7.7
44,Noah Burnette,UNC,PK,0,0,0,0,19,43,0,100,9.0
45,Caden Davis,MISS,PK,0,0,0,0,18,45,0,99,7.6
45,Chase Contreraz,ISU,PK,0,0,0,0,21,36,0,99,7.6
47,Michael Hayes II,WVU,PK,0,0,0,0,17,46,0,97,7.4
47,Jayden Fielding,OSU,PK,0,0,0,0,16,49,0,97,7.4
49,Peny Boone,TOL,RB,15,1,0,16,0,0,0,96,10.6
49,Quinton Cooley,LIB,RB,16,0,0,16,0,0,0,96,12.0
49,Dragan Kesich,MINN,PK,0,0,0,0,23,27,0,96,7.3
49,Omarion Hampton,UNC,RB,15,1,0,16,0,0,0,96,10.6
49,Dillon Johnson,WASH,RB,16,0,0,16,0,0,0,96,9.6
49,Rasheen Ali,MRSH,RB,15,1,0,16,0,0,0,96,13.7
55,Denis Lynch,USC,PK,0,0,0,0,10,65,0,95,7.3
56,Noah Rauschenberg,UNT,PK,0,0,0,0,16,46,0,94,7.8
56,Jalen Royals,USU,WR,0,15,0,15,0,0,2,94,9.4
58,Cam Little,ARK,PK,0,0,0,0,20,33,0,93,7.7
