RK,NAME,TEAM,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
1,Joe Burrow,LSU,402,527,76.3,5671,10.8,78,60,6,34,202.0
2,Anthony Gordon,WSU,493,689,71.6,5579,8.1,65,48,16,20,157.9
3,Cole McDonald,HAW,326,511,63.8,4135,8.1,59,33,14,19,147.6
4,Brady White,MEM,269,420,64.0,4014,9.6,73,33,11,27,165.0
5,Brock Purdy,ISU,312,475,65.7,3982,8.4,84,27,9,16,151.1
6,Shane Buechele,SMU,307,490,62.7,3929,8.0,75,34,10,17,148.8
7,Josh Love,SJSU,293,481,60.9,3923,8.2,80,22,8,14,141.2
8,Jalen Hurts,OKLA,237,340,69.7,3851,11.3,74,32,8,23,191.2
9,Chris Robison,FAU,291,471,61.8,3701,7.9,75,28,6,25,144.9
10,Trevor Lawrence,CLEM,268,407,65.8,3665,9.0,87,36,8,17,166.7
11,Stephen Calvert,LIB,249,431,57.8,3663,8.5,73,28,7,25,147.4
11,Sam Ehlinger,TEX,296,454,65.2,3663,8.1,75,32,10,34,151.8
13,Dillon Gabriel,UCF,236,398,59.3,3653,9.2,75,29,7,22,156.9
14,Sam Howell,UNC,259,422,61.4,3641,8.6,68,38,7,36,160.2
15,Kaleb Barker,TROY,299,460,65.0,3628,7.9,64,30,10,27,148.4
16,Bryce Perkins,UVA,320,496,64.5,3538,7.1,67,22,12,41,134.2
17,Kedon Slovis,USC,282,392,71.9,3502,8.9,95,30,9,23,167.6
18,Jack Abraham,USM,275,405,67.9,3496,8.6,77,19,15,21,148.5
19,Justin Herbert,ORE,286,428,66.8,3471,8.1,73,32,6,24,156.8
20,Jordan Love,USU,293,473,61.9,3402,7.2,80,20,17,20,129.1
21,Holton Ahlers,ECU,264,442,59.7,3387,7.7,75,21,10,17,135.3
22,Zach Smith,TLSA,246,429,57.3,3279,7.6,66,19,9,39,132.0
23,Justin Fields,OSU,238,354,67.2,3273,9.2,60,41,3,31,181.4
24,Tanner Morgan,MINN,210,318,66.0,3253,10.2,73,30,7,30,178.7
25,Mike Glass III,EMU,266,401,66.3,3169,7.9,80,24,11,14,147.0
26,Charlie Brewer,BAY,251,389,64.5,3161,8.1,78,21,7,31,147.0
27,Jacob Eason,WASH,260,405,64.2,3132,7.7,57,23,8,21,143.9
28,Kenny Pickett,PITT,289,469,61.6,3098,6.6,96,13,9,29,122.4
29,Jon Wassink,WMU,241,407,59.2,3097,7.6,61,20,8,18,135.4
30,Tyler Huntley,UTAH,220,301,73.1,3092,10.3,83,19,4,24,177.5
31,Mason Fine,UNT,257,414,62.1,3088,7.5,68,29,9,26,143.5
32,Brian Lewerke,MSU,260,436,59.6,3079,7.1,64,17,13,18,125.9
33,Shea Patterson,MICH,214,381,56.2,3061,8.0,76,23,8,25,139.4
34,Levi Lewis,UL,243,378,64.3,3050,8.1,74,26,4,15,152.6
35,Ian Book,ND,240,399,60.2,3034,7.6,70,34,6,14,149.1
36,J'Mar Smith,LAT,236,367,64.3,2977,8.1,80,18,5,25,145.9
37,Nate Stanley,IOWA,237,399,59.4,2951,7.4,75,16,7,23,131.2
38,Layne Hatcher,ARST,204,310,65.8,2946,9.5,92,27,10,30,167.9
39,Jayden Daniels,ASU,205,338,60.7,2943,8.7,86,17,2,32,149.2
40,Caleb Evans,ULM,239,390,61.3,2942,7.5,98,21,10,15,137.3
41,Kyle Trask,FLA,237,354,66.9,2941,8.3,66,25,7,22,156.1
42,Drew Plitt,BALL,238,370,64.3,2918,7.9,64,24,7,29,148.2
43,Kellen Mond,TA&M,258,419,61.6,2897,6.9,52,20,9,31,131.1
44,Jamie Newman,WAKE,220,361,60.9,2868,7.9,70,26,11,22,145.4
45,Anthony Russo,TEM,246,419,58.7,2861,6.8,79,21,12,16,126.9
46,Jake Fromm,UGA,234,385,60.8,2860,7.4,60,24,5,15,141.2
47,Jett Duffey,TTU,239,367,65.1,2840,7.7,81,18,5,16,143.6
47,Tua Tagovailoa,ALA,180,252,71.4,2840,11.3,85,33,3,10,206.9
49,Nathan Rourke,OHIO,200,328,61.0,2820,8.6,55,20,5,21,150.3
50,Steven Montez,COLO,255,405,63.0,2808,6.9,96,17,10,20,130.1
51,Patrick O'Brien,CSU,209,338,61.8,2803,8.3,87,13,7,23,140.0
