RK,NAME,TEAM,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
1,Bailey Zappe,WKU,475,686,69.2,5967,8.7,75,62,11,16,168.9
2,Bryce Young,ALA,366,547,66.9,4872,8.9,94,47,7,39,167.5
3,Will Rogers,WASH,505,683,73.9,4739,6.9,56,36,9,34,147.0
4,Brennan Armstrong,UVA,326,500,65.2,4449,8.9,77,31,10,31,156.4
5,C.J. Stroud,OSU,317,441,71.9,4435,10.1,77,44,6,13,186.6
6,Kenny Pickett,PITT,334,497,67.2,4319,8.7,67,42,7,29,165.3
7,Sam Hartman,WAKE,299,508,58.9,4228,8.3,75,39,14,35,148.6
8,Carson Strong,NEV,367,524,70.0,4186,8.0,66,36,8,37,156.8
9,Jake Haener,FRES,329,490,67.1,4096,8.4,86,33,9,23,155.9
10,Taulia Tagovailoa,MD,328,474,69.2,3860,8.1,70,26,11,25,151.1
11,Aidan O'Connell,PUR,315,440,71.6,3712,8.4,75,28,11,18,158.5
12,Logan Bonner,USU,263,430,61.2,3628,8.4,76,36,12,22,154.1
12,Tanner Mordecai,SMU,308,454,67.8,3628,8.0,68,39,12,16,158.0
14,Clayton Tune,HOU,287,421,68.2,3546,8.4,55,30,10,36,157.7
15,Grant Wells,MRSH,295,445,66.3,3532,7.9,65,16,13,16,139.0
16,Devin Leary,NCST,283,431,65.7,3433,8.0,79,35,5,25,157.0
17,Matt Corral,MISS,262,386,67.9,3349,8.7,68,20,5,25,155.3
18,Chase Brice,APP,242,390,62.1,3337,8.6,80,27,11,17,151.1
19,Desmond Ridder,CIN,251,387,64.9,3334,8.6,81,30,8,26,158.7
20,Seth Henigan,MEM,235,393,59.8,3322,8.5,75,25,8,23,147.7
21,Kaleb Eleby,WMU,230,362,63.5,3277,9.1,74,23,6,29,157.2
22,Davis Brin,TLSA,243,410,59.3,3254,7.9,88,18,16,25,132.6
23,Payton Thorne,MSU,235,389,60.4,3240,8.3,85,27,10,21,148.1
24,Dustin Crum,KENT,245,382,64.1,3238,8.5,80,20,6,38,149.5
25,Gavin Hardison,UTEP,198,357,55.5,3218,9.0,76,18,13,19,140.5
26,Brock Purdy,ISU,292,407,71.7,3188,7.8,68,19,8,21,149.0
27,Frank Harris,UTSA,263,398,66.1,3177,8.0,75,27,6,15,152.5
28,Jack Coan,ND,253,385,65.7,3150,8.2,70,25,7,32,152.2
29,Holton Ahlers,ECU,256,414,61.8,3126,7.6,63,18,10,36,134.8
30,Ben Bryant,EMU,279,408,68.4,3121,7.7,64,14,7,40,140.5
31,Sean Clifford,PSU,261,428,61.0,3107,7.3,86,21,8,30,134.4
32,Hank Bachmeier,BSU,252,401,62.8,3079,7.7,69,20,8,24,139.8
33,Sam Howell,UNC,217,347,62.5,3056,8.8,76,24,9,48,154.2
34,Jarret Doege,WVU,272,417,65.2,3048,7.3,55,19,12,35,135.9
35,Anthony Brown Jr.,ORE,250,390,64.1,2989,7.7,66,18,7,23,140.1
36,Todd Centeio,CSU,229,380,60.3,2958,7.8,69,15,10,27,133.4
37,Hendon Hooker,TENN,206,302,68.2,2945,9.8,75,31,3,36,182.0
38,Malik Cunningham,LOU,209,337,62.0,2941,8.7,93,19,6,20,150.4
39,Max Bortenschlager,FIU,178,342,52.0,2935,8.6,91,19,12,39,135.5
