RK,NAME,TEAM,ATT,YDS,AVG,LNG,TD
1,Cam Cook,JVST,295,1659,5.6,73,16
2,Ahmad Hardy,MIZ,256,1649,6.4,72,16
3,Kewan Lacy,MISS,306,1567,5.1,73,24
4,Emmett Johnson,NEB,251,1451,5.8,70,12
5,Caleb Hawkins,UNT,231,1434,6.2,51,25
6,Sieh Bangura,OHIO,241,1392,5.8,49,15
7,Wayne Knight,JMU,207,1373,6.6,73,9
8,Jeremiyah Love,ND,199,1372,6.9,94,18
9,Evan Dickens,LIB,229,1339,5.8,95,16
10,Kejon Owens,FIU,213,1334,6.3,84,11
11,LJ Martin,BYU,236,1305,5.5,49,12
12,Kaytron Allen,PSU,210,1303,6.2,67,15
13,Lucky Sutton,SDSU,254,1297,5.1,50,10
14,Antwan Raymond,RUTG,244,1241,5.1,51,13
15,Cam Edwards,CONN,210,1240,5.9,73,15
16,Cale Hellums,ARMY,304,1223,4.0,50,18
17,Blake Horvath,NAVY,224,1200,5.4,59,16
18,Mark Fletcher Jr.,MIA,216,1192,5.5,57,12
19,Jadan Baugh,FLA,220,1170,5.3,26,8
20,Raleek Brown,ASU,186,1141,6.1,88,4
21,Nate Sheppard,DUKE,200,1132,5.7,60,11
22,Lincoln Pare,TXST,210,1128,5.4,63,12
23,Dylan Riley,BOIS,195,1125,5.8,77,10
24,Cameron Dickey,TTU,209,1124,5.4,71,14
25,Roman Hemby,IU,230,1120,4.9,82,7
26,Bo Jackson,OSU,179,1090,6.1,64,6
27,Anthony Hankerson,ORST,247,1086,4.4,65,9
28,Kentrel Bullock,USA,218,1085,5.0,64,14
29,DeSean Bishop,TENN,182,1076,5.9,50,16
30,Caden Creel,JVST,182,1075,5.9,73,7
31,Mike Washington Jr.,ARK,167,1070,6.4,57,8
32,Dominic Richardson,TLSA,212,1065,5.0,57,5
33,J'Mari Taylor,UVA,222,1062,4.8,78,14
34,Robert Henry Jr.,UTSA,151,1045,6.9,76,9
35,Kaelon Black,IU,186,1040,5.6,40,10
36,Jai'Den Thomas,UNLV,148,1036,7.0,70,12
37,OJ Arnold,GASO,144,1032,7.2,62,5
37,Jordan Gant,AKR,213,1032,4.8,36,6
39,Shomari Lawrence,MOST,199,1021,5.1,70,7
40,Chip Trayanum,TOL,182,1015,5.6,75,12
41,Dontae McMillan,EMU,177,1014,5.7,54,4
42,Byrum Brown,USF,175,1008,5.8,60,14
43,Colton Joseph,ODU,158,1007,6.4,78,13
44,Jalen Buckley,WMU,179,1003,5.6,67,9
45,Wayshawn Parker,UTAH,149,981,6.6,64,6
46,Dean Connors,HOU,200,977,4.9,54,6
47,King Miller,USC,156,972,6.2,75,8
48,Jeremiah Cobb,AUB,175,969,5.5,46,5
49,Broc Lowry,WMU,203,963,4.7,37,14
50,Haynes King,GT,185,953,5.2,45,15
51,Carson Hansen,ISU,188,952,5.1,65,6
52,Nate Frazier,UGA,173,947,5.5,59,6
53,Kendrick Raphael,CAL,232,943,4.1,33,13
54,Caleb Komolafe,NU,190,941,5.0,56,11
55,Hollywood Smothers,NCSU,160,939,5.9,65,6
56,Jordan Marshall,MICH,150,932,6.2,65,10
57,Liam Szarka,AFA,190,922,4.9,64,13
58,Joe Jackson,KSU,169,911,5.4,80,8
59,Demond Claiborne,WAKE,179,907,5.1,85,10
60,Alex Tecza,NAVY,158,902,5.7,76,10
61,Jevon Jackson,UAB,167,900,5.4,58,5
62,Quinton Jackson,RICE,180,889,4.9,73,6
63,Parker Navarro,OHIO,160,886,5.5,44,9
64,Isaac Brown,LOU,101,884,8.8,78,7
65,Kamari Moulton,IOWA,170,878,5.2,34,5
66,Chavon Wright,NIU,196,875,4.5,45,5
67,Rashod Dubinion,APP,174,868,5.0,39,4
67,J'Koby Williams,TTU,155,868,5.6,50,6
69,Will Henderson III,UTSA,125,866,6.9,59,6
70,Diego Pavia,VAN,167,862,5.2,41,10
71,Ismail Mahdi,ARIZ,134,859,6.4,68,4
72,Justice Haynes,MICH,121,857,7.1,75,10
73,Devon Dampier,UTAH,146,835,5.7,59,10
74,Noah Whittington,ORE,129,829,6.4,68,6
75,Adam Randall,CLEM,168,814,4.8,46,10
76,Sire Gaines,BOIS,161,811,5.0,46,8
77,Jay Ducker,TEM,157,809,5.2,55,7
78,Trequan Jones,ODU,105,792,7.5,93,6
79,Bryson Washington,BAY,154,788,5.1,41,6
80,T.J. Harden,SMU,171,787,4.6,53,9
81,Taylen Green,ARK,139,777,5.6,64,8
82,Jordan Brunson,M-OH,164,767,4.7,60,4
82,Bill Davis,UL,158,767,4.9,76,6
84,Coleman Bennett,KENN,157,764,4.9,30,4
85,Jonah Coleman,WASH,156,758,4.9,38,15
86,Al-Jay Henderson,BUFF,182,755,4.1,41,6
87,Jamal Roberts,MIZ,124,753,6.1,63,6
88,Jekail Middlebrook,MTSU,140,752,5.4,72,4
89,Owen Allen,AFA,132,750,5.7,43,5
90,Turbo Richard,BC,145,749,5.2,71,9
90,Marcellous Hawkins,VT,118,749,6.3,40,1
92,Ja'Kyrian Turner,PITT,140,745,5.3,56,7
93,Brad Jackson,TXST,174,744,4.3,63,17
94,London Montgomery,ECU,156,742,4.8,51,7
95,Bryson Barnes,USU,189,740,3.9,58,10
96,Abu Sama III,ISU,140,732,5.2,44,5
97,Miles Davis,USU,131,731,5.6,64,8
98,Seth McGowan,UK,165,725,4.4,20,12
99,Telly Johnson Jr.,NIU,124,712,5.7,80,4
100,Tawee Walker,CIN,120,709,5.9,54,4
101,Myles Montgomery,UCF,143,705,4.9,45,4
101,Jeffery Pittman,USM,156,705,4.5,25,8
103,Keyjuan Brown,LOU,96,704,7.3,67,6
104,Rayshon Luke,FRES,112,702,6.3,69,6
105,Conner Weigman,HOU,171,700,4.1,50,11
106,Malachi Hosley,GT,98,697,7.1,55,7
107,Tae Meadows,TROY,159,695,4.4,47,6
108,Zylan Perry,UL,138,689,5.0,84,8
109,Caleb Ramseur,NEV,139,683,4.9,32,5
110,Fluff Bothwell,MSST,142,677,4.8,43,6
111,Jadarian Price,ND,113,674,6.0,58,11
112,Greg Burrell,TXST,100,671,6.7,61,3
113,Darius Taylor,MINN,143,670,4.7,71,4
114,Sutton Smith,MEM,102,669,6.6,84,7
115,Lunch Winfield,UL,152,667,4.4,42,9
115,Jordon Davison,ORE,113,667,5.9,67,15
117,Brendon Lewis,MEM,151,665,4.4,27,9
118,Carlos Del Rio-Wilson,MRSH,160,660,4.1,24,6
118,Zach Palmer-Smith,ULM,115,660,5.7,56,4
120,Dierre Hill Jr.,ORE,75,656,8.7,71,5
121,Jo Silver,DEL,119,652,5.5,70,5
122,Anthony Colandrea,UNLV,127,649,5.1,37,10
123,Gavin Garcia,KENT,146,647,4.4,45,3
124,Kyron Drones,VT,170,644,3.8,33,9
125,Micah Ford,STAN,145,643,4.4,75,4
126,Rueben Owens II,TA&M,119,639,5.4,57,5
127,Braylon McReynolds,ULM,123,637,5.2,74,3
128,Damon Bankston,UNM,114,635,5.6,54,5
129,Jake Retzlaff,TULN,129,634,4.9,69,16
129,Clay Thevenin,LT,131,634,4.8,50,8
131,Devin Roche,ODU,111,630,5.7,67,4
132,Jeremy Payne,TCU,110,623,5.7,51,5
133,Jaquari Lewis,APP,140,618,4.4,27,6
134,Ca'Lil Valentine,ILL,131,614,4.7,25,4
134,Rodney Fields Jr.,OKST,124,614,5.0,41,1
136,Nykahi Davenport,USF,98,612,6.2,60,7
137,Demond Williams Jr.,WASH,143,611,4.3,42,6
138,Trey Kukuk,LT,98,609,6.2,58,5
139,Keenan Phillips,USA,126,605,4.8,54,3
140,Kiael Kelly,BALL,211,600,2.8,56,5
140,Bryson Donelson,FRES,140,600,4.3,57,5
142,Quintrevion Wisner,TEX,131,597,4.6,48,3
143,Star Thomas,TENN,104,596,5.7,52,7
144,Jayden Scott,NCSU,106,595,5.6,69,4
145,Ja'Vin Simpkins,CCU,125,591,4.7,46,2
146,Alonza Barnett III,JMU,127,589,4.6,58,15
147,Daniel Hishaw Jr.,KU,124,587,4.7,22,5
148,Duncan Brune,OHIO,120,585,4.9,66,8
149,Marlon Gunn Jr.,ECU,112,582,5.2,50,6
150,Brendan Sorsby,CIN,100,580,5.8,41,9
151,Kirby Vorhees,WSU,138,576,4.2,46,5
151,Marvis Parrish,WKU,106,576,5.4,66,1
151,Waymond Jordan,USC,88,576,6.5,40,5
154,Noah Short,ARMY,98,571,5.8,81,1
155,Ashten Emory,UTEP,119,569,4.8,56,4
156,Sedrick Alexander,VAN,105,567,5.4,65,11
157,Chase Belcher,KENN,107,566,5.3,46,2
158,Greg Desrosiers Jr.,MEM,99,563,5.7,90,7
158,Christian Washington,SDSU,98,563,5.7,41,4
160,Leshon Williams,KU,97,560,5.8,62,7
160,Dante Dowdell,UK,112,560,5.0,79,3
162,Landon Sims,HAW,122,559,4.6,43,3
162,Devin Spencer,ARST,108,559,5.2,43,3
164,Yasin Willis,SYR,129,558,4.3,41,4
164,Samuel Harris,WYO,100,558,5.6,50,1
166,Tommy Castellanos,FSU,137,557,4.1,26,9
167,Harrison Waylee,UVA,118,556,4.7,97,6
168,Jaden Nixon,UCF,71,554,7.8,87,7
168,Robby Ashford,WAKE,130,554,4.3,43,9
170,Davon Booth,MSST,136,553,4.1,22,7
171,Nicholas Singleton,PSU,123,549,4.5,59,13
172,Qua Ashley,BALL,118,547,4.6,72,4
173,Mark Gronowski,IOWA,130,545,4.2,67,16
174,Jordon Simmons,GAST,97,543,5.6,92,2
175,Nahree Biggins,CMU,105,540,5.1,58,2
175,Jamauri McClure,TULN,83,540,6.5,30,2
177,Jeff Sims,ASU,100,536,5.4,88,5
178,Jamal Haynes,GT,124,531,4.3,47,5
178,Chase Jenkins,RICE,151,531,3.5,34,5
180,Kenji Christian,TOL,105,528,5.0,37,4
181,Chubba Purdy,NEV,101,527,5.2,58,3
181,Trinidad Chambliss,MISS,133,527,4.0,41,8
181,Angel Flores,CMU,107,527,4.9,37,8
181,Bear Bachmeier,BYU,147,527,3.6,22,11
185,Chauncey Bowens,UGA,103,526,5.1,43,6
186,Kenyon Clay,ARST,139,523,3.8,30,3
186,Adam Mohammed,WASH,106,523,4.9,25,5
188,Evan Pryor,CIN,76,522,6.9,46,3
189,Devin Mockobee,PUR,125,521,4.2,32,4
190,Makhi Frazier,MSU,116,520,4.5,49,2
191,Javin Gordon,TULN,128,516,4.0,25,5
192,Byrd Ficklin,UTAH,61,513,8.4,74,10
193,Antwan Roberts,MRSH,90,512,5.7,54,4
194,Jalen Dupree,CSU,102,508,5.0,31,2
195,Kaden Feagin,ILL,122,507,4.2,26,7
196,Nico Iamaleava,UCLA,112,505,4.5,52,4
196,Caden Durham,LSU,111,505,4.6,51,3
196,Khobie Martin,IU,78,505,6.5,36,6
199,Jam Miller,ALA,130,504,3.9,24,3
200,DeJuan Williams,MD,128,501,3.9,40,3
201,Eli Heidenreich,NAVY,77,499,6.5,25,3
202,Ajay Allen,TLSA,97,495,5.1,40,5
203,Marcel Reed,TA&M,104,493,4.7,46,6
203,Austyn Dendy,BGSU,108,493,4.6,24,5
205,Harlem Berry,LSU,104,491,4.7,43,2
205,Andrew Burnette,LT,95,491,5.2,98,9
207,Anderson Castle,DUKE,115,488,4.2,66,12
208,Landan Brown,SHSU,84,487,5.8,63,5
209,Gavin Sawchuk,FSU,109,486,4.5,40,8
209,Joseph Himon II,NU,99,486,4.9,37,1
211,Tory Blaylock,OU,120,480,4.0,25,4
212,Chris Johnson Jr.,SMU,67,479,7.1,87,4
213,Avery Johnson,KSU,109,477,4.4,58,8
214,Sam Franklin,USF,80,474,5.9,73,4
214,CharMar Brown,MIA,122,474,3.9,23,7
216,La'Vell Wright,WKU,85,471,5.5,39,10
217,Trey Cornist,CMU,105,470,4.5,29,1
217,Rahsul Faison,SC,96,470,4.9,46,3
219,Terion Stewart,VT,82,469,5.7,85,0
219,Anthony Carrie,FIU,103,469,4.6,53,5
219,Caden Knighten,BAY,104,469,4.5,49,1
222,Omiri Wiggins,LT,97,468,4.8,37,4
223,Gemari Sands,FAU,105,465,4.4,37,0
224,D.J. McKinney,UNM,111,464,4.2,54,7
224,Demon June,UNC,84,464,5.5,50,2
226,Gunner Stockton,UGA,129,462,3.6,22,10
227,Kaden Shields-Dutton,FAU,84,460,5.5,50,6
227,Viron Ellison Jr.,DEL,118,460,3.9,20,4
229,Kamario Taylor,MSST,82,458,5.6,39,8
230,Steve Chavez-Soto,SJSU,87,448,5.1,66,7
231,Cole Tabb,STAN,114,445,3.9,28,3
232,Kevorian Barnes,TCU,97,443,4.6,75,3
233,Fame Ijeboi,MINN,97,441,4.5,49,2
234,Keyvone Lee,UNLV,100,438,4.4,22,6
234,Kadarius Calloway,NMSU,115,438,3.8,29,3
236,Will Nixon,SYR,107,432,4.0,28,3
237,John Mateer,OU,149,431,2.9,51,8
237,Brandon Chatman,NAVY,57,431,7.6,36,3
239,Samari Collier,CCU,71,429,6.0,85,7
239,Javen Jacobs,USU,65,429,6.6,58,5
241,Tavierre Dunlap,EMU,106,428,4.0,36,5
241,Elijah Tau-Tolliver,MSU,72,428,5.9,85,2
243,Devin Miles,WMU,99,425,4.3,32,3
244,Jaylen Raynor,ARST,154,423,2.7,42,7
245,Xavier Robinson,OU,83,421,5.1,65,4
