RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Field Goals', 'FGM')","('Field Goals', 'FGA')","('Field Goals', 'FG%')","('Field Goals', 'LNG')","('Field Goals', '1-19')","('Field Goals', '20-29')","('Field Goals', '30-39')","('Field Goals', '40-49')","('Field Goals', '50+')","('Extra points', 'XPM')","('Extra points', 'XPA')","('Extra points', 'PCT')"
1,Andre Szmyt,SYR,PK,30,34,88.2,54,1-1,10-11,12-12,4-7,3-3,61,61,100.0
2,Cole Tracy,LSU,PK,29,33,87.9,54,0-0,13-13,7-8,6-7,3-5,42,42,100.0
3,Matt Gay,UTAH,PK,26,31,83.9,55,0-0,5-5,11-11,7-10,3-5,45,45,100.0
4,Tucker McCann,MIZ,PK,24,33,72.7,57,0-0,8-9,8-10,6-11,2-3,51,54,94.4
5,Christopher Dunn,NCST,PK,23,26,88.5,49,0-1,15-15,5-6,3-4,0-0,51,51,100.0
6,Dominik Eberle,USU,PK,22,28,78.6,51,1-1,8-10,4-5,6-7,3-5,75,75,100.0
6,Luke Logan,MISS,PK,22,27,81.5,40,1-1,9-11,11-12,1-3,0-0,45,46,97.8
8,Chase McLaughlin,ILL,PK,20,25,80.0,54,0-0,6-6,5-6,5-7,4-6,36,36,100.0
8,Seth Small,TA&M,PK,20,28,71.4,52,0-0,5-5,10-14,3-6,2-3,40,40,100.0
10,Cole Hedlund,UNT,PK,19,22,86.4,52,1-1,10-10,2-2,4-7,2-2,51,54,94.4
10,Rodrigo Blankenship,UGA,PK,19,23,82.6,53,1-1,8-8,2-4,7-9,1-1,65,65,100.0
10,Tyler Bass,GASO,PK,19,21,90.5,50,1-1,4-5,4-4,8-8,2-3,45,45,100.0
10,Connor Limpert,ARK,PK,19,24,79.2,55,0-0,5-5,9-10,3-6,2-3,29,29,100.0
10,Jake Verity,ECU,PK,19,21,90.5,52,0-0,7-7,6-6,5-7,1-1,27,28,96.4
10,Nick Sciba,WAKE,PK,19,22,86.4,49,0-0,8-9,9-11,2-2,0-0,50,50,100.0
16,Freeman Jones,UNC,PK,18,28,64.3,49,0-0,6-6,6-10,6-11,0-1,31,31,100.0
16,Spencer Evans,PUR,PK,18,23,78.3,41,0-0,9-9,7-8,2-4,0-2,42,45,93.3
16,Crews Holt,MTSU,PK,18,24,75.0,42,1-1,7-7,9-9,1-7,0-0,40,45,88.9
16,Tyler Sumpter,TROY,PK,18,24,75.0,50,0-0,6-6,4-7,7-10,1-1,45,45,100.0
16,Matt Coghlin,MSU,PK,18,22,81.8,49,0-0,5-5,9-10,4-5,0-2,25,25,100.0
16,Brandon Ruiz,ASU,PK,18,22,81.8,49,0-0,8-8,6-7,4-5,0-2,45,45,100.0
16,Cameron Dicker,TEX,PK,18,25,72.0,52,0-0,4-5,6-7,7-11,1-2,51,52,98.1
23,Emmit Carpenter,MINN,PK,17,23,73.9,53,0-0,7-8,4-6,4-6,2-3,43,43,100.0
23,Clayton Hatfield,TTU,PK,17,19,89.5,48,0-0,6-6,4-6,7-7,0-0,55,55,100.0
23,John Baron II,SDSU,PK,17,22,77.3,54,0-0,2-2,9-12,1-3,5-5,27,27,100.0
23,Miguel Recinos,IOWA,PK,17,22,77.3,49,0-0,5-5,4-8,8-8,0-1,47,47,100.0
23,Austin Seibert,OKLA,PK,17,19,89.5,42,0-0,9-9,7-8,1-1,0-1,87,88,98.9
23,Justin Yoon,ND,PK,17,21,81.0,48,0-0,7-7,4-5,6-8,0-1,41,43,95.3
23,Evan McPherson,FLA,PK,17,19,89.5,48,0-0,11-11,3-4,3-4,0-0,50,50,100.0
23,Jonathan Cruz,CHAR,PK,17,22,77.3,56,0-0,2-3,7-9,5-6,3-4,27,27,100.0
31,Parker Shaunfield,USM,PK,16,20,80.0,51,0-0,5-5,4-5,6-8,1-2,24,25,96.0
31,Nick Gasser,AKRON,PK,16,22,72.7,49,0-0,5-5,4-5,7-11,0-1,22,23,95.7
31,Matt Ammendola,OKST,PK,16,22,72.7,48,1-1,8-8,4-6,3-7,0-0,61,63,96.8
31,Evan Staley,WVU,PK,16,20,80.0,49,0-0,3-3,4-4,9-11,0-2,59,60,98.3
31,Cooper Rothe,WYO,PK,16,17,94.1,51,0-0,5-5,6-6,4-5,1-1,28,28,100.0
31,Connor Assalley,ISU,PK,16,23,69.6,50,0-0,8-8,5-8,2-6,1-1,36,38,94.7
31,Peyton Henry,WASH,PK,16,22,72.7,41,0-0,9-10,6-9,1-3,0-0,43,44,97.7
31,Jake Pinegar,PSU,PK,16,24,66.7,49,1-1,5-5,5-7,5-11,0-0,53,55,96.4
39,Kyle Pfau,ULL,PK,15,18,83.3,52,0-0,4-4,5-6,5-6,1-2,54,55,98.2
39,Nick Vogel,UAB,PK,15,24,62.5,51,0-0,5-5,7-7,2-8,1-4,51,52,98.1
39,Justin Rohrwasser,MRSH,PK,15,21,71.4,40,0-0,9-10,5-6,1-5,0-0,44,46,95.7
39,Jameson Vest,TOL,PK,15,20,75.0,47,0-0,6-6,5-9,4-5,0-0,64,66,97.0
39,Logan Justus,IND,PK,15,18,83.3,44,0-0,4-4,7-7,4-6,0-1,32,33,97.0
39,Connor Martin,BAY,PK,15,24,62.5,50,0-0,4-7,7-9,3-6,1-2,40,44,90.9
39,Bailey Hale,LT,PK,15,22,68.2,46,1-1,9-10,2-3,3-7,0-1,38,39,97.4
39,Anders Carlson,AUB,PK,15,25,60.0,53,1-1,7-7,2-3,3-5,2-9,44,44,100.0
39,Riley Patterson,MEM,PK,15,20,75.0,52,1-1,6-7,3-4,4-6,1-2,76,79,96.2
39,Coby Weiss,USF,PK,15,18,83.3,38,0-0,10-10,5-6,0-2,0-0,35,39,89.7
39,Ryan Meskell,HAW,PK,15,18,83.3,43,0-0,5-5,7-8,3-4,0-1,46,47,97.9
39,Ramiz Ahmed,NEV,PK,15,20,75.0,50,0-0,6-7,6-6,2-3,1-4,40,44,90.9
51,Bryce Crawford,SJSU,PK,14,19,73.7,50,0-0,8-8,2-3,3-6,1-2,25,27,92.6
51,JJ Molson,UCLA,PK,14,19,73.7,50,1-1,4-4,2-2,6-8,1-4,35,35,100.0
51,Blake Lynch,KSU,PK,14,16,87.5,44,0-0,6-6,5-5,3-3,0-2,19,20,95.0
51,Jet Toner,STAN,PK,14,15,93.3,46,1-1,4-4,6-7,3-3,0-0,34,34,100.0
51,Jose Borregales,FIU,PK,14,19,73.7,53,0-0,6-7,3-5,4-6,1-1,54,55,98.2
51,Joseph Bulovas,ALA,PK,14,18,77.8,49,0-0,7-8,4-6,3-3,0-1,75,81,92.6
51,Asa Fuller,FRES,PK,14,22,63.6,47,0-0,4-4,7-9,3-7,0-2,57,62,91.9
51,Nick Rice,ODU,PK,14,18,77.8,48,0-0,5-5,5-7,4-6,0-0,40,41,97.6
51,Jared Sackett,UTSA,PK,14,19,73.7,51,1-1,1-1,3-3,8-13,1-1,18,18,100.0
51,Blake Grupe,ARKST,PK,14,21,66.7,47,1-1,4-5,7-10,2-5,0-0,35,38,92.1
