RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'XP')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'PTS/G')"
1,Jonathan Taylor,WIS,RB,21,5,0,26,0,0,0,156,14.0
2,Cade York,LSU,PK,0,0,0,0,21,89,0,152,10.0
3,Xavier Jones,SMU,RB,23,2,0,25,0,0,0,150,11.0
4,Darrynton Evans,APP,RB,18,5,1,24,0,0,0,144,14.0
5,LeVante Bellamy,WMU,RB,23,0,0,23,0,0,0,138,12.0
5,Travis Etienne Jr.,CLEM,RB,19,4,0,23,0,0,0,138,10.0
5,J.K. Dobbins,OSU,RB,21,2,0,23,0,0,0,138,10.0
8,Riley Patterson,MEM,PK,0,0,0,0,23,65,0,134,9.0
9,Chuba Hubbard,OKST,RB,21,0,0,21,0,0,1,128,11.0
10,Rodrigo Blankenship,UGA,PK,0,0,0,0,27,46,0,127,9.0
11,Malcolm Perry,NAVY,QB,21,0,0,21,0,0,0,126,10.0
11,Jalen Hurts,OKLA,QB,20,1,0,21,0,0,0,126,9.0
11,Matthew Trickett,KENT,PK,0,0,0,0,29,39,0,126,10.0
14,Blake Haubeil,OSU,PK,0,0,0,0,13,85,0,124,8.0
15,Ja'Marr Chase,LSU,WR,0,20,0,20,0,0,1,122,10.0
16,Najee Harris,ALA,RB,13,7,0,20,0,0,0,120,10.0
16,Jaret Patterson,BUFF,RB,19,1,0,20,0,0,0,120,15.0
18,Keith Duncan,IOWA,PK,0,0,0,0,29,32,0,119,9.0
18,Nick Sciba,WAKE,PK,0,0,0,0,24,47,0,119,9.0
20,B.T. Potter,CLEM,PK,0,0,0,0,13,79,0,118,7.0
21,Blake Mazza,SMU,PK,0,0,0,0,20,55,0,115,8.0
22,Dylan Barnas,UCF,PK,0,0,0,0,15,69,0,114,8.0
23,Stevie Artigue,UL,PK,0,0,0,0,16,65,0,113,8.0
24,Sam Sloman,M-OH,PK,0,0,0,0,26,34,0,112,8.0
25,Cam Akers,FSU,RB,14,4,0,18,0,0,1,110,11.0
25,Brian Delaney,UVA,PK,0,0,0,0,20,50,0,110,7.0
25,Blake Grupe,ARST,PK,0,0,0,0,19,53,0,110,9.0
28,Matt Ammendola,OKST,PK,0,0,0,0,20,48,0,108,8.0
28,Jonathan Song,TCU,PK,0,0,0,0,23,39,0,108,9.0
28,Dominik Eberle,USU,PK,0,0,0,0,21,45,0,108,8.0
28,Jonathan Doerer,ND,PK,0,0,0,0,17,57,0,108,8.0
28,Justin Jefferson,LSU,WR,0,18,0,18,0,0,0,108,9.0
33,Peyton Henry,WASH,PK,0,0,0,0,19,49,0,106,8.0
33,Vladimir Rivas,FAU,PK,0,0,0,0,17,55,0,106,7.0
35,Jake Verity,ECU,PK,0,0,0,0,24,33,0,105,8.0
35,Brian Johnson,VT,PK,0,0,0,0,19,48,0,105,8.0
35,Chandler Staton,APP,PK,0,0,0,0,11,72,0,105,7.0
38,Brent Cimaglia,TENN,PK,0,0,0,0,23,35,0,104,8.0
39,Blake Lynch,KSU,PK,0,0,0,0,19,46,0,103,7.0
39,Gabe Brkic,OKLA,PK,0,0,0,0,17,52,0,103,9.0
39,Eric Sachse,BSU,PK,0,0,0,0,14,61,0,103,7.0
42,Omar Bayless,ARST,WR,0,17,0,17,0,0,0,102,9.0
42,Louie Zervos,OHIO,PK,0,0,0,0,16,54,0,102,7.0
42,Zack Moss,UTAH,RB,15,2,0,17,0,0,0,102,9.0
42,Noah Ruggles,UNC,PK,0,0,0,0,19,45,0,102,7.0
42,Elijah Mitchell,UL,RB,16,1,0,17,0,0,0,102,9.0
42,Clyde Edwards-Helaire,LSU,RB,16,1,0,17,0,0,0,102,10.0
42,Anders Carlson,AUB,PK,0,0,0,0,18,48,0,102,7.0
49,John Mayers,BAY,PK,0,0,0,0,16,53,0,101,7.0
50,Jose Borregales,FIU,PK,0,0,0,0,21,37,0,100,7.0
50,Dalton Witherspoon,HOU,PK,0,0,0,0,20,40,0,100,8.0
50,Trey Wolff,TTU,PK,0,0,0,0,20,40,0,100,8.0
50,Seth Small,TA&M,PK,0,0,0,0,18,46,0,100,7.0
54,Bailey Hale,LAT,PK,0,0,0,0,15,53,0,98,7.0
54,Christian Zendejas,ASU,PK,0,0,0,0,23,29,0,98,7.0
54,Evan McPherson,FLA,PK,0,0,0,0,17,47,0,98,7.0
54,Cameron Dicker,TEX,PK,0,0,0,0,14,56,0,98,7.0
58,Matt Coghlin,MSU,PK,0,0,0,0,22,31,0,97,8.0
58,Matthew Mercurio,SJSU,PK,0,0,0,0,20,37,0,97,8.0
58,Bijan Nichols,NAVY,PK,0,0,0,0,12,61,0,97,7.0
61,Tyler Bass,GASO,PK,0,0,0,0,20,36,0,96,7.0
61,Logan Justus,IND,PK,0,0,0,0,17,45,0,96,7.0
61,Jonathan Ward,CMU,RB,15,1,0,16,0,0,0,96,12.0
61,Michael Warren II,CIN,RB,14,2,0,16,0,0,0,96,10.0
61,Ronnie Rivers,FRES,RB,13,3,0,16,0,0,0,96,9.0
61,Chase McGrath,USC,PK,0,0,0,0,14,54,0,96,7.0
61,Max Borghi,WSU,RB,11,5,0,16,0,0,0,96,8.0
61,Kenneth Gainwell,MEM,RB,13,3,0,16,0,0,0,96,10.0
61,Jamale Carothers,NAVY,RB,14,2,0,16,0,0,0,96,16.0
61,Justin Henderson,LAT,RB,15,1,0,16,0,0,0,96,12.0
71,Alex Kessman,PITT,PK,0,0,0,0,22,29,0,95,7.0
72,Nick Vogel,UAB,PK,0,0,0,0,19,37,0,94,7.0
72,Connor Assalley,ISU,PK,0,0,0,0,15,49,0,94,7.0
72,Ryan Meskell,HAW,PK,0,0,0,0,10,64,0,94,6.0
72,Matt Araiza,SDSU,P,0,0,0,0,22,28,0,94,7.0
76,Sam Crosa,CIN,PK,0,0,0,0,14,51,0,93,7.0
77,James Proche II,SMU,WR,0,15,0,15,0,0,1,92,7.0
77,Ryan Rimmler,BALL,PK,0,0,0,0,15,47,0,92,7.0
77,CeeDee Lamb,OKLA,WR,1,14,0,15,0,0,1,92,10.0
80,Ethan Mooney,UNT,PK,0,0,0,0,16,43,0,91,7.0
80,Christopher Dunn,NCST,PK,0,0,0,0,21,28,0,91,7.0
82,AJ Dillon,BC,RB,14,1,0,15,0,0,0,90,11.0
82,Jake Koehnke,AFA,PK,0,0,0,0,13,51,0,90,6.0
82,Merek Glover,TULN,PK,0,0,0,0,13,51,0,90,6.0
82,Andre Szmyt,SYR,PK,0,0,0,0,17,39,0,90,7.0
82,Cory Munson,WKU,PK,0,0,0,0,17,39,0,90,6.0
82,Brandon Talton,NEV,PK,0,0,0,0,21,27,0,90,6.0
88,Justin Rohrwasser,MRSH,PK,0,0,0,0,18,35,0,89,6.0
88,Alex Probert,LIB,PK,0,0,0,0,13,50,0,89,7.0
88,Collin Larsh,WIS,PK,0,0,0,0,12,53,0,89,7.0
88,Jake Pinegar,PSU,PK,0,0,0,0,11,56,0,89,6.0
92,Tyler Sumpter,TROY,PK,0,0,0,0,14,46,0,88,7.0
92,Jake Oldroyd,BYU,PK,0,0,0,0,16,40,0,88,7.0
92,Andrew Stein,USM,PK,0,0,0,0,18,34,0,88,6.0
95,CJ Marable,CCU,RB,11,3,0,14,0,0,1,86,7.0
95,Tee Higgins,CLEM,WR,1,13,0,14,0,0,1,86,8.0
95,Jadon Redding,UTAH,PK,0,0,0,0,10,56,0,86,6.0
98,Ryan Tice,CMU,PK,0,0,0,0,13,46,0,85,6.0
99,Brandon Wright,GAST,PK,0,0,0,0,12,48,0,84,6.0
99,Bryant Koback,TOL,RB,12,2,0,14,0,0,0,84,9.0
99,DeVonta Smith,ALA,DB,0,14,0,14,0,0,0,84,12.0
99,Jaylon Bester,M-OH,RB,14,0,0,14,0,0,0,84,8.0
99,Nathan Rourke,OHIO,QB,13,1,0,14,0,0,0,84,7.0
99,Lynn Bowden Jr.,UK,WR,13,1,0,14,0,0,0,84,12.0
99,Camden Lewis,ORE,PK,0,0,0,0,9,57,0,84,6.0
106,Joseph Bulovas,ALA,PK,0,0,0,0,8,59,0,83,8.0
107,Tucker McCann,MIZ,PK,0,0,0,0,16,34,0,82,7.0
