RK,NAME,TEAM,PUNTS,YDS,LNG,AVG,NET
1,Palmer Williams,BAY,43,2122,79,49.3,44.8
2,Alex Mastromanno,FSU,55,2710,65,49.3,45.6
3,Jesse Mirco,VAN,51,2450,69,48.0,42.2
4,Ryan Eckley,MSU,43,2060,61,47.9,41.2
5,Eddie Czaplicki,USC,43,2057,62,47.8,45.3
6,Kai Kroeger,SC,47,2248,75,47.8,43.7
7,Brett Thorson,UGA,42,1998,60,47.6,44.1
8,Luke Freer,AFA,31,1471,72,47.5,41.5
9,Josh Green,ORST,33,1559,68,47.2,42.5
10,Fraser Masin,MISS,36,1676,65,46.6,44.3
11,Tyler Pastula,SDSU,58,2675,79,46.1,41.4
12,Jacob Ulrich,KENN,75,3448,77,46.0,40.0
13,Jeremy Crawshaw,FLA,59,2699,62,45.7,42.4
14,Jack Stonehouse,SYR,33,1509,64,45.7,41.9
15,Riley Riethman,NAVY,57,2606,70,45.7,39.6
16,Andrew Stokes,USF,69,3141,72,45.5,43.5
17,Lucas Borrow,HAW,48,2184,70,45.5,41.5
18,Ross James,ORE,37,1682,69,45.5,40.7
19,Aidan Laros,UK,32,1453,66,45.4,42.4
20,James Burnip,ALA,52,2359,64,45.4,43.7
21,Atticus Bertrams,WIS,55,2491,74,45.3,42.6
22,Lachlan Wilson,CAL,57,2579,69,45.2,39.6
23,Devin Bale,ARK,41,1855,66,45.2,43.0
24,Bryce McFerson,MD,52,2343,64,45.1,41.8
25,Tyler White,TA&M,46,2064,69,44.9,42.0
26,Keelan Crimmins,PUR,64,2871,64,44.9,41.8
34,Nick Barr-Mira,MSST,44,1971,60,44.8,41.8
27,Luke Elzinga,OU,60,2687,63,44.8,42.3
28,George Eberle,NMSU,62,2774,61,44.7,38.5
29,Brian Buschini,NEB,45,2013,69,44.7,39.4
30,Jack Bouwmeester,UTAH,60,2680,62,44.7,40.4
31,James Allen,GAST,51,2277,59,44.6,33.8
32,Peter Moore,VT,60,2678,69,44.6,40.9
33,Daniel Sparks,UVA,57,2543,66,44.6,41.8
35,Logan Lupo,FAU,47,2092,58,44.5,40.6
36,Bryce Lofton,USM,61,2714,57,44.5,41.3
37,Tyler Perkins,ISU,37,1642,57,44.4,41.4
38,Marshall Nichols,UNLV,54,2393,79,44.3,39.2
39,Trent Carrizosa,SJSU,46,2031,66,44.2,40.0
40,Mitch McCarthy,UCF,40,1765,56,44.1,39.9
41,Rhys Dakin,IOWA,64,2822,61,44.1,40.2
42,Jackson Ross,TENN,53,2329,57,43.9,40.3
43,Kade Reynoldson,DUKE,75,3285,63,43.8,40.9
44,Oliver Straw,WVU,35,1530,57,43.7,40.9
45,Caleb Junko,PITT,58,2534,67,43.7,40.6
46,Mark Vassett,COLO,53,2315,60,43.7,36.0
47,Patrick Foley,UAB,41,1790,64,43.7,38.1
48,Angus Davies,TLSA,68,2965,59,43.6,36.7
49,Connor Stutz,CONN,62,2702,69,43.6,38.7
50,Caden Noonkester,NCSU,47,2047,58,43.6,40.3
51,James Ferguson-Reynolds,BOIS,43,1872,68,43.5,38.3
52,Joshua Sloan,MEM,47,2043,59,43.5,41.5
53,Mark Crawford,MINN,52,2260,58,43.5,40.8
54,Grant Chadwick,MTSU,51,2213,60,43.4,40.8
55,Michael Salgado-Medina,ARIZ,39,1690,71,43.3,39.7
56,Isaac Pearson,SMU,45,1947,58,43.3,36.9
57,David Shanahan,GT,49,2119,61,43.2,37.2
58,Hudson Kaak,OKST,30,1294,51,43.1,40.2
59,Avery Book,AKR,66,2846,61,43.1,40.3
60,Luke Akers,NU,39,1679,58,43.1,37.2
61,Michael O'Shaughnessy,CLT,53,2281,77,43.0,39.9
62,Ivan Mora,WAKE,52,2236,66,43.0,41.0
62,Jack McCallister,WASH,42,1806,62,43.0,34.9
64,Ryan Heicher,ARST,57,2449,57,43.0,39.7
65,Aidan Flintoft,STAN,43,1844,56,42.9,39.2
66,Riley Thompson,PSU,51,2183,63,42.8,40.1
67,Brody Richter,UCLA,40,1712,61,42.8,39.3
68,Sam Vander Haar,BYU,33,1412,70,42.8,40.7
69,Will Karoll,TULN,42,1796,78,42.8,39.8
70,Alex Smith,GASO,58,2479,63,42.7,41.6
71,Cole Maynard,WKU,55,2350,60,42.7,39.0
72,Aaron Rodriguez,UNM,41,1750,75,42.7,35.7
73,Mason Fletcher,CIN,42,1791,62,42.6,38.0
74,Ethan Duane,BUFF,65,2770,68,42.6,40.4
75,Tommy Doman,MICH,49,2088,68,42.6,37.3
76,Stephen Kotsanlee,USU,48,2043,67,42.6,40.9
77,Jakob Anderson,RUTG,50,2128,61,42.6,39.1
78,Oscar Chapman,AUB,41,1741,62,42.5,41.2
79,James Evans,IU,36,1528,58,42.4,39.1
80,Alec Clark,MRSH,55,2333,67,42.4,37.0
81,Ethan Craw,TCU,42,1780,65,42.4,39.0
82,Ryan Hanson,JMU,50,2119,66,42.4,38.8
83,Max Morgan,LIB,43,1822,67,42.4,38.5
84,Mitchell Tomasek,EMU,47,1991,66,42.4,39.3
85,Simon McClannan,KSU,47,1990,59,42.3,36.8
86,Damon Greaves,KU,33,1395,58,42.3,35.5
87,Jack Dawson,JVST,53,2237,59,42.2,39.7
88,Jack Burgess,TTU,47,1982,59,42.2,37.8
89,Joe McGuire,OSU,47,1977,61,42.1,39.3
90,Josh Smith,KENT,82,3445,61,42.0,36.6
91,Liam Dougherty,HOU,57,2389,65,41.9,39.2
92,James Rendell,ND,50,2091,64,41.8,40.2
93,Luke Bauer,MIZ,49,2047,62,41.8,38.1
94,Michael Kern,TEX,41,1706,57,41.6,38.1
95,Seamus Hall,ODU,61,2536,66,41.6,38.2
96,Brian Cooey Jr.,BALL,48,1994,59,41.5,36.6
98,Alec Bevelhimer,M-OH,60,2492,61,41.5,40.3
97,David Chapeau,CMU,56,2325,60,41.5,38.4
99,Alex Bacchetta,RICE,49,2033,59,41.5,38.0
100,Conner Maynard,APP,29,1200,50,41.4,35.7
101,Emilio Duran,TOL,60,2475,70,41.3,38.8
102,Emile Sebafundi,CCU,54,2224,57,41.2,39.6
103,Jadon Cardell,SHSU,66,2716,57,41.2,35.7
104,Tom Maginness,UNC,51,2097,65,41.1,38.1
105,Aidan Swanson,CLEM,57,2340,54,41.1,39.0
106,Sawyer Evans,UNT,47,1928,55,41.0,40.0
107,Caile Hogan,UTSA,55,2256,63,41.0,40.1
108,CJ Kolodziey,MASS,56,2296,71,41.0,36.5
109,Clay Lawrence,FRES,58,2375,59,40.9,37.5
110,Luke Larsen,ECU,52,2123,51,40.8,38.6
111,Hugh Robertson,ILL,37,1510,53,40.8,37.1
112,John Henderson,BGSU,50,2040,66,40.8,38.5
113,Kanyon Floyd,ASU,40,1629,56,40.7,35.8
114,Jack Wilson,OHIO,60,2432,56,40.5,37.8
115,Dante Atton,TEM,75,3035,66,40.5,39.4
116,Jack Culbreath,WYO,66,2665,62,40.4,38.2
117,Guy Gillespie,NEV,46,1856,72,40.3,38.2
118,Ryan Millmore,WMU,53,2138,60,40.3,39.4
119,Paddy Turner,CSU,46,1853,62,40.3,39.4
119,Aleksi Pulkkinen,USA,46,1853,67,40.3,38.3
121,Patrick Rea,LT,67,2654,70,39.6,35.9
122,Adam Jacklin,UTEP,59,2332,66,39.5,36.3
123,Daton Montiel,FIU,57,2247,54,39.4,36.4
124,Makenzie Ryan,ULM,58,2276,59,39.2,36.8
125,Nathan Torney,UL,36,1410,54,39.2,38.4
126,Tom Foley,NIU,39,1515,52,38.8,36.8
127,Robert Cole,TROY,44,1673,59,38.0,36.3
