RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Field Goals', 'FGM')","('Field Goals', 'FGA')","('Field Goals', 'FG%')","('Field Goals', 'LNG')","('Field Goals', '1-19')","('Field Goals', '20-29')","('Field Goals', '30-39')","('Field Goals', '40-49')","('Field Goals', '50+')","('Extra points', 'XPM')","('Extra points', 'XPA')","('Extra points', 'PCT')"
1,Keith Duncan,IOWA,PK,29,34,85.3,49,1-1,10-10,4-5,14-18,0-0,32,32,100.0
1,Matthew Trickett,KENT,PK,29,34,85.3,47,0-0,13-14,6-7,10-11,0-2,39,39,100.0
3,Rodrigo Blankenship,UGA,PK,27,33,81.8,50,0-0,6-6,10-11,8-11,3-5,46,46,100.0
4,Sam Sloman,M-OH,PK,26,30,86.7,53,0-0,8-8,7-8,7-9,4-5,34,34,100.0
5,Jake Verity,ECU,PK,24,29,82.8,51,0-0,11-11,8-9,4-6,1-3,33,33,100.0
5,Nick Sciba,WAKE,PK,24,25,96.0,45,0-0,13-13,6-6,5-6,0-0,47,47,100.0
7,Jonathan Song,TCU,PK,23,24,95.8,40,1-1,8-8,11-11,3-4,0-0,39,39,100.0
7,Brent Cimaglia,TENN,PK,23,27,85.2,53,1-1,5-5,8-10,7-9,2-2,35,35,100.0
7,Christian Zendejas,ASU,PK,23,27,85.2,43,0-0,10-10,8-9,5-7,0-1,29,30,96.7
7,Riley Patterson,MEM,PK,23,25,92.0,52,0-0,5-5,7-8,6-6,5-6,65,66,98.5
11,Alex Kessman,PITT,PK,22,31,71.0,54,0-1,8-9,4-5,8-12,2-4,29,30,96.7
11,Matt Coghlin,MSU,PK,22,32,68.8,47,0-0,6-8,8-10,8-14,0-0,31,31,100.0
11,Matt Araiza,SDSU,P,22,26,84.6,48,0-0,10-10,5-6,7-10,0-0,28,28,100.0
14,Dominik Eberle,USU,PK,21,24,87.5,48,0-0,5-5,8-8,8-10,0-1,45,45,100.0
14,Jose Borregales,FIU,PK,21,29,72.4,53,0-0,7-8,6-11,5-6,3-4,37,39,94.9
14,Christopher Dunn,NCST,PK,21,24,87.5,46,0-0,9-9,8-8,4-5,0-2,28,28,100.0
14,Cade York,LSU,PK,21,27,77.8,52,0-0,8-8,4-4,5-10,4-5,89,93,95.7
14,Brandon Talton,NEV,PK,21,25,84.0,56,0-0,7-8,9-10,3-3,2-4,27,29,93.1
19,Tyler Bass,GASO,PK,20,28,71.4,49,0-0,6-6,6-8,8-13,0-1,36,36,100.0
19,Matt Ammendola,OKST,PK,20,26,76.9,49,1-1,10-11,2-2,7-11,0-1,48,49,98.0
19,Dalton Witherspoon,HOU,PK,20,24,83.3,46,0-0,9-10,5-6,6-8,0-0,40,40,100.0
19,Brian Delaney,UVA,PK,20,24,83.3,49,0-0,8-8,8-11,4-5,0-0,50,52,96.2
19,Blake Mazza,SMU,PK,20,21,95.2,51,0-0,6-6,11-11,1-2,2-2,55,57,96.5
19,Matthew Mercurio,SJSU,PK,20,24,83.3,49,0-0,10-10,5-5,5-9,0-0,37,39,94.9
19,Trey Wolff,TTU,PK,20,22,90.9,45,0-0,11-11,5-5,4-6,0-0,40,41,97.6
26,Nick Vogel,UAB,PK,19,23,82.6,49,0-0,3-4,11-12,5-6,0-1,37,37,100.0
26,Blake Lynch,KSU,PK,19,21,90.5,46,0-0,5-5,10-11,4-5,0-0,46,46,100.0
26,Brian Johnson,VT,PK,19,23,82.6,54,0-0,10-10,5-5,3-5,1-3,48,48,100.0
26,Noah Ruggles,UNC,PK,19,27,70.4,49,0-0,9-9,7-9,3-6,0-3,45,45,100.0
26,Peyton Henry,WASH,PK,19,21,90.5,49,0-0,10-11,7-7,2-3,0-0,49,49,100.0
26,Blake Grupe,ARST,PK,19,22,86.4,46,2-2,5-5,6-6,6-8,0-1,53,54,98.1
32,Justin Rohrwasser,MRSH,PK,18,21,85.7,53,0-0,4-5,7-8,5-6,2-2,35,36,97.2
32,Parker White,SC,PK,18,22,81.8,50,0-0,5-5,6-7,6-6,1-4,25,25,100.0
32,Anders Carlson,AUB,PK,18,25,72.0,52,0-0,6-6,4-4,7-14,1-1,48,49,98.0
32,Seth Small,TA&M,PK,18,23,78.3,50,0-0,6-7,9-9,2-4,1-3,46,46,100.0
32,Andrew Stein,USM,PK,18,22,81.8,46,1-1,9-10,5-6,3-5,0-0,34,37,91.9
37,Logan Justus,IND,PK,17,21,81.0,50,0-0,9-10,4-4,3-5,1-2,45,47,95.7
37,Jonathan Doerer,ND,PK,17,20,85.0,52,1-1,3-3,6-7,5-7,2-2,57,57,100.0
37,Andre Szmyt,SYR,PK,17,20,85.0,50,0-0,8-8,3-3,5-8,1-1,39,40,97.5
37,Vladimir Rivas,FAU,PK,17,25,68.0,48,0-0,9-10,6-7,2-8,0-0,55,59,93.2
37,Evan McPherson,FLA,PK,17,19,89.5,50,0-0,5-6,5-5,6-7,1-1,47,48,97.9
37,Gabe Brkic,OKLA,PK,17,17,100.0,50,1-1,5-5,7-7,3-3,1-1,52,52,100.0
37,Cory Munson,WKU,PK,17,28,60.7,52,2-2,7-9,4-9,3-6,1-2,39,40,97.5
44,Stevie Artigue,UL,PK,16,22,72.7,53,0-0,9-9,3-6,3-5,1-2,65,66,98.5
44,Louie Zervos,OHIO,PK,16,20,80.0,49,0-0,5-5,6-6,5-7,0-2,54,54,100.0
44,Tucker McCann,MIZ,PK,16,22,72.7,52,0-0,4-4,6-8,5-7,1-3,34,37,91.9
44,Jake Oldroyd,BYU,PK,16,24,66.7,54,0-0,5-6,6-10,3-6,2-2,40,41,97.6
44,Ethan Mooney,UNT,PK,16,20,80.0,51,0-0,7-7,5-6,3-6,1-1,43,44,97.7
44,John Mayers,BAY,PK,16,19,84.2,51,1-1,8-8,5-8,1-1,1-1,53,53,100.0
50,Dylan Barnas,UCF,PK,15,17,88.2,50,0-0,7-7,5-7,2-2,1-1,69,70,98.6
50,A.J. Reed,DUKE,PK,15,18,83.3,51,0-0,2-2,8-8,3-6,2-2,34,34,100.0
50,Ryan Rimmler,BALL,PK,15,22,68.2,44,0-0,6-8,3-5,6-8,0-1,47,48,97.9
50,Cooper Rothe,WYO,PK,15,22,68.2,53,2-2,6-6,3-5,3-8,1-1,37,40,92.5
50,Connor Assalley,ISU,PK,15,19,78.9,42,0-0,7-7,5-7,3-5,0-0,49,51,96.1
50,Bailey Hale,LAT,PK,15,18,83.3,50,0-0,6-6,4-4,4-7,1-1,53,53,100.0
50,Nick Rice,ODU,PK,15,20,75.0,40,0-0,8-8,6-10,1-1,0-1,18,18,100.0
50,Massimo Biscardi,CCU,PK,15,20,75.0,53,0-0,4-6,5-8,5-5,1-1,34,36,94.4
50,Jacob Rainey,TLSA,PK,15,23,65.2,41,0-0,7-8,6-9,2-6,0-0,37,38,97.4
59,Sam Crosa,CIN,PK,14,19,73.7,44,0-0,1-1,11-15,2-3,0-0,51,51,100.0
59,Connor Limpert,ARK,PK,14,19,73.7,54,0-0,5-5,2-2,6-9,1-3,29,30,96.7
59,Tyler Sumpter,TROY,PK,14,18,77.8,43,0-0,10-10,3-5,1-2,0-1,46,46,100.0
59,Chase McGrath,USC,PK,14,17,82.4,52,0-0,4-4,6-7,3-5,1-1,54,54,100.0
59,Cameron Dicker,TEX,PK,14,18,77.8,57,0-0,3-4,5-5,5-7,1-2,56,57,98.2
59,Chad Ryland,EMU,PK,14,19,73.7,52,0-0,7-8,2-5,3-3,2-3,35,38,92.1
59,John Richardson,NIU,PK,14,18,77.8,51,0-0,5-5,5-6,3-5,1-2,30,30,100.0
59,Eric Sachse,BSU,PK,14,17,82.4,41,0-0,2-2,9-11,3-4,0-0,61,62,98.4
67,Ryan Tice,CMU,PK,13,21,61.9,55,0-0,3-4,6-6,2-5,2-6,47,47,100.0
67,Alex Probert,LIB,PK,13,19,68.4,51,0-0,5-5,3-4,4-8,1-2,50,53,94.3
67,James McCourt,ILL,PK,13,19,68.4,57,0-0,2-2,4-6,3-6,4-5,42,43,97.7
67,J.D. Dellinger,PUR,PK,13,16,81.3,53,0-0,6-6,5-6,1-2,1-2,35,35,100.0
67,Jake Koehnke,AFA,PK,13,13,100.0,57,0-0,4-4,4-4,4-4,1-1,51,55,92.7
67,Joshua Rowland,TEX/TXST,PK,13,18,72.2,48,0-0,2-2,7-8,4-7,0-1,23,23,100.0
67,Blake Haubeil,OSU,PK,13,15,86.7,55,0-0,6-6,3-5,3-3,1-1,85,85,100.0
67,Merek Glover,TULN,PK,13,17,76.5,44,0-0,2-2,8-10,3-5,0-0,51,51,100.0
67,B.T. Potter,CLEM,PK,13,21,61.9,52,0-0,4-5,3-6,3-7,3-3,79,79,100.0
67,Gavin Baechle,UTEP,PK,13,16,81.3,46,0-0,4-4,4-4,5-7,0-1,22,22,100.0
77,Brandon Wright,GAST,PK,12,18,66.7,48,0-0,4-4,6-8,2-6,0-0,48,49,98.0
77,Aaron Boumerhi,BC,PK,12,18,66.7,45,0-0,5-5,5-9,2-4,0-0,45,45,100.0
77,Jet Toner,STAN,PK,12,16,75.0,51,0-0,2-3,8-9,1-2,1-2,13,13,100.0
77,Collin Larsh,WIS,PK,12,18,66.7,44,0-0,7-7,3-6,2-4,0-1,53,54,98.1
77,James Stefanou,COLO,PK,12,17,70.6,44,0-0,6-7,4-5,2-4,0-1,26,27,96.3
77,Andrew Shelley,UNM,PK,12,16,75.0,52,0-0,3-4,1-1,7-9,1-2,25,30,83.3
77,Bijan Nichols,NAVY,PK,12,17,70.6,49,0-0,4-5,4-5,4-7,0-0,61,62,98.4
77,Cesar Silva,FRES,PK,12,21,57.1,48,0-0,4-5,4-7,4-6,0-3,44,44,100.0
85,Crews Holt,MTSU,PK,11,14,78.6,46,0-0,5-6,3-4,3-3,0-1,35,37,94.6
85,Evan Staley,WVU,PK,11,17,64.7,44,0-0,6-6,2-3,3-8,0-0,21,21,100.0
85,Luke Logan,MISS,PK,11,19,57.9,41,0-0,3-4,7-9,1-4,0-2,35,38,92.1
85,Chandler Staton,APP,PK,11,16,68.8,47,1-1,1-3,4-6,5-6,0-0,72,73,98.6
85,Liam Jones,KU,PK,11,18,61.1,46,0-0,3-3,7-9,1-6,0-0,26,30,86.7
