RK,NAME,TEAM,PUNTS,YDS,LNG,AVG,NET
115,Zac Collins,PUR,33,1287,61,39.0,38.0
116,Tom Hutton,OKST,58,2246,55,38.7,38.1
117,Trevor Denbow,SMU,43,1662,72,38.7,36.3
118,Jordy Sandy,TCU,61,2340,55,38.4,36.1
119,Daniel Kubiuk,NW,42,1609,58,38.3,36.7
120,Jacob Herbers,MINN,42,1607,51,38.3,37.3
121,Seamus O'Kelly,TXST,66,2515,59,38.1,35.3
122,Brady Farlow,LAT,57,2172,57,38.1,34.5
123,Adam Barry,TEM,62,2344,56,37.8,35.5
124,Jonah Wieland,AKR,79,2980,59,37.7,35.8
