RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'YDS')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Unnamed: 11_level_0', 'FF')"
1,Chad Muma,WYO,LB,85,57,142,1.5,10,1,3,68,45,2,0
2,Jack Campbell,IOWA,LB,57,83,140,1.0,6,5,2,33,32,1,1
3,Damone Clark,LSU,LB,78,58,136,5.5,40,3,1,0,0,0,2
4,Kyle Harmon,SJSU,LB,72,62,134,1.0,8,2,0,0,0,0,0
5,Chris Bergin,NU,LB,84,48,132,0.5,3,1,1,0,0,0,1
6,Malcolm Rodriguez,OKST,LB,76,53,129,3.0,20,4,1,11,11,0,4
7,Jeremy Banks,TENN,LB,59,69,128,5.5,35,4,1,32,32,0,0
8,Carlton Martial,TROY,LB,44,82,126,2.0,10,2,1,14,14,0,1
9,Bumper Pool,ARK,LB,45,80,125,0.0,0,2,0,0,0,0,0
9,Ivan Pace Jr.,M-OH,LB,60,65,125,4.0,24,3,1,1,1,0,1
11,Justin Rice,USU,LB,61,63,124,1.5,10,1,3,54,46,0,2
11,Darren Anders,BGSU,LB,56,68,124,3.0,23,2,1,35,27,1,1
13,Avery Roberts,ORST,LB,65,58,123,2.5,10,2,1,8,8,0,1
13,J.J. Russell,MEM,LB,78,45,123,1.0,8,1,1,0,0,0,0
15,KD Davis,UNT,LB,51,69,120,4.5,28,1,0,0,0,0,0
16,D'Marco Jackson,APP,LB,56,63,119,6.0,38,5,1,6,6,0,1
17,Jacoby Windmon,UNLV,LB,72,46,118,6.5,41,1,0,0,0,0,1
18,Nick Jackson,UVA,LB,54,63,117,2.5,18,2,0,0,0,0,0
19,Dean Clark,KENT,DB,78,38,116,0.0,0,3,0,0,0,0,0
20,James Patterson,BUFF,LB,49,65,114,4.0,14,0,1,11,11,0,1
20,Noah Sewell,ORE,LB,53,61,114,4.0,29,5,1,22,22,0,2
22,Joel Dublanko,CIN,LB,59,54,113,5.5,36,1,1,9,9,0,1
22,Jaylan Alexander,PUR,LB,69,44,113,1.0,9,5,0,0,0,0,1
22,Jackson Mitchell,CONN,LB,40,73,113,1.5,7,2,1,2,2,0,2
25,Jaylin Thomas,BALL,LB,56,56,112,0.0,0,3,4,54,24,0,0
25,Matt Salopek,M-OH,LB,69,43,112,0.0,0,6,0,0,0,0,1
27,Devin Lloyd,UTAH,LB,66,45,111,8.0,60,6,4,36,34,2,1
27,Henry To'oTo'o,ALA,LB,52,59,111,4.0,29,2,0,0,0,0,1
29,Reed Blankenship,MTSU,S,75,35,110,1.0,12,8,1,0,0,0,2
29,Josh Chandler-Semedo,WVU,LB,68,42,110,1.5,11,3,2,0,0,0,2
29,Kenny Logan Jr.,KU,S,78,32,110,0.0,0,5,1,22,22,0,1
29,Abraham Beauplan,MRSH,LB,43,67,110,2.5,10,0,0,0,0,0,1
33,Silas Kelly,CCU,LB,43,66,109,2.5,19,2,1,0,0,0,1
33,Jahad Woods,WSU,LB,55,54,109,0.0,0,2,1,0,0,0,2
33,Chance Campbell,MISS,LB,47,62,109,6.0,36,2,0,0,0,0,2
33,Mikel Jones,SYR,LB,59,50,109,3.0,18,0,0,0,0,0,0
37,Bryce Cosby,BALL,S,66,42,108,4.0,22,2,2,0,0,0,0
37,Breon Hayward,UTEP,LB,61,47,108,1.5,9,3,0,0,0,0,0
37,Tatum Bethune,UCF,LB,60,48,108,2.0,11,1,2,23,23,0,1
37,Darius Muasau,HAW,LB,65,43,108,7.0,47,4,1,75,75,1,5
41,Colin Schooler,TTU,LB,71,36,107,2.0,3,5,1,11,11,0,3
41,CJ Brown,NIU,DB,60,47,107,1.0,1,1,1,26,26,1,0
43,Josh Ross,MICH,LB,54,52,106,0.5,4,2,0,0,0,0,0
44,Seth Benson,IOWA,LB,54,51,105,2.0,17,3,1,6,6,0,0
45,Quindell Johnson,MEM,S,66,38,104,1.0,12,11,1,14,14,0,0
46,Terrel Bernard,BAY,LB,61,42,103,7.5,53,4,0,0,0,0,0
47,Quez Jackson,GT,LB,45,57,102,2.0,12,1,0,0,0,0,1
47,Storey Jackson,LIB,LB,57,45,102,7.0,49,3,1,8,8,0,0
47,JD Bertrand,ND,LB,65,37,102,1.0,9,1,0,0,0,0,1
47,Ben Bywater,BYU,LB,57,45,102,1.0,4,0,0,0,0,0,0
51,Grant Morgan,ARK,LB,41,60,101,0.5,3,3,1,0,0,0,0
51,Will Anderson Jr.,ALA,LB,57,44,101,17.5,108,3,0,0,0,0,0
51,Tyrice Knight,UTEP,LB,58,43,101,2.0,13,3,1,0,0,0,2
54,Hayden Henry,ARK,LB,50,50,100,4.0,40,1,0,0,0,0,0
54,Antwon Kincade,WKU,DB,54,46,100,0.0,0,4,1,29,29,0,0
54,Ellis Brooks,PSU,LB,54,46,100,1.0,18,1,0,0,0,0,0
54,Cam'Ron Carter,CSU,LB,34,66,100,6.0,33,2,1,27,27,0,0
58,Khoury Bethley,HAW,DB,72,27,99,4.0,19,6,5,120,79,1,2
58,Nick Henrich,NEB,LB,39,60,99,0.5,3,0,0,0,0,0,0
58,Drake Thomas,NCST,LB,48,51,99,6.0,20,1,3,38,38,1,0
58,Cedric Gray,UNC,LB,52,47,99,2.5,18,3,2,21,21,0,1
62,Darrian Beavers,CIN,LB,46,52,98,4.0,27,2,1,0,0,0,1
62,Ronnie Hickman,OSU,S,54,44,98,1.0,4,0,2,65,46,1,1
64,C.J. Avery,LOU,LB,45,52,97,3.0,25,5,0,0,0,0,0
64,Shaka Heyward,DUKE,LB,37,60,97,3.0,11,1,1,26,26,0,0
64,Elias Neal,MRSH,LB,39,58,97,5.5,28,3,1,6,6,0,1
64,Tyler Grubbs,LT,LB,44,53,97,2.0,24,4,0,0,0,0,2
