RK,NAME,TEAM,REC,YDS,AVG,LNG,TD
1,Andy Isabella,UMASS,102,1698,16.6,89,13
2,Tylan Wallace,OKST,86,1491,17.3,56,12
3,Antoine Wesley,TTU,88,1410,16.0,66,9
4,Preston Williams,CSU,96,1345,14.0,69,14
5,John Ursua,HAW,89,1343,15.1,80,16
6,KeeSean Johnson,FRES,95,1340,14.1,45,8
7,A.J. Brown,MISS,85,1320,15.5,84,6
8,Hakeem Butler,ISU,60,1318,22.0,83,9
8,Hollywood Brown,OKLA,75,1318,17.6,77,10
10,Jerry Jeudy,ALA,68,1315,19.3,81,14
11,Rondale Moore,PUR,114,1258,11.0,70,12
12,James Proche II,SMU,93,1199,12.9,67,12
13,Kelvin Harmon,NCST,81,1186,14.6,74,7
14,Dillon Mitchell,ORE,75,1184,15.8,67,10
15,Lil'Jordan Humphrey,TEX,86,1176,13.7,47,9
16,Damonte Coxie,MEM,72,1174,16.3,75,7
17,Tyler Johnson,MINN,78,1169,15.0,52,12
18,CeeDee Lamb,OKLA,65,1158,17.8,86,11
19,Scotty Miller,BGSU,71,1148,16.2,76,9
20,Adrian Hardy,LT,75,1145,15.3,54,6
21,Trevon Brown,ECU,74,1123,15.2,80,9
22,N'Keal Harry,ASU,73,1088,14.9,61,9
23,Travis Fulgham,ODU,63,1083,17.2,62,9
24,Greg Dortch,WAKE,89,1078,12.1,54,8
25,Parris Campbell,OSU,90,1063,11.8,78,12
26,Jalen Reagor,TCU,72,1061,14.7,67,9
27,J.J. Arcega-Whiteside,STAN,63,1059,16.8,80,14
28,Olamide Zaccheaus,UVA,93,1058,11.4,86,9
29,Jakobi Meyers,NCST,92,1047,11.4,39,4
30,Jonathan Duhart,ODU,74,1045,14.1,83,9
31,Antonio Gandy-Golden,LIB,71,1037,14.6,50,10
32,Marquez Stevenson,HOU,75,1019,13.6,79,9
33,Rico Bussey,UNT,68,1017,15.0,68,12
34,Anthony Johnson,BUFF,57,1011,17.7,75,11
34,Laviska Shenault Jr.,COLO,86,1011,11.8,89,6
36,Kirk Merritt,ARKST,83,1005,12.1,73,7
37,Stanley Morgan Jr.,NEB,70,1004,14.3,67,7
38,Tyre Brady,MRSH,71,1002,14.1,50,9
39,Justyn Ross,CLEM,46,1000,21.7,74,9
40,Darnell Mooney,TULN,48,993,20.7,86,8
41,Papi White,OHIO,62,987,15.9,76,9
42,David Sills V,WVU,65,986,15.2,65,15
43,Collin Johnson,TEX,68,985,14.5,45,7
44,Sean Modster,BSU,68,978,14.4,54,8
45,Cedric Byrd II,HAW,79,970,12.3,55,9
46,Caleb Wilson,UCLA,60,965,16.1,66,4
47,Jalen Hurd,BAY,69,946,13.7,38,4
48,Tee Higgins,CLEM,59,936,15.9,64,12
49,Gary Jennings,WVU,54,917,17.0,75,13
50,Kalija Lipscomb,VAN,87,916,10.5,68,9
51,Jamal Custis,SYR,51,906,17.8,68,6
52,K.J. Osborn,BUFF,53,892,16.8,75,7
53,Quez Watkins,USM,72,889,12.3,57,9
54,KJ Hill Jr.,OSU,70,885,12.6,42,6
55,Ty Lee,MTSU,71,883,12.4,43,7
56,Deebo Samuel,SC,62,882,14.2,89,11
57,Riley Miller,BALL,61,878,14.4,52,7
58,DaMarkus Lodge,MISS,65,877,13.5,51,4
59,Damion Willis,TROY,56,876,15.6,75,10
59,Isaiah Hodgins,ORST,59,876,14.8,51,5
61,McLane Mannix,NEV,50,875,17.5,58,7
61,Justin Jefferson,LSU,54,875,16.2,65,6
63,Aaron Fuller,WASH,58,874,15.1,46,4
64,Jovon Durante,FAU,65,873,13.4,55,5
65,Miles Boykin,ND,59,872,14.8,40,8
66,JoJo Ward,HAW,51,865,17.0,75,9
67,Marcus Green,ULM,50,855,17.1,80,8
67,Jamarius Way,USA,61,855,14.0,73,8
69,Jaylen Waddle,ALA,45,848,18.8,94,7
70,Bryan Edwards,SC,55,846,15.4,75,7
71,Tyron Billy-Johnson,OKST,53,845,15.9,64,7
