RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Kickoffs', 'ATT')","('Kickoffs', 'YDS')","('Kickoffs', 'AVG')","('Kickoffs', 'LNG')","('Kickoffs', 'TD')","('Punts', 'ATT')","('Punts', 'YDS')","('Punts', 'AVG')","('Punts', 'LNG')","('Punts', 'TD')"
1,Zylan Perry,UL,RB,34,862,25.4,95,1,0,0,0.0,0,0
2,Jacob De Jesus,UNLV,WR,32,822,25.7,96,0,16,257,16.1,59,0
3,Drae McCray,TTU,WR,26,717,27.6,100,1,0,0,0.0,0,0
4,Jayden Harrison,MRSH,WR,23,705,30.7,98,2,0,0,0.0,0,0
5,Kaylon Horton,UNT,WR,33,695,21.1,47,0,0,0,0.0,0,0
6,Ja'Quez Cross,ARST,RB,23,654,28.4,93,1,0,0,0.0,0,0
7,Major Everhart,TCU,WR,29,647,22.3,86,0,0,0,0.0,0,0
8,Antavious Willis,USM,RB,29,645,22.2,49,0,1,0,0.0,0,0
8,Brian Battie,AUB,RB,29,645,22.2,39,0,0,0,0.0,0,0
10,DeAndre Buchannon,GASO,WR,23,604,26.3,100,1,0,0,0.0,0,0
11,Greg Desrosiers Jr.,MASS,RB,31,597,19.3,33,0,0,0,0.0,0,0
12,Jacquez Stuart,TOL,RB,21,582,27.7,97,1,0,0,0.0,0,0
13,Marion Lukes,CMU,RB,26,581,22.3,86,1,0,0,0.0,0,0
14,Blake Hester,AKR,RB,31,580,18.7,47,0,0,0,0.0,0,0
15,Brashard Smith,MIA,RB,20,579,29.0,98,1,1,5,5.0,5,0
16,Elijhah Badger,ASU,WR,20,578,28.9,81,0,0,0,0.0,0,0
17,Barion Brown,UK,WR,16,576,36.0,100,3,3,51,17.0,36,0
18,Jaylin Lucas,IU,RB,22,572,26.0,100,1,10,14,1.4,29,0
19,Ismail Mahdi,TXST,RB,22,563,25.6,100,1,0,0,0.0,0,0
20,Bhayshul Tuten,VT,RB,19,550,28.9,99,2,0,0,0.0,0,0
21,Sam Martin,TEM,DB,27,548,20.3,95,1,0,0,0.0,0,0
22,Milan Tucker,APP,WR,23,547,23.8,48,0,0,0,0.0,0,0
23,Shedro Louis,TULN,RB,19,540,28.4,100,1,0,0,0.0,0,0
