RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'YDS')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Unnamed: 11_level_0', 'FF')"
1,Jason Henderson,ODU,LB,58,121,179,0.5,5,1,0,0,0,0,0
2,Shaun Dolac,BUFF,LB,97,51,148,4.5,29,7,0,0,0,0,3
3,Cedric Gray,UNC,LB,82,62,144,1.0,7,6,2,30,17,0,3
4,Jackson Mitchell,CONN,LB,52,88,140,4.5,28,3,1,4,4,0,2
5,KD Davis,UNT,LB,71,66,137,1.0,12,1,1,0,0,0,1
7,Ryan McWood,M-OH,LB,51,84,135,0.5,4,3,1,26,26,0,1
7,Carlton Martial,TROY,LB,54,81,135,0.5,3,2,1,21,21,0,1
9,Dorian Williams,TULN,LB,81,50,131,5.0,26,7,2,13,13,0,2
10,Bubba Arslanian,AKR,LB,61,68,129,1.0,8,2,1,5,5,0,0
10,Jason Johnson,UCF,LB,70,59,129,1.5,14,0,0,0,0,0,2
12,Jack Campbell,IOWA,LB,59,66,125,1.0,9,1,2,30,30,0,1
13,Austin Ajiake,UNLV,S,58,66,124,3.0,14,0,2,56,47,0,0
13,Matt Salopek,M-OH,LB,61,63,124,3.5,22,1,0,0,0,0,1
13,Danny Stutsman,OU,LB,70,54,124,3.0,22,5,2,40,37,0,0
16,Easton Gibbs,WYO,LB,64,57,121,3.0,8,1,0,0,0,0,1
17,Tommy Eichenberg,OSU,LB,77,43,120,2.5,12,3,1,15,15,1,0
17,Cal Haladay,MSU,LB,42,78,120,1.5,12,0,0,0,0,0,1
19,Jaylan Ford,TEX,LB,62,57,119,2.0,21,2,4,48,18,0,2
20,Ace Eley,GT,LB,57,61,118,3.5,34,3,0,0,0,0,4
21,Ryan Smenda Jr.,WAKE,LB,41,76,117,0.0,0,3,0,0,0,0,0
