RK,NAME,TEAM,PUNTS,YDS,LNG,AVG,NET
1,Matt Araiza,SDSU,79,4044,86,51.2,44.2
2,Michael Turk,OU,35,1791,85,51.2,45.8
3,Ryan Stonehouse,CSU,58,2953,81,50.9,42.3
4,Kyle Ostendorp,ARIZ,58,2852,71,49.2,44.0
5,Ryan Rehkow,BYU,40,1943,83,48.6,42.8
6,Race Porter,WASH,53,2572,73,48.5,42.1
7,Bryce Baringer,MSU,59,2857,74,48.4,43.6
8,Austin McNamara,TTU,42,2023,70,48.2,44.0
9,Josh Watts,COLO,66,3154,64,47.8,39.5
10,Ryan Wright,TULN,51,2424,69,47.5,44.5
11,Tommy Heatherly,FIU,75,3536,68,47.1,40.3
12,Cameron Dicker,TEX,47,2200,78,46.8,44.8
13,Jake Camarda,UGA,47,2197,68,46.7,41.6
14,Nik Constantinou,TA&M,51,2377,65,46.6,43.8
15,Andy Vujnovich,WISC,49,2274,68,46.4,42.1
16,Brad Robbins,MICH,45,2085,65,46.3,44.2
17,Rhys Byrns,UL,59,2722,70,46.1,43.1
18,Tory Taylor,IOWA,80,3688,69,46.1,42.1
19,Joe Doyle,MEM/TENN,41,1888,67,46.0,42.5
20,Jordan Stout,PSU,67,3083,76,46.0,44.5
21,Colin Goodfellow,UK,35,1608,70,45.9,41.1
22,Jake Julien,EMU,51,2343,78,45.9,42.6
23,Adam Korsak,RUTG,72,3299,74,45.8,45.3
24,Lachlan Wilson,TLSA,61,2787,67,45.7,39.3
25,Matthew Hayball,FAU,61,2785,68,45.7,40.9
26,Lucas Dean,UTSA,47,2126,73,45.2,42.5
27,Blake Hayes,ILL,68,3068,80,45.1,43.1
28,Trenton Gill,NCST,65,2928,65,45.0,41.5
29,Anthony Beck II,GASO,64,2881,63,45.0,43.0
30,Issac Power,BAY,50,2249,68,45.0,41.7
31,Ben Griffiths,USC,44,1978,71,45.0,41.2
32,Julian Diaz,NEV,51,2290,61,44.9,40.5
33,Porter Wilson,DUKE,61,2732,69,44.8,40.2
34,George Georgopoulos,MASS,64,2864,66,44.8,42.0
35,Lou Hedley,MIA,49,2189,62,44.7,43.0
36,Peter Moore,VT,65,2892,68,44.5,39.1
37,Will Hart,SJSU/MICH,67,2976,72,44.4,41.8
38,Matt Ference,NIU,45,1998,65,44.4,37.7
39,Mac Brown,MISS,43,1909,58,44.4,39.8
40,Kyle Ulbrich,MTSU,68,3017,74,44.4,39.6
41,Grant Carlson,BC,53,2344,72,44.2,38.7
42,Jacob Finn,FLA/UVA,41,1812,59,44.2,38.9
43,Oscar Chapman,AUB,57,2515,65,44.1,41.8
44,Zach Harding,ARMY,38,1676,63,44.1,40.9
45,Jeremy Crawshaw,FLA,52,2293,69,44.1,40.0
46,Paxton Brooks,TENN,45,1982,64,44.0,42.4
46,Ryan Hanson,ARST,68,2995,73,44.0,42.7
48,Ivan Mora,WAKE,49,2151,58,43.9,40.3
49,Bernardo Rodriguez,UNT,61,2675,70,43.9,37.2
50,Ty Zentner,KSU,40,1748,63,43.7,38.8
