RK,NAME,TEAM,REC,YDS,AVG,LNG,TD
1,Jerreth Sterns,WKU,150,1902,12.7,74,17
2,Deven Thompkins,USU,102,1704,16.7,75,10
3,Jaxon Smith-Njigba,OSU,95,1606,16.9,75,9
4,Jordan Addison,PITT,100,1593,15.9,67,17
5,Jameson Williams,ALA,79,1572,19.9,94,15
6,Jalen Tolbert,USA,82,1474,18.0,68,8
7,Jack Sorenson,M-OH,76,1406,18.5,83,10
8,Mitchell Tinsley,WKU,87,1402,16.1,75,14
9,Jacob Cowing,UTEP,69,1354,19.6,76,7
10,Josh Downs,UNC,101,1335,13.2,63,8
11,Wan'Dale Robinson,UK,104,1334,12.8,79,7
12,Tank Dell,HOU,90,1329,14.8,55,12
13,A.T. Perry,WAKE,71,1293,18.2,69,15
14,Skyy Moore,WMU,95,1292,13.6,74,10
15,David Bell,PUR,93,1286,13.8,60,6
16,Dante Cephas,KENT,82,1240,15.1,80,9
17,Dontayvion Wicks,UVA,57,1203,21.1,77,9
18,Jahan Dotson,PSU,91,1182,13.0,86,12
19,Charleston Rambo,MIA,79,1172,14.8,60,7
20,Calvin Austin III,MEM,74,1149,15.5,75,8
21,John Metchie III,ALA,96,1142,11.9,46,8
22,Jaivon Heiligh,CCU,66,1128,17.1,66,7
23,Trey McBride,CSU,90,1121,12.5,50,1
24,Khalil Shakir,BSU,77,1117,14.5,69,7
25,Josh Johnson,TLSA,83,1114,13.4,63,6
26,Romeo Doubs,NEV,80,1109,13.9,66,11
27,Treylon Burks,ARK,66,1104,16.7,91,11
28,Drake London,USC,88,1084,12.3,44,7
29,Cedric Tillman,TENN,64,1081,16.9,70,12
30,Jaquarii Roberson,WAKE,71,1078,15.2,75,8
31,Tyrese Chambers,FIU,45,1074,23.9,91,9
32,Ali Jennings,ODU,62,1066,17.2,60,5
33,Garrett Wilson,OSU,70,1058,15.1,77,12
34,Tay Martin,OKST,80,1046,13.1,38,10
34,Makai Polk,MSST,105,1046,10.0,50,9
36,Dontario Drummond,MISS,76,1028,13.5,67,8
37,Zakhari Franklin,UTSA,81,1027,12.7,75,12
38,Jayden Reed,MSU,59,1026,17.4,85,10
39,Hassan Beydoun,EMU,97,1015,10.5,64,4
40,Keytaon Thompson,UVA,78,990,12.7,34,2
41,Calvin Jackson,WSU,66,987,15.0,78,7
41,Xavier Hutchinson,ISU,83,987,11.9,51,5
43,Xavier Worthy,TEX,62,981,15.8,75,12
44,Kalil Pimpleton,CMU,62,960,15.5,72,4
45,Tyquan Thornton,BAY,62,948,15.3,75,10
46,Chris Olave,OSU,65,936,14.4,61,13
47,Nick Mardner,HAW,46,913,19.8,79,5
48,Isaiah Likely,CCU,59,912,15.5,99,12
49,Corey Sutton,APP,61,904,14.8,79,7
50,Jalen Cropper,FRES,85,899,10.6,86,11
51,Samori Toure,NEB,46,898,19.5,72,5
52,Trayvon Rudolph,NIU,51,892,17.5,75,7
52,Grant DuBose,CLT,62,892,14.4,56,6
54,Kevin Austin Jr.,ND,48,888,18.5,70,7
55,Alec Pierce,CIN,52,884,17.0,53,8
56,Brock Bowers,UGA,56,882,15.8,89,13
57,Corey Gammage,MRSH,78,878,11.3,64,2
