RK,NAME,TEAM,ATT,YDS,AVG,LNG,TD
1,Ollie Gordon II,OKST,285,1732,6.1,75,21
2,Kimani Vidal,TROY,297,1661,5.6,69,14
3,Cody Schrader,MIZ,276,1627,5.9,52,14
4,Tahj Brooks,TTU,290,1541,5.3,46,10
5,Omarion Hampton,UNC,253,1504,5.9,68,15
6,RJ Harvey,UCF,226,1416,6.3,92,16
7,Quinton Cooley,LIB,221,1401,6.3,60,16
8,Peny Boone,TOL,194,1400,7.2,71,15
9,Makhi Hughes,TULN,258,1378,5.3,58,7
10,Marcus Carroll,GAST,274,1350,4.9,63,13
11,Ashton Jeanty,BOIS,220,1347,6.1,68,14
12,Audric Estime,ND,210,1341,6.4,80,18
13,Ismail Mahdi,TXST,223,1331,6.0,65,10
14,Jaydn Ott,CAL,245,1305,5.3,66,12
15,Antario Brown,NIU,212,1296,6.1,80,10
16,Devin Neal,KU,203,1280,6.3,75,16
17,Kyle Monangai,RUTG,242,1262,5.2,55,8
18,Blake Corum,MICH,258,1245,4.8,59,27
19,DJ Giddens,KSU,223,1226,5.5,43,10
20,Emani Bailey,TCU,223,1209,5.4,74,8
21,Dillon Johnson,WASH,233,1195,5.1,53,16
22,Kairee Robinson,SJSU,170,1194,7.0,52,18
23,Jacory Croskey-Merritt,UNM,189,1190,6.3,55,17
24,Damien Martinez,ORST,194,1185,6.1,64,9
25,Bucky Irving,ORE,186,1180,6.3,56,11
26,Quinshon Judkins,MISS,271,1158,4.3,40,15
27,Kay'Ron Lynch-Adams,MASS,236,1157,4.9,47,12
28,Blake Watson,MEM,192,1152,6.0,69,14
29,Jonathon Brooks,TEX,187,1139,6.1,67,10
30,Rasheen Ali,MRSH,212,1135,5.4,64,15
31,Jayden Daniels,LSU,135,1134,8.4,85,10
32,Frank Gore Jr.,USM,231,1131,4.9,75,10
33,Ray Davis,UK,199,1129,5.7,75,14
34,Jawhar Jordan,LOU,181,1128,6.2,74,13
35,Tommy Castellanos,BC,215,1113,5.2,45,13
36,Kaidon Salter,LIB,163,1089,6.7,52,12
37,Rashad Amos,M-OH,210,1075,5.1,66,13
38,LeQuint Allen Jr.,SYR,245,1064,4.3,56,9
39,Jamal Haynes,GT,174,1059,6.1,67,7
40,Corey Kiner,CIN,192,1047,5.5,68,5
41,Marquez Cooper,BALL,227,1043,4.6,39,4
42,Ayo Adeyi,UNT,143,1017,7.1,47,6
43,Jaylen Wright,TENN,137,1013,7.4,82,4
44,La'Damian Webb,USA,186,1007,5.4,65,16
45,Jalen Buckley,WMU,189,1003,5.3,75,10
46,Braelon Allen,WIS,181,984,5.4,52,12
47,Malik Sherrod,FRES,172,966,5.6,72,9
48,Phil Mafah,CLEM,179,965,5.4,49,13
49,Emmanuel Michel,AFA,204,950,4.7,54,11
50,Harrison Waylee,WYO,164,947,5.8,75,5
51,Diego Pavia,NMSU,177,928,5.2,44,7
52,TreVeyon Henderson,OSU,156,926,5.9,75,11
53,Jarquez Hunter,AUB,159,909,5.7,67,7
54,Trey Benson,FSU,156,905,5.8,85,14
55,Kaytron Allen,PSU,172,902,5.2,50,6
56,Bryson Daily,ARMY,215,901,4.2,62,7
57,Malik Jackson,JVST,146,897,6.1,68,7
58,Jase McClellan,ALA,180,890,4.9,34,8
59,Anthony Watkins,TLSA,197,889,4.5,46,4
59,Jalen White,GASO,160,889,5.6,45,9
61,Daijun Edwards,UGA,164,881,5.4,62,13
62,Jonah Coleman,ARIZ,128,871,6.8,59,5
63,Bhayshul Tuten,VT,173,863,5.0,49,10
64,Carson Steele,UCLA,167,847,5.1,42,6
65,Quali Conley,SJSU,131,842,6.4,68,9
65,Jahiem White,WVU,109,842,7.7,53,4
67,Nate Noel,APP,173,834,4.8,68,5
68,Will Shipley,CLEM,167,827,5.0,33,5
68,T.J. Harden,UCLA,156,827,5.3,62,8
70,Leshon Williams,IOWA,170,821,4.8,82,1
71,MarShawn Lloyd,USC,116,820,7.1,56,9
72,Jordan Waters,DUKE,153,819,5.4,83,12
73,Kyron Drones,VT,166,818,4.9,59,5
74,Montrell Johnson Jr.,FLA,152,817,5.4,52,5
75,Deion Hankins,UTEP,157,812,5.2,54,5
76,Sieh Bangura,OHIO,178,811,4.6,26,7
77,Isaac Guerendo,LOU,132,810,6.1,73,11
78,Byrum Brown,USF,203,809,4.0,60,11
79,Devin Mockobee,PUR,172,807,4.7,65,6
80,Davon Booth,USU,120,805,6.7,65,6
81,Jermaine Brown Jr.,UAB,158,803,5.1,40,12
82,Darius Taylor,MINN,138,799,5.8,43,5
83,Nathan Carter,MSU,185,798,4.3,44,4
83,CJ Donaldson,WVU,171,798,4.7,32,11
85,Nay'Quan Wright,USF,180,797,4.4,47,8
85,Ja'Quinden Jackson,UTAH,161,797,4.9,54,4
87,Kendall Milton,UGA,121,790,6.5,51,14
88,Cam Skattebo,ASU,164,783,4.8,66,9
89,Kye Robichaux,BC,163,780,4.8,57,8
90,Garrett Greene,WVU,120,772,6.4,48,13
91,Dean Connors,RICE,121,771,6.4,57,7
92,Terion Stewart,BGSU,125,762,6.1,54,8
93,Vincent Davis Jr.,UNLV,145,760,5.2,69,7
94,Jordan James,ORE,107,759,7.1,37,11
95,Alex Tecza,NAVY,126,758,6.0,75,5
96,Trevor Etienne,FLA,131,753,5.7,62,8
97,Nicholas Singleton,PSU,171,752,4.4,24,8
98,George Holani,BOIS,134,748,5.6,75,7
99,Jaylan Knighton,SMU,136,745,5.5,95,7
100,Gavin Sawchuk,OU,120,744,6.2,64,9
101,Oscar Adaway III,UNT,123,738,6.0,77,6
102,Haynes King,GT,120,737,6.1,71,10
102,Marion Lukes,CMU,144,737,5.1,46,5
104,Darren Grainger,GAST,159,736,4.6,65,10
104,Rahsul Faison,USU,118,736,6.2,60,5
106,Jacob Kibodi,UL,129,729,5.7,69,7
107,Kiael Kelly,BALL,135,724,5.4,55,7
108,Tyrone Tracy Jr.,PUR,113,716,6.3,62,8
108,Ja'Quez Cross,ARST,128,716,5.6,66,7
110,Kevorian Barnes,UTSA,147,715,4.9,44,6
111,Zion Webb,JVST,132,708,5.4,61,7
112,Mario Anderson Jr.,SC,143,707,4.9,75,3
113,Kanye Roberts,APP,123,696,5.7,61,7
114,Larry McCammon III,FAU,149,681,4.6,40,5
115,Roman Hemby,MD,142,680,4.8,40,4
116,Jaquez Moore,DUKE,116,674,5.8,58,6
117,Brennan Armstrong,NCSU,143,665,4.7,43,7
118,CJ Baxter,TEX,138,659,4.8,54,5
119,Logan Diggs,LSU,119,653,5.5,35,7
119,Star Thomas,NMSU,112,653,5.8,40,4
121,Cam Porter,NU,166,651,3.9,34,4
122,Treshaun Ward,KSU,124,643,5.2,52,5
123,Lorenzo Lingard,AKR,143,641,4.5,71,4
124,Kaelon Black,JMU,142,637,4.5,57,1
125,Samson Evans,EMU,142,635,4.5,61,12
126,Daniel Hishaw Jr.,KU,121,626,5.2,29,8
127,Henry Parrish Jr.,MIA,100,625,6.3,38,6
128,Kadarius Calloway,ODU,88,623,7.1,75,5
129,Torrance Burgess Jr.,UTEP,124,620,5.0,40,2
130,Cam Edwards,CONN,123,618,5.0,39,4
131,Abu Sama III,ISU,84,614,7.3,77,6
132,Ron Cook Jr.,BUFF,148,609,4.1,36,6
133,Zac Larrier,AFA,142,605,4.3,41,6
134,Dylan Sampson,TENN,106,604,5.7,44,7
135,John Lee Eldridge III,AFA,84,599,7.1,65,6
136,Billy Lucas,LIB,114,597,5.2,43,6
137,Keshawn Wicks,ODU,120,589,4.9,36,4
138,Robert Henry Jr.,UTSA,127,588,4.6,43,11
139,Demond Claiborne,WAKE,137,586,4.3,42,5
140,LJ Johnson Jr.,SMU,108,576,5.3,67,4
140,Jaylon Jackson,EMU,136,576,4.2,55,2
142,Zak Wallace,ARST,126,575,4.6,41,6
143,Jacquez Stuart,TOL,110,574,5.2,80,6
144,Woody Marks,MSST,121,573,4.7,52,4
144,Johnny Richardson,UCF,87,573,6.6,79,1
146,Monte Watkins,NMSU,59,572,9.7,80,2
147,Ty Son Lawton,JMU,126,568,4.5,28,5
148,Reggie Love III,ILL,116,567,4.9,61,4
149,Shomari Lawrence,FIU,125,566,4.5,67,4
150,Dequan Finn,TOL,123,563,4.6,56,7
151,Jaylon Glover,UTAH,137,562,4.1,30,2
152,Emory Jones,CIN,155,560,3.6,25,4
152,Roydell Williams,ALA,111,560,5.0,48,5
154,Jordan Nubin,MINN,127,559,4.4,21,3
155,Aaron Bedgood,LIB,58,552,9.5,49,3
156,Tyre Shelton,LT,97,551,5.7,56,5
157,Victor Rosa,CONN,112,550,4.9,71,3
158,Justice Ellison,WAKE,120,548,4.6,51,1
159,Rodney Hammond Jr.,PITT,118,547,4.6,66,4
160,Gavin Garcia,KENT,138,544,3.9,42,2
161,Ulysses Bentley IV,MISS,95,540,5.7,43,4
162,Amari Daniels,TA&M,105,532,5.1,79,6
163,Jalen Milroe,ALA,161,531,3.3,53,12
164,Jalen Mayden,SDSU,128,528,4.1,70,5
165,Sean Dollars,NEV,151,527,3.5,33,6
166,Kanye Udoh,ARMY,99,524,5.3,23,1
167,Dominic Richardson,BAY,125,519,4.2,32,1
168,LJ Martin,BYU,109,518,4.8,55,4
169,Deshaun Fenwick,ORST,96,515,5.4,38,5
169,Payton Thorne,AUB,134,515,3.8,61,3
169,Dre Washington,UL,92,515,5.6,62,2
172,Mark Fletcher Jr.,MIA,105,514,4.9,54,5
173,Tawee Walker,OU,102,513,5.0,30,7
174,Hunter Smith,ULM,94,507,5.4,62,3
175,John Rhys Plumlee,UCF,106,505,4.8,32,5
176,Dontae Smith,GT,100,504,5.0,70,4
177,Jai'Den Thomas,UNLV,108,503,4.7,46,12
178,Donovan Edwards,MICH,119,497,4.2,46,5
178,Gavin Wimsatt,RUTG,131,497,3.8,80,11
