RK,NAME,TEAM,ATT,YDS,AVG,LNG,TD
1,Jonathan Taylor,WIS,307,2194,7.1,88,16
2,Darrell Henderson Jr.,MEM,214,1909,8.9,82,22
3,Trayveon Williams,TA&M,271,1760,6.5,93,18
4,Travis Etienne Jr.,CLEM,204,1658,8.1,75,24
5,Eno Benjamin,ASU,300,1642,5.5,49,16
6,Benny Snell Jr.,UK,289,1449,5.0,52,16
7,J.J. Taylor,ARIZ,255,1434,5.6,64,6
8,Alexander Mattison,BSU,302,1415,4.7,59,17
9,Jermar Jefferson,ORST,239,1380,5.8,62,12
10,Alex Barnes,KSU,256,1355,5.3,55,12
11,Devin Singletary,FAU,261,1348,5.2,44,22
12,Michael Warren II,CIN,244,1329,5.4,81,19
13,Nico Evans,WYO,203,1325,6.5,75,8
14,A.J. Ouellette,OHIO,213,1306,6.1,58,12
15,Miles Sanders,PSU,220,1274,5.8,78,9
16,Myles Gaskin,WASH,259,1268,4.9,80,12
17,Ke'Shawn Vaughn,VAN,157,1244,7.9,78,12
18,Joshua Kelley,UCLA,225,1243,5.5,61,12
19,LeVante Bellamy,WMU,205,1228,6.0,64,6
19,Benny LeMay,CHAR,232,1228,5.3,58,11
21,Spencer Brown,UAB,272,1227,4.5,30,16
22,David Montgomery,ISU,257,1216,4.7,39,13
22,Larry Rountree III,MIZ,225,1216,5.4,59,11
24,Qadree Ollison,PITT,194,1213,6.3,97,11
25,Darrynton Evans,APP,179,1187,6.6,79,7
26,B.J. Smith,TROY,219,1186,5.4,78,13
27,Greg McCrae,UCF,133,1182,8.9,74,10
28,Trey Ragas,ULL,207,1181,5.7,47,8
29,Karan Higdon,MICH,224,1178,5.3,67,10
30,Mohamed Ibrahim,MINN,202,1160,5.7,74,9
31,Darrin Hall,PITT,153,1144,7.5,75,10
32,David Pindell,UCONN,212,1142,5.4,75,10
33,Stevie Scott,IND,228,1137,5.0,45,10
34,Darius Bradwell,TULN,201,1134,5.6,73,11
35,Pooka Williams Jr.,KU,161,1125,7.0,72,7
36,Patrick Taylor Jr.,MEM,208,1122,5.4,70,16
37,Nick Fitzgerald,MSST,221,1121,5.1,76,13
37,Jordan Cronkrite,USF,184,1121,6.1,80,9
39,AJ Dillon,BC,227,1108,4.9,74,10
40,Ryquell Armstead,TEM,210,1098,5.2,75,13
41,Zack Moss,UTAH,179,1096,6.1,86,11
42,Reggie Gallaspy II,NCST,228,1091,4.8,86,18
43,Reggie Corbin,ILL,128,1085,8.5,80,9
44,Devine Ozigbo,NEB,155,1082,7.0,66,12
44,Malcolm Perry,NAVY,173,1082,6.3,75,7
46,Lexington Thomas,UNLV,215,1067,5.0,75,12
47,Kennedy Brooks,OKLA,119,1056,8.9,86,12
48,J.K. Dobbins,OSU,230,1053,4.6,42,10
49,Wesley Fields,GASO,200,1050,5.3,64,9
50,D'Andre Swift,UGA,163,1049,6.4,83,10
51,Kevin Mensah,UCONN,225,1045,4.6,68,6
52,Darwin Thompson,USU,153,1044,6.8,68,14
53,Nick Brossette,LSU,240,1039,4.3,50,14
54,Tre Harbison,NIU,206,1034,5.0,48,5
54,Anthony McFarland Jr.,MD,131,1034,7.9,81,4
56,Frankie Hickson,LIB,229,1032,4.5,47,11
57,Jordan Ellis,UVA,215,1026,4.8,75,10
58,Elijah Holyfield,UGA,159,1018,6.4,66,7
58,CJ Verdell,ORE,202,1018,5.0,74,10
60,Kelvin Hopkins Jr.,ARMY,208,1017,4.9,77,17
61,Jaret Patterson,BUFF,183,1013,5.5,64,14
62,Travon McMillian,COLO,201,1009,5.0,75,7
63,Cade Carney,WAKE,188,1005,5.3,48,8
64,Kyler Murray,OKLA,140,1001,7.2,75,12
65,Juwan Washington,SDSU,199,999,5.0,50,10
66,Cole Fagan,AFA,185,997,5.4,56,7
67,Dexter Williams,ND,158,995,6.3,97,12
68,Travis Homer,MIAMI,164,985,6.0,70,4
69,Elijah Mitchell,ULL,145,977,6.7,65,13
69,DeAndre Torrey,UNT,175,977,5.6,92,15
71,TaQuon Marshall,GT,216,971,4.5,45,11
72,Shamari Brooks,TLSA,229,967,4.2,37,7
73,Patrick Laird,CAL,223,961,4.3,62,5
74,Darnell Woolfolk,ARMY,221,956,4.3,52,14
75,Mike Weber,OSU,172,954,5.5,49,5
76,Trey Sermon,OKLA,164,947,5.8,60,13
77,Justice Hill,OKST,158,930,5.9,92,9
78,Scottie Phillips,MISS,153,928,6.1,65,12
79,Bryce Perkins,UVA,212,923,4.4,47,9
80,Bryant Koback,TOL,153,917,6.0,70,14
81,Shai Werts,GASO,182,908,5.0,47,15
82,Gerold Bright,USU,141,888,6.3,70,10
83,D.J. Knox,PUR,157,883,5.6,45,8
84,Damien Harris,ALA,150,876,5.8,73,9
84,Tobias Oliver,GT,152,876,5.8,65,12
86,Toa Taua,NEV,178,872,4.9,66,6
87,Moe Neal,SYR,155,869,5.6,68,5
88,Patrick Carr,HOU,152,868,5.7,39,5
89,Kerrith Whyte,FAU,134,866,6.5,77,8
89,Isaiah Bowser,NW,197,866,4.4,55,6
91,Nathan Rourke,OHIO,134,860,6.4,70,15
91,Marcel Murray,ARKST,154,860,5.6,64,8
93,Deon Jackson,DUKE,161,847,5.3,75,7
94,Corey Taylor,TLSA,178,846,4.8,48,11
95,Kevin Marks Jr.,BUFF,180,845,4.7,70,13
96,Maleek Irons,OHIO,126,831,6.6,42,8
97,La'Mical Perine,FLA,134,826,6.2,74,7
98,Aca'Cedric Ware,USC,125,825,6.6,69,6
99,Kennedy McKoy,WVU,145,802,5.5,38,8
100,Tra Minter,USA,183,801,4.4,43,6
101,Trace McSorley,PSU,170,798,4.7,51,12
102,Warren Wand,ARKST,139,792,5.7,53,4
103,JaTarvious Whitlow,AUB,150,787,5.2,55,6
103,Johnny Ford,USF,115,787,6.8,78,8
105,Tre Watson,TEX,185,786,4.2,39,3
105,Steven Peoples,VT,158,786,5.0,87,6
107,Corey Dauphine,TULN,124,785,6.3,69,7
108,Najee Harris,ALA,117,783,6.7,32,4
109,Marquis Young,UMASS,154,778,5.1,43,9
110,Jordan Scarlett,FLA,131,776,5.9,48,5
111,Jamauri Bogan,WMU,169,764,4.5,71,16
112,Matt Colburn,WAKE,159,759,4.8,74,5
113,Eric Dungey,SYR,184,754,4.1,49,15
113,Raymond Calais,ULL,81,754,9.3,92,7
115,Alonzo Smith,M-OH,141,746,5.3,56,9
116,Mekhi Sargent,IOWA,159,745,4.7,32,9
117,Ronnie Rivers,FRES,132,743,5.6,76,10
118,Chuba Hubbard,OKST,124,740,6.0,33,7
119,Bryce Love,STAN,166,739,4.5,59,6
119,Travis Dye,ORE,140,739,5.3,49,4
121,Rakeem Boyd,ARK,123,734,6.0,69,2
121,Kylin Hill,MSST,117,734,6.3,52,4
123,AJ Bush Jr.,ILL,138,733,5.3,44,8
124,CJ Marable,CCU,118,719,6.1,80,6
125,Izzy Matthews,CSU,166,717,4.3,56,4
126,Adrian Killins,UCF,147,715,4.9,26,4
127,Damarea Crockett,MIZ,147,709,4.8,59,7
128,Keaontay Ingram,TEX,142,708,5.0,31,3
129,Cam Akers,FSU,161,706,4.4,85,6
130,Andrew Clair,BGSU,135,702,5.2,74,5
131,Tyrone Owens,UNM,186,687,3.7,29,6
132,Napoleon Maxwell,FIU,128,684,5.3,52,7
133,D'Eriq King,HOU,111,674,6.1,64,14
134,Jaqwis Dancy,LT,124,667,5.4,61,9
135,Derrick Gore,ULM,131,662,5.1,46,6
