RK,NAME,TEAM,PUNTS,YDS,LNG,AVG,NET
1,Pressley Harvin III,GT,45,2161,70,48.0,44.8
2,Michael Turk,ASU,14,661,58,47.2,39.5
3,Lou Hedley,MIAMI,49,2311,60,47.2,45.1
4,Oscar Draguicevich III,WSU,19,888,78,46.7,41.6
5,Mac Brown,MISS,27,1259,59,46.6,39.4
6,Jake Camarda,UGA,36,1677,64,46.6,42.9
7,Ben Griffiths,USC,18,835,61,46.4,40.8
8,Julian Diaz,NEV,23,1065,76,46.3,42.6
9,Austin McNamara,TTU,41,1898,87,46.3,41.7
10,Lucas Dean,UTSA,57,2621,67,46.0,39.9
11,John Haggerty III,WKU,56,2560,68,45.7,40.2
12,Tanner Kuljian,SDSU/USD,35,1589,70,45.4,39.8
13,Ryan Stonehouse,CSU,26,1178,58,45.3,36.2
14,Brad Robbins,MICH,23,1041,66,45.3,43.0
15,Ryan Wright,TULN,52,2352,65,45.2,41.3
16,Max Duffy,UK,42,1895,75,45.1,42.1
17,Drue Chrisman,OSU,27,1216,74,45.0,39.9
18,Trenton Gill,NCST,52,2334,62,44.9,39.4
19,Nolan Cooney,SYR,74,3314,64,44.8,41.7
20,Kirk Christodoulou,PITT,53,2368,61,44.7,43.3
21,Daniel Sparks,ULM,30,1337,63,44.6,38.1
22,Connor Bowler,CLT,28,1244,71,44.4,41.2
23,Tommy Heatherly,FIU,32,1420,69,44.4,42.6
24,Jake Julien,EMU,16,708,53,44.3,42.8
25,Matthew Hayball,FAU,45,1988,70,44.2,40.4
26,Tory Taylor,IOWA,40,1765,61,44.1,42.8
27,Adam Barry,TEM,40,1760,62,44.0,38.1
28,Will Spiers,CLEM,45,1979,64,44.0,39.7
29,Zach Von Rosenberg,LSU,59,2593,61,43.9,42.0
30,Andrew Osteen,UCF,40,1756,57,43.9,39.4
31,James Smith,CIN,40,1754,60,43.8,41.3
32,Kyle Ulbrich,MTSU,43,1882,75,43.8,39.8
33,Blake Hayes,ILL,42,1838,62,43.8,40.2
34,Ben Kiernan,UNC,34,1485,62,43.7,41.3
35,Tom Snee,ORE,25,1091,53,43.6,39.4
36,Paxton Brooks,TENN,49,2138,61,43.6,41.8
37,Nathan Snyder,BALL,29,1265,61,43.6,39.9
38,Bryce Baringer,MSU,37,1613,78,43.6,35.2
39,Reid Bauer,ARK,39,1698,62,43.5,38.1
40,Rhys Byrns,UL,36,1567,74,43.5,39.7
41,Alex Mastromanno,FSU,35,1523,54,43.5,41.0
42,Haydon Whitehead,IU,39,1693,64,43.4,41.1
43,Adam Stack,HAW,44,1910,61,43.4,37.8
44,Bernardo Rodriguez,UNT,37,1605,58,43.4,39.8
45,Kai Kroeger,SC,39,1690,53,43.3,38.4
46,Zach Harding,ARMY,41,1774,60,43.3,40.2
47,Ryan Bujcevski,TEX,39,1687,60,43.3,39.5
48,Luke Elzinga,CMU,33,1425,76,43.2,40.6
49,Luke Akers,UCLA,24,1034,62,43.1,41.0
50,Grant McKinniss,MIZ,39,1680,66,43.1,41.0
51,Tyler Loop,ARIZ,24,1033,64,43.0,38.8
52,Oscar Bradburn,VT,37,1591,62,43.0,39.2
52,Lachlan Wilson,TLSA,42,1806,75,43.0,36.7
54,Adam Korsak,RUTG,48,2062,66,43.0,42.3
55,Porter Wilson,DUKE,53,2276,70,42.9,42.3
56,Tucker Day,MSST,29,1244,66,42.9,39.2
57,Jay Bramblett,ND,43,1839,59,42.8,41.3
58,Charlie Mendes,RICE,21,898,59,42.8,40.0
59,Nick Mihalic,WMU,18,768,68,42.7,37.7
59,Dom Dzioban,M-OH,15,640,59,42.7,42.7
61,Kyle Greenwell,UAB,46,1958,61,42.6,40.5
62,Adam Williams,MEM,43,1829,63,42.5,39.6
63,Robert Lefevre,MRSH,33,1402,61,42.5,40.1
64,Grant Carlson,BC,43,1825,62,42.4,39.3
65,Race Porter,WASH,10,424,52,42.4,38.0
66,Nash Griffin,UVA,42,1780,58,42.4,39.0
67,Matt Ference,NIU,31,1308,60,42.2,40.0
68,Anthony Pecorella,MD,15,631,55,42.1,39.3
69,Reed Bowman,MSST,30,1260,63,42.0,40.1
70,Xavier Subotsch,APP,36,1510,56,41.9,40.3
71,George Georgopoulos,MASS,29,1214,73,41.9,38.4
72,Jonn Young,ECU,28,1171,57,41.8,38.8
73,Derek Adams,NW,44,1840,60,41.8,38.9
74,Anthony Beck II,GASO,51,2130,60,41.8,37.0
75,Andy Vujnovich,WISC,34,1419,60,41.7,38.8
76,Jack Brooks,USA,43,1794,66,41.7,38.7
77,Laine Wilkins,HOU,38,1583,62,41.7,40.2
78,Jordan Stout,PSU,33,1371,56,41.5,38.8
79,Trent Schneider,USF,32,1323,60,41.3,33.6
80,Josh Watts,COLO,35,1447,60,41.3,37.3
81,William Przystup,NEB,24,991,56,41.3,35.2
