RK,NAME,TEAM,PUNTS,YDS,LNG,AVG,NET
82,Harrison Smith,VAN,46,1887,56,41.0,36.2
83,Jordy Sandy,TCU,57,2337,55,41.0,38.9
83,Oscar Chapman,AUB,28,1148,67,41.0,39.1
85,Seamus O'Kelly,TXST,57,2336,65,41.0,38.5
86,Joel Velazquez,BSU,22,901,71,41.0,36.1
87,Ty Zentner,KSU,28,1142,65,40.8,40.1
88,Stephen Kotsanlee,USU,37,1507,63,40.7,40.4
89,Ryan Hanson,ARST,41,1666,69,40.6,38.3
90,Joe Rivera,ISU,45,1826,64,40.6,35.1
91,Nik Constantinou,TA&M,36,1459,54,40.5,38.9
92,Tyler Sumpter,WVU,37,1499,56,40.5,39.1
93,Tom Hutton,OKST,59,2388,62,40.5,39.0
94,Michael Hayes II,GAST,50,2022,58,40.4,39.1
95,Tyson Dyer,UNM,34,1372,54,40.4,38.5
96,Issac Power,BAY,55,2219,66,40.3,37.2
97,Charles Ouverson,CCU,35,1410,62,40.3,37.6
98,Kyle Romenick,AKR,29,1168,58,40.3,35.1
99,Ivan Mora,WAKE,40,1610,66,40.3,37.0
100,Kyle Thompson,KU,26,1037,62,39.9,38.6
101,Jamieson Sheahan,CAL,23,917,50,39.9,38.0
102,Elijah Fischer,SJSU,33,1307,51,39.6,35.1
103,Griffin Fleming,USM,36,1421,47,39.5,38.8
104,Cade Fuller,FRES,19,748,57,39.4,35.4
105,Joshua Sloan,UTEP,30,1180,63,39.3,37.0
106,Matt Naranjo,BGSU,19,747,63,39.3,34.5
107,Chris Naggar,SMU,29,1140,58,39.3,36.7
108,Colton Spangler,MD,13,511,50,39.3,38.5
109,Reeves Mundschau,OU,38,1486,58,39.1,37.3
110,Ryan Sanborn,STAN,23,898,53,39.0,36.5
111,Benjamin Lennon,UTAH,14,544,47,38.9,31.6
112,Evan Finegan,BUFF,18,699,59,38.8,37.7
113,Nick Null,COR/WYO,29,1122,51,38.7,36.4
114,Charlton Butt,UNLV,22,842,46,38.3,37.5
115,Reis Vernon,KU,38,1438,50,37.8,31.6
116,Jacob Barnes,LT,49,1825,53,37.2,35.4
117,Daniel Davies,NAVY,44,1631,63,37.1,34.7
118,Jack Wilson,OHIO,13,480,53,36.9,36.9
119,Bailey Flint,TOL,19,692,53,36.4,34.2
