RK,NAME,TEAM,ATT,YDS,AVG,LNG,TD
1,Ashton Jeanty,BOIS,374,2601,7.0,77,29
2,Cam Skattebo,ASU,293,1711,5.8,53,21
3,Omarion Hampton,UNC,281,1660,5.9,75,15
4,Bryson Daily,ARMY,310,1659,5.4,42,32
5,Tre Stewart,JVST,278,1638,5.9,75,25
6,RJ Harvey,UCF,232,1577,6.8,80,22
7,Kaleb Johnson,IOWA,240,1537,6.4,75,21
8,Tahj Brooks,TTU,286,1505,5.3,40,17
9,Dylan Sampson,TENN,258,1491,5.8,56,22
10,Makhi Hughes,TULN,265,1401,5.3,51,15
11,Mario Anderson Jr.,MEM,236,1362,5.8,53,18
12,Ahmad Hardy,ULM,237,1351,5.7,80,13
13,Tyler Huff,JVST,227,1344,5.9,51,15
14,DJ Giddens,KSU,205,1343,6.6,66,7
15,Brashard Smith,SMU,235,1332,5.7,71,14
16,Kyle Monangai,RUTG,256,1279,5.0,62,13
17,Marquez Cooper,SDSU,292,1274,4.4,47,12
18,Jordan James,ORE,233,1267,5.4,41,15
19,Devin Neal,KU,219,1266,5.8,54,16
20,Quinton Cooley,LIB,205,1254,6.1,44,13
20,Blake Horvath,NAVY,176,1254,7.1,95,17
22,Anthony Tyus III,OHIO,237,1215,5.1,46,9
23,Jarquez Hunter,AUB,187,1201,6.4,50,8
24,Isaac Brown,LOU,165,1173,7.1,77,11
25,Rahjai Harris,ECU,206,1166,5.7,86,11
25,Devon Dampier,UNM,155,1166,7.5,85,19
27,Bhayshul Tuten,VT,183,1159,6.3,83,15
28,Corey Kiner,CIN,204,1153,5.7,46,4
29,Woody Marks,USC,198,1133,5.7,65,9
30,Jeremiyah Love,ND,163,1125,6.9,98,17
31,Kanye Udoh,ARMY,179,1117,6.2,72,10
32,Phil Mafah,CLEM,216,1115,5.2,83,8
33,Rahsul Faison,USU,198,1109,5.6,37,8
34,Kaytron Allen,PSU,220,1108,5.0,32,8
35,Nicholas Singleton,PSU,172,1099,6.4,58,12
36,Keyon Mozee,M-OH,178,1098,6.2,74,4
37,Anthony Hankerson,ORST,232,1082,4.7,83,15
38,Al-Jay Henderson,BUFF,204,1078,5.3,68,9
39,Quintrevion Wisner,TEX,226,1064,4.7,43,5
40,Eli Sanders,UNM,147,1063,7.2,75,9
41,Quinshon Judkins,OSU,194,1060,5.5,86,14
42,Parker Navarro,OHIO,160,1054,6.6,55,18
43,Jonah Coleman,WASH,193,1053,5.5,64,10
44,Demond Claiborne,WAKE,228,1049,4.6,60,11
45,Bryson Washington,BAY,175,1028,5.9,51,12
46,LeQuint Allen Jr.,SYR,228,1021,4.5,30,16
47,TreVeyon Henderson,OSU,144,1016,7.1,66,10
48,Damien Taylor,TROY,173,1010,5.8,56,7
49,Micah Bernard,UTAH,197,1009,5.1,64,4
50,Avery Morrow,CSU,184,1006,5.5,73,9
51,Damien Martinez,MIA,159,1002,6.3,75,10
52,Ismail Mahdi,TXST,183,991,5.4,45,4
53,Darius Taylor,MINN,205,986,4.8,80,10
54,George Pettaway,JMU,162,980,6.0,31,5
55,Desmond Reid,PITT,184,966,5.3,72,5
56,Kalel Mullings,MICH,185,948,5.1,63,12
57,Jamal Haynes,GT,169,944,5.6,68,9
58,Jaden Nixon,WMU,143,919,6.4,92,12
59,Jai'Den Thomas,UNLV,164,918,5.6,54,7
60,Riley Leonard,ND,184,906,4.9,50,17
61,Terion Stewart,BGSU,166,898,5.4,73,6
62,Aaron Young,ODU,172,887,5.2,51,8
63,Lee Beebe Jr.,UAB,166,885,5.3,61,7
64,Elijah Young,WKU,201,883,4.4,30,3
65,Raheim Sanders,SC,183,881,4.8,66,11
66,Ollie Gordon II,OKST,190,880,4.6,68,13
67,Star Thomas,DUKE,213,871,4.1,44,7
68,Tawee Walker,WIS,190,864,4.5,55,10
68,A.J. Turner,MRSH,104,864,8.3,88,6
70,Hajj-Malik Williams,UNLV,161,851,5.3,71,9
71,Justice Ellison,IU,159,848,5.3,47,10
72,Jahiem White,WVU,149,845,5.7,55,7
73,CJ Campbell Jr.,FAU,165,844,5.1,58,11
74,Fluff Bothwell,USA,111,832,7.5,59,13
75,Kentrel Bullock,USA,152,831,5.5,59,7
