RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'XP')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'PTS/G')"
1,Jack Podlesny,UGA,PK,0,0,0,0,26,73,0,151,10.0
2,Jake Moody,MICH,PK,0,0,0,0,29,60,0,147,10.5
3,Will Reichard,ALA,PK,0,0,0,0,22,64,0,130,10.0
4,Israel Abanikanda,PITT,RB,20,1,0,21,0,0,1,128,12.8
5,Tyjae Spears,TULN,RB,19,2,0,21,0,0,0,126,11.4
6,Noah Ruggles,OSU,PK,0,0,0,0,17,74,0,125,9.6
6,Jared Sackett,UTSA,PK,0,0,0,0,22,59,0,125,8.9
8,Mohamed Ibrahim,MINN,RB,20,0,0,20,0,0,0,120,10.9
8,Bijan Robinson,TEX,RB,18,2,0,20,0,0,0,120,12.0
10,Denis Lynch,USC,PK,0,0,0,0,15,74,0,119,8.5
11,Chase McGrath,TENN,PK,0,0,0,0,16,70,0,118,9.0
11,Bert Auburn,TEX,PK,0,0,0,0,21,55,0,118,9.0
13,Jonah Dalmas,BOIS,PK,0,0,0,0,23,47,0,116,8.2
14,Peyton Henry,WASH,PK,0,0,0,0,19,58,0,115,8.8
14,Nathanial Vakos,OHIO,PK,0,0,0,0,22,49,0,115,8.2
16,Jordan Mims,FRES,RB,18,1,0,19,0,0,0,114,9.5
16,Christopher Dunn,NCST,PK,0,0,0,0,28,30,0,114,8.7
16,Blake Corum,MICH,RB,18,1,0,19,0,0,0,114,10.3
16,DeWayne McBride,UAB,RB,19,0,0,19,0,0,0,114,11.4
20,Chris Howard,MEM,PK,0,0,0,0,21,50,0,113,8.6
20,Alex McNulty,BUFF,PK,0,0,0,0,24,41,0,113,8.6
20,Griffin Kell,TCU,PK,0,0,0,0,17,62,0,113,8.0
23,Xazavian Valladay,ASU,RB,16,2,0,18,0,0,2,112,10.1
24,B.T. Potter,CLEM,PK,0,0,0,0,20,48,0,108,7.7
24,Ethan Mooney,UNT,PK,0,0,0,0,18,54,0,108,7.7
24,Tank Dell,HOU,WR,0,17,1,18,0,0,0,108,9.8
24,Tanner Brown,OKST,PK,0,0,0,0,22,42,0,108,9.0
28,Ben Sauls,PITT,PK,0,0,0,0,20,47,0,107,8.2
29,Camden Lewis,ORE,PK,0,0,0,0,14,64,0,106,8.1
29,Nick Barr-Mira,UCLA,PK,0,0,0,0,15,61,0,106,8.1
29,Collin Rogers,SMU,PK,0,0,0,0,16,58,0,106,8.1
32,Brayden Narveson,WKU,PK,0,0,0,0,15,59,0,104,8.0
32,Trey Wolff,TTU,PK,0,0,0,0,21,41,0,104,8.0
34,Alex Raynor,GASO,PK,0,0,0,0,18,49,0,103,7.9
35,Kendre Miller,TCU,RB,17,0,0,17,0,0,0,102,7.8
35,Quinshon Judkins,MISS,RB,16,1,0,17,0,0,0,102,10.2
35,Noah Burnette,UNC,PK,0,0,0,0,15,57,0,102,7.2
35,Brad Roberts,AFA,RB,17,0,0,17,0,0,0,102,11.3
39,Ryan Coe,CIN,PK,0,0,0,0,19,44,0,101,8.4
40,Andre Szmyt,SYR,PK,0,0,0,0,20,40,0,100,7.6
40,Diego Guajardo,USA,PK,0,0,0,0,18,46,0,100,7.6
42,Harrison Mevis,MIZ,PK,0,0,0,0,22,33,0,99,7.6
43,Isaiah Bowser,UCF,RB,16,0,0,16,0,0,1,98,8.1
43,James Turner,LOU,PK,0,0,0,0,20,38,0,98,7.5
45,Gavin Baechle,UTEP,PK,0,0,0,0,22,31,0,97,8.0
46,Khalan Laborn,MRSH,RB,16,0,0,16,0,0,0,96,9.6
47,Chad Ryland,MD,PK,0,0,0,0,19,38,0,95,7.9
47,Mitchell Fineran,PUR,PK,0,0,0,0,18,41,0,95,6.7
47,Zach Schmit,OU,PK,0,1,0,1,12,53,0,95,7.9
50,Zack Long,TLSA,PK,0,0,0,0,17,43,0,94,7.8
50,John Hoyland,WYO,PK,0,0,0,0,22,28,0,94,7.8
52,Jake Pinegar,PSU,PK,0,0,0,0,12,57,0,93,7.1
52,Jonathan Cruz,MISS,PK,0,0,0,0,15,48,0,93,7.1
52,Ryan Fitzgerald,FSU,PK,0,0,0,0,12,57,0,93,7.1
52,Zeke Rankin,MTSU,PK,0,0,0,0,16,45,0,93,7.1
56,Bo Nix,ORE,QB,14,1,0,15,0,0,1,92,7.6
56,Zakhari Franklin,UTSA,WR,0,15,0,15,0,0,1,92,9.2
56,Will Shipley,CLEM,RB,15,0,0,15,0,0,1,92,7.6
56,Keaton Mitchell,ECU,RB,14,1,0,15,0,0,1,92,11.5
56,Matthew Dennis,WAKE,PK,0,0,0,0,12,56,0,92,7.0
56,Tyler Loop,ARIZ,PK,0,0,0,0,18,38,0,92,7.6
62,Brooks Buce,TROY,PK,0,0,0,0,17,40,0,91,6.5
62,Blake Grupe,ND,PK,0,0,0,0,14,49,0,91,7.0
62,Matthew Trickett,MINN,PK,0,0,0,0,15,46,0,91,7.0
62,Thomas Cluckey,TOL,PK,0,0,0,0,13,52,0,91,7.0
66,Briggs Bourgeois,USM,PK,0,0,0,0,18,36,0,90,6.9
66,Samson Evans,EMU,RB,15,0,0,15,0,0,0,90,10.0
66,Sieh Bangura,OHIO,RB,13,2,0,15,0,0,0,90,10.0
66,Jabari Small,TENN,RB,13,2,0,15,0,0,0,90,8.1
66,La'Damian Webb,USA,RB,13,2,0,15,0,0,0,90,11.2
66,Jalin Hyatt,TENN,WR,0,15,0,15,0,0,0,90,12.8
66,Carson Steele,BALL,RB,14,1,0,15,0,0,0,90,11.2
66,Jack Browning,SDSU,PK,0,0,0,0,20,30,0,90,6.9
74,Cam Little,ARK,PK,0,0,0,0,13,50,0,89,6.8
74,Jesus Gomez,EMU,PK,0,0,0,0,14,47,0,89,6.8
76,Daniel Gutierrez,UNLV,PK,0,0,0,0,18,34,0,88,7.3
77,Matt Quinn,UAB,PK,0,0,0,0,14,45,0,87,6.6
78,John Richardson,NIU,PK,0,0,0,0,18,31,0,85,7.0
78,Matthew Dapore,AFA,PK,0,0,0,0,16,37,0,85,6.5
78,Damian Ramos,LSU,PK,0,0,0,0,10,55,0,85,6.0
81,Zach Charbonnet,UCLA,RB,14,0,0,14,0,0,0,84,10.5
81,Miyan Williams,OSU,RB,14,0,0,14,0,0,0,84,10.5
81,Marvin Harrison Jr.,OSU,WR,0,14,0,14,0,0,0,84,10.5
81,Nicholas Singleton,PSU,RB,12,1,1,14,0,0,0,84,9.3
81,Richard Reese,BAY,RB,14,0,0,14,0,0,0,84,10.5
81,Adam Mihalek,FLA,PK,0,0,0,0,14,42,0,84,6.4
81,Colton Boomer,UCF,PK,0,0,0,0,14,42,0,84,7.0
88,Andy Borregales,MIA,PK,0,0,0,0,17,32,0,83,6.9
89,Camden Wise,JMU,PK,0,0,0,0,11,49,0,82,7.4
89,Andrew Glass,KENT,PK,0,0,0,0,17,31,0,82,6.8
91,Graham Nicholson,M-OH,PK,0,0,0,0,18,27,0,81,6.2
91,Dominic Zvada,ARST,PK,0,0,0,0,17,30,0,81,6.7
93,Casey Legg,WVU,PK,0,0,0,0,14,37,0,79,6.5
93,Ben VonGunten,BALL/INWS,PK,0,0,0,0,17,28,0,79,6.5
