RK,NAME,TEAM,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
1,Kyle McCord,SYR,391,592,66.0,4779,8.1,67,34,12,27,148.8
2,Cam Ward,MIA,305,454,67.2,4313,9.5,77,39,7,22,172.2
3,Jaxson Dart,MISS,276,398,69.3,4279,10.8,75,29,6,28,180.7
4,Shedeur Sanders,COLO,353,477,74.0,4134,8.7,69,37,10,42,168.2
5,Garrett Nussmeier,LSU,337,525,64.2,4052,7.7,76,29,12,16,142.7
6,Will Howard,OSU,309,423,73.1,4010,9.5,75,35,10,14,175.3
7,Josh Hoover,TCU,313,471,66.5,3949,8.4,84,27,11,16,151.1
8,Dillon Gabriel,ORE,326,447,72.9,3857,8.6,69,30,6,21,164.9
9,Chandler Morris,UNT,322,510,63.1,3774,7.4,96,31,12,12,140.6
10,Cade Klubnik,CLEM,308,486,63.4,3639,7.5,76,36,6,23,148.2
11,Rocco Becht,ISU,271,456,59.4,3505,7.7,75,25,9,15,138.1
12,Seth Henigan,MEM,309,477,64.8,3502,7.3,89,25,6,19,141.2
13,Carson Beck,UGA,290,448,64.7,3485,7.8,67,28,12,18,145.3
14,Quinn Ewers,TEX,293,445,65.8,3472,7.8,54,31,12,31,149.0
15,Owen McCown,UTSA,294,467,63.0,3424,7.3,69,25,10,27,137.9
16,Behren Morton,TTU,295,466,63.3,3335,7.2,70,27,8,23,139.1
17,Drew Allar,PSU,262,394,66.5,3327,8.4,59,24,8,19,153.5
18,Kevin Jennings,SMU,247,380,65.0,3245,8.5,87,23,11,14,150.9
19,Jordan McCloud,TXST,273,390,70.0,3227,8.3,70,30,13,17,158.2
20,Tyler Shough,LOU,244,389,62.7,3195,8.2,86,23,6,14,148.1
21,Taylen Green,ARK,230,381,60.4,3154,8.3,94,15,9,32,138.2
22,John Mateer,WSU,224,347,64.6,3139,9.0,59,29,7,31,164.1
23,Caden Veltkamp,WKU,258,389,66.3,3108,8.0,74,25,10,24,149.5
24,Nicholas Vattiato,MTSU,269,418,64.4,3092,7.4,71,16,10,29,134.3
25,Sawyer Robertson,BAY,229,368,62.2,3071,8.3,53,28,8,15,153.1
26,Connor Bazelak,BGSU,269,402,66.9,3044,7.6,66,18,5,26,142.8
27,Kurtis Rourke,IU,222,320,69.4,3042,9.5,84,29,5,20,176.0
28,Maddux Madsen,BOIS,247,396,62.4,3018,7.6,53,23,6,13,142.5
29,Fernando Mendoza,CAL,265,386,68.7,3004,7.8,66,16,6,41,144.6
30,Joey Aguilar,APP,218,390,55.9,3003,7.7,83,23,14,15,132.9
31,Noah Fifita,ARIZ,260,430,60.5,2958,6.9,78,18,12,28,126.5
32,Jake Retzlaff,BYU,213,368,57.9,2947,8.0,62,20,12,18,136.6
33,Maalik Murphy,DUKE,254,421,60.3,2933,7.0,86,26,12,12,133.5
34,Brett Gabbert,M-OH,217,379,57.3,2921,7.7,75,21,11,27,134.5
35,Kadin Semonza,BALL,275,426,64.6,2904,6.8,72,25,10,33,136.5
36,Mikey Keene,FRES,277,393,70.5,2892,7.4,75,18,11,25,141.8
