RK,NAME,TEAM,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
330,Ashton Daniels,STAN,5,6,83.3,39,6.5,23,0,0,1,137.9
332,Brendon Clark,ODU,2,4,50.0,37,9.3,21,0,1,1,77.7
332,Henry Hesson,M-OH,2,5,40.0,37,7.4,28,0,0,0,102.2
332,Tayven Jackson,TENN,3,4,75.0,37,9.3,22,0,0,1,152.7
332,Jordyn Tyson,COLO,1,1,100.0,37,37.0,37,0,0,0,410.8
336,Bucky Irving,ORE,2,2,100.0,36,18.0,18,1,0,0,416.2
336,Nick Haberer,WSU,1,1,100.0,36,36.0,36,0,0,0,402.4
336,Chance Lovertich,MSST,6,6,100.0,36,6.0,14,1,0,1,205.4
339,Brenden Brady,UTSA,1,1,100.0,35,35.0,35,1,0,0,724.0
339,Tory Horton,CSU,2,2,100.0,35,17.5,19,0,0,1,247.0
339,Ty Simpson,ALA,4,5,80.0,35,7.0,14,0,0,0,138.8
342,Jaxon Dailey,ARST,5,10,50.0,34,3.4,18,0,1,1,58.6
343,Thayer Thomas,NCST,2,2,100.0,33,16.5,38,1,0,1,403.6
343,Brady McBride,APP,2,3,66.7,33,11.0,22,0,0,0,159.1
343,Xavier Worthy,TEX,1,1,100.0,33,33.0,33,1,0,0,707.2
343,Braelon Allen,WISC,2,3,66.7,33,11.0,23,1,0,0,269.1
343,LeQuint Allen Jr.,SYR,1,2,50.0,33,16.5,33,1,0,0,353.6
348,Jack Albers,PUR,2,6,33.3,32,5.3,20,0,1,0,44.8
348,JP Richardson,OKST,1,1,100.0,32,32.0,32,0,0,1,368.8
348,OJ Arnold,GASO,1,2,50.0,32,16.0,32,1,0,0,349.4
348,Ashton Cook,ISU,4,4,100.0,32,8.0,25,0,0,0,167.2
348,John Mateer,WSU,2,2,100.0,32,16.0,27,1,0,0,399.4
353,Cale Millen,CONN,6,15,40.0,31,2.1,12,1,0,0,79.4
353,Anthony Sambucci,WMU,1,1,100.0,31,31.0,31,1,0,0,690.4
355,Gaston Moore,TENN,4,5,80.0,30,6.0,17,0,1,0,90.4
356,Ryan Glover,MEM,4,5,80.0,29,5.8,18,0,0,2,128.7
357,Levi Williams,USU,5,17,29.4,28,1.6,11,0,1,0,31.5
358,Tyjon Lindsey,ORST,1,2,50.0,27,13.5,27,0,0,0,163.4
359,Abdur-Rahmaan Yaseen,PUR,1,1,100.0,26,26.0,26,0,0,0,318.4
359,AJ Duffy,FSU,2,7,28.6,26,3.7,16,1,0,0,106.9
359,Kai Puailoa-Rojas,NAVY,1,2,50.0,26,13.0,26,1,1,0,224.2
362,Jayden Reed,MSU,1,1,100.0,25,25.0,25,1,0,0,640.0
362,Dalvin Smith,WKU,1,2,50.0,25,12.5,25,1,0,0,320.0
362,Caden Veltkamp,WKU,4,4,100.0,25,6.3,9,0,0,0,152.5
365,Brayden Willis,OU,1,1,100.0,24,24.0,24,1,0,0,631.6
365,Dontae Smith,GT,1,1,100.0,24,24.0,24,1,0,0,631.6
365,Sam Huard,WASH,2,2,100.0,24,12.0,14,0,0,1,200.8
368,Dylan Drummond,EMU,1,1,100.0,23,23.0,23,0,0,0,293.2
368,Kiael Kelly,BALL,1,1,100.0,23,23.0,23,0,0,0,293.2
368,Sawyer Robertson,MSST,6,11,54.5,23,2.1,7,0,1,1,53.9
368,Donaven McCulley,IU,1,1,100.0,23,23.0,23,0,0,0,293.2
372,Chase Roberts,BYU,1,1,100.0,22,22.0,22,1,0,1,614.8
373,D.J. Mack Jr.,ODU,1,3,33.3,21,7.0,21,1,0,0,202.1
373,Bailey Rice,CLT,1,1,100.0,21,21.0,21,0,0,0,276.4
375,Luke Elzinga,CMU,1,1,100.0,20,20.0,20,0,0,0,268.0
375,Jarquez Hunter,AUB,1,1,100.0,20,20.0,20,1,0,0,598.0
375,Davis Sherwood,ND,1,1,100.0,20,20.0,20,0,0,0,268.0
378,Elijah Cooks,SJSU,1,2,50.0,19,9.5,19,0,1,0,29.8
378,Deuce Hogan,UK,6,7,85.7,19,2.7,11,0,0,0,108.5
378,Phil Mafah,CLEM,1,1,100.0,19,19.0,19,0,0,0,259.6
381,Taye Barber,TCU,1,1,100.0,18,18.0,18,0,0,0,251.2
382,Dashaun Davis,APP,1,1,100.0,17,17.0,17,1,0,0,572.8
382,Jacoby Jones,OHIO,1,2,50.0,17,8.5,17,0,0,0,121.4
384,Gino English,FSU,2,2,100.0,16,8.0,16,0,0,0,167.2
384,Nate Johnson,UTAH,1,1,100.0,16,16.0,16,1,0,0,564.4
386,CJ Lewis,BGSU,1,2,50.0,15,7.5,15,0,0,1,113.0
386,Quian Williams,BUFF,1,1,100.0,15,15.0,15,0,0,0,226.0
386,Kalel Mullings,MICH,1,1,100.0,15,15.0,15,0,0,0,226.0
386,Stone Hollenbach,WMU,4,5,80.0,15,3.0,7,0,1,1,65.2
390,Michel Dukes,USF,3,3,100.0,14,4.7,18,0,0,0,139.2
390,Ron Cook Jr.,BUFF,1,1,100.0,14,14.0,14,0,0,0,217.6
390,Willie Taggart Jr.,FAU,2,7,28.6,14,2.0,8,0,0,0,45.4
390,C.J. Johnson,ECU,1,1,100.0,14,14.0,14,0,0,0,217.6
390,Josh Smith,KENT,1,1,100.0,14,14.0,14,0,0,0,217.6
390,Alonza Barnett III,JMU,1,1,100.0,14,14.0,14,0,0,0,217.6
396,Drake Stoops,OU,1,1,100.0,13,13.0,13,0,0,0,209.2
396,Taisun Phommachanh,GT,2,5,40.0,13,2.6,13,0,1,1,21.8
396,Weston Eget,NMSU,3,4,75.0,13,3.3,8,1,0,1,184.8
396,Jaden Walley,MSST,1,1,100.0,13,13.0,13,0,0,0,209.2
396,Ethan Vasko,KU,3,5,60.0,13,2.6,9,0,0,1,81.8
401,Sam James,WVU,1,1,100.0,12,12.0,12,0,0,0,200.8
401,Joshua Cephus,UTSA,2,2,100.0,12,6.0,9,0,0,0,150.4
401,Stephen Kotsanlee,USU,1,1,100.0,12,12.0,12,0,0,0,200.8
401,William Haskell,SDSU,3,7,42.9,12,1.7,12,0,0,0,57.3
405,Malik Knowles,KSU,1,1,100.0,11,11.0,11,0,0,0,192.4
406,Hunter Johnson,CLEM,6,6,100.0,10,1.7,6,0,0,0,114.0
406,Ta'Quan Roberson,CONN,1,2,50.0,10,5.0,10,0,0,0,92.0
408,Jacolby Criswell,UNC,2,6,33.3,9,1.5,5,0,0,0,45.9
408,Marquez Cooper,KENT,1,1,100.0,9,9.0,9,0,0,0,175.6
408,Devaughn Vele,UTAH,1,1,100.0,9,9.0,9,0,0,1,175.6
408,Bryce Archie,CCU,1,4,25.0,9,2.3,9,0,0,0,43.9
412,Lucas Coley,ARK/HOU,3,3,100.0,8,2.7,4,0,0,0,122.4
412,Tetairoa McMillan,ARIZ,2,2,100.0,8,4.0,11,0,0,0,133.6
412,Brady Allen,PUR,1,3,33.3,8,2.7,8,0,0,0,55.7
412,Holden Geriner,AUB,2,3,66.7,8,2.7,8,0,0,2,89.1
412,Brendan Sorsby,IU,3,6,50.0,8,1.3,9,0,1,2,27.9
417,Kinkead Dent,MISS,3,5,60.0,7,1.4,7,0,0,0,71.8
417,Roman Fuller,TLSA,1,1,100.0,7,7.0,7,0,0,0,158.8
417,Tez Johnson,TROY,1,2,50.0,7,3.5,7,1,0,0,244.4
417,Devontae Houston,CONN,1,1,100.0,7,7.0,7,0,0,0,158.8
417,Walker Howard,LSU,2,4,50.0,7,1.8,5,0,0,1,64.7
417,Quinshon Judkins,MISS,1,1,100.0,7,7.0,7,0,0,0,158.8
417,Dean Patterson,FIU,1,1,100.0,7,7.0,7,0,0,0,158.8
417,Brandon Mann,MICH,1,1,100.0,7,7.0,7,0,0,0,158.8
425,Aron Cruickshank,RUTG,1,1,100.0,6,6.0,6,0,0,0,150.4
425,Michael Kern,WAKE,3,4,75.0,6,1.5,6,0,0,0,87.6
425,Malik Washington,NU,1,1,100.0,6,6.0,6,0,0,0,150.4
425,Keanu Hill,BYU,1,1,100.0,6,6.0,6,0,0,0,150.4
425,Tyrell Robinson,ARMY,1,1,100.0,6,6.0,6,0,0,0,150.4
425,Antonio Williams,CLEM,1,1,100.0,6,6.0,6,0,0,0,150.4
