RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Field Goals', 'FGM')","('Field Goals', 'FGA')","('Field Goals', 'FG%')","('Field Goals', 'LNG')","('Field Goals', '1-19')","('Field Goals', '20-29')","('Field Goals', '30-39')","('Field Goals', '40-49')","('Field Goals', '50+')","('Extra points', 'XPM')","('Extra points', 'XPA')","('Extra points', 'PCT')"
1,Jonah Dalmas,BSU,PK,26,28,92.9,47,0-1,11-11,9-9,6-6,0-1,38,39,97.4
2,Cayden Camper,CSU,PK,25,32,78.1,53,0-0,14-15,5-8,5-8,1-1,27,27,100.0
3,Caleb Shudak,IOWA,PK,24,28,85.7,51,0-0,6-7,7-8,7-7,4-6,36,36,100.0
3,Hunter Duplessis,UTSA,PK,24,30,80.0,51,0-0,7-7,7-9,8-11,2-3,63,63,100.0
3,Mitchell Fineran,PUR,PK,24,29,82.8,48,0-0,11-11,12-17,1-1,0-0,40,42,95.2
6,Brayden Narveson,WKU,PK,23,29,79.3,53,0-0,7-7,11-12,4-6,1-4,72,72,100.0
6,Nick Sciba,WAKE,PK,23,25,92.0,46,0-0,12-13,4-4,7-7,0-1,65,65,100.0
6,Jake Moody,MICH,PK,23,25,92.0,52,0-0,6-6,13-13,3-5,1-1,56,56,100.0
6,Harrison Mevis,MIZ,PK,23,25,92.0,56,1-1,3-3,5-5,11-13,3-3,41,41,100.0
10,Seth Small,TA&M,PK,22,27,81.5,49,0-0,5-5,9-9,8-11,0-2,37,37,100.0
10,John Richardson,NIU,PK,22,27,81.5,47,0-0,10-11,6-8,6-7,0-1,42,42,100.0
10,Jack Podlesny,UGA,PK,22,27,81.5,49,0-0,10-10,7-9,5-8,0-0,71,72,98.6
10,Will Reichard,ALA,PK,22,28,78.6,51,0-0,5-5,9-10,7-11,1-2,71,72,98.6
10,Zack Long,TLSA,PK,22,23,95.7,50,0-0,7-7,7-7,7-7,1-2,35,36,97.2
10,Brandon Talton,NEV,PK,22,30,73.3,52,0-0,4-4,9-11,7-10,2-5,52,52,100.0
16,B.T. Potter,CLEM,PK,21,26,80.8,51,1-1,3-3,5-8,10-11,2-3,38,38,100.0
16,Andrew Glass,KENT,PK,21,28,75.0,43,0-0,6-9,12-14,3-5,0-0,50,50,100.0
18,Chandler Staton,APP,PK,20,21,95.2,48,0-0,9-9,5-6,6-6,0-0,57,57,100.0
18,Noah Ruggles,OSU,PK,20,21,95.2,46,1-1,6-6,9-10,4-4,0-0,74,74,100.0
18,Nick Rice,ODU,PK,20,26,76.9,50,1-1,5-7,8-9,5-7,1-2,39,41,95.1
18,Andrew Mevis,ISU,PK,20,23,87.0,54,0-0,6-6,4-4,8-11,2-2,32,32,100.0
18,Connor Coles,USU,PK,20,29,69.0,52,0-0,8-9,6-7,5-10,1-3,52,54,96.3
18,Blake Grupe,ARST,PK,20,25,80.0,50,0-0,4-4,10-12,5-8,1-1,31,32,96.9
18,Gabe Brkic,OU,PK,20,26,76.9,56,0-0,8-9,3-4,4-6,5-7,57,58,98.3
18,Cam Little,ARK,PK,20,24,83.3,51,0-0,7-7,6-7,6-7,1-3,46,46,100.0
26,Grayson Atkins,UNC,PK,19,23,82.6,51,0-0,9-9,6-7,2-2,2-5,52,52,100.0
26,Nate Needham,BGSU,PK,19,20,95.0,52,0-0,4-4,3-3,10-11,2-2,26,27,96.3
26,Casey Legg,WVU,PK,19,23,82.6,49,0-0,8-8,7-8,4-7,0-0,35,35,100.0
26,Chad Ryland,EMU,PK,19,22,86.4,55,0-0,4-4,8-10,5-6,2-2,47,47,100.0
26,Owen Daffer,ECU,PK,19,23,82.6,54,0-0,9-9,8-9,1-3,1-2,39,41,95.1
31,James McCourt,ILL,PK,18,23,78.3,53,0-0,5-6,5-5,4-4,4-8,26,26,100.0
31,Parker Romo,VT,PK,18,22,81.8,52,1-1,4-5,6-7,5-6,2-3,34,34,100.0
31,Matt Araiza,SDSU,P,18,28,64.3,53,0-0,3-3,9-10,3-6,3-9,45,45,100.0
31,Gavin Baechle,UTEP,PK,18,24,75.0,50,0-2,7-7,7-8,3-5,1-2,34,35,97.1
31,Matthew Shipley,HAW,PK,18,21,85.7,49,0-0,7-7,4-4,7-10,0-0,42,42,100.0
36,Collin Larsh,WISC,PK,17,22,77.3,48,0-0,7-8,7-9,3-4,0-1,39,40,97.5
36,Matthew Trickett,MINN,PK,17,25,68.0,50,0-0,4-6,8-9,4-6,1-4,36,38,94.7
