RK,NAME,TEAM,REC,YDS,AVG,LNG,TD
1,Danny Scudero,SJSU,88,1297,14.7,72,10
2,Skyler Bell,CONN,101,1278,12.7,80,13
3,Wyatt Young,UNT,70,1264,18.1,84,10
4,Jeremiah Smith,OSU,87,1243,14.3,87,12
5,Malachi Toney,MIA,109,1211,11.1,61,10
6,Beau Sparks,TXST,84,1200,14.3,73,10
7,Eric McAlister,TCU,72,1190,16.5,85,10
8,Makai Lemon,USC,79,1156,14.6,74,11
9,Cooper Barkate,DUKE,72,1106,15.4,77,7
10,KJ Duff,RUTG,60,1084,18.1,72,7
11,Duce Robinson,FSU,56,1081,19.3,82,6
12,Camden Brown,GASO,65,1079,16.6,73,14
13,Brenen Thompson,MSST,57,1054,18.5,58,6
14,Anthony Smith,ECU,64,1053,16.5,72,7
15,Easton Messer,FAU,104,1052,10.1,55,6
16,Chase Hendricks,OHIO,71,1037,14.6,67,7
17,Corey Rucker,ARST,75,1032,13.8,71,4
18,Jacob De Jesus,CAL,108,1030,9.5,41,6
19,Chris Brazzell II,TENN,62,1017,16.4,72,9
20,Junior Vandeross III,TOL,82,1008,12.3,71,11
21,Chris Dawn Jr.,TXST,65,1007,15.5,82,4
22,Ted Hurst,GAST,71,1004,14.1,70,6
23,Lewis Bond,BC,88,993,11.3,54,1
24,Nik McMillan,BUFF,62,981,15.8,55,3
25,Kam Perry,M-OH,43,976,22.7,66,6
26,Amare Thomas,HOU,67,966,14.4,64,12
27,Isaiah Sategna III,OU,67,965,14.4,87,8
28,Jackson Harris,HAW,49,963,19.7,78,12
29,Gabriel Benyard,KENN,60,949,15.8,54,9
30,Eli Heidenreich,NAVY,51,941,18.5,82,6
31,Omar Cooper Jr.,IU,69,937,13.6,58,13
32,Harrison Wallace III,MISS,61,934,15.3,55,4
33,Jaden Bradley,UNLV,58,931,16.1,56,4
34,Parker Kingston,BYU,67,928,13.9,75,5
35,Iverson Hooks,UAB,72,927,12.9,51,7
36,Braden Pegan,USU,60,926,15.4,54,5
37,KC Concepcion,TA&M,61,919,15.1,48,9
38,Chris Bell,LOU,72,917,12.7,64,6
38,Mario Craver,TA&M,59,917,15.5,86,4
40,Cameron Dorner,UNT,56,911,16.3,77,8
41,Cortez Braham Jr.,MEM,63,889,14.1,73,8
42,Matthew Henry,WKU,55,888,16.1,55,6
