RK,NAME,TEAM,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
1,Dwayne Haskins,OSU,373,533,70.0,4831,9.1,78,50,8,20,174.1
2,Gardner Minshew,WSU,468,662,70.7,4779,7.2,89,38,9,13,147.6
3,Kyler Murray,OKLA,260,377,69.0,4361,11.6,86,42,7,18,199.2
4,Taylor Cornelius,OKST,288,485,59.4,3978,8.2,64,32,13,32,144.7
5,Tua Tagovailoa,ALA,245,355,69.0,3966,11.2,81,43,6,13,199.5
6,Ryan Finley,NCST,326,484,67.4,3928,8.1,74,25,11,11,148.0
7,Jordan Ta'amu,MISS,266,418,63.6,3918,9.4,84,19,8,29,153.5
8,Cole McDonald,HAW,285,484,58.9,3875,8.0,80,36,10,34,146.5
9,Will Grier,WVU,266,397,67.0,3864,9.7,82,37,8,24,175.5
10,Mason Fine,UNT,303,469,64.6,3793,8.1,68,27,5,24,149.4
11,David Blough,PUR,305,462,66.0,3705,8.0,82,25,10,28,146.9
11,Brett Rypien,BSU,301,447,67.3,3705,8.3,74,30,7,32,156.0
13,Marcus McMaryion,FRES,293,427,68.6,3629,8.5,86,25,5,12,157.0
14,Jordan Love,USU,267,417,64.0,3567,8.6,88,32,6,9,158.3
15,Brent Stockstill,MTSU,326,464,70.3,3544,7.6,70,29,10,39,150.7
16,KJ Costello,STAN,269,413,65.1,3540,8.6,80,29,11,23,155.0
17,Drew Lock,MIZ,275,437,62.9,3498,8.0,86,28,8,13,147.7
18,Justice Hansen,ARKST,286,434,65.9,3447,7.9,78,27,9,23,149.0
19,Ty Gangi,NEV,268,443,60.5,3331,7.5,58,24,13,12,135.7
20,Brady White,MEM,246,392,62.8,3296,8.4,75,26,9,24,150.7
21,Sam Ehlinger,TEX,275,425,64.7,3292,7.7,48,25,5,26,146.8
22,Trevor Lawrence,CLEM,259,397,65.2,3280,8.3,74,30,4,11,157.6
23,Jake Browning,WASH,252,388,64.9,3192,8.2,59,16,10,23,142.5
24,Clayton Thorson,NW,299,489,61.1,3183,6.5,77,17,15,35,121.2
25,Jake Bentley,SC,240,388,61.9,3171,8.2,89,27,14,20,146.3
26,J'Mar Smith,LT,264,461,57.3,3160,6.9,67,15,10,32,121.2
27,Justin Herbert,ORE,240,404,59.4,3151,7.8,83,29,8,21,144.7
28,Tyree Jackson,BUFF,225,407,55.3,3131,7.7,75,28,12,15,136.7
29,Kyle Shurmur,VAN,254,406,62.6,3130,7.7,75,24,6,21,143.9
30,Kellen Mond,TA&M,238,415,57.3,3107,7.5,69,24,9,34,135.0
31,Stephen Calvert,LIB,240,439,54.7,3068,7.0,66,21,18,20,121.0
32,Manny Wilkins,ASU,247,393,62.8,3025,7.7,72,20,6,16,141.2
