RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Kickoffs', 'ATT')","('Kickoffs', 'YDS')","('Kickoffs', 'AVG')","('Kickoffs', 'LNG')","('Kickoffs', 'TD')","('Punts', 'ATT')","('Punts', 'YDS')","('Punts', 'AVG')","('Punts', 'LNG')","('Punts', 'TD')"
1,Trayvon Rudolph,NIU,WR,32,717,22.4,56,0,1,8,8.0,8,0
2,Aron Cruickshank,RUTG/WISC,WR,29,671,23.1,100,2,0,0,0.0,0,0
3,Wayne Toussant,LT,WR,28,644,23.0,60,0,0,0,0.0,0,0
4,Chris Smith,UL,RB,23,617,26.8,100,2,0,0,0.0,0,0
5,Trestan Ebner,BAY,RB,20,612,30.6,100,2,9,29,3.2,14,0
6,D'Shawn Jamison,TEX,CB,18,564,31.3,100,1,21,33,1.6,16,0
7,Kene Nwangwu,ISU,RB,20,550,27.5,85,0,0,0,0.0,0,0
8,Roshauud Paul,ARST,WR,25,544,21.8,45,0,5,10,2.0,13,0
9,Avery Williams,BSU,CB,20,533,26.6,99,2,17,229,13.5,69,2
10,Jeremiah Haydel,TXST,WR,20,479,24.0,97,1,16,208,13.0,91,1
11,Dee Eskridge,WMU,WR,18,467,25.9,100,1,0,0,0.0,0,0
12,Chris Tyree,ND,WR,29,456,15.7,38,0,0,0,0.0,0,0
13,Boogie Knight,AKR,WR,23,450,19.6,39,0,2,-9,-4.5,1,0
14,Champ Flemings,ORST,WR,22,447,20.3,43,0,0,0,0.0,0,0
15,Amare Jones,TULN,WR,16,439,27.4,71,0,4,31,7.8,19,0
16,Khalil Herbert,VT,RB,16,430,26.9,83,0,0,0,0.0,0,0
17,Winston Wright,WVU,WR,20,425,21.3,37,0,0,0,0.0,0,0
18,Bryson Denley,BGSU,RB,15,412,27.5,81,0,0,0,0.0,0,0
19,Thomas Pannunzio,CSU,WR,18,411,22.8,48,0,2,32,16.0,23,0
20,Tyler Snead,ECU,WR,22,409,18.6,95,1,12,144,12.0,36,0
21,Brennon Dingle,UTSA,WR,22,401,18.2,43,0,0,0,0.0,0,0
22,Velus Jones Jr.,TENN,WR,18,398,22.1,40,0,0,0,0.0,0,0
22,Nathaniel Peat,STAN,RB,16,398,24.9,43,0,0,0,0.0,0,0
24,Nykeim Johnson,SYR,WR,20,395,19.8,49,0,12,169,14.1,27,0
25,Jamaal Bell,NEV,WR,21,393,18.7,61,0,0,0,0.0,0,0
26,Tre Tucker,CIN,WR,13,389,29.9,97,1,0,0,0.0,0,0
27,Jordan Byrd,SDSU,RB,12,383,31.9,93,1,7,34,4.9,13,0
28,Isaiah Phillips,ULM,RB,23,382,16.6,35,0,0,0,0.0,0,0
29,TJ Sheffield,PUR,WR,20,381,19.0,41,0,2,4,2.0,4,0
30,Hassan Hall,LOU,RB,18,380,21.1,42,0,0,0,0.0,0,0
31,Steven Jones Jr.,APP,CB,17,373,21.9,41,0,0,0,0.0,0,0
31,Bam Knight,NCST,RB,15,373,24.9,100,1,0,0,0.0,0,0
33,Shamar Garrett,SJSU,WR,12,372,31.0,98,1,0,0,0.0,0,0
34,Reggie Todd,TROY,WR,19,368,19.4,35,0,0,0,0.0,0,0
34,Lexington Joseph,FIU,RB,11,368,33.5,100,1,0,0,0.0,0,0
36,Deion Hair-Griffin,UNT,WR,18,366,20.3,56,0,0,0,0.0,0,0
37,Jaylen Stinson,DUKE,S,17,355,20.9,40,0,0,0,0.0,0,0
38,Giles Jackson,MICH,WR,13,354,27.2,95,1,5,45,9.0,32,0
38,Shedro Louis,LIB,RB,14,354,25.3,51,0,0,0,0.0,0,0
40,Damond Philyaw-Johnson,DUKE,WR,19,349,18.4,39,0,0,0,0.0,0,0
41,Kaylon Geiger,TROY,WR,17,346,20.4,61,0,1,11,11.0,11,0
42,Jah'Marae Sheread,TXST,WR,17,345,20.3,32,0,0,0,0.0,0,0
42,Kenny Logan Jr.,KU,S,13,345,26.5,100,1,0,0,0.0,0,0
42,Camron Harrell,USM,DB,13,345,26.5,100,1,0,0,0.0,0,0
45,Jamahl Horne,KU,WR,15,339,22.6,32,0,0,0,0.0,0,0
46,Tyleek Collins,UNLV,WR,19,331,17.4,40,0,4,34,8.5,13,0
47,Jayden Reed,MSU,WR,20,329,16.5,39,0,2,14,7.0,10,0
47,Caleb Christensen,BYU,CB,18,329,18.3,31,0,0,0,0.0,0,0
50,Johnny Ford,USF,RB,13,321,24.7,70,0,0,0,0.0,0,0
51,Sheldon Evans,MRSH,RB,15,315,21.0,35,0,0,0,0.0,0,0
52,Savon Scarver,USU,WR,10,314,31.4,94,1,0,0,0.0,0,0
53,Savion Williams,TCU,WR,14,312,22.3,30,0,0,0,0.0,0,0
54,DJ Turner,MD/PITT,WR,20,311,15.6,42,0,15,125,8.3,25,0
55,Tank Bigsby,AUB,RB,13,306,23.5,35,0,0,0,0.0,0,0
56,Kearis Jackson,UGA,WR,11,298,27.1,56,0,15,87,5.8,52,0
57,Justin Hall,BALL,WR,12,295,24.6,42,0,4,-2,-0.5,0,0
58,Duron Lowe,UTEP,CB,9,292,32.4,100,1,0,0,0.0,0,0
59,Jerrion Ealy,MISS,RB,14,289,20.6,100,1,0,0,0.0,0,0
60,Dontae Crow,WYO,WR,13,285,21.9,40,0,10,57,5.7,15,0
61,DJ Taylor Jr.,ASU,DB,8,279,34.9,100,1,0,0,0.0,0,0
62,Walter Dawn Jr.,UTEP,WR,10,277,27.7,95,0,0,0,0.0,0,0
63,Jaylin Lane,MTSU,WR,19,274,14.4,28,0,1,10,10.0,10,0
64,Mykael Wright,ORE,CB,14,270,19.3,41,0,1,-1,-1.0,0,0
65,Kawaan Baker,USA,WR,25,264,10.6,25,0,0,0,0.0,0,0
66,Travis Levy,BC,RB,17,262,15.4,43,0,4,-6,-1.5,0,0
67,Tulu Griffin,MSST,WR,8,261,32.6,65,0,0,0,0.0,0,0
68,LaJohntay Wester,FAU,WR,14,260,18.6,37,0,10,89,8.9,27,0
69,Charleston Rambo,OU,WR,12,255,21.3,40,0,1,11,11.0,11,0
70,Tyrell Robinson,ARMY,RB,17,248,14.6,39,0,15,115,7.7,20,0
71,Tavares Kelly Jr.,UVA,WR,11,247,22.5,36,0,0,0,0.0,0,0
72,Tahj Washington,MEM,WR,13,242,18.6,32,0,0,0,0.0,0,0
73,Trey Palmer,LSU,WR,7,241,34.4,93,1,2,8,4.0,10,0
74,Ryan O'Keefe,UCF,WR,17,240,14.1,52,0,0,0,0.0,0,0
75,Braydon Johnson,OKST,WR,14,239,17.1,32,0,0,0,0.0,0,0
76,Donavon Greene,WAKE,WR,8,238,29.8,96,1,0,0,0.0,0,0
77,Khmari Thompson,ILL,WR,13,234,18.0,35,0,0,0,0.0,0,0
78,Travis Jay,FSU,S,10,229,22.9,31,0,3,20,6.7,16,0
79,Zach Johnson,UK,DB,18,228,12.7,33,0,0,0,0.0,0,0
