RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'YDS')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Unnamed: 11_level_0', 'FF')"
1,Carlton Martial,TROY,LB,54,60,114,1.0,3,3,1,4,4,0,0
2,Zakoby McClain,AUB,LB,57,56,113,3.0,30,1,0,0,0,0,1
3,Grant Morgan,ARK,LB,40,71,111,2.0,9,5,1,23,23,1,0
4,Payton Wilson,NCST,LB,57,51,108,3.5,21,1,2,3,3,0,0
5,Isaiah McDuffie,BC,LB,54,53,107,3.0,24,0,1,23,23,0,0
6,Nick Jackson,UVA,LB,55,48,103,2.5,17,2,0,0,0,0,1
7,Jamin Davis,UK,LB,48,54,102,1.5,6,2,3,90,85,1,1
7,Darius Muasau,HAW,LB,66,36,102,4.5,15,1,1,1,1,0,0
9,Olakunle Fatukasi,RUTG,LB,48,53,101,3.0,26,1,0,0,0,0,1
9,Bumper Pool,ARK,LB,40,61,101,0.5,3,5,0,0,0,0,0
11,Max Richardson,BC,LB,47,52,99,3.5,26,1,0,0,0,0,0
13,Dorian Williams,TULN,LB,64,33,97,4.5,21,3,0,0,0,0,0
14,Erroll Thompson,MSST,LB,36,60,96,3.0,19,1,1,0,0,0,0
14,Riley Cole,USA,LB,54,42,96,2.0,14,0,0,0,0,0,2
14,Mike Rose,ISU,LB,54,42,96,1.5,15,2,5,14,12,0,0
14,Tyler Grubbs,LT,LB,44,52,96,1.5,10,2,0,0,0,0,1
18,Nick Mobley,USA,LB,41,54,95,0.0,0,2,1,15,15,0,0
18,Nick Bolton,MIZ,LB,53,42,95,2.0,6,5,0,0,0,0,0
18,Rashad Wisdom,UTSA,S,60,35,95,0.0,0,1,4,107,81,1,2
21,Isaiah Moore,NCST,LB,38,56,94,3.0,26,2,0,0,0,0,0
22,Owen Pappoe,AUB,LB,56,37,93,4.0,26,2,1,1,1,0,0
23,Chazz Surratt,UNC,LB,49,42,91,6.0,51,3,1,0,0,0,1
23,Trey Cobb,APP,LB,33,58,91,3.0,19,1,0,0,0,0,0
23,Hayes Maples,USM,LB,34,57,91,0.5,2,0,0,0,0,0,1
26,Tavante Beckett,MRSH,LB,31,59,90,2.5,13,1,0,0,0,0,2
26,Brandon Martin,BALL,LB,46,44,90,1.0,9,1,0,0,0,0,0
26,Garret Wallow,TCU,LB,50,40,90,3.0,25,1,0,0,0,0,3
29,Tony Fields II,ARIZ/WVU,LB,34,54,88,1.0,4,2,1,22,22,0,0
29,Nick Anderson,TULN,LB,56,32,88,3.5,19,0,0,0,0,0,0
31,Paddy Fisher,NW,LB,47,39,86,0.0,0,2,1,0,0,0,1
31,Ventrell Miller,FLA,LB,52,34,86,3.5,28,3,0,0,0,0,0
31,Buddy Johnson,TA&M,LB,45,41,86,4.0,14,3,1,15,15,1,2
31,D'Marco Jackson,APP,LB,36,50,86,2.5,17,6,2,44,44,0,0
31,Antwon Kincade,WKU,DB,49,37,86,0.0,0,8,0,0,0,0,1
31,Ernest Jones IV,SC,LB,42,44,86,1.0,1,0,0,0,0,0,1
37,Trey Baldwin,LT,LB,53,32,85,1.0,7,5,1,10,10,0,0
38,David Curry,GT,LB,41,43,84,1.5,9,2,0,0,0,0,1
38,Blake Gallagher,NW,LB,44,40,84,2.0,17,2,1,3,3,0,1
38,Keith Gallmon Jr.,USA,DB,59,25,84,0.0,0,10,1,5,5,0,1
41,Isaiah Kaufusi,BYU,LB,46,37,83,4.0,22,1,1,32,32,1,3
41,Lorenzo McCaskill,UL,LB,41,42,83,2.0,13,0,0,0,0,0,1
43,Malcolm Rodriguez,OKST,LB,57,25,82,3.0,24,3,0,0,0,0,2
43,Traveion Webster,ULM,LB,37,45,82,2.5,18,1,0,0,0,0,0
43,Devin Nicholson,MIZ,LB,41,41,82,1.5,10,0,1,8,8,0,2
46,Chamarri Conner,VT,S,60,21,81,0.0,0,4,2,4,3,0,1
46,Quindell Johnson,MEM,S,60,21,81,0.0,0,5,3,31,31,0,2
46,Malik Shorts,USM,DB,39,42,81,0.0,0,3,1,3,3,0,0
49,Amen Ogbongbemiga,OKST,LB,50,30,80,2.5,9,0,0,0,0,0,3
49,Silas Kelly,CCU,LB,39,41,80,5.0,25,0,1,0,0,0,0
49,Dylan Moses,ALA,LB,40,40,80,1.5,20,3,1,1,1,0,1
49,Quez Jackson,GT,LB,45,35,80,1.0,9,3,2,23,17,0,0
53,Devon Key,WKU,DB,46,33,79,0.0,0,2,1,0,0,0,1
53,C.J. Avery,LOU,LB,48,31,79,2.0,9,3,1,40,40,0,1
53,Zane Zandier,UVA,LB,33,46,79,2.5,15,1,0,0,0,0,1
53,Shaka Heyward,DUKE,LB,48,31,79,3.0,11,0,0,0,0,0,0
53,Christian Harris,ALA,LB,52,27,79,4.5,28,2,1,0,0,0,0
58,Jaylin Thomas,BALL,LB,38,40,78,1.0,9,2,0,0,0,0,0
58,Jeremiah Gemmel,UNC,LB,50,28,78,2.5,13,4,1,0,0,0,1
58,Jon Rhattigan,ARMY,LB,33,45,78,1.5,14,2,2,93,50,1,0
58,Chris Bergin,NW,LB,40,38,78,0.5,8,4,1,5,5,0,0
58,Kyle Harmon,SJSU,LB,45,33,78,0.5,3,2,0,0,0,0,1
58,Arik Smith,ARMY,LB,33,45,78,3.5,18,0,1,2,2,0,0
64,Nick Niemann,IOWA,LB,37,40,77,0.0,0,0,0,0,0,0,0
64,Kaiden Smith,APP,DB,48,29,77,0.0,0,8,2,-2,-2,0,1
64,Jarell White,CIN,LB,44,33,77,3.0,23,2,2,26,26,1,1
64,Jake Hummel,ISU,LB,40,37,77,0.0,0,3,0,0,0,0,1
64,Delano Robinson,SMU,LB,51,26,77,3.0,17,1,0,0,0,0,0
64,Austin Hawley,ULM,S,49,28,77,1.0,4,1,1,39,39,0,0
64,Yusuf Corker,UK,S,38,39,77,1.0,2,2,2,0,0,0,1
71,Rashad Byrd,GASO,LB,37,39,76,2.0,6,4,2,5,5,0,1
71,Justin Rice,FRES/ARST,LB,57,19,76,7.0,70,1,0,0,0,0,0
71,Kyle Bailey,WKU,LB,41,35,76,3.0,10,1,1,24,24,0,0
71,Reed Blankenship,MTSU,S,37,39,76,0.0,0,1,0,0,0,0,0
71,Teddy Gallagher,CCU,LB,33,43,76,0.5,1,0,0,0,0,0,1
71,Aaron Brule,MSST,LB,30,46,76,4.0,21,3,0,0,0,0,0
71,Henry To'oTo'o,TENN,LB,47,29,76,1.0,4,2,1,32,32,1,0
71,Jakeen Harris,NCST,DB,43,33,76,0.0,0,7,1,5,5,0,0
71,Enock Makonzo,CCU,S,47,29,76,2.0,19,0,0,0,0,0,2
80,Antjuan Simmons,MSU,LB,28,47,75,1.0,4,2,0,0,0,0,0
80,KD Davis,UNT,LB,37,38,75,3.0,13,0,0,0,0,0,0
80,Jamien Sherwood,AUB,DB,44,31,75,1.0,5,3,0,0,0,0,0
80,Jacquez Jones,MISS,LB,36,39,75,0.0,0,0,0,0,0,0,0
80,Elias Neal,MRSH,LB,19,56,75,1.5,6,1,1,11,11,0,0
80,Krishon Merriweather,TTU,LB,43,32,75,2.0,10,1,0,0,0,0,0
86,Ferrod Gardner,UL,LB,43,31,74,4.5,34,0,0,0,0,0,0
86,Tre Sterling,OKST,S,51,23,74,0.5,3,4,2,78,65,1,0
86,Bubba Bolden,MIAMI,S,50,24,74,1.0,5,3,1,8,8,0,4
86,Gregory Grate,MTSU,S,41,33,74,1.0,6,3,4,57,34,0,3
86,Blake Carroll,GAST,LB,52,22,74,1.0,4,4,0,0,0,0,1
86,Jammie Robinson,SC,S,47,27,74,0.0,0,4,1,0,0,0,0
92,Ja'Cquez Williams,WAKE,LB,41,32,73,2.0,21,1,0,0,0,0,1
92,Smoke Monday,AUB,S,41,32,73,1.0,3,3,2,131,100,1,1
