RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Kickoffs', 'ATT')","('Kickoffs', 'YDS')","('Kickoffs', 'AVG')","('Kickoffs', 'LNG')","('Kickoffs', 'TD')","('Punts', 'ATT')","('Punts', 'YDS')","('Punts', 'AVG')","('Punts', 'LNG')","('Punts', 'TD')"
1,Michael Walker,BC,WR,40,1020,25.5,60,0,20,274,13.7,74,1
2,Raymond Calais,ULL,RB,35,908,25.9,61,0,0,0,0.0,0,0
3,Isaiah Wright,TEM,WR,34,873,25.7,99,1,19,249,13.1,73,2
4,Hassan Hall,LOU,RB,37,818,22.1,93,1,0,0,0.0,0,0
5,De'Quan Bowman,TTU,WR,31,782,25.2,62,0,14,124,8.9,49,0
6,Savon Scarver,USU,WR,23,742,32.3,100,2,0,0,0.0,0,0
7,Tre Brown,OKLA,CB,33,710,21.5,86,0,0,0,0.0,0,0
7,Tra Minter,USA,RB,32,710,22.2,56,0,7,91,13.0,75,1
9,Joe Reed,UVA,WR,26,707,27.2,90,1,0,0,0.0,0,0
9,Ihmir Smith-Marsette,IOWA,WR,25,707,28.3,60,0,0,0,0.0,0,0
11,Travell Harris,WSU,WR,25,691,27.6,100,1,2,6,3.0,4,0
12,Maurice Thomas,M-OH,RB,25,667,26.7,99,1,0,0,0.0,0,0
12,Tony Pollard,MEM,RB,27,667,24.7,97,1,0,0,0.0,0,0
14,Rondale Moore,PUR,WR,33,662,20.1,48,0,12,82,6.8,24,0
15,Marquis Young,UMASS,RB,30,659,22.0,93,1,0,0,0.0,0,0
16,Isaiah Harper,ODU,WR,34,655,19.3,51,0,9,138,15.3,74,1
17,Kene Nwangwu,ISU,RB,25,643,25.7,58,0,0,0,0.0,0,0
18,Ashtyn Davis,CAL,S,25,629,25.2,89,1,0,0,0.0,0,0
19,Champ Flemings,ORST,WR,35,608,17.4,57,0,0,0,0.0,0,0
20,Juanyeh Thomas,GT,S,28,606,21.6,100,2,5,43,8.6,25,0
21,Anthony Ratliff-Williams,UNC,WR,29,598,20.6,38,0,0,0,0.0,0,0
21,Jason Huntley,NMSU,RB,23,598,26.0,99,3,0,0,0.0,0,0
23,Jamauri Wakefield,VAN,RB,33,596,18.1,36,0,0,0,0.0,0,0
24,Demetrius Douglas,MINN,WR,33,594,18.0,87,0,7,113,16.1,69,1
25,Marcus Jones,TROY,CB,23,584,25.4,96,1,6,49,8.2,28,0
26,Kobe Lewis,CMU,RB,26,571,22.0,38,0,0,0,0.0,0,0
27,Deebo Samuel,SC,WR,23,570,24.8,90,1,0,0,0.0,0,0
28,Thai Cottrell,SJSU,WR,23,567,24.7,96,0,11,103,9.4,20,0
29,Cameron Scarlett,STAN,RB,24,566,23.6,74,0,0,0,0.0,0,0
30,Amare Jones,TULN,WR,21,558,26.6,69,0,15,113,7.5,18,0
