RK,NAME,TEAM,REC,YDS,AVG,LNG,TD
1,Rome Odunze,WASH,92,1640,17.8,52,13
2,Malik Nabers,LSU,89,1569,17.6,51,14
3,Ricky White III,UNLV,88,1483,16.9,82,8
4,Malik Washington,UVA,110,1426,13.0,64,9
5,Tetairoa McMillan,ARIZ,90,1402,15.6,57,10
6,Troy Franklin,ORE,81,1383,17.1,84,14
7,Caullin Lacy,USA,91,1316,14.5,84,7
8,Xavier Legette,SC,71,1255,17.7,76,7
9,Luther Burden III,MIZ,86,1212,14.1,56,9
10,Marvin Harrison Jr.,OSU,67,1211,18.1,75,14
11,Elijah Sarratt,JMU,82,1191,14.5,48,8
12,Tez Johnson,ORE,86,1182,13.7,77,10
13,Brian Thomas Jr.,LSU,68,1177,17.3,86,17
14,LaJohntay Wester,FAU,108,1168,10.8,76,8
15,Ja'Lynn Polk,WASH,69,1159,16.8,92,9
16,Joshua Cephus,UTSA,89,1151,12.9,84,10
17,Javon Baker,UCF,52,1139,21.9,86,7
18,Tory Horton,CSU,96,1136,11.8,76,8
19,Kris Mitchell,FIU,64,1118,17.5,80,7
20,Xavier Restrepo,MIA,85,1092,12.8,48,6
21,Roc Taylor,MEM,69,1083,15.7,85,4
22,Jalen Royals,USU,71,1080,15.2,71,15
23,CJ Daniels,LIB,55,1067,19.4,75,10
24,Tahj Washington,USC,59,1062,18.0,76,8
25,Isaiah Williams,ILL,82,1055,12.9,67,5
26,Reggie Brown,JMU,53,1054,19.9,80,9
26,Sean Atkins,USF,92,1054,11.5,88,7
28,Kelly Akharaiyi,UTEP,48,1033,21.5,80,7
29,Sam Pinckney,CCU,72,1027,14.3,52,8
30,Steven McBride,HAW,63,1024,16.3,65,9
31,Xavier Worthy,TEX,75,1014,13.5,54,5
32,Elic Ayomanor,STAN,62,1013,16.3,97,6
33,Ja'Mori Maclin,UNT,57,1004,17.6,80,11
34,Jabre Barber,TROY,75,999,13.3,52,5
35,Luke McCaffrey,RICE,71,992,14.0,51,13
36,Brennan Presley,OKST,101,991,9.8,29,6
37,Tre' Harris,MISS,54,985,18.2,56,8
38,Malachi Corley,WKU,79,984,12.5,75,11
39,Jayden Higgins,ISU,53,983,18.5,75,6
40,Ricky Pearsall,FLA,65,965,14.8,61,4
41,Drake Stoops,OU,84,962,11.5,60,10
42,Khaleb Hood,GASO,101,948,9.4,43,5
43,Terrell Vaughn,USU,89,933,10.5,76,11
44,Josh Kelly,WSU,61,923,15.1,51,8
45,Xavier Weaver,COLO,68,908,13.4,48,4
46,Kaedin Robinson,APP,67,905,13.5,52,10
47,Demeer Blankumsee,MEM,53,901,17.0,70,7
48,Kobe Hudson,UCF,44,900,20.5,75,8
49,Rashod Owens,OKST,63,895,14.2,45,5
49,Joey Hobert,TXST,76,895,11.8,83,8
51,Jamaal Pritchett,USA,57,883,15.5,51,8
52,Robert Lewis,GAST,70,877,12.5,97,7
53,Ashtyn Hawkins,TXST,55,874,15.9,48,3
54,Eric McAlister,BOIS,47,873,18.6,83,5
55,Jacolby George,MIA,57,864,15.2,85,8
56,Lincoln Victor,WSU,89,860,9.7,50,5
57,Jamari Thrash,LOU,63,858,13.6,85,6
57,Tejhaun Palmer,UAB,47,858,18.3,80,7
59,Jacob Cowing,ARIZ,90,848,9.4,57,13
60,Adonai Mitchell,TEX,55,845,15.4,62,11
61,Kyle Williams,WSU,61,842,13.8,63,6
62,KC Concepcion,NCSU,71,839,11.8,72,10
63,Will Pauling,WIS,74,837,11.3,53,6
64,Jordan Moore,DUKE,62,835,13.5,49,8
65,Pofele Ashlock,HAW,83,832,10.0,53,9
66,Daniel Jackson,MINN,59,831,14.1,39,8
67,Dayton Wade,MISS,55,830,15.1,58,4
68,Jaylin Noel,ISU,66,820,12.4,82,7
69,Sam Brown Jr.,HOU,62,815,13.1,53,3
70,Derwin Burgess Jr.,GASO,74,813,11.0,68,6
71,Malachi Fields,UVA,58,811,14.0,39,5
72,Squirrel White,TENN,67,803,12.0,83,2
73,Jermaine Burton,ALA,39,798,20.5,68,8
73,Nic Anderson,OU,38,798,21.0,63,10
75,Smoke Harris,LT,83,796,9.6,64,4
76,Ainias Smith,TA&M,53,795,15.0,42,2
77,Anthony Simpson,MASS,57,792,13.9,71,3
78,Brenden Rice,USC,45,791,17.6,75,12
79,Jeshaun Jones,MD,56,790,14.1,64,4
80,Roman Wilson,MICH,48,789,16.4,47,12
81,Erik Brooks,FRES,60,788,13.1,49,5
82,Noah Smith,SHSU,79,783,9.9,42,6
83,Xzavier Henderson,CIN,58,782,13.5,55,3
