RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'XP')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'PTS/G')"
1,Breece Hall,ISU,RB,20,3,0,23,0,0,0,138,11.0
2,Jerome Ford,CIN,RB,19,1,0,20,0,0,0,120,10.0
2,Hassan Haskins,MICH,RB,20,0,0,20,0,0,0,120,12.0
4,Jonah Dalmas,BSU,PK,0,0,0,0,26,38,0,116,9.0
5,TreVeyon Henderson,OSU,RB,15,4,0,19,0,0,0,114,11.0
5,Kenneth Walker III,MSU,RB,18,1,0,19,0,0,0,114,12.0
7,Bryant Koback,TOL,RB,15,3,0,18,0,0,1,110,13.0
8,Tyler Badie,MIZ,RB,14,4,0,18,0,0,0,108,9.0
8,Jordan Addison,PITT,WR,1,17,0,18,0,0,0,108,12.0
10,Jameson Williams,ALA,WR,0,15,2,17,0,0,1,104,11.0
10,Kyren Williams,ND,RB,14,3,0,17,0,0,1,104,9.0
12,Seth Small,TA&M,PK,0,0,0,0,22,37,0,103,8.0
13,Cayden Camper,CSU,PK,0,0,0,0,25,27,0,102,8.0
14,Brian Robinson Jr.,ALA,RB,14,2,0,16,0,0,0,96,13.0
14,Matthew Shipley,HAW,PK,0,0,0,0,18,42,0,96,7.0
14,Andy Borregales,MIA,PK,0,0,0,0,17,45,0,96,8.0
14,Owen Daffer,ECU,PK,0,0,0,0,19,39,0,96,8.0
14,Rachaad White,ASU,RB,15,1,0,16,0,0,0,96,10.0
19,Nick Barr-Mira,UCLA,PK,0,0,0,0,14,52,0,94,7.0
20,Casey Legg,WVU,PK,0,0,0,0,19,35,0,92,7.0
21,Blake Grupe,ARST,PK,0,0,0,0,20,31,0,91,7.0
22,Charles Williams,UNLV,RB,15,0,0,15,0,0,0,90,11.0
22,Blake Mazza,SMU,PK,0,0,0,0,12,54,0,90,7.0
22,Jaren Mangham,COLO/USF,RB,15,0,0,15,0,0,0,90,11.0
22,Sincere McCormick,UTSA,RB,15,0,0,15,0,0,0,90,11.0
