RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Kickoffs', 'ATT')","('Kickoffs', 'YDS')","('Kickoffs', 'AVG')","('Kickoffs', 'LNG')","('Kickoffs', 'TD')","('Punts', 'ATT')","('Punts', 'YDS')","('Punts', 'AVG')","('Punts', 'LNG')","('Punts', 'TD')"
1,Alan Lamar,ARST,RB,57,1333,23.4,100,2,0,0,0.0,0,0
2,Jaylen Stinson,DUKE,S,34,818,24.1,94,2,0,0,0.0,0,0
3,Jalen Virgil,APP,WR,27,781,28.9,100,2,0,0,0.0,0,0
4,Brian Brewton,CONN,RB,27,717,26.6,99,2,0,0,0.0,0,0
5,Bryan Massey,SMU,DB,20,686,34.3,100,2,0,0,0.0,0,0
6,Beanie Bishop Jr.,WKU,CB,32,676,21.1,48,0,0,0,0.0,0,0
7,Nathaniel Peat,STAN,RB,27,663,24.6,39,0,0,0,0.0,0,0
8,Malik Knowles,KSU,WR,20,662,33.1,99,2,1,0,0.0,0,0
8,Camron Harrell,USM,DB,27,662,24.5,95,1,0,0,0.0,0,0
10,Brian Battie,USF,RB,21,650,31.0,100,3,0,0,0.0,0,0
11,Savon Scarver,USU,WR,28,641,22.9,100,1,0,0,0.0,0,0
12,Charlie Jones,IOWA,WR,25,635,25.4,100,1,38,285,7.5,41,0
13,Velus Jones Jr.,TENN,WR,24,628,26.2,96,1,18,272,15.1,50,0
13,Jamaal Bell,NEV,WR,27,628,23.3,40,0,1,0,0.0,0,0
15,Winston Wright,WVU,WR,25,618,24.7,98,1,1,-3,-3.0,0,0
16,Shadrick Byrd,CLT,RB,27,616,22.8,60,0,0,0,0.0,0,0
17,Kazmeir Allen,UCLA,RB,22,612,27.8,100,1,0,0,0.0,0,0
18,Jordan Byrd,SDSU,RB,22,601,27.3,100,1,27,193,7.1,19,0
19,Jahmyr Gibbs,GT,RB,23,589,25.6,98,1,0,0,0.0,0,0
20,Ron Cook Jr.,BUFF,RB,28,587,21.0,41,0,6,35,5.8,26,0
21,Emeka Egbuka,OSU,WR,20,580,29.0,67,0,0,0,0.0,0,0
