RK,NAME,TEAM,REC,YDS,AVG,LNG,TD
1,Tank Dell,HOU,109,1398,12.8,63,17
2,Charlie Jones,PUR,110,1361,12.4,60,12
3,Rashee Rice,SMU,96,1355,14.1,75,10
4,Malachi Corley,WKU,101,1293,12.8,76,11
5,Jalin Hyatt,TENN,67,1267,18.9,78,15
6,Marvin Harrison Jr.,OSU,77,1263,16.4,58,14
7,Keylon Stokes,TLSA,76,1224,16.1,76,8
8,Xavier Hutchinson,ISU,107,1171,10.9,38,6
9,Emeka Egbuka,OSU,74,1151,15.6,69,10
10,Rome Odunze,WASH,75,1145,15.3,61,7
11,Zakhari Franklin,UTSA,93,1137,12.2,43,15
12,Tory Horton,CSU,71,1131,15.9,69,8
13,Jamari Thrash,GAST,61,1122,18.4,75,7
14,Dorian Singer,ARIZ,66,1105,16.7,73,6
15,Jalen McMillan,WASH,79,1098,13.9,84,9
16,A.T. Perry,WAKE,81,1096,13.5,68,11
17,Jalen Cropper,FRES,84,1093,13.0,75,5
18,Isaiah Winstead,ECU,88,1085,12.3,67,6
19,Marvin Mims Jr.,OU,54,1083,20.1,77,6
20,Zay Flowers,BC,78,1077,13.8,69,12
21,Elijah Cooks,SJSU,69,1076,15.6,52,10
22,Quentin Johnston,TCU,60,1069,17.8,76,6
23,Jared Wayne,PITT,60,1062,17.7,66,5
24,Trey Palmer,NEB,71,1043,14.7,87,9
25,Tyrin Smith,UTEP,71,1039,14.6,76,7
26,Tyler Hudson,LOU,69,1034,15.0,54,2
26,Jacob Cowing,ARIZ/UTEP,85,1034,12.2,39,7
28,Josh Downs,UNC,94,1029,10.9,43,11
29,Malik Nabers,LSU,72,1017,14.1,75,3
30,C.J. Johnson,ECU,67,1016,15.2,74,10
31,Kris Thornton,JMU,59,1015,17.2,54,7
32,Sam Pinckney,CCU,71,996,14.0,48,3
33,DeMario Douglas,LIB,79,993,12.6,51,6
34,Joshua Cephus,UTSA,87,985,11.3,65,6
35,Malik Heath,MISS,60,971,16.2,53,5
36,Oronde Gadsden,SYR,61,969,15.9,46,6
37,Jeremiah Hunter,CAL,60,965,16.1,58,5
38,Ali Jennings,ODU,54,959,17.8,77,9
39,Elijah Spencer,CLT,57,943,16.5,60,9
40,Brock Bowers,UGA,63,942,15.0,78,7
41,Jaylin Lane,MTSU,69,940,13.6,89,5
42,Tre' Harris,LT,65,935,14.4,64,10
43,Shocky Jacques-Louis,AKR,74,931,12.6,41,2
44,Juice Wells Jr.,SC,68,928,13.6,72,6
45,Khaleb Hood,GASO,87,925,10.6,46,3
46,Brian Cobbs,USU,76,923,12.1,44,5
46,Trea Shropshire,UAB,41,923,22.5,74,6
48,Devontez Walker,KENT,58,921,15.9,56,11
49,Jose Barbon,TEM,72,918,12.8,78,2
50,Matt Landers,ARK,47,901,19.2,59,8
51,Tyler Scott,CIN,54,899,16.6,76,9
52,Johnny Wilson,FSU,43,897,20.9,78,5
53,Troy Franklin,ORE,61,891,14.6,67,9
53,Jason Brownlee,USM,55,891,16.2,76,8
55,Dalton Kincaid,UTAH,70,890,12.7,37,8
56,Ronnie Bell,MICH,62,889,14.3,49,4
57,Sam Wiglusz,OHIO,73,877,12.0,75,11
58,Bradley Rozner,RICE,44,876,19.9,78,10
59,Jordan Addison,USC,59,875,14.8,75,8
60,Jalon Calhoun,DUKE,62,873,14.1,51,4
61,Daewood Davis,WKU,63,872,13.8,62,7
62,Jaylen Hall,WKU,68,869,12.8,52,6
63,Devin Voisin,USA,64,867,13.5,47,5
64,Elijhah Badger,ASU,70,866,12.4,39,7
65,Tez Johnson,TROY,56,863,15.4,74,4
66,Jonathan Mingo,MISS,51,861,16.9,72,5
67,JuanCarlos Santana,TLSA,53,859,16.2,59,7
68,Alex Adams,AKR,63,855,13.6,80,9
69,Nikko Remigio,FRES,74,852,11.5,39,6
69,Tyrone Howell,ULM,50,852,17.0,89,6
71,Dominic Lovett,MIZ,56,846,15.1,79,3
72,Justin Marshall,BUFF,64,837,13.1,69,9
73,Jerjuan Newton,TOL,53,830,15.7,43,9
74,Jayshon Jackson,BALL,73,823,11.3,43,3
75,Jalen Wayne,USA,58,817,14.1,64,9
75,Jake Bobo,UCLA,57,817,14.3,40,7
77,Corey Crooms Jr.,WMU,57,814,14.3,75,5
78,Caullin Lacy,USA,65,813,12.5,44,6
78,Brennan Presley,OKST,67,813,12.1,55,2
80,Michael Jefferson,UL,51,810,15.9,63,7
81,Michael Mayer,ND,67,809,12.1,37,9
82,Antoine Green,UNC,43,798,18.6,80,7
82,Keon Coleman,MSU,58,798,13.8,51,7
84,Javon Baker,UCF,56,796,14.2,53,5
85,Daniel George,PSU/AKR,67,793,11.8,43,2
86,Grant DuBose,CLT,64,792,12.4,52,9
87,Jared Brown,CCU,49,789,16.1,75,6
88,Tahj Washington,USC,50,785,15.7,61,6
89,Will Sheppard,VAN,60,776,12.9,31,9
89,Jacoby Jones,OHIO,45,776,17.2,48,6
91,Corey Gammage,MRSH,52,774,14.9,57,6
92,Mac Hippenhammer,M-OH,54,769,14.2,58,9
93,Ladd McConkey,UGA,58,762,13.1,37,7
94,Xavier Worthy,TEX,60,760,12.7,46,9
95,J. Michael Sturdivant,CAL,65,755,11.6,48,7
96,OJ Hiliare,BGSU,58,747,12.9,59,6
97,Sam James,WVU,46,745,16.2,71,6
98,Dante Cephas,KENT,48,744,15.5,54,3
98,Jerand Bradley,TTU,51,744,14.6,47,6
100,Quian Williams,BUFF,61,743,12.2,59,5
101,De'Corian Clark,UTSA,51,741,14.5,69,8
102,Malik Knowles,KSU,48,725,15.1,68,2
102,Ryan O'Keefe,UCF,73,725,9.9,68,5
104,Luke McCaffrey,RICE,58,723,12.5,66,6
105,LaJohntay Wester,FAU,62,719,11.6,42,8
106,Xavier Weaver,USF,53,718,13.5,63,6
107,Derwin Burgess Jr.,GASO,58,717,12.4,53,7
108,Lawrence Arnold,KU,44,716,16.3,60,4
109,Isaiah Williams,ILL,82,715,8.7,63,5
110,Jeremy Singleton,GASO,66,714,10.8,65,2
111,RaJae' Johnson,TROY,36,713,19.8,67,7
112,Elijah Higgins,STAN,59,704,11.9,51,2
113,Jadon Haselwood,ARK,59,702,11.9,68,3
113,Tetairoa McMillan,ARIZ,39,702,18.0,47,8
115,Devaughn Vele,UTAH,55,695,12.6,47,5
116,Ja'Lynn Polk,WASH,41,694,16.9,76,6
116,Malik Washington,NU,65,694,10.7,49,1
118,Shae Wyatt,TULN,35,692,19.8,72,7
119,Chimere Dike,WISC,47,689,14.7,74,6
120,Jermaine Burton,ALA,40,677,16.9,52,7
121,Roderic Burns,UNT,40,676,16.9,70,1
122,Bryce Ford-Wheaton,WVU,62,675,10.9,67,7
123,Kaleb Smith,VT,37,674,18.2,85,3
