RK,NAME,TEAM,ATT,YDS,AVG,LNG,TD
1,Lew Nichols,CMU,341,1848,5.4,66,16
2,Kenneth Walker III,MSU,263,1636,6.2,94,18
3,Tyler Allgeier,BYU,276,1606,5.8,67,23
4,Tyler Badie,MIZ,268,1604,6.0,73,14
5,Abram Smith,BAY,257,1601,6.2,75,12
6,Sean Tucker,SYR,246,1496,6.1,56,12
7,Sincere McCormick,UTSA,298,1479,5.0,81,15
8,Breece Hall,ISU,253,1472,5.8,80,20
9,Deuce Vaughn,KSU,235,1404,6.0,80,18
10,Rasheen Ali,MRSH,250,1401,5.6,63,23
11,Bryant Koback,TOL,208,1400,6.7,67,15
12,Chris Rodriguez Jr.,UK,225,1379,6.1,41,9
13,DeWayne McBride,UAB,204,1371,6.7,67,13
14,Brad Roberts,AFA,299,1356,4.5,33,13
15,Brian Robinson Jr.,ALA,271,1343,5.0,63,14
16,B.J. Baylor,ORST,227,1337,5.9,68,13
17,Hassan Haskins,MICH,270,1327,4.9,62,20
18,Jerome Ford,CIN,215,1319,6.1,79,19
19,Travis Dye,ORE,211,1271,6.0,53,16
20,Braelon Allen,WISC,186,1268,6.8,71,12
21,Charles Williams,UNLV,254,1261,5.0,75,15
22,Kennedy Brooks,OU,198,1253,6.3,65,13
23,TreVeyon Henderson,OSU,183,1248,6.8,68,15
24,Mataeo Durant,DUKE,255,1241,4.9,59,9
25,Jaylen Warren,OKST,256,1216,4.8,75,11
26,DeAndre Torrey,UNT,248,1215,4.9,75,13
27,Marquez Cooper,KENT,241,1205,5.0,66,11
28,Jay Ducker,NIU,218,1184,5.4,56,3
29,Tyler Goodson,IOWA,256,1151,4.5,56,6
30,Sean Tyler,WMU,178,1150,6.5,70,9
31,Ellis Merriweather,MASS,218,1138,5.2,79,5
32,Zach Charbonnet,UCLA/MICH,202,1137,5.6,47,13
33,Keaton Mitchell,ECU,174,1132,6.5,88,9
34,Nate Noel,APP,199,1128,5.7,47,4
35,Bijan Robinson,TEX,195,1127,5.8,62,11
36,Blake Watson,ODU,215,1112,5.2,46,8
37,Tavion Thomas,UTAH,204,1108,5.4,58,21
38,Tank Bigsby,AUB,223,1099,4.9,51,10
39,Ty Chandler,UNC,182,1092,6.0,60,13
40,Greg Bell,SDSU,245,1091,4.5,55,9
41,Xazavian Valladay,WYO,209,1070,5.1,74,6
42,Leddie Brown,WVU,223,1065,4.8,80,13
43,Dylan McDuffie,BUFF,206,1049,5.1,58,11
44,Patrick Garwo III,BC,205,1045,5.1,67,7
45,Shermari Jones,CCU,159,1040,6.5,75,13
46,Malik Cunningham,LOU,173,1031,6.0,72,20
47,Shamari Brooks,TLSA,218,1029,4.7,37,7
48,Isaiah Spiller,TA&M,179,1011,5.6,67,6
49,Evan Hull,NU,196,1009,5.1,90,7
50,Rachaad White,ASU,182,1006,5.5,50,15
51,Chase Brown,ILL,170,1005,5.9,80,5
52,Tyrion Davis-Price,LSU,211,1003,4.8,40,6
53,Kyren Williams,ND,204,1002,4.9,91,14
54,Alton McCaskill,HOU,189,961,5.1,36,16
55,Tucker Gregg,GAST,192,953,5.0,57,9
56,Blake Corum,MICH,144,952,6.6,67,11
57,Camerun Peoples,APP,166,926,5.6,45,14
58,Keaontay Ingram,USC,156,911,5.8,53,5
59,De'Von Achane,TA&M,130,910,7.0,68,9
60,Carson Steele,BALL,192,891,4.6,49,6
61,Jashaun Corbin,FSU,143,887,6.2,89,7
62,Calvin Tyler Jr.,USU,196,884,4.5,61,7
63,Max Borghi,WSU,160,880,5.5,64,12
64,Malik Willis,LIB,197,878,4.5,56,13
65,Tyjae Spears,TULN,129,863,6.7,69,9
66,Jamyest Williams,GAST,128,859,6.7,50,9
67,Zamir White,UGA,160,856,5.3,42,11
68,Chris Smith,UL,153,855,5.6,74,8
69,Ronald Awatt,UTEP,158,843,5.3,74,6
70,Montrell Johnson Jr.,UL,162,838,5.2,99,12
71,La'Darius Jefferson,WMU,185,836,4.5,26,10
72,Johnny Ford,FAU,131,831,6.3,60,5
73,Sam Howell,UNC,183,828,4.5,62,11
74,Ky Thomas,MINN,166,824,5.0,50,6
75,Chez Mellusi,WISC,173,815,4.7,60,5
76,Xavier Williams,KENT,125,812,6.5,79,3
77,De'Montre Tuggle,OHIO,138,804,5.8,63,7
78,Frank Gore Jr.,USM,179,801,4.5,51,5
79,Trestan Ebner,BAY,148,799,5.4,58,2
80,Logan Wright,GASO,150,793,5.3,60,8
81,Marcus Williams Jr.,LT,194,792,4.1,42,8
81,Jabari Small,TENN,140,792,5.7,60,9
83,Ronnie Rivers,FRES,161,788,4.9,64,5
84,Titus Swen,WYO,132,785,5.9,98,7
85,Garrett Shrader,SYR,173,781,4.5,55,14
86,Jerrion Ealy,MISS,133,768,5.8,70,5
87,Raheem Blackshear,VT,133,760,5.7,50,6
88,Emory Jones,FLA,143,759,5.3,49,4
89,Tyler Nevens,SJSU,167,756,4.5,36,7
90,Bam Knight,NCST,140,753,5.4,46,3
91,David Bailey,CSU,197,752,3.8,31,9
92,Jahmyr Gibbs,GT,143,746,5.2,71,4
93,Will Shipley,CLEM,149,739,5.0,42,11
94,Haaziq Daniels,AFA,155,734,4.7,94,11
95,Johnny Richardson,UCF,104,733,7.0,42,3
96,Toa Taua,NEV,150,732,4.9,59,6
97,James Cook III,UGA,113,728,6.4,67,7
98,Tre Siggers,SMU,147,727,4.9,46,9
99,Jalen Mitchell,LOU,155,722,4.7,39,5
100,Tayon Fleet-Davis,MD,128,721,5.6,53,8
101,Calvin Hill,TXST,128,714,5.6,78,3
102,Jordan Mims,FRES,127,710,5.6,59,6
102,Jayden Daniels,ASU,138,710,5.1,51,6
104,Devin Neal,KU,158,707,4.5,62,8
105,Dustin Crum,KENT,161,703,4.4,62,12
105,Isaiah Bowser,UCF,159,703,4.4,36,9
107,Kimani Vidal,TROY,152,701,4.6,45,5
108,Bucky Irving,MINN,133,699,5.3,41,4
109,TJ Pledger,UTAH,104,694,6.7,96,6
110,Juwaun Price,NMSU,135,692,5.1,56,10
111,D'vonte Price,FIU,129,682,5.3,68,6
112,Jaren Mangham,COLO/USF,160,671,4.2,24,15
113,Brandon Thomas,MEM,116,669,5.8,75,8
114,Spencer Sanders,OKST,146,668,4.6,37,6
115,KJ Jefferson,ARK,146,664,4.5,49,6
116,Jarek Broussard,COLO,142,661,4.7,49,2
117,Kevin Harris,SC,152,660,4.3,39,4
118,Anthony Brown Jr.,ORE,151,658,4.4,43,9
118,Aaron Dumas,UNM,136,658,4.8,63,2
120,Israel Abanikanda,PITT,123,651,5.3,28,7
120,Dae Dae Hunter,HAW,101,651,6.4,81,3
122,Zach Evans,TCU,92,648,7.0,51,5
123,Isiah Pacheco,RUTG,167,647,3.9,26,5
123,Snoop Conner,MISS,130,647,5.0,51,13
125,Darren Grainger,GAST,134,646,4.8,48,3
126,Emani Bailey,UL,102,642,6.3,35,8
127,Isaac Ruoss,NAVY,166,641,3.9,19,5
127,Kobe Pace,CLEM,104,641,6.2,59,6
129,Ricky Person Jr.,NCST,135,636,4.7,32,5
129,Braydon Bennett,CCU,74,636,8.6,75,7
131,Calvin Camp,CLT,113,635,5.6,44,4
132,Anthony Watkins,TLSA,86,634,7.4,78,4
133,Jawon Hamilton,JMU/EMU,101,631,6.2,68,4
133,Jermaine Brown Jr.,UAB,123,631,5.1,59,7
135,Kendre Miller,TCU,83,623,7.5,75,7
136,Hendon Hooker,TENN,167,620,3.7,29,5
137,Christian Anderson,ARMY,108,619,5.7,75,8
138,Dedrick Parson,HOW/HAW,117,618,5.3,37,8
139,Noah Whittington,WKU,101,617,6.1,86,2
140,Brittain Brown,UCLA,102,616,6.0,48,7
141,Matt Corral,MISS,152,614,4.0,32,11
142,Ulysses Bentley IV,SMU,96,610,6.4,85,4
143,Dorian Thompson-Robinson,UCLA,130,609,4.7,35,9
143,Tyrell Robinson,ARMY,72,609,8.5,87,3
145,Christopher Brooks,CAL,116,607,5.2,75,4
146,Christian Beal-Smith,WAKE,131,604,4.6,48,7
147,Stephen Carr,IU,155,600,3.9,66,6
148,Trelon Smith,ARK,119,598,5.0,28,5
149,Elelyon Noa,USU,138,597,4.3,36,4
150,Vincent Davis Jr.,PITT,142,593,4.2,26,4
150,Jarquez Hunter,AUB,89,593,6.7,94,3
152,ZaQuandre White,SC,88,583,6.6,63,2
152,Shadrick Byrd,CLT,132,583,4.4,44,3
154,Carlinos Acie,NAVY,66,580,8.8,90,2
155,Rahjai Harris,ECU,164,579,3.5,24,4
156,Raheim Sanders,ARK,114,578,5.1,42,5
156,Nathan Carter,CONN,125,578,4.6,46,2
