RK,NAME,TEAM,ATT,YDS,AVG,LNG,TD
1,Breece Hall,ISU,279,1572,5.6,75,21
2,Sincere McCormick,UTSA,249,1467,5.9,69,11
3,Najee Harris,ALA,251,1466,5.8,53,26
4,Michael Carter,UNC,156,1245,8.0,65,9
5,Khalil Herbert,VT,154,1182,7.7,76,8
6,Javonte Williams,UNC,157,1140,7.3,65,19
7,Kevin Harris,SC,185,1138,6.2,88,15
8,Tyler Allgeier,BYU,150,1130,7.5,86,13
9,Kyren Williams,ND,211,1125,5.3,65,13
10,Camerun Peoples,APP,168,1124,6.7,76,12
11,Mohamed Ibrahim,MINN,201,1076,5.4,53,15
12,Jaret Patterson,BUFF,141,1072,7.6,67,19
13,Isaiah Spiller,TA&M,188,1036,5.5,57,9
14,Leddie Brown,WVU,199,1010,5.1,87,9
15,Larry Rountree III,MIZ,209,972,4.7,46,14
16,Malik Willis,LIB,141,944,6.7,67,14
17,Travis Etienne Jr.,CLEM,168,914,5.4,72,14
18,Ulysses Bentley IV,SMU,170,913,5.4,84,11
19,Jarek Broussard,COLO,156,895,5.7,75,5
20,Spencer Brown,UAB,186,889,4.8,73,10
21,CJ Marable,CCU,169,887,5.2,59,12
21,Brenden Knox,MRSH,185,887,4.8,45,9
23,Elijah Mitchell,UL,141,878,6.2,59,8
24,Trey Sermon,OSU,116,870,7.5,65,4
25,Jermar Jefferson,ORST,133,858,6.5,82,7
26,Tank Bigsby,AUB,138,834,6.0,42,5
27,Javian Hawkins,LOU,133,822,6.2,90,7
28,Mataeo Durant,DUKE,120,817,6.8,64,8
29,Joshua Mack,LIB,139,797,5.7,59,4
30,Bam Knight,NCST,143,788,5.5,36,10
31,Chris Rodriguez Jr.,UK,119,785,6.6,79,11
32,Zamir White,UGA,144,779,5.4,75,11
33,Stephon Huderson,TULN,128,773,6.0,47,4
34,Eric Gray,TENN,157,772,4.9,33,4
35,Destin Coates,GAST,166,769,4.6,35,7
36,Tyler Goodson,IOWA,143,762,5.3,80,7
37,Trey Ragas,UL,131,758,5.8,47,10
37,Greg McCrae,UCF,149,758,5.1,54,10
39,Jerrion Ealy,MISS,147,745,5.1,39,9
40,Kevin Marks Jr.,BUFF,112,741,6.6,67,7
40,Cam Carroll,TULN,122,741,6.1,65,12
42,Christian Beal-Smith,WAKE,142,732,5.2,58,5
43,Shai Werts,GASO,146,720,4.9,41,11
44,Trelon Smith,ARK,134,710,5.3,83,5
45,Frank Gore Jr.,USM,121,708,5.9,73,2
46,Bijan Robinson,TEX,86,703,8.2,75,4
47,Otis Anderson,UCF,125,687,5.5,49,4
48,Deon Jackson,DUKE,161,682,4.2,65,5
49,Toa Taua,NEV,114,675,5.9,60,4
50,Carlos Davis,USA,164,674,4.1,40,3
51,Gerrid Doaks,CIN,144,673,4.7,72,7
52,Demetric Felton,UCLA,132,668,5.1,40,5
53,Asim Rose Jr.,UK,106,666,6.3,72,2
53,Teon Dollard,AKR,112,666,5.9,59,6
55,Rhamondre Stevenson,OU,101,665,6.6,50,7
56,DeAndre Torrey,UNT,113,656,5.8,60,6
57,Israel Tucker,LT,149,648,4.3,31,4
58,Gaej Walker,WKU,143,645,4.5,54,3
58,Nelson Smith,NAVY,128,645,5.0,32,8
