RK,NAME,TEAM,PUNTS,YDS,LNG,AVG,NET
1,Braden Mann,TA&M,50,2549,82,51.0,44.7
2,Ryan Stonehouse,CSU,65,3140,70,48.3,37.6
3,Brandon Wright,GAST,51,2458,68,48.2,42.8
4,Will Hart,MICH,43,2020,65,47.0,39.3
5,James Smith,CIN,59,2750,72,46.6,44.3
6,Thomas Bennett,TLSA,53,2469,68,46.6,39.1
7,Stefan Flintoft,UCLA,56,2565,70,45.8,38.6
8,Oscar Draguicevich III,WSU,46,2103,67,45.7,40.9
9,Zach Von Rosenberg,LSU,51,2330,65,45.7,44.0
10,Jack Fox,RICE,80,3636,76,45.5,40.8
11,Tommy Townsend,FLA,51,2315,71,45.4,42.3
12,Mitch Wishnowsky,UTAH,59,2669,68,45.2,43.1
13,Tyler Sumpter,TROY,55,2482,79,45.1,42.5
14,Parker Thome,VAN,51,2288,62,44.9,40.0
15,Joseph Charlton,SC,48,2152,66,44.8,41.9
16,Max Duffy,UK,60,2687,67,44.8,40.2
17,Tyler Newsome,ND,53,2367,63,44.7,38.7
18,Corey Fatony,MIZ,50,2222,69,44.4,40.8
19,Tyson Dyer,UNM,74,3278,84,44.3,40.0
20,Arryn Siposs,AUB,56,2476,60,44.2,42.1
21,Bryce Crawford,SJSU,65,2870,61,44.2,38.4
22,Jake Bailey,STAN,68,2996,84,44.1,40.0
23,Stone Wilson,FIU,43,1893,63,44.0,38.9
24,Ryan Wright,TULN,45,1978,64,44.0,38.8
25,Blake Gillikin,PSU,64,2813,74,44.0,38.5
26,Michael Sleep-Dalton,ASU,59,2586,72,43.8,37.2
27,Hayes Hicken,UNLV,65,2847,68,43.8,39.7
28,Isaac Armstrong,NEB,32,1396,73,43.6,41.7
29,Clayton Howell,APP,47,2048,62,43.6,41.9
30,Blake Hayes,ILL,62,2701,69,43.6,37.4
30,Quinton Conaway,NEV,62,2701,74,43.6,41.4
32,Mac Loudermilk,UCF,47,2042,66,43.4,39.5
33,Michael Farkas,OHIO,43,1867,59,43.4,39.8
34,Jake Julien,EMU,71,3078,73,43.4,37.9
35,Kyle Thompson,KU,69,2986,76,43.3,39.9
36,Logan Tyler,FSU,82,3545,61,43.2,37.7
37,Drue Chrisman,OSU,61,2636,65,43.2,42.2
38,Adam Williams,MEM,58,2503,73,43.2,39.4
39,Charles Ouverson,CCU,47,2028,64,43.1,39.4
40,Yannis Routsas,UTSA,75,3224,63,43.0,40.4
41,Luke Magliozzi,UCONN,63,2705,59,42.9,38.8
42,Trent Schneider,USF,74,3176,72,42.9,37.3
43,Sterling Hofrichter,SYR,67,2874,58,42.9,39.3
44,Adam Korsak,RUTG,78,3333,79,42.7,40.1
45,Joe Schopper,PUR,62,2642,74,42.6,40.6
46,Oscar Bradburn,VT,69,2940,72,42.6,38.4
47,Jake Camarda,UGA,43,1830,63,42.6,37.3
48,Blake Maimone,ORE,45,1914,59,42.5,40.2
49,Connor Bowler,TEM,57,2420,62,42.5,37.1
50,Drew Galitz,BAY,51,2164,62,42.4,39.4
51,AJ Cole,NCST,49,2076,72,42.4,38.9
52,Alvin Kenworthy,UNT,56,2366,68,42.3,39.3
53,Blake Cusick,FRES,65,2745,72,42.2,40.0
54,Dylan Klumph,ARIZ,49,2066,57,42.2,39.0
55,Jared Porter,ULM,49,2064,52,42.1,37.5
56,Dominic Panazzolo,TTU,52,2187,56,42.1,40.0
57,Dane Roy,HOU,60,2523,59,42.0,38.8
58,Kyle Kramer,M-OH,65,2725,64,41.9,38.0
59,Daniel Rodriguez,ORST,55,2303,62,41.9,39.9
60,Brandon Heicklen,SDSU,68,2844,58,41.8,39.4
61,Dom Maggio,WAKE,77,3217,56,41.8,38.2
62,Lester Coleman,UVA,51,2130,61,41.8,39.0
63,Evan Finegan,BUFF,52,2171,69,41.8,38.5
64,Corliss Waitman,USA,67,2792,58,41.7,37.9
65,Owen White,NAVY,53,2207,58,41.6,37.8
66,Steven Coutts,CAL,72,2985,73,41.5,38.0
67,Kirk Christodoulou,PITT,74,3067,73,41.4,37.4
