RK,NAME,TEAM,PUNTS,YDS,LNG,AVG,NET
68,Austin Parker,DUKE,67,2772,57,41.4,37.5
69,Matt Bonadies,MTSU,55,2274,68,41.3,37.7
70,Pressley Harvin III,GT,35,1447,62,41.3,38.5
71,Mac Brown,MISS,48,1980,65,41.3,37.1
72,Jacob Herbers,MINN,51,2103,58,41.2,41.0
73,Matt Naranjo,BGSU,31,1277,72,41.2,40.2
74,Davan Dyer,LT,61,2509,66,41.1,38.2
75,Joe Doyle,TENN,65,2673,71,41.1,39.0
76,Robert Lefevre,MRSH,62,2544,60,41.0,37.9
77,Billy Kinney,WVU,41,1680,54,41.0,37.8
78,Kyle Corbett,CHAR,55,2253,75,41.0,34.9
79,Bailey Flint,TOL,61,2497,58,40.9,38.3
80,Wade Lees,MD,67,2742,67,40.9,38.8
81,Stan Gaudion,HAW,49,1998,56,40.8,39.1
82,Payton Theisler,NMSU,74,3014,69,40.7,34.5
83,Cody Grace,ARKST,64,2599,62,40.6,40.5
84,Mason King,LOU,69,2798,64,40.6,36.5
85,Jake Collins,NW,79,3199,70,40.5,37.9
86,Jonn Young,ECU,71,2875,52,40.5,36.7
87,Jack Sheldon,CMU,89,3598,64,40.4,35.7
88,Matt Ference,NIU,86,3473,62,40.4,37.7
89,Rhett Almond,BYU,55,2217,57,40.3,39.2
90,Ryan Bujcevski,TEX,63,2537,56,40.3,37.8
91,Taylor Hintze,USU,46,1851,67,40.2,36.1
92,Grant Carlson,BC,69,2774,54,40.2,36.9
93,Corey Dunn,ISU,53,2129,65,40.2,38.9
94,Derek Adams,KENT,31,1245,77,40.2,32.5
95,Tyler Hunt,MSU,36,1444,63,40.1,36.9
96,Rhys Byrns,ULL,53,2124,68,40.1,37.4
97,Kyle Greenwell,UAB,58,2323,57,40.1,37.4
98,Haydon Whitehead,IND,51,2040,58,40.0,37.7
99,Hunter Lent,UNC,50,1993,60,39.9,38.7
100,Mitchell Crawford,UTEP,73,2909,66,39.8,37.9
101,Bailey Cate,ODU,55,2186,63,39.7,37.1
102,Patrick LeCorre,BALL,39,1549,60,39.7,37.3
103,Will Spiers,CLEM,64,2541,63,39.7,36.6
104,Jamie Sackville,SMU,67,2657,65,39.7,36.3
105,Adam Nunez,TCU,41,1619,56,39.5,37.1
106,Tucker Day,MSST,47,1851,70,39.4,37.6
107,Reid Budrovich,USC,58,2284,54,39.4,35.1
108,Nick Gasser,AKRON,75,2952,59,39.4,36.4
109,George Georgopoulos,UMASS,39,1529,60,39.2,34.8
110,Zac Everett,USM,40,1566,71,39.2,37.5
111,Quinn Skillin,BSU,45,1754,56,39.0,33.9
112,Colten Rastetter,IOWA,53,2063,69,38.9,36.6
113,Reid Bauer,ARK,56,2176,64,38.9,36.6
114,Tim Zaleski,WYO,36,1395,52,38.8,36.4
115,Matthew Trickett,KENT,35,1354,52,38.7,34.0
116,Magill Bauerle,GASO,56,2164,56,38.6,37.8
117,Davis Price,COLO,48,1842,58,38.4,36.8
118,Sebastian Riella,FAU,38,1446,58,38.1,35.7
119,Clayton Stewart,TXST,69,2615,60,37.9,34.8
120,Jack Spicer,MIAMI,34,1282,53,37.7,32.9
121,Alex Rinella,WKU,67,2512,58,37.5,35.7
122,Nick Mihalic,WMU,56,2087,79,37.3,34.8
123,Aidan Alves,LIB,66,2444,73,37.0,33.9
124,Grant Tinnerman,BGSU,35,1294,55,37.0,36.8
