RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Field Goals', 'FGM')","('Field Goals', 'FGA')","('Field Goals', 'FG%')","('Field Goals', 'LNG')","('Field Goals', '1-19')","('Field Goals', '20-29')","('Field Goals', '30-39')","('Field Goals', '40-49')","('Field Goals', '50+')","('Extra points', 'XPM')","('Extra points', 'XPA')","('Extra points', 'PCT')"
1,Jake Moody,MICH,PK,29,35,82.9,59,0-0,9-10,10-10,7-8,3-7,60,60,100.0
2,Christopher Dunn,NCST,PK,28,29,96.6,53,1-1,8-8,9-9,8-9,2-2,30,30,100.0
3,Jack Podlesny,UGA,PK,26,31,83.9,50,1-1,11-11,11-11,2-5,1-3,73,74,98.6
4,Alex McNulty,BUFF,PK,24,28,85.7,54,0-0,6-6,7-8,9-10,2-4,41,42,97.6
5,Jonah Dalmas,BOIS,PK,23,27,85.2,51,0-0,8-8,7-10,7-8,1-1,48,48,100.0
6,Jared Sackett,UTSA,PK,22,27,81.5,51,0-0,6-6,7-8,8-12,1-1,59,59,100.0
6,Gavin Baechle,UTEP,PK,22,24,91.7,54,0-0,9-9,4-4,7-8,2-3,31,31,100.0
6,Will Reichard,ALA,PK,22,26,84.6,52,0-0,5-5,8-9,6-7,3-5,64,64,100.0
6,Harrison Mevis,MIZ,PK,22,28,78.6,56,1-1,4-6,6-8,7-7,4-6,33,33,100.0
6,Tanner Brown,OKST,PK,22,23,95.7,52,1-1,8-8,7-7,5-6,1-1,42,42,100.0
6,John Hoyland,WYO,PK,22,25,88.0,55,1-1,8-8,5-6,4-5,4-5,28,28,100.0
6,Nathanial Vakos,OHIO,PK,22,27,81.5,56,0-0,9-9,8-9,3-5,2-4,49,50,98.0
13,Chris Howard,MEM,PK,21,24,87.5,49,0-0,6-7,8-8,7-8,0-1,50,52,96.2
13,Trey Wolff,TTU,PK,21,25,84.0,51,0-0,8-8,6-6,5-9,2-2,41,42,97.6
13,Bert Auburn,TEX,PK,21,26,80.8,49,0-0,8-9,6-8,7-9,0-0,55,55,100.0
16,Andre Szmyt,SYR,PK,20,26,76.9,54,0-0,8-8,5-6,5-8,2-4,40,40,100.0
16,B.T. Potter,CLEM,PK,20,26,76.9,52,1-1,4-4,7-7,6-10,2-4,49,49,100.0
16,Ben Sauls,PITT,PK,20,24,83.3,51,0-0,5-6,6-7,8-9,1-2,47,47,100.0
16,James Turner,LOU,PK,20,22,90.9,48,0-0,11-11,6-6,3-5,0-0,38,39,97.4
16,Jack Browning,SDSU,PK,20,25,80.0,52,0-0,9-9,6-7,3-6,2-3,30,30,100.0
21,Peyton Henry,WASH,PK,19,22,86.4,50,0-0,7-7,7-8,4-6,1-1,58,59,98.3
21,Chad Ryland,MD,PK,19,23,82.6,53,0-0,2-2,7-7,7-8,3-6,39,40,97.5
21,Ryan Coe,CIN,PK,19,23,82.6,52,0-0,9-10,7-8,2-4,1-1,44,44,100.0
24,Briggs Bourgeois,USM,PK,18,19,94.7,53,1-1,9-9,6-7,1-1,1-1,36,37,97.3
24,Daniel Gutierrez,UNLV,PK,18,19,94.7,50,0-0,5-5,4-4,8-9,1-1,34,34,100.0
24,Ethan Mooney,UNT,PK,18,21,85.7,49,0-0,9-9,5-6,4-6,0-0,54,55,98.2
24,Mitchell Fineran,PUR,PK,18,24,75.0,45,0-0,5-6,9-9,4-9,0-0,41,44,93.2
24,Kenneth Almendares,UL,PK,18,23,78.3,52,0-0,3-5,5-5,7-10,3-3,23,24,95.8
24,John Richardson,NIU,PK,18,23,78.3,53,0-0,5-7,8-8,4-7,1-1,31,31,100.0
24,Diego Guajardo,USA,PK,18,19,94.7,49,0-0,5-5,8-9,5-5,0-0,46,48,95.8
24,Joshua Karty,STAN,PK,18,18,100.0,61,0-0,2-2,3-3,10-10,3-3,24,25,96.0
24,Alex Raynor,GASO,PK,18,20,90.0,46,1-1,9-9,4-5,4-5,0-0,49,50,98.0
24,Tyler Loop,ARIZ,PK,18,21,85.7,48,0-0,6-6,8-8,4-7,0-0,38,38,100.0
24,Graham Nicholson,M-OH,PK,18,23,78.3,49,0-0,5-5,7-9,6-9,0-0,27,28,96.4
35,Noah Ruggles,OSU,PK,17,20,85.0,48,0-0,5-5,5-6,7-7,0-2,74,75,98.7
35,Brooks Buce,TROY,PK,17,19,89.5,51,0-0,5-5,8-10,3-3,1-1,41,42,97.6
35,Zack Long,TLSA,PK,17,21,81.0,46,0-0,10-10,4-4,3-7,0-0,44,45,97.8
35,Andy Borregales,MIA,PK,17,20,85.0,49,0-0,6-6,7-8,4-5,0-1,32,32,100.0
35,Griffin Kell,TCU,PK,17,19,89.5,54,0-0,0-0,9-10,7-7,1-2,62,64,96.9
35,Ben VonGunten,BALL/INWS,PK,17,21,81.0,44,0-0,9-9,5-7,3-5,0-0,28,29,96.6
35,Andrew Glass,KENT,PK,17,26,65.4,50,0-0,6-6,4-8,6-11,1-1,31,31,100.0
35,Dominic Zvada,ARST,PK,17,18,94.4,56,0-0,5-5,6-6,5-5,1-2,30,31,96.8
43,Chase McGrath,TENN,PK,16,20,80.0,51,0-0,2-2,9-10,4-6,1-2,70,72,97.2
43,Matt Ruffolo,UK,PK,16,24,66.7,50,0-0,7-7,4-8,4-7,1-2,25,27,92.6
43,Matthew Shipley,HAW,PK,16,20,80.0,49,1-1,9-9,2-4,4-6,0-0,27,28,96.4
43,Zeke Rankin,MTSU,PK,16,19,84.2,49,0-0,8-8,6-7,2-4,0-0,45,45,100.0
43,Matthew Dapore,AFA,PK,16,21,76.2,54,0-0,3-3,6-6,4-6,3-6,37,38,97.4
43,Drew Stevens,IOWA,PK,16,18,88.9,54,0-0,7-7,3-3,4-6,2-2,24,24,100.0
43,Collin Rogers,SMU,PK,16,20,80.0,46,0-0,6-6,7-7,3-5,0-2,58,58,100.0
50,Brayden Narveson,WKU,PK,15,21,71.4,51,0-0,5-7,3-4,6-8,1-2,59,59,100.0
50,Matthew Trickett,MINN,PK,15,18,83.3,50,0-0,6-7,3-4,5-6,1-1,46,46,100.0
50,Jonathan Cruz,MISS,PK,15,17,88.2,53,0-0,3-3,5-6,6-6,1-2,48,49,98.0
50,Nick Barr-Mira,UCLA,PK,15,21,71.4,49,1-1,6-8,3-4,5-8,0-0,61,61,100.0
50,Noah Burnette,UNC,PK,15,21,71.4,47,2-2,3-4,5-9,5-5,0-1,57,58,98.3
50,Denis Lynch,USC,PK,15,22,68.2,49,0-0,3-3,4-9,8-8,0-2,74,74,100.0
56,Blake Grupe,ND,PK,14,19,73.7,47,0-0,5-5,3-4,6-10,0-0,49,49,100.0
56,Casey Legg,WVU,PK,14,15,93.3,38,0-0,9-9,5-5,0-1,0-0,37,40,92.5
56,Caleb Griffin,ILL,PK,14,19,73.7,52,0-0,5-5,4-5,4-6,1-3,32,32,100.0
56,Charles Campbell,IU,PK,14,20,70.0,51,0-0,3-4,6-9,4-5,1-2,27,27,100.0
56,Camden Lewis,ORE,PK,14,16,87.5,44,0-0,7-7,3-3,4-5,0-1,64,64,100.0
56,Matt Quinn,UAB,PK,14,19,73.7,51,1-1,4-6,5-5,3-5,1-2,45,45,100.0
56,Seth Keller,TXST,PK,14,16,87.5,49,0-0,4-4,7-8,3-4,0-0,28,28,100.0
56,Adam Mihalek,FLA,PK,14,21,66.7,52,0-0,4-5,4-5,3-5,3-6,42,43,97.7
56,Jesus Gomez,EMU,PK,14,17,82.4,55,0-0,3-3,5-6,4-5,2-3,47,47,100.0
56,Colton Boomer,UCF,PK,14,15,93.3,43,0-0,7-7,4-4,3-3,0-1,42,43,97.7
66,Camden Price,TEM/MIA,PK,13,14,92.9,49,0-0,4-4,6-6,3-4,0-0,18,19,94.7
66,Thomas Cluckey,TOL,PK,13,17,76.5,45,0-0,4-4,3-5,6-8,0-0,52,52,100.0
66,Jacob Barnes,LT,PK,13,18,72.2,41,1-1,3-4,7-9,2-3,0-1,38,39,97.4
66,Cameron Carson,MASS,PK,13,18,72.2,47,0-0,6-7,5-6,2-3,0-2,13,13,100.0
66,Cam Little,ARK,PK,13,16,81.3,51,0-0,5-5,5-5,1-3,2-3,50,50,100.0
66,Randy Bond,TA&M,PK,13,17,76.5,51,0-0,7-7,2-2,3-6,1-2,25,25,100.0
66,Palmer Domschke,WMU,PK,13,19,68.4,52,0-0,3-5,6-8,3-4,1-2,21,22,95.5
66,Rece Verhoff,MRSH,PK,13,20,65.0,40,0-0,5-5,7-10,1-5,0-0,33,35,94.3
74,Anders Carlson,AUB,PK,12,17,70.6,46,0-0,6-6,2-3,4-7,0-1,22,22,100.0
74,Christian VanSickle,RICE,PK,12,16,75.0,43,0-0,5-5,4-5,3-6,0-0,38,38,100.0
74,Connor Coles,USU,PK,12,17,70.6,53,0-0,3-3,3-4,4-6,2-4,33,33,100.0
74,Jake Pinegar,PSU,PK,12,16,75.0,50,0-0,5-6,1-3,4-5,2-2,57,59,96.6
74,Ryan Fitzgerald,FSU,PK,12,20,60.0,47,0-0,5-6,3-6,4-5,0-3,57,58,98.3
74,Matthew Dennis,WAKE,PK,12,14,85.7,46,0-0,4-4,7-8,1-2,0-0,56,57,98.2
74,Noe Ruelas,CONN,PK,12,16,75.0,54,0-0,7-7,2-3,2-5,1-1,28,28,100.0
74,Gavin Stewart,GT,PK,12,13,92.3,40,1-1,5-5,5-5,1-2,0-0,13,14,92.9
74,Zach Schmit,OU,PK,12,18,66.7,44,0-0,2-2,3-5,7-9,0-2,53,53,100.0
74,Abraham Montano,FRES,PK,12,19,63.2,43,0-0,6-7,5-8,1-3,0-1,34,35,97.1
74,Taren Schive,SJSU,PK,12,18,66.7,43,0-0,6-8,3-5,3-5,0-0,37,40,92.5
74,Jace T. Gilbert,ISU,PK,12,20,60.0,44,1-1,4-4,4-7,3-8,0-0,21,22,95.5
74,Jude McAtamney,RUTG,PK,12,18,66.7,49,0-0,3-3,4-7,5-6,0-2,23,24,95.8
87,Camden Wise,JMU,PK,11,16,68.8,44,0-0,5-6,4-6,2-3,0-1,50,52,96.2
87,Dario Longhetto,CAL,PK,11,17,64.7,54,0-0,3-3,5-6,2-6,1-2,31,32,96.9
87,Mason Lawler,BGSU,PK,11,16,68.8,49,1-1,5-5,3-5,2-3,0-2,34,34,100.0
87,Michael Hayes II,GAST,PK,11,14,78.6,51,0-0,3-3,2-4,5-6,1-1,41,42,97.6
87,Ty Zentner,KSU,P,11,11,100.0,53,0-0,6-6,2-2,2-2,1-1,31,31,100.0
87,Dean Janikowski,WSU,PK,11,14,78.6,50,0-0,6-7,3-3,1-1,1-3,40,41,97.6
87,Mitch Jeter,SC,PK,11,11,100.0,53,0-0,4-4,4-4,1-1,2-2,42,44,95.5
87,Valentino Ambrosio,TULN,PK,11,12,91.7,47,0-0,5-5,3-4,3-3,0-0,43,43,100.0
87,Cole Becker,COLO,PK,11,13,84.6,49,0-0,3-3,3-3,5-6,0-1,20,21,95.2
87,Carter Brown,ASU,PK,11,14,78.6,53,0-0,3-4,3-3,4-6,1-1,33,33,100.0
87,Nick Brown,LIB,PK,11,19,57.9,49,0-1,3-3,5-9,3-3,0-3,40,41,97.6
87,Nate Van Zelst,WISC,PK,11,14,78.6,47,0-0,3-3,5-8,3-3,0-0,35,35,100.0
99,Calum Sutherland,ULM,PK,10,11,90.9,54,0-0,4-4,3-3,2-3,1-1,32,32,100.0
99,Michael Boyle,CSU,PK,10,13,76.9,43,0-0,5-5,2-3,3-5,0-0,12,12,100.0
99,Daniel Davies,NAVY,P,10,16,62.5,46,0-0,3-4,5-7,2-5,0-0,19,19,100.0
99,Brandon Talton,NEV,PK,10,12,83.3,50,0-0,4-4,3-3,2-3,1-2,15,15,100.0
99,Damian Ramos,LSU,PK,10,14,71.4,47,0-0,2-2,6-9,2-3,0-0,55,57,96.5
99,Ethan Sanchez,ODU,PK,10,13,76.9,44,1-1,3-5,4-4,2-3,0-0,28,28,100.0
99,Luke Drzewiecki,UNM,PK,10,14,71.4,44,0-0,2-2,6-8,2-3,0-1,6,6,100.0
106,Jake Oldroyd,BYU,PK,9,14,64.3,45,0-0,2-2,6-11,1-1,0-0,45,45,100.0
106,Bubba Baxa,HOU,PK,9,14,64.3,37,0-0,3-4,6-6,0-3,0-1,17,18,94.4
106,Timmy Bleekrode,NEB,PK,9,12,75.0,46,0-0,5-5,2-4,2-2,0-1,34,35,97.1
106,Charlie Ham,DUKE,PK,9,15,60.0,45,1-1,3-4,4-6,1-2,0-2,29,29,100.0
106,Spencer Shrader,USF,PK,9,13,69.2,49,1-1,3-3,3-4,2-4,0-1,37,37,100.0
106,Connor Lytton,BC,PK,9,17,52.9,46,1-1,3-4,4-7,1-5,0-0,24,24,100.0
106,Morgan Suarez,FAU,PK,9,13,69.2,43,1-2,3-3,3-3,2-4,0-1,38,38,100.0
106,Michael Hughes,APP,PK,9,12,75.0,40,0-0,5-5,3-4,1-2,0-1,50,50,100.0
106,Chris Tennant,KSU,PK,9,14,64.3,37,0-0,5-5,4-6,0-3,0-0,23,25,92.0
115,Massimo Biscardi,MSST,PK,8,11,72.7,48,0-0,3-3,3-3,2-4,0-1,25,27,92.6
115,John Mayers,BAY,PK,8,11,72.7,49,0-0,1-1,3-4,4-6,0-0,42,44,95.5
