RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Tackles', 'SOLO')","('Tackles', 'AST')","('Tackles', 'TOT')","('Sacks', 'SACK')","('Sacks', 'YDS')","('Interceptions', 'PD')","('Interceptions', 'INT')","('Interceptions', 'YDS')","('Interceptions', 'LNG')","('Interceptions', 'TD')","('Unnamed: 11_level_0', 'FF')"
1,Evan Weaver,CAL,LB,103,78,181,2.5,19,3,0,0,0,0,3
2,Dele Harding,ILL,LB,68,86,154,0.0,0,0,3,94,54,2,3
3,Treshaun Hayward,WMU,LB,72,70,142,5.0,36,1,0,0,0,0,1
4,Jahad Woods,WSU,LB,73,68,141,3.0,12,3,1,0,0,0,2
5,John Lako,AKR,LB,60,78,138,1.0,8,2,1,64,64,1,0
6,Javahn Fergurson,NMSU,LB,50,83,133,0.5,4,6,0,0,0,0,0
7,Alijah Halliburton,WYO,S,73,57,130,2.0,16,1,2,23,23,0,0
8,Kobie Beltram,EMU,LB,56,71,127,2.0,12,6,0,0,0,0,3
9,Bubba Arslanian,AKR,LB,51,74,125,2.0,14,2,0,0,0,0,1
9,Garret Wallow,TCU,LB,77,48,125,3.5,25,1,1,12,12,0,0
11,Tavante Beckett,MRSH,LB,50,71,121,2.0,18,4,1,0,0,0,2
12,Kuony Deng,CAL,LB,62,58,120,3.0,12,8,0,0,0,0,0
13,Rayshard Ashby,VT,LB,60,59,119,5.0,47,1,0,0,0,0,3
14,Bryan London II,TXST,LB,53,65,118,1.0,1,1,1,13,13,0,0
15,Jacob White,BALL,LB,60,57,117,0.0,0,2,1,0,0,0,1
15,Jamal Hicks,CSU,S,59,58,117,1.5,14,4,0,0,0,0,0
17,Darreon Jackson,ARST,DB,66,50,116,1.0,5,1,2,63,51,0,0
18,Chazz Surratt,UNC,LB,66,49,115,6.5,44,3,1,3,3,0,1
19,Ben Holt,WKU/PUR,LB,66,48,114,1.0,10,2,0,0,0,0,0
19,Cortez Sisco Jr.,ULM,LB,49,65,114,1.0,13,3,1,0,0,0,1
19,Omari Cobb,MRSH,LB,46,68,114,2.0,12,2,1,5,5,0,1
19,Nate Landman,COLO,LB,83,31,114,2.0,20,4,1,21,21,0,0
19,Carlton Martial,TROY,LB,66,48,114,4.0,40,1,3,78,64,1,3
24,Jacob Phillips,LSU,LB,56,57,113,1.0,11,1,0,0,0,0,1
25,Cole Christiansen,ARMY,LB,63,49,112,2.5,4,1,0,0,0,0,2
25,Justin Rice,FRES,LB,65,47,112,3.0,32,8,2,0,0,0,4
25,Nate Evans,UCF,LB,71,41,112,1.0,7,4,0,0,0,0,0
25,Terrel Bernard,BAY,LB,53,59,112,4.5,33,2,1,20,20,0,0
29,Lawrence Garner,ODU,LB,67,44,111,1.0,9,2,0,0,0,0,1
30,Kyle Bailey,WKU,LB,54,56,110,0.5,4,2,3,14,14,0,0
30,Lakiem Williams,SYR,LB,47,63,110,4.5,29,1,0,0,0,0,1
32,Rashad Smith,FAU,LB,58,51,109,3.5,24,2,3,22,22,0,1
32,Micah Parsons,PSU,LB,52,57,109,5.0,44,5,0,0,0,0,4
34,Max Richardson,BC,LB,72,36,108,3.5,19,2,0,0,0,0,1
34,Vince Calhoun,EMU,DB,58,50,108,2.0,12,0,1,25,25,0,3
34,Jordyn Brooks,TTU,LB,66,42,108,3.0,21,0,0,0,0,0,1
34,Zane Zandier,UVA,LB,49,59,108,5.0,24,5,1,22,22,1,0
38,Jordan Fehr,APP,LB,53,54,107,2.5,21,3,1,0,0,0,0
38,Shaq Quarterman,MIA,LB,51,56,107,1.0,7,5,0,0,0,0,1
38,Trajan Stephens-McQueen,GAST,LB,60,47,107,2.0,20,3,2,4,4,0,0
41,Cooper Edmiston,TLSA,LB,47,59,106,1.0,6,1,0,0,0,0,1
41,Darrick Forrest,CIN,S,63,43,106,0.0,0,3,3,51,38,0,0
43,Logan Wilson,WYO,LB,62,43,105,1.0,7,7,4,47,21,1,1
43,Koby Quansah,DUKE,LB,42,63,105,2.5,13,3,0,0,0,0,0
45,John Houston Jr.,USC,LB,64,40,104,2.5,8,3,0,0,0,0,0
45,Isaiah Simmons,CLEM,LB,67,37,104,7.0,46,8,3,42,22,0,1
