RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Kickoffs', 'ATT')","('Kickoffs', 'YDS')","('Kickoffs', 'AVG')","('Kickoffs', 'LNG')","('Kickoffs', 'TD')","('Punts', 'ATT')","('Punts', 'YDS')","('Punts', 'AVG')","('Punts', 'LNG')","('Punts', 'TD')"
1,Kole Wilson,BAY,WR,30,705,23.5,53,0,0,0,0.0,0,0
2,Brandon Hills,AKR,WR,29,663,22.9,43,0,0,0,0.0,0,0
3,Jaylen Jenkins,TXST,RB,23,622,27.0,100,1,0,0,0.0,0,0
4,Jayshon Platt,FAU,WR,26,613,23.6,53,0,0,0,0.0,0,0
5,Solomon Beebe,UAB,RB,24,600,25.0,96,1,0,0,0.0,0,0
6,Quentin Gibson,COLO,WR,25,597,23.9,46,0,4,29,7.3,14,0
7,DJ Epps,TROY,WR,24,554,23.1,79,0,0,0,0.0,0,0
8,Chauncy Cobb,ARST,WR,20,538,26.9,98,2,0,0,0.0,0,0
9,Michael Jackson III,PUR,WR,22,520,23.6,56,0,8,26,3.3,17,0
10,Xayvion Turner-Bradshaw,MRSH,WR,23,510,22.2,36,0,2,-2,-1.0,0,0
11,Dalen Cobb,GASO,WR,19,502,26.4,95,1,0,0,0.0,0,0
12,Derrick Eley,CLT,WR,18,501,27.8,88,1,2,5,2.5,5,0
13,Koi Perich,MINN,DB,19,499,26.3,93,0,18,118,6.6,21,0
14,Simeon Evans,UNT,WR,18,496,27.6,61,0,2,15,7.5,11,0
15,Devin Miles,WMU,RB,21,495,23.6,72,0,0,0,0.0,0,0
16,Malik Sherrod,BOIS,RB,24,492,20.5,41,0,15,73,4.9,17,0
17,Kaden Wetjen,IOWA,WR,16,476,29.8,100,1,21,563,26.8,95,3
18,Devin Gandy,LT,WR,17,474,27.9,93,2,0,0,0.0,0,0
19,Sahmir Hagans,DUKE,WR,14,467,33.4,100,1,0,0,0.0,0,0
19,Malcolm Gillie,CCU,WR,18,467,25.9,96,1,0,0,0.0,0,0
21,Bryce Noernberg,KSU,WR,16,464,29.0,99,1,0,0,0.0,0,0
22,Isaiah Bryant,NAVY,WR,21,462,22.0,43,0,0,0,0.0,0,0
23,Keith Reynolds,M-OH,WR,16,456,28.5,100,1,0,0,0.0,0,0
24,Emmanuel Henderson Jr.,KU,WR,19,455,23.9,94,1,0,0,0.0,0,0
25,Da'Realyst Clark,KENT,WR,17,452,26.6,100,2,0,0,0.0,0,0
26,Jadarian Price,ND,RB,12,450,37.5,100,2,0,0,0.0,0,0
27,Vinny Anthony II,WIS,WR,16,446,27.9,95,1,0,0,0.0,0,0
28,Barion Brown,LSU,WR,15,445,29.7,99,1,1,6,6.0,6,0
29,Jaden Nixon,UCF,RB,19,438,23.1,96,1,0,0,0.0,0,0
30,Damon Bankston,UNM,RB,12,434,36.2,100,2,0,0,0.0,0,0
31,Jayvin Norman,EMU,RB,23,432,18.8,39,0,0,0,0.0,0,0
32,Tre Richardson,VAN,WR,17,427,25.1,46,0,0,0,0.0,0,0
33,Terry Bussey,TA&M,WR,18,421,23.4,45,0,7,62,8.9,29,0
34,Adam Mohammed,WASH,RB,16,420,26.3,41,0,0,0,0.0,0,0
35,Rayshawn Pleasant,AUB,CB,19,412,21.7,98,1,0,0,0.0,0,0
36,Cody Hagen,BYU,WR,18,409,22.7,44,0,0,0,0.0,0,0
37,Dev'ion Reynolds,NIU,CB,17,404,23.8,96,1,0,0,0.0,0,0
38,Cameron Pettaway,BGSU,RB,12,396,33.0,98,1,0,0,0.0,0,0
39,Kenneth Williams,NEB,RB,12,395,32.9,95,1,0,0,0.0,0,0
40,Mekhi Mews,HOU,WR,18,393,21.8,35,0,20,126,6.3,21,0
41,C'Quan Jnopierre,FIU,WR,16,384,24.0,35,0,7,49,7.0,33,0
41,Mysonne Pollard,DEL,S,15,384,25.6,51,0,0,0,0.0,0,0
43,Terrance Shelton Jr.,BUFF,RB,17,381,22.4,40,0,0,0,0.0,0,0
44,Andrew Marsh,MICH,WR,17,378,22.2,51,0,4,45,11.3,14,0
45,Trayvon Rudolph,TOL,WR,18,374,20.8,96,1,0,0,0.0,0,0
46,TJ Peyton,GAST,RB,22,364,16.5,34,0,0,0,0.0,0,0
46,Jahari Johnson,SJSU,WR,15,364,24.3,98,0,0,0,0.0,0,0
48,Jacob De Jesus,CAL,WR,18,363,20.2,36,0,22,259,11.8,34,0
49,Khamani Alexander,APP,RB,18,359,19.9,28,0,0,0,0.0,0,0
50,Anthony Brown-Stephens,TULN,WR,15,357,23.8,40,0,0,0,0.0,0,0
51,Rayshon Luke,FRES,RB,16,341,21.3,38,0,0,0,0.0,0,0
52,P.J. Prioleau,VT,RB,17,339,19.9,32,0,1,24,24.0,24,0
53,Deuce Spann,PITT,WR,15,337,22.5,41,0,0,0,0.0,0,0
54,Ja'Corian Norris,UL,S,9,318,35.3,96,1,0,0,0.0,0,0
55,Cam Barfield,HAW,RB,11,316,28.7,86,1,0,0,0.0,0,0
56,Robert Williams,UL,WR,17,315,18.5,50,0,10,29,2.9,13,0
57,Julian Gray,LIB,RB,11,313,28.5,96,1,0,0,0.0,0,0
58,Jaylon Glover,UNLV,RB,16,312,19.5,30,0,0,0,0.0,0,0
59,Ky Woods,NEV,RB,12,311,25.9,99,1,0,0,0.0,0,0
60,Davis Bryson,KENN,WR,14,307,21.9,33,0,0,0,0.0,0,0
61,Tim Burns Jr.,SHSU,WR,12,306,25.5,98,1,2,12,6.0,8,0
62,TJ Horton,BALL,RB,12,294,24.5,90,1,0,0,0.0,0,0
63,Keelan Marion,MIA,WR,12,293,24.4,38,0,0,0,0.0,0,0
64,Lotzeir Brooks,ALA,WR,15,283,18.9,25,0,0,0,0.0,0,0
64,Malik Phillips,SHSU,WR,15,283,18.9,32,0,0,0,0.0,0,0
66,Mel Brown,CONN,RB,14,281,20.1,37,0,0,0,0.0,0,0
67,Shane Marshall,GT,RB,15,276,18.4,32,0,0,0,0.0,0,0
68,Jacory Barney Jr.,NEB,WR,13,275,21.2,40,0,22,270,12.3,57,0
69,Micah Davis,USM,WR,13,271,20.8,31,0,6,64,10.7,33,0
70,Lloyd Avant,CSU,RB,11,268,24.4,50,0,0,0,0.0,0,0
