RK,NAME,TEAM,"('Unnamed: 0_level_0', 'POS')","('Field Goals', 'FGM')","('Field Goals', 'FGA')","('Field Goals', 'FG%')","('Field Goals', 'LNG')","('Field Goals', '1-19')","('Field Goals', '20-29')","('Field Goals', '30-39')","('Field Goals', '40-49')","('Field Goals', '50+')","('Extra points', 'XPM')","('Extra points', 'XPA')","('Extra points', 'PCT')"
1,Lucas Carneiro,MISS,PK,31,35,88.6,58,0-0,11-11,6-7,9-10,5-7,56,56,100.0
2,Kansei Matsuzawa,HAW,PK,27,29,93.1,52,1-1,5-5,10-11,10-10,1-2,40,40,100.0
3,Aidan Birr,GT,PK,25,29,86.2,55,1-1,9-9,7-8,7-8,1-3,45,45,100.0
3,Patrick Durkin,TULN,PK,25,28,89.3,52,0-0,6-7,12-12,3-3,4-6,41,42,97.6
5,Will Bettridge,UVA,PK,24,30,80.0,47,0-0,8-9,8-8,8-12,0-1,49,49,100.0
5,Damian Ramos,LSU,PK,24,29,82.8,52,2-2,6-6,4-5,10-12,2-4,29,30,96.7
5,Tate Sandell,OU,PK,24,27,88.9,55,0-0,5-5,3-4,8-9,8-9,35,35,100.0
8,Chris Freeman,CONN,PK,23,26,88.5,50,0-0,8-8,5-6,9-11,1-1,52,52,100.0
8,Will Ferrin,BYU,PK,23,30,76.7,56,0-0,11-11,6-6,2-7,4-6,49,49,100.0
10,Jesus Gomez,ASU,PK,22,30,73.3,54,1-1,6-7,8-9,5-10,2-3,33,33,100.0
10,Drew Stevens,IOWA,PK,22,28,78.6,58,0-0,5-5,6-7,7-10,4-6,41,42,97.6
10,Stone Harrington,TTU,PK,22,28,78.6,58,0-0,10-10,3-3,6-10,3-5,41,42,97.6
13,Ethan Sanchez,HOU,PK,21,26,80.8,52,0-0,8-8,3-4,9-12,1-2,43,43,100.0
13,Dylan Lynch,FRES,PK,21,27,77.8,43,0-0,7-10,9-9,5-6,0-2,34,34,100.0
13,Clune Van Andel,ARST,PK,21,27,77.8,54,0-0,6-8,7-8,4-4,4-7,36,37,97.3
13,Garrison Rippa,JVST,PK,21,28,75.0,52,0-0,7-7,7-11,3-5,4-5,40,40,100.0
13,Tyler Robles,TXST,PK,21,23,91.3,50,0-0,7-7,10-10,1-2,3-4,53,54,98.1
13,Cooper Ranvier,LOU,PK,21,25,84.0,51,0-0,6-6,7-7,6-7,2-5,39,41,95.1
