season,team,institution_key,name,position,height,weight,stars,rating,status,from_school,to_school,profile_url
2024,Air Force,24078,Herman Brister III,S,"6'3""",210 lbs,0,( N/A ),Committed,Air Force,Southern,https://247sports.com/player/herman-brister-iii-46114105/college-313499/
2024,Air Force,24078,Jacob Kilzer,QB,"6'3""",196 lbs,3,0.8000,Committed,Air Force,North Dakota State,https://247sports.com/player/jacob-kilzer-46131140/college-309234/
2024,Air Force,24078,Jacob Tafoya,S,"6'2""",215 lbs,3,0.8100,N/A,Air Force,N/A,https://247sports.com/player/jacob-tafoya-46084850/college-306135/
2024,Air Force,24078,John Eldridge,RB,"5'8""",174 lbs,2,0.7700,N/A,Air Force,N/A,https://247sports.com/player/john-eldridge-46038153/college-305678/
2024,Air Force,24078,Brady Phillips,DL,"6'3""",280 lbs,3,0.8100,Committed,Air Force,Idaho State,https://247sports.com/player/brady-phillips-46131898/college-305600/
2024,Air Force,24078,Caden Blum,DL,"6'5""",265 lbs,2,0.7900,N/A,Air Force,N/A,https://247sports.com/player/caden-blum-46049935/college-305525/
2024,Air Force,24078,Aidan Behymer,TE,"6'5""",225 lbs,2,0.7900,Enrolled,Air Force,North Dakota,https://247sports.com/player/aidan-behymer-46135021/college-305341/
2024,Air Force,24078,Jarius Stewart,CB,"5'8""",166 lbs,0,( N/A ),Committed,Air Force,Eastern New Mexico,https://247sports.com/player/jarius-stewart-46097910/college-305324/
2024,Air Force,24078,Jonah Jensen,S,"6'2""",0 lbs,0,( N/A ),Committed,Air Force,Hillsdale College,https://247sports.com/player/jonah-jensen-46145548/college-305320/
2024,Air Force,24078,Anthony Wenson,WR,"6'1""",185 lbs,3,0.8300,Committed,Air Force,Coffeyville C.C.,https://247sports.com/player/anthony-wenson-46134040/college-305444/
2024,Air Force,24078,Caleb Rillos,TE,"6'6""",255 lbs,3,0.8600,Enrolled,Air Force,Florida,https://247sports.com/player/caleb-rillos-46145942/college-306217/
2024,Akron,24065,Issiah Walker Jr.,OT,"6'4""",310 lbs,3,0.8500,Committed,Texas State,Akron,https://247sports.com/player/issiah-walker-jr-46041758/college-309527/
2024,Akron,24065,Dimitri Madden,DL,"6'3""",287 lbs,3,0.8200,Enrolled,UTEP,Akron,https://247sports.com/player/dimitri-madden-46137960/college-301568/
