season,team,institution_key,name,position,height,weight,stars,rating,status,from_school,to_school,profile_url
2023,Air Force,24078,Michael Mack,CB,"6'1""",190 lbs,0,( N/A ),Enrolled,Air Force,Wisconsin,https://247sports.com/player/michael-mack-46142721/college-298688/
2023,Air Force,24078,Kevin Miniefield,CB,"6'0""",170 lbs,0,( N/A ),N/A,Air Force,N/A,https://247sports.com/player/kevin-miniefield-46116379/college-291409/
2023,Air Force,24078,Haaziq Daniels,QB,"6'1""",205 lbs,0,( N/A ),N/A,Air Force,N/A,https://247sports.com/player/haaziq-daniels-46138126/college-290113/
2023,Air Force,24078,David Eure,CB,"5'9""",181 lbs,3,0.8300,N/A,Air Force,N/A,https://247sports.com/player/david-eure-89635/college-248908/
2023,Air Force,24078,Kyle Niese,OG,"6'3""",278 lbs,0,( N/A ),N/A,Air Force,N/A,https://247sports.com/player/kyle-niese-46084013/college-291402/
2023,Air Force,24078,Michael Schneider,S,"5'11""",175 lbs,0,( N/A ),N/A,Air Force,N/A,https://247sports.com/player/michael-schneider-46102217/college-291412/
2023,Air Force,24078,Rocky Beers,TE,"6'4""",200 lbs,0,( N/A ),Enrolled,Air Force,FIU,https://247sports.com/player/rocky-beers-46154104/college-325959/
2023,Air Force,24078,Jadon Furubotten,OT,"6'5""",310 lbs,2,0.7700,Enrolled,Air Force,Palomar College,https://247sports.com/player/jadon-furubotten-46093902/college-291403/
2023,Air Force,24078,Kainoa Sayre,RB,"6'0""",185 lbs,0,( N/A ),N/A,Air Force,N/A,https://247sports.com/player/kainoa-sayre-46045819/college-291410/
2023,Akron,24065,Phaizon Wilson,WR,"6'4""",210 lbs,3,0.8800,Enrolled,Grambling State,Akron,https://247sports.com/player/phaizon-wilson-46080066/college-295726/
2023,Akron,24065,Tahj Bullock,QB,"6'4""",223 lbs,3,0.8500,Enrolled,Virginia Tech,Akron,https://247sports.com/player/tahj-bullock-46082706/college-266235/
2023,Akron,24065,Jake Newell,TE,"6'5""",220 lbs,3,0.8800,Enrolled,Arizona State,Akron,https://247sports.com/player/jake-newell-46099936/college-285975/
2023,Akron,24065,Shammond Cooper,LB,"6'2""",220 lbs,3,0.8800,Enrolled,Illinois,Akron,https://247sports.com/player/shammond-cooper-46035715/college-238530/
