season,team,institution_key,name,position,height,weight,stars,rating,status,from_school,to_school,profile_url
2019,Air Force,24078,Thomas Dutton,TE,"6'7""",235 lbs,2,0.7800,Committed,Air Force,Stony Brook,https://247sports.com/player/thomas-dutton-88924/college-236401/
2019,Air Force,24078,Beau English,PRO,"6'2""",190 lbs,2,0.7500,Enrolled,Air Force,Richmond,https://247sports.com/player/beau-english-38052/college-226141/
2019,Air Force,24078,Blake Davis,IOL,"6'0""",310 lbs,0,( N/A ),Committed,Air Force,Bethune-Cookman,https://247sports.com/player/blake-davis-38963/college-206056/
2019,Air Force,24078,Adonis Williams,DL,"6'2""",270 lbs,2,0.7700,Committed,Air Force,Butler C.C.,https://247sports.com/player/adonis-williams-45572382/college-231027/
2019,Air Force,24078,Malik Rodgers,WR,"5'9""",165 lbs,2,0.7800,Enrolled,Air Force,Tulsa,https://247sports.com/player/malik-rodgers-46037503/college-239519/
2019,Akron,24065,Julian Hicks,WR,"6'2""",175 lbs,2,0.7600,Enrolled,Central Michigan,Akron,https://247sports.com/player/julian-hicks-46038084/college-224322/
2019,Akron,24065,Devin Jordan,OT,"6'6""",255 lbs,3,0.8400,Committed,Akron,North Carolina Central,https://247sports.com/player/devin-jordan-46043166/college-225986/
2019,Akron,24065,Abraham Alce,RB,"6'0""",224 lbs,0,( N/A ),Committed,Akron,Dodge City C.C.,https://247sports.com/player/abraham-alce-45572434/college-222686/
2019,Akron,24065,Matthew Hanson,DL,"6'3""",245 lbs,2,0.7400,Committed,Akron,Iowa Central C.C.,https://247sports.com/player/matthew-hanson-45572450/college-233054/
2019,Alabama,24096,Landon Dickerson,OT,"6'5""",310 lbs,5,0.9800,Enrolled,Florida State,Alabama,https://247sports.com/player/landon-dickerson-76786/college-177076/
2019,Alabama,24096,Drew Kobayashi,WR,"6'2""",200 lbs,3,0.8700,Committed,Washington State,Alabama,https://247sports.com/player/drew-kobayashi-36055/college-213163/
2019,Alabama,24096,Eyabi Okie-Anoma,OLB,"6'5""",245 lbs,5,1.0000,Enrolled,Alabama,Houston,https://247sports.com/player/eyabi-okie-anoma-46037175/college-218744/
2019,Alabama,24096,Kedrick James,TE,"6'5""",263 lbs,3,0.8600,Enrolled,Alabama,SMU,https://247sports.com/player/kedrick-james-78298/college-194714/
2019,Alabama,24096,Layne Hatcher,QB,"6'0""",196 lbs,3,0.8200,Enrolled,Alabama,Arkansas State,https://247sports.com/player/layne-hatcher-93530/college-218758/
2019,Alabama,24096,Xavian Marks,WR,"5'8""",174 lbs,3,0.8300,N/A,Alabama,N/A,https://247sports.com/player/xavian-marks-29959/college-148840/
2019,Alabama,24096,Kyriq McDonald,S,"5'11""",197 lbs,3,0.8800,Enrolled,Alabama,Cincinnati,https://247sports.com/player/kyriq-mcdonald-88329/college-188360/
2019,Alabama,24096,Scott Meyer,LS,"6'2""",233 lbs,0,( N/A ),Committed,Alabama,Vanderbilt,https://247sports.com/player/scott-meyer-83468/college-205153/
2019,Alabama,24096,Jalen Hurts,DUAL,"6'2""",218 lbs,4,0.9500,Enrolled,Alabama,Oklahoma,https://247sports.com/player/jalen-hurts-37059/college-167168/
2019,Alabama,24096,Richie Petitbon,OG,"6'4""",308 lbs,4,0.9600,Enrolled,Alabama,Illinois,https://247sports.com/player/richie-petitbon-27566/college-146018/
2019,Appalachian State,24224,Joey Cave,OT,"6'4""",312 lbs,0,( N/A ),Committed,Tennessee,Appalachian State,https://247sports.com/player/joey-cave-45573421/college-183317/
2019,Appalachian State,24224,T.D. Roof,OLB,"5'11""",215 lbs,3,0.8100,Enrolled,Indiana,Appalachian State,https://247sports.com/player/td-roof-88437/college-202639/
2019,Appalachian State,24224,Willie Edwards,CB,"6'1""",170 lbs,0,( N/A ),Committed,Illinois State,Appalachian State,https://247sports.com/player/willie-edwards-34675/college-235888/
2019,Appalachian State,24224,Keishawn Watson,WR,"6'0""",185 lbs,2,0.7800,Committed,Western Michigan,Appalachian State,https://247sports.com/player/keishawn-watson-53822/college-150068/
2019,Appalachian State,24224,A.J. Beach,CB,"5'10""",185 lbs,2,0.7700,Committed,Appalachian State,Savannah State,https://247sports.com/player/aj-beach-46047014/college-211429/
2019,Appalachian State,24224,D'Andre Hicks,CB,"5'10""",170 lbs,3,0.8200,Committed,Appalachian State,McNeese,https://247sports.com/player/dandre-hicks-81994/college-189318/
2019,Appalachian State,24224,Devin Papenheim,TE,"0'0""",0 lbs,2,0.7800,N/A,Appalachian State,N/A,https://247sports.com/player/devin-papenheim-49722/college-150887/
2019,Appalachian State,24224,Harrison Taylor,LB,"6'4""",240 lbs,3,0.8200,Committed,Appalachian State,Independence C.C.,https://247sports.com/player/harrison-taylor-46041093/college-219029/
2019,Appalachian State,24224,Michael Rubino,K,"6'3""",215 lbs,2,0.7300,Enrolled,Appalachian State,North Carolina,https://247sports.com/player/michael-rubino-75662/college-136124/
2019,Appalachian State,24224,Jay Person,LB,"6'3""",208 lbs,3,0.8300,Committed,Appalachian State,Chattanooga,https://247sports.com/player/jay-person-46039303/college-219026/
2019,Appalachian State,24224,Braden Collins,WR,"6'2""",195 lbs,3,0.8300,Enrolled,Appalachian State,Tennessee,https://247sports.com/player/braden-collins-46037148/college-220824/
2019,Appalachian State,24224,Keaton Forbes,LS,"6'0""",216 lbs,0,( N/A ),Committed,Appalachian State,East Carolina,https://247sports.com/player/keaton-forbes-92481/college-232766/
2019,Appalachian State,24224,Peyton Derrick,DUAL,"6'2""",175 lbs,2,0.7800,Enrolled,Appalachian State,Wofford,https://247sports.com/player/peyton-derrick-92121/college-204504/
2019,Appalachian State,24224,Markeyvious Adams,WR,"0'0""",0 lbs,2,0.7800,N/A,Appalachian State,N/A,https://247sports.com/player/markeyvious-adams-30706/college-150876/
2019,Appalachian State,24224,Jermaine McDaniel,DL,"6'3""",235 lbs,3,0.8000,Committed,Appalachian State,North Carolina A&T,https://247sports.com/player/jermaine-mcdaniel-89530/college-189317/
2019,Arizona,24087,Samari Springs,CB,"6'1""",188 lbs,0,( N/A ),Enrolled,Richmond,Arizona,https://247sports.com/player/samari-springs-92141/college-239545/
2019,Arizona,24087,Jailen Bailey,WR,"5'10""",180 lbs,2,0.7900,Committed,Arizona,San Diego Mesa College,https://247sports.com/player/jailen-bailey-80957/college-220566/
2019,Arizona,24087,My-King Johnson,Edge,"6'4""",225 lbs,3,0.8100,Committed,Arizona,New Mexico Military Institute,https://247sports.com/player/my-king-johnson-91255/college-204418/
2019,Arizona,24087,Devaughn Cooper,WR,"5'10""",171 lbs,3,0.8700,Enrolled,Arizona,UTEP,https://247sports.com/player/devaughn-cooper-80800/college-179005/
2019,Arizona,24087,Azizi Hearn,CB,"6'1""",187 lbs,3,0.8400,Enrolled,Arizona,Wyoming,https://247sports.com/player/azizi-hearn-89939/college-205304/
2019,Arizona,24087,Isaiah Hayes,S,"6'0""",175 lbs,3,0.8400,Enrolled,Arizona,Louisville,https://247sports.com/player/isaiah-hayes-77308/college-167135/
2019,Arizona,24087,Michael Eletise,IOL,"6'4""",313 lbs,4,0.9200,Enrolled,Arizona,Hawaii,https://247sports.com/player/michael-eletise-70714/college-179100/
2019,Arizona,24087,Thiyo Lukusa,OT,"6'5""",300 lbs,3,0.8700,N/A,Arizona,N/A,https://247sports.com/player/thiyo-lukusa-34201/college-230408/
2019,Arizona,24087,Sione Taufahema,DL,"6'3""",310 lbs,2,0.7000,N/A,Arizona,N/A,https://247sports.com/player/sione-taufahema-26952/college-188524/
2019,Arizona,24087,Branden Leon,RB,"5'8""",190 lbs,0,( N/A ),N/A,Arizona,N/A,https://247sports.com/player/branden-leon-43488/college-149448/
2019,Arizona,24087,Geno Albini,LS,"5'11""",200 lbs,0,( N/A ),Committed,Arizona,Texas Tech,https://247sports.com/player/geno-albini-46037454/college-230077/
2019,Arizona,24087,Sammy Morrison,CB,"5'10""",177 lbs,3,0.8400,Committed,Arizona,San Diego State,https://247sports.com/player/sammy-morrison-49739/college-145193/
2019,Arizona,24087,Antonio Parks,CB,"5'10""",172 lbs,3,0.8300,Enrolled,Arizona,UTSA,https://247sports.com/player/antonio-parks-42651/college-167673/
2019,Arizona,24087,K'hari Lane,QB,"6'1""",225 lbs,3,0.8400,Committed,Arizona,Hutchinson C.C.,https://247sports.com/player/khari-lane-91089/college-204429/
2019,Arizona,24087,Kurtis Brown,DT,"6'3""",260 lbs,3,0.8300,Enrolled,Arizona,Fresno State,https://247sports.com/player/kurtis-brown-80423/college-204415/
2019,Arizona,24087,Nathan Eldridge,OG,"6'4""",300 lbs,3,0.8500,Enrolled,Arizona,Oregon State,https://247sports.com/player/nathan-eldridge-69310/college-145197/
2019,Arizona State,24088,Cody Shear,OT,"6'4""",285 lbs,3,0.8400,Enrolled,Oregon,Arizona State,https://247sports.com/player/cody-shear-88005/college-202492/
2019,Arizona State,24088,Vincenzo Granatelli,S,"6'4""",184 lbs,0,( N/A ),Enrolled,Southern Nazarene,Arizona State,https://247sports.com/player/vincenzo-granatelli-46093988/college-242406/
2019,Arizona State,24088,Roe Wilkins,DT,"6'3""",260 lbs,2,0.7100,Enrolled,Rice,Arizona State,https://247sports.com/player/roe-wilkins-78879/college-151030/
2019,Arizona State,24088,Dominique Harrison,CB,"6'0""",185 lbs,3,0.8700,Enrolled,Arizona State,North Texas,https://247sports.com/player/dominique-harrison-46038475/college-219315/
2019,Arizona State,24088,Terin Adams,CB,"6'0""",190 lbs,0,( N/A ),Enrolled,Arizona State,Utah State,https://247sports.com/player/terin-adams-30515/college-240832/
2019,Arizona State,24088,Langston Frederick,CB,"5'10""",185 lbs,3,0.8400,N/A,Arizona State,N/A,https://247sports.com/player/langston-frederick-76742/college-204301/
2019,Arizona State,24088,Reggie Hughes,OLB,"6'2""",208 lbs,0,( N/A ),Enrolled,Arizona State,Iowa Central C.C.,https://247sports.com/player/reggie-hughes-90101/college-220503/
2019,Arizona State,24088,Jalen Bates,SDE,"6'4""",245 lbs,3,0.8900,Enrolled,Arizona State,Colorado State,https://247sports.com/player/jalen-bates-56973/college-149526/
2019,Arizona State,24088,Darius Slade,DL,"6'4""",255 lbs,3,0.8600,Committed,Arizona State,South Florida,https://247sports.com/player/darius-slade-31230/college-205530/
2019,Arizona State,24088,Michael Sleep-Dalton,P,"6'2""",210 lbs,3,0.8000,Enrolled,Arizona State,Iowa,https://247sports.com/player/michael-sleep-dalton-87447/college-182044/
2019,Arizona State,24088,Terrell Chatman,WR,"6'3""",190 lbs,3,0.8700,Committed,Arizona State,Virginia,https://247sports.com/player/terrell-chatman-37199/college-149527/
2019,Arizona State,24088,Joey Bryant,CB,"6'1""",180 lbs,0,( N/A ),Enrolled,Arizona State,Memphis,https://247sports.com/player/joey-bryant-83297/college-205126/
2019,Arizona State,24088,Nick Ralston,RB,"6'1""",240 lbs,3,0.8100,Enrolled,Arizona State,Louisiana,https://247sports.com/player/nick-ralston-29693/college-149538/
2019,Arizona State,24088,Jay Jay Wilson,TE,"6'3""",250 lbs,4,0.9400,Enrolled,Arizona State,Auburn,https://247sports.com/player/jay-jay-wilson-61349/college-149545/
2019,Arizona State,24088,Malik Lawal,OLB,"6'1""",220 lbs,4,0.9000,Enrolled,Arizona State,Tulane,https://247sports.com/player/malik-lawal-46770/college-149532/
2019,Arizona State,24088,Trelon Smith,RB,"5'8""",181 lbs,3,0.8600,Enrolled,Arizona State,Arkansas,https://247sports.com/player/trelon-smith-62531/college-204294/
2019,Arizona State,24088,Ceejhay French-Love,TE,"6'5""",255 lbs,0,( N/A ),Enrolled,Arizona State,Northern Arizona,https://247sports.com/player/ceejhay-french-love-46039467/college-204287/
2019,Arizona State,24088,Brock Sturges,RB,"5'10""",200 lbs,3,0.8000,Enrolled,Arizona State,Butler C.C.,https://247sports.com/player/brock-sturges-84062/college-220507/
2019,Arizona State,24088,Loren Mondy,LB,"6'0""",234 lbs,3,0.8400,N/A,Arizona State,N/A,https://247sports.com/player/loren-mondy-34128/college-202600/
2019,Arkansas,24097,Kendall Catalon,WR,"5'9""",170 lbs,2,0.7600,Enrolled,Southern,Arkansas,https://247sports.com/player/kendall-catalon-86315/college-237445/
2019,Arkansas,24097,Jake Yurachek,ILB,"6'0""",212 lbs,2,0.7600,Enrolled,Colorado,Arkansas,https://247sports.com/player/jake-yurachek-46040197/college-234646/
2019,Arkansas,24097,Luke Jones,OT,"6'5""",299 lbs,3,0.8800,Enrolled,Notre Dame,Arkansas,https://247sports.com/player/luke-jones-46036174/college-219722/
2019,Arkansas,24097,Jared Sackett,K,"6'1""",180 lbs,0,( N/A ),Enrolled,UTSA,Arkansas,https://247sports.com/player/jared-sackett-46050546/college-210124/
2019,Arkansas,24097,Nick Starkel,PRO,"6'3""",215 lbs,3,0.8700,Enrolled,Texas A&M,Arkansas,https://247sports.com/player/nick-starkel-41609/college-178612/
2019,Arkansas,24097,Sam Loy,P,"6'2""",192 lbs,3,0.8000,Enrolled,Colorado,Arkansas,https://247sports.com/player/sam-loy-87629/college-239124/
2019,Arkansas,24097,Ben Hicks,PRO,"6'2""",203 lbs,3,0.8700,Enrolled,SMU,Arkansas,https://247sports.com/player/ben-hicks-46751/college-137504/
2019,Arkansas,24097,Trelon Smith,RB,"5'8""",181 lbs,3,0.8600,Enrolled,Arizona State,Arkansas,https://247sports.com/player/trelon-smith-62531/college-204294/
2019,Arkansas,24097,Dee Walker,LB,"6'3""",210 lbs,3,0.8200,N/A,Arkansas,N/A,https://247sports.com/player/dee-walker-79869/college-178652/
2019,Arkansas,24097,Damani Carter,Edge,"6'1""",237 lbs,0,( N/A ),Committed,Arkansas,Northeastern State,https://247sports.com/player/damani-carter-85701/college-149093/
2019,Arkansas,24097,Courtre Alexander,Edge,"6'4""",260 lbs,3,0.8600,Committed,Arkansas,Northeastern Oklahoma A&M,https://247sports.com/player/courtre-alexander-46039342/college-219494/
2019,Arkansas,24097,Thomas Muldrow,WR,"5'11""",187 lbs,3,0.8100,Committed,Arkansas,Independence C.C.,https://247sports.com/player/thomas-muldrow-46052501/college-237472/
2019,Arkansas,24097,Billy Ferrell,DT,"6'3""",331 lbs,3,0.8600,Enrolled,Arkansas,Northeastern Oklahoma A&M,https://247sports.com/player/billy-ferrell-93508/college-219491/
2019,Arkansas,24097,Blake Johnson,P,"6'0""",185 lbs,2,0.7200,N/A,Arkansas,N/A,https://247sports.com/player/blake-johnson-65191/college-147806/
2019,Arkansas,24097,La'Michael Pettway,WR,"6'2""",219 lbs,3,0.8700,Enrolled,Arkansas,Iowa State,https://247sports.com/player/lamichael-pettway-23768/college-147787/
2019,Arkansas,24097,Ty Storey,PRO,"6'2""",215 lbs,4,0.9200,Enrolled,Arkansas,Western Kentucky,https://247sports.com/player/ty-storey-14692/college-136089/
2019,Arkansas,24097,Tyler Hall,OT,"6'5""",290 lbs,2,0.7900,Committed,Arkansas,Stephen F. Austin,https://247sports.com/player/tyler-hall-88235/college-178661/
2019,Arkansas,24097,Deion Malone,IOL,"6'4""",308 lbs,3,0.8500,Committed,Arkansas,East Texas A&M,https://247sports.com/player/deion-malone-25576/college-170450/
2019,Arkansas,24097,Maleek Barkley,WR,"5'11""",185 lbs,3,0.8500,Committed,Arkansas,Montana State,https://247sports.com/player/maleek-barkley-86379/college-201311/
2019,Arkansas,24097,Tobias Enlow,WR,"6'1""",188 lbs,3,0.8000,Committed,Arkansas,Central Arkansas,https://247sports.com/player/tobias-enlow-81879/college-178658/
2019,Arkansas,24097,Tyler Pennington,LB,"5'10""",210 lbs,0,( N/A ),Committed,Arkansas,Illinois State,https://247sports.com/player/tyler-pennington-94405/college-205167/
2019,Arkansas,24097,Alexy Jean-Baptiste,OLB,"6'3""",205 lbs,3,0.8400,Enrolled,Arkansas,FIU,https://247sports.com/player/alexy-jean-baptiste-61353/college-178644/
2019,Arkansas,24097,Chevin Calloway,CB,"5'10""",180 lbs,4,0.9000,Enrolled,Arkansas,SMU,https://247sports.com/player/chevin-calloway-78898/college-201305/
2019,Arkansas,24097,Cole Kelley,PRO,"6'7""",230 lbs,3,0.8400,Enrolled,Arkansas,Southeastern Louisiana,https://247sports.com/player/cole-kelley-77447/college-178649/
2019,Arkansas,24097,Maleek Williams,RB,"6'1""",215 lbs,3,0.8300,Enrolled,Arkansas,FIU,https://247sports.com/player/maleek-williams-80313/college-189014/
2019,Arkansas,24097,Derrick Munson,S,"6'0""",200 lbs,3,0.8700,Committed,Arkansas,Nicholls,https://247sports.com/player/derrick-munson-86742/college-201315/
2019,Arkansas,24097,Jarrod Barnes,WR,"5'11""",167 lbs,3,0.8900,Enrolled,Arkansas,Central Arkansas,https://247sports.com/player/jarrod-barnes-83891/college-201312/
2019,Arkansas,24097,Nate Dalton,S,"6'3""",197 lbs,3,0.8600,N/A,Arkansas,N/A,https://247sports.com/player/nate-dalton-77441/college-147789/
2019,Arkansas,24097,Kyrei Fisher-Morris,OLB,"6'2""",230 lbs,3,0.8500,Committed,Arkansas,Oregon State,https://247sports.com/player/kyrei-fisher-morris-89961/college-189015/
2019,Arkansas,24097,Jonathan Nance,WR,"6'2""",180 lbs,3,0.8000,Enrolled,Arkansas,Missouri,https://247sports.com/player/jonathan-nance-75419/college-189038/
2019,Arkansas State,24108,Layne Hatcher,QB,"6'0""",196 lbs,3,0.8200,Enrolled,Alabama,Arkansas State,https://247sports.com/player/layne-hatcher-93530/college-218758/
2019,Arkansas State,24108,Nathan Elliott,QB,"6'1""",215 lbs,3,0.8400,Committed,North Carolina,Arkansas State,https://247sports.com/player/nathan-elliott-20953/college-147151/
2019,Arkansas State,24108,Ryan Taylor,DL,"6'1""",280 lbs,2,0.7900,Committed,Arkansas State,North Alabama,https://247sports.com/player/ryan-taylor-46042053/college-223169/
2019,Army,24062,Cameron Johnson,WR,"6'4""",215 lbs,0,( N/A ),Enrolled,Army,El Camino College,https://247sports.com/player/cameron-johnson-46133873/college-281308/
2019,Army,24062,Duncan Van Kouteren,LB,"6'2""",205 lbs,0,( N/A ),N/A,Army,N/A,https://247sports.com/player/duncan-van-kouteren-46051809/college-224764/
2019,Army,24062,Cam Thomas,QB,"5'11""",173 lbs,0,( N/A ),Committed,Army,Jacksonville State,https://247sports.com/player/cam-thomas-46044826/college-224761/
2019,Auburn,24098,Zach Farrar,WR,"6'3""",209 lbs,0,( N/A ),Enrolled,Youngstown State,Auburn,https://247sports.com/player/zach-farrar-74161/college-236131/
2019,Auburn,24098,Michael Cone,IOL,"6'5""",310 lbs,0,( N/A ),Committed,Western Kentucky,Auburn,https://247sports.com/player/michael-cone-89251/college-225960/
2019,Auburn,24098,Jay Jay Wilson,TE,"6'3""",250 lbs,4,0.9400,Enrolled,Arizona State,Auburn,https://247sports.com/player/jay-jay-wilson-61349/college-149545/
2019,Auburn,24098,Richard Jibunor,LB,"6'3""",206 lbs,4,0.9100,Committed,Auburn,Troy,https://247sports.com/player/richard-jibunor-84069/college-212851/
2019,Auburn,24098,Malik Willis,DUAL,"6'2""",188 lbs,3,0.8900,Enrolled,Auburn,Liberty,https://247sports.com/player/malik-willis-89076/college-188494/
2019,Auburn,24098,Cam Kelly,CB,"6'1""",203 lbs,4,0.9200,Enrolled,Auburn,North Carolina,https://247sports.com/player/cam-kelly-46038384/college-233409/
2019,Auburn,24098,Kolbi Fuqua,WR,"6'1""",210 lbs,3,0.8500,Committed,Auburn,Jacksonville State,https://247sports.com/player/kolbi-fuqua-89201/college-219213/
2019,Auburn,24098,Richard McBryde,OLB,"6'1""",227 lbs,4,0.9500,Enrolled,Auburn,SMU,https://247sports.com/player/richard-mcbryde-32632/college-145157/
2019,Auburn,24098,Calvin Ashley,OT,"6'6""",310 lbs,5,0.9800,Enrolled,Auburn,Florida Atlantic,https://247sports.com/player/calvin-ashley-35824/college-194642/
2019,Auburn,24098,Jauntavius Johnson,DT,"6'2""",322 lbs,4,0.9000,Enrolled,Auburn,Colorado,https://247sports.com/player/jauntavius-johnson-32730/college-145150/
