season,team,institution_key,name,position,height,weight,stars,rating,status,from_school,to_school,profile_url
2020,Air Force,24078,Kaiser Cambra-Cho,S,"6'2""",195 lbs,3,0.8100,N/A,Air Force,N/A,https://247sports.com/player/kaiser-cambra-cho-46057227/college-254159/
2020,Air Force,24078,Jakeem Patrick,RB,"6'0""",170 lbs,2,0.7500,N/A,Air Force,N/A,https://247sports.com/player/jakeem-patrick-92801/college-252782/
2020,Air Force,24078,Marquis Brown,RB,"5'10""",195 lbs,0,( N/A ),Enrolled,Air Force,Texas State,https://247sports.com/player/marquis-brown-46080643/college-257002/
2020,Air Force,24078,Kaleb Nunez,Edge,"6'1""",240 lbs,0,( N/A ),N/A,Air Force,N/A,https://247sports.com/player/kaleb-nunez-85444/college-224478/
2020,Air Force,24078,Nathan Peterson,IOL,"6'5""",285 lbs,3,0.8200,Committed,Air Force,American River C.C.,https://247sports.com/player/nathan-peterson-46049101/college-247695/
2020,Air Force,24078,Charlie Scott,LS,"6'1""",192 lbs,0,( N/A ),N/A,Air Force,N/A,https://247sports.com/player/charlie-scott-80527/college-206257/
2020,Air Force,24078,Kyle Johnson,LB,"6'0""",221 lbs,0,( N/A ),N/A,Air Force,N/A,https://247sports.com/player/kyle-johnson-79965/college-206242/
2020,Air Force,24078,Joe Quillin,DT,"6'2""",275 lbs,3,0.8100,Enrolled,Air Force,Oregon State,https://247sports.com/player/joe-quillin-46049663/college-244526/
2020,Air Force,24078,Jake Raddatz,DL,"6'3""",240 lbs,2,0.7900,N/A,Air Force,N/A,https://247sports.com/player/jake-raddatz-46049963/college-244584/
2020,Akron,24065,Brayden Hawkins,PRO,"6'3""",221 lbs,2,0.7700,Enrolled,Louisiana,Akron,https://247sports.com/player/brayden-hawkins-85811/college-239657/
2020,Akron,24065,Jaylen Kelly-Powell,S,"6'0""",184 lbs,4,0.9300,Committed,Michigan,Akron,https://247sports.com/player/jaylen-kelly-powell-78974/college-188800/
2020,Akron,24065,Zack Leininger,TE,"6'4""",235 lbs,2,0.7700,Enrolled,Marshall,Akron,https://247sports.com/player/zack-leininger-46056935/college-230881/
2020,Akron,24065,Cole Gest,RB,"5'8""",194 lbs,3,0.8400,Committed,Indiana,Akron,https://247sports.com/player/cole-gest-76362/college-181204/
2020,Akron,24065,Nick Demchuk,QB,"6'2""",180 lbs,0,( N/A ),N/A,Akron,N/A,https://247sports.com/player/nick-demchuk-46054380/college-251410/
2020,Akron,24065,Jerome Cooper,CB,"5'11""",195 lbs,0,( N/A ),N/A,Akron,N/A,https://247sports.com/player/jerome-cooper-81813/college-205845/
2020,Akron,24065,Brandon Council,OT,"6'5""",300 lbs,2,0.7400,Enrolled,Akron,Auburn,https://247sports.com/player/brandon-council-88254/college-170473/
2020,Akron,24065,JJ Coleman,ATH,"5'11""",175 lbs,2,0.7100,N/A,Akron,N/A,https://247sports.com/player/jj-coleman-46050239/college-231398/
2020,Akron,24065,Malik Wooldridge,WR,"5'9""",168 lbs,2,0.7400,Committed,Akron,Ashland University,https://247sports.com/player/malik-wooldridge-45573304/college-205857/
2020,Akron,24065,Kyshad Mack,S,"6'1""",190 lbs,2,0.7300,Committed,Akron,Butler C.C.,https://247sports.com/player/kyshad-mack-46076672/college-245039/
2020,Akron,24065,Alex Ramart,PRO,"6'3""",210 lbs,3,0.8000,Enrolled,Akron,IUP,https://247sports.com/player/alex-ramart-88311/college-224223/
2020,Akron,24065,Tyson McDonald,S,"6'2""",195 lbs,3,0.8000,N/A,Akron,N/A,https://247sports.com/player/tyson-mcdonald-46059370/college-243309/
2020,Akron,24065,Devanier Floyd,RB,"5'9""",200 lbs,2,0.7800,N/A,Akron,N/A,https://247sports.com/player/devanier-floyd-46050767/college-222689/
2020,Akron,24065,Deandre Brimage,DL,"6'0""",276 lbs,2,0.7800,Committed,Akron,Ashland University,https://247sports.com/player/deandre-brimage-88439/college-205858/
